epoch,train_loss,train_accuracy,train_1st degree av block_rocauc,train_1st degree av block_prauc,train_anterior myocardial infarction_rocauc,train_anterior myocardial infarction_prauc,train_atrial fibrillation_rocauc,train_atrial fibrillation_prauc,train_complete right bundle branch block_rocauc,train_complete right bundle branch block_prauc,train_left anterior fascicular block_rocauc,train_left anterior fascicular block_prauc,train_left atrial enlargement_rocauc,train_left atrial enlargement_prauc,train_left axis deviation_rocauc,train_left axis deviation_prauc,train_left bundle branch block_rocauc,train_left bundle branch block_prauc,train_myocardial infarction_rocauc,train_myocardial infarction_prauc,train_myocardial ischemia_rocauc,train_myocardial ischemia_prauc,train_nonspecific intraventricular conduction disorder_rocauc,train_nonspecific intraventricular conduction disorder_prauc,train_nonspecific st t abnormality_rocauc,train_nonspecific st t abnormality_prauc,train_normal ecg_rocauc,train_normal ecg_prauc,train_premature atrial contraction_rocauc,train_premature atrial contraction_prauc,train_prolonged pr interval_rocauc,train_prolonged pr interval_prauc,train_qwave abnormal_rocauc,train_qwave abnormal_prauc,train_right axis deviation_rocauc,train_right axis deviation_prauc,train_s t changes_rocauc,train_s t changes_prauc,train_sinus arrhythmia_rocauc,train_sinus arrhythmia_prauc,train_sinus bradycardia_rocauc,train_sinus bradycardia_prauc,train_sinus tachycardia_rocauc,train_sinus tachycardia_prauc,train_st depression_rocauc,train_st depression_prauc,train_mean_rocaucs,train_mean_praucs,valid_accuracy,valid_atrial fibrillation_rocauc,valid_atrial fibrillation_prauc,valid_left anterior fascicular block_rocauc,valid_left anterior fascicular block_prauc,valid_left axis deviation_rocauc,valid_left axis deviation_prauc,valid_myocardial infarction_rocauc,valid_myocardial infarction_prauc,valid_myocardial ischemia_rocauc,valid_myocardial ischemia_prauc,valid_normal ecg_rocauc,valid_normal ecg_prauc,valid_mean_rocaucs,valid_mean_praucs
10,3.4896024055275676,0.6231585375162202,0.6742313732054747,0.2589706989251289,0.5456770216522207,0.03620553141316266,0.7751882154140137,0.44032312559925924,0.9805543740615663,0.677663765523295,0.9086384277896714,0.6002470959688274,0.4502820704986513,0.0379426523158058,0.7065651467652971,0.5111405412894039,0.9407423041307629,0.7491414753306058,0.6967758171197208,0.5071162388326265,0.6965469917003473,0.36588948552508843,0.45355701381071356,0.0639952928745628,0.4207282854696725,0.019682544215165354,0.979600171687521,0.9450810674120159,0.6984721369985611,0.20781854856958704,0.6852691099256742,0.16551727771547436,0.4638183574053905,0.031724883863981826,0.722851101494886,0.2107581627072628,0.7186693268774559,0.20457683183425338,0.7300929778288812,0.40776466119045934,0.886730486331459,0.5457295358949229,0.8504156467366278,0.5095597557570246,0.5697517810629252,0.12532776481020041,0.7070526426348861,0.34646258807127794,0.5423534798534798,0.7764354820030877,0.41536060828102384,0.8845610099293792,0.47711484424588824,0.6670890328479191,0.3811744248462878,0.6418902303327028,0.4036002584996813,0.674210555540943,0.25786169579477536,0.9170337014417017,0.756280350162294,0.760203335349289,0.4485653636383251
11,3.3534364437349025,0.5760628959621403,0.6987030792899219,0.2455783404074399,0.5862103417130594,0.0783262698709214,0.852535615276834,0.5591560120627895,0.9822580314545016,0.6258839579342386,0.8316655884816597,0.48544151527550344,0.48764803167284876,0.037287857911337235,0.7081062156654647,0.49646515073218667,0.9751305573911064,0.7407302488995002,0.703405504089448,0.5752317895436103,0.7125642379532491,0.4127698497195977,0.5230106290862749,0.10990472970339504,0.4997373732119992,0.034427978464816364,0.9814203219012295,0.9509404208845402,0.6894022925983585,0.2418807805373167,0.6593876940853289,0.18412031496463796,0.5043296483747506,0.04199548150149142,0.6289108364098529,0.18511693057889658,0.7073669648396834,0.265562607755788,0.7442183457645581,0.423263164774208,0.8915308631157499,0.5335250755013287,0.8609461719299096,0.5562097813718349,0.6157824244409064,0.17985354959470187,0.7201941258521226,0.36198508218136727,0.5103021978021978,0.8488532775130242,0.5035342697201529,0.7998700751340732,0.35696809334162766,0.6698702067702332,0.37760511623392606,0.6337340046734171,0.4625737941094238,0.6914940190723351,0.3042088361543593,0.907566368207676,0.7326962193022442,0.7585646585617932,0.4562643881436223
12,3.240296981960897,0.6585756812457064,0.7913230730192135,0.3119073550908538,0.6419965393922271,0.10087714149450042,0.8589157313525864,0.6042476496147444,0.9853501862774741,0.5802301098968656,0.8111467316051368,0.5165604100527559,0.5452871774925451,0.06678312692300453,0.69852233722722,0.5870533610802722,0.9158724195163133,0.6756867684354331,0.7916548383273654,0.6753228140599433,0.7954796380037912,0.4890626839444743,0.5601354183896854,0.1467133096588286,0.5280247591190522,0.06569094591737396,0.9908035436044665,0.9728772572115639,0.765262887827203,0.3093754495358534,0.8221323777902168,0.2801183297957309,0.5301898477374164,0.05237794313630471,0.7368123222175149,0.2282818334354274,0.7574143237752284,0.3704058183753177,0.793439776221143,0.42696302335787073,0.9347039227019276,0.6633241448902997,0.9022429399662137,0.47967898798021164,0.6364681088666259,0.20509365284079387,0.763326313655935,0.4003923689422011,0.5679945054945055,0.834141235947327,0.5419852892528444,0.7714483884670525,0.36988187338350836,0.634305849362539,0.4170390137844761,0.7128774897073551,0.5188091990476437,0.7551388048665725,0.3425700251840259,0.9052604906859055,0.7333426342143625,0.7688620431727919,0.4872713391444769
13,3.107904366796849,0.6351423555453782,0.7123747518951623,0.2492642809227982,0.5800331421996525,0.10661004233682783,0.7580299524540078,0.38371576941751573,0.9682505803555415,0.4085362824580141,0.8456132113565537,0.45073534461925957,0.5347870083134904,0.08026924478044918,0.7093527944709626,0.5676271661272412,0.9676566854445361,0.8023878177640195,0.7379740395559573,0.6131095939820175,0.7442823589024825,0.42241274238478704,0.5711600316354609,0.1640412883345045,0.5344201919108896,0.06896199161717331,0.9921270475343174,0.9768813417534619,0.6990408653781742,0.2640974262924096,0.7135899632004999,0.23546766661121538,0.5415410862204378,0.07532687121143344,0.6625196695515343,0.12049756779588235,0.7060381339362836,0.32695360524107236,0.7594747114089897,0.485807362863014,0.9158944077190226,0.640955576531677,0.8366109741742906,0.4582401426493922,0.6142258544193473,0.17339570097490226,0.732045339183527,0.3670588557576849,0.5160256410256411,0.738295280496183,0.3025936238540519,0.807134584240429,0.3385119046410077,0.6436105865623125,0.41004143910421875,0.6571049849783019,0.4459219187136755,0.709180497470563,0.30972028340932134,0.9080036898066324,0.742211181051355,0.7438882705924037,0.42483339179560503
14,3.0070902508603243,0.7790245019464163,0.8109926053465764,0.4085196084252614,0.6846546784811387,0.1292967169835405,0.8649992819108387,0.5809119831007528,0.9910983965276033,0.7026906421345699,0.8741606568975773,0.5849780058638955,0.5719662400824708,0.11424638860898577,0.7493499256162105,0.6316246744661489,0.9540526384416652,0.7032059609162313,0.8087327983595547,0.6859013889196985,0.768643065606809,0.49722485141747164,0.6049967152426803,0.22423977937910491,0.6109744463279814,0.11748282046118204,0.9877038523464932,0.9515023874518325,0.8495807219166079,0.4172958058168914,0.8332767590663073,0.3872848711752626,0.6210533808842478,0.11285670769703754,0.7005730648187375,0.1829514337653898,0.8204288199543615,0.35937220691836624,0.8041968621873913,0.5255482614526504,0.9325752431151769,0.6576947214487894,0.8971664886087707,0.5856841539118619,0.778795192643899,0.3253223755816686,0.7963623561083227,0.44935617026802704,0.5746336996336996,0.8499486698123638,0.5123719647880437,0.8320542730844793,0.41813739516025483,0.6763716801941453,0.4414414045196208,0.7244085901858239,0.5203895941833874,0.7381928918581644,0.3651626456187391,0.906097516174357,0.7071221486300268,0.7878456035515556,0.494104192150012
15,2.9403574370071275,0.6739180215250744,0.8221505142778189,0.4261779038435929,0.6335437414088655,0.11986333565195582,0.838996052985783,0.5473090976274152,0.9769346465852546,0.6346446442106456,0.8820218092789502,0.592325252972044,0.549716190277422,0.10851630901290864,0.7841051427227907,0.6716401770030432,0.965049515672412,0.6523494457789321,0.6915090876796454,0.6048662511031787,0.7779282802468319,0.5049168601423053,0.6491780405434817,0.268894759994231,0.6573113929040466,0.09800577455743371,0.9971385506430056,0.9929752461119542,0.8336271874941386,0.2750575049248339,0.8127609066569554,0.31422388130225,0.621069515925048,0.18454532361191817,0.7143580160987715,0.16521377384417008,0.8516062934377026,0.43573314588956985,0.8255536896110598,0.5549671357058781,0.9444070449899991,0.6756852610677965,0.9018006336721347,0.5238892968846998,0.7336055763393111,0.25647506428611616,0.7938350831568832,0.43673979297849425,0.5373168498168498,0.8063114797635416,0.47797788107728184,0.8259039983008549,0.39460115919890315,0.7082372143467464,0.46319405246085055,0.5981295204183821,0.4404313248792244,0.7320731447141926,0.32544272596527835,0.901416187240073,0.7352834979158409,0.7620119241306318,0.47282177358289657
16,2.8332705262435063,0.7045263720326692,0.8235134302104673,0.39672609201179576,0.5804159463166632,0.12902023730233808,0.849041828516771,0.57616788763837,0.9948295830151841,0.8405094363668713,0.9299038851094118,0.6696520593645541,0.5617710675356462,0.1393453773514701,0.7119080752312624,0.5635885797704407,0.9813897980697618,0.7297875713456046,0.6033785189892673,0.5109784031241831,0.6620368594815716,0.4089412548427068,0.6366921120956082,0.2576112942849375,0.5482923612731736,0.08401506504711355,0.9972651783051807,0.9925883057375551,0.8389108684060332,0.3822586159854972,0.7571948605088386,0.31729565585972247,0.5323844505662687,0.09719257177778996,0.7135315166737276,0.2612206978969672,0.6946860667404713,0.3553058869030785,0.7986355070746194,0.561468642009669,0.9299939084292846,0.6383333151920776,0.8484679269803237,0.487686693393315,0.5701177979004728,0.19749234668968565,0.7529255248831823,0.4362357268134428,0.5082417582417582,0.8370177291594648,0.4969721556334137,0.8937088488291828,0.4719026916902808,0.6462610621844718,0.3795834697947068,0.5277484143763214,0.36401446898371875,0.6243433838636238,0.24303191553347026,0.9059303123754464,0.7552706180786298,0.7391682917980852,0.45179588661903675
17,2.7958581885457283,0.5933898175711778,0.6681445013059548,0.2949595773693489,0.6307528578559749,0.19349720571081644,0.7200736342067963,0.47253909611728456,0.939754482702074,0.45419229560638286,0.8253756256089451,0.5289962555399063,0.600465163344749,0.1460174190828684,0.7178238260798768,0.6168798806807033,0.882841565318476,0.6286771920126256,0.6570383362620332,0.5738820136835759,0.6970105083135343,0.45702778312986436,0.6864980401952505,0.30303319207675417,0.6046022820984684,0.12752530842137924,0.9973859293244703,0.9936227403487546,0.7802377271229176,0.33058986610449254,0.7576991582798125,0.2721903153763562,0.5691493274298066,0.11112936210934113,0.7549313835259941,0.22374124234924492,0.8016201100812835,0.43761682999148677,0.7997019531900086,0.5777663430652903,0.9332676011006954,0.6683681355852166,0.8461494625184309,0.5198376628132566,0.6659604856416013,0.2901298381907502,0.7516583618866889,0.41919179797116823,0.5226648351648352,0.7069991040074117,0.40047068409892905,0.7812632745712315,0.35141853969658476,0.6463960557339278,0.4239955059100381,0.587219594970513,0.4161269579944103,0.6539464186035637,0.30478158104135017,0.8961673215586967,0.7206395842357397,0.7119986282408908,0.43623880882950866
18,2.6901967119382597,0.6869704602702084,0.7670790454706087,0.33408773626193955,0.5790325815343491,0.1855818320778669,0.7519498066288473,0.4639084188840005,0.9542872004058647,0.5077155609017079,0.7319952058404327,0.466307796642004,0.5117615808596826,0.1294389768428929,0.6725950382896609,0.5449494607805996,0.9365010398180705,0.5863956028223093,0.6067154482621752,0.5014180515873797,0.6397002205174314,0.33591206249927563,0.6074211072277385,0.240064815906816,0.5125053124180895,0.08443043927019135,0.9990372659752899,0.9975630480359404,0.7842683969228378,0.35398513547544896,0.7436870985943356,0.30483974438696054,0.5708034063918489,0.14546297366896555,0.6068922865097137,0.17400681179172853,0.7444186842731837,0.3971247843932675,0.7903357523370533,0.5642507114734931,0.9365855271694163,0.6635530866019678,0.8964051846616495,0.5773614749061416,0.5782379349074934,0.23311029717973603,0.7237370511370806,0.3996122191995743,0.5260989010989011,0.7501356179257729,0.4237733365899542,0.6525895369829555,0.2864232894383926,0.5973182304186488,0.36333435631434013,0.5283573495048403,0.3466160367256301,0.6182265592350024,0.22555856959012854,0.9030180222797489,0.7476728107949662,0.674940886057828,0.39889639990890197
19,2.6210517946358594,0.781696053736356,0.669382866617245,0.3043325188326745,0.5947059581301593,0.21512555374696996,0.7984599640530933,0.5074480303377791,0.9741272887531452,0.596311978574804,0.8072169529299628,0.49819898366442145,0.5418346598868556,0.14544028914315066,0.617978629122162,0.5282539024962254,0.9294066296413346,0.6057032099722095,0.6321070432822342,0.5566319364682668,0.6430300957159547,0.36476476979640327,0.6201011578016168,0.3010389886018662,0.5687526134359522,0.12823117338340462,0.99946581316171,0.9986231464327512,0.7281066369061177,0.3472423685184789,0.7014328650782411,0.3217397928435434,0.5917684004717128,0.20987259433481925,0.5753041215275676,0.20169523054274638,0.7334837232986844,0.4224295560495587,0.7872724094050326,0.5774907234406865,0.9022033287105922,0.6602083240425888,0.8533526194816518,0.48829880967868877,0.5957583015994201,0.24917734995230897,0.7211478217732021,0.41946632867519756,0.549908424908425,0.7782544601535814,0.40945608235126424,0.7477906135506823,0.3260666252612376,0.5432962663545453,0.34984844804942805,0.5620070657616558,0.40202709391646174,0.6155734997998077,0.22807995047045512,0.9057086320942722,0.7242611784779879,0.6921050896190909,0.40662322975447246
