epoch,train_loss,train_accuracy,train_1st degree av block_rocauc,train_1st degree av block_prauc,train_abnormal QRS_rocauc,train_abnormal QRS_prauc,train_anterior myocardial infarction_rocauc,train_anterior myocardial infarction_prauc,train_atrial flutter_rocauc,train_atrial flutter_prauc,train_bundle branch block_rocauc,train_bundle branch block_prauc,train_complete right bundle branch block_rocauc,train_complete right bundle branch block_prauc,train_early repolarization_rocauc,train_early repolarization_prauc,train_incomplete right bundle branch block_rocauc,train_incomplete right bundle branch block_prauc,train_left anterior fascicular block_rocauc,train_left anterior fascicular block_prauc,train_left atrial enlargement_rocauc,train_left atrial enlargement_prauc,train_left axis deviation_rocauc,train_left axis deviation_prauc,train_left bundle branch block_rocauc,train_left bundle branch block_prauc,train_left ventricular hypertrophy_rocauc,train_left ventricular hypertrophy_prauc,train_low qrs voltages_rocauc,train_low qrs voltages_prauc,train_myocardial infarction_rocauc,train_myocardial infarction_prauc,train_nonspecific intraventricular conduction disorder_rocauc,train_nonspecific intraventricular conduction disorder_prauc,train_nonspecific st t abnormality_rocauc,train_nonspecific st t abnormality_prauc,train_normal ecg_rocauc,train_normal ecg_prauc,train_pacing rhythm_rocauc,train_pacing rhythm_prauc,train_premature ventricular contractions_rocauc,train_premature ventricular contractions_prauc,train_prolonged pr interval_rocauc,train_prolonged pr interval_prauc,train_prolonged qt interval_rocauc,train_prolonged qt interval_prauc,train_qwave abnormal_rocauc,train_qwave abnormal_prauc,train_right axis deviation_rocauc,train_right axis deviation_prauc,train_st interval abnormal_rocauc,train_st interval abnormal_prauc,train_t wave inversion_rocauc,train_t wave inversion_prauc,train_mean_rocaucs,train_mean_praucs,valid_accuracy,valid_1st degree av block_rocauc,valid_1st degree av block_prauc,valid_abnormal QRS_rocauc,valid_abnormal QRS_prauc,valid_atrial flutter_rocauc,valid_atrial flutter_prauc,valid_complete right bundle branch block_rocauc,valid_complete right bundle branch block_prauc,valid_incomplete right bundle branch block_rocauc,valid_incomplete right bundle branch block_prauc,valid_left anterior fascicular block_rocauc,valid_left anterior fascicular block_prauc,valid_left axis deviation_rocauc,valid_left axis deviation_prauc,valid_left ventricular hypertrophy_rocauc,valid_left ventricular hypertrophy_prauc,valid_low qrs voltages_rocauc,valid_low qrs voltages_prauc,valid_myocardial infarction_rocauc,valid_myocardial infarction_prauc,valid_nonspecific intraventricular conduction disorder_rocauc,valid_nonspecific intraventricular conduction disorder_prauc,valid_normal ecg_rocauc,valid_normal ecg_prauc,valid_pacing rhythm_rocauc,valid_pacing rhythm_prauc,valid_qwave abnormal_rocauc,valid_qwave abnormal_prauc,valid_t wave inversion_rocauc,valid_t wave inversion_prauc,valid_mean_rocaucs,valid_mean_praucs
0,4.83680446200303,0.34044178122429797,0.6997669954439016,0.11776379432023017,0.43507684830436577,0.06235908853813318,0.8165662224286987,0.026581595052566093,0.9546240403771633,0.7669211228422835,0.9072490299585824,0.5110688311095899,0.934822951315503,0.6035622418830529,0.7732612362973005,0.01404896447714468,0.7875731151702379,0.18396283067753996,0.8747217329769628,0.19804761090802114,0.697375541239899,0.014434854319561513,0.7994969894038013,0.4104611410774401,0.8554717699427163,0.03588751173036314,0.7866283511007772,0.15078697035994887,0.502700846326048,0.024369164468780048,0.8419579514754564,0.372572299611438,0.7195883073933271,0.04401470637946255,0.45294404229874985,0.006762618745344316,0.9403649627176325,0.7801944282084,0.9676197218328055,0.7851160376187145,0.9483533368712365,0.3974441722791628,0.5649605051955733,0.01670637656988078,0.46606440667395477,0.007946967252603203,0.48615606715350623,0.029343421771970045,0.5497086873255685,0.02497812960577779,0.5393844463081284,0.0167951650130105,0.6352257081313969,0.15258376016806563,0.728371685140896,0.22133514634571094,0.34064675301788705,0.6913072514090881,0.11040873974861709,0.4294454317007459,0.06346711054157089,0.9540850372925099,0.7627807402949852,0.9243068545665779,0.5417527574293312,0.7975486437539303,0.21268670024333902,0.8778439269675011,0.21511199844351636,0.8078056879789256,0.41359676009682644,0.7858927332998238,0.1488868331773268,0.5332398993763243,0.03018338372360608,0.8385855892385952,0.35805643700144935,0.7244401319877349,0.048464700402195374,0.9387941449631255,0.7612045361885712,0.9556218250831059,0.7389962253058716,0.5142507519892523,0.04309390371326729,0.6535598257697646,0.1508867625169829,0.7617818490251338,0.30663850592183045
1,4.376091091826973,0.3073081894019504,0.7232484193661503,0.29943332894525376,0.39913203247316986,0.04573784277978881,0.6908869123908432,0.014935632507429526,0.9249052431424779,0.7856647515490871,0.8397698084202236,0.35007484429810987,0.9450737088991298,0.6801683087722767,0.8071996498257644,0.017017918493345236,0.8213467110895583,0.18593380771746973,0.8611833246668636,0.1797456409827098,0.5040848328443481,0.007951521212903531,0.6925180611120871,0.2258350963787908,0.8860945987108602,0.14014452200605465,0.759102339156466,0.23549786277515153,0.5721871767103193,0.03413070539172132,0.7319336614559362,0.21703686146628495,0.5578228894632387,0.02836554242652307,0.5720624893161228,0.011816648682404044,0.9527161832213545,0.8152446024997555,0.9773601618441236,0.8455915329766451,0.8433791527611589,0.44034251627473264,0.43758540487454595,0.009789377274068877,0.5665444265228196,0.010254604382260698,0.5446878090676446,0.04364542453649636,0.5807086217547799,0.07313657135732445,0.6460821487572077,0.03091206489779741,0.7185755919147111,0.2931510477246629,0.7136996676831503,0.2315984068580403,0.29650189444003877,0.7357240295956426,0.3024065631615454,0.39753830608398044,0.04877820854303326,0.9269300053549345,0.773041365983914,0.9316085719832726,0.595331873282818,0.812648185327352,0.19569894410795644,0.8582963672347677,0.17646863032667084,0.6952068902293312,0.23143786954578896,0.7583881045244291,0.24980623537592328,0.5850941262103301,0.03856690090925953,0.7269969570524372,0.2186998882631415,0.5447974787854388,0.02691369514997441,0.9488699843765986,0.805192280052616,0.9709044505754215,0.8083833098128498,0.5545496275862751,0.045525713021360145,0.7379623482514415,0.2842079422623876,0.7457010288781103,0.3200306279866159
2,4.186703628216881,0.4226882857478557,0.8840907996592664,0.46340793586180723,0.5740926591566227,0.12672105111716972,0.8389532086973336,0.03002531480492469,0.9767413882320256,0.875503074345105,0.9151202602758736,0.5249832121676783,0.9653215824138228,0.726229956077705,0.8768448160136879,0.06931720669839583,0.8885644917709886,0.3680470890367365,0.9189146207728198,0.3463307085716905,0.7265528928219709,0.019187982371984196,0.8362108211885024,0.46080816396378593,0.9807330236206291,0.7147798905263917,0.8562363458031695,0.34302726671155515,0.6420693092788851,0.07228431838444788,0.8982604233057516,0.5565498171751084,0.7386640120171885,0.07661671472724657,0.7343412244984012,0.02417457860998576,0.959748667836418,0.8349057369531381,0.9772998347560885,0.8639363629126684,0.8742707407551192,0.48679316042203424,0.6520666131621188,0.030113526995261986,0.6563626864841975,0.019149387240443523,0.6961951030640536,0.14099237169880274,0.6979253502949806,0.16288316871688038,0.7426268722098777,0.0899235349606859,0.7720526614271577,0.33800853959636706,0.8184715542121904,0.337103848871077,0.406115076218169,0.8694555446237571,0.43125988012824534,0.5743345326069718,0.12165145029536058,0.9744061495606869,0.8615967187126192,0.9544363773077882,0.6461875795434113,0.8873383861969657,0.35357230026541253,0.9191476054365518,0.3316974164540252,0.8392401322440882,0.4592333108073104,0.8476140333017325,0.34423533061082584,0.6261633701644486,0.06788872302013971,0.8929507817119942,0.5481015844456957,0.714829888610012,0.06475792883561199,0.9543070116408113,0.8132809930141783,0.9742561708642347,0.845074425168197,0.6996880294177208,0.1612774497633805,0.7902222922257338,0.34072337332236896,0.8345593537275665,0.42603589762578553
3,4.064410649599809,0.3338914346140289,0.8151676332970539,0.42404130401763257,0.5037582657684954,0.0755378501840541,0.7574915132670811,0.027413597038911303,0.978566578570144,0.8829447534000249,0.8236836706383384,0.36158377744284154,0.9610247680650176,0.7221705510594709,0.893870830017455,0.09806086162829704,0.8713331282815764,0.36396765267714354,0.9333480233367458,0.41938538257492064,0.689400724933898,0.01608677463484657,0.8638103558645713,0.49927417645553596,0.9784994961667798,0.7319731718849427,0.8354893491798543,0.33319788487471036,0.6157932762600361,0.059783344453901786,0.8088667631534204,0.36192975849083564,0.6365313112596096,0.048450726205918,0.7159227893044193,0.030510962753873216,0.9562593966991404,0.8243013672046602,0.9806180981127348,0.865148471266317,0.9209796849024662,0.5344604819544952,0.5996579844977612,0.02855035126800179,0.5474429446821357,0.0180780060110136,0.5716106211651895,0.07888926451905576,0.7613478540389219,0.18441417097289708,0.6885110285582355,0.07325434208161621,0.6685239263323903,0.2673073782732349,0.7837503852443644,0.32041216782035203,0.32196669310071374,0.8098732274036875,0.3945734390348149,0.5027624294489383,0.07807723489814061,0.9769058162489341,0.8757775897865522,0.9477875124422571,0.6349132464769287,0.8690274006847325,0.3313222511616134,0.9343603002685787,0.4086749012261864,0.8627027271611779,0.4953537715946146,0.8257496707365957,0.3227393816983564,0.6251002957662434,0.05857730041152456,0.7936988677770664,0.34878439432973085,0.617332022122833,0.044907054635236116,0.9519001420666965,0.8030092472832402,0.9742782806254553,0.8340781619290071,0.5874199853800448,0.07740124901941703,0.6942372716687446,0.2631109336962187,0.7982090633201324,0.3980866771454387
4,3.977961010552506,0.3740159793208789,0.8286264715034751,0.44203465801716674,0.624467115319451,0.1370374869080479,0.7507978283268988,0.029886948828249993,0.9564359192158887,0.8418900167871223,0.7432887462387383,0.29372392734537595,0.9401526432800672,0.6689545983917342,0.8969722651117082,0.13285933762408592,0.8573925648532309,0.3568759101828747,0.8935426749446628,0.285718044995981,0.656775016287766,0.014234068122345438,0.8731125765796276,0.48489610690713075,0.9580231028726521,0.6597630721580142,0.8283659001924354,0.32617500130035393,0.6265294301290901,0.06629432944764577,0.8253099222863878,0.457027760443417,0.6512027267753401,0.041778797870715215,0.7265328750761123,0.02738974546337565,0.9607049959367155,0.827845942426421,0.979909318933331,0.8507827846641132,0.8519147268858919,0.4236578090322924,0.6477369688265608,0.07945364141698916,0.5382630706718109,0.019825084040917845,0.6594444772206028,0.16202197830432696,0.7807069636428817,0.21905566680898497,0.7442887211573285,0.12391565988952155,0.6788679053882698,0.30122492538554185,0.7876678818329587,0.3182432039524133,0.3512203718389285,0.8205777118761298,0.39279067156168085,0.6234042728236934,0.12379045746794594,0.9561425172471685,0.8348410884034607,0.9223441366537338,0.5863590313345021,0.8595081700884301,0.349854337108566,0.8872546230375693,0.26145972964441094,0.8715484319699124,0.46191985973766997,0.8199909015136574,0.3230655173697989,0.6296015616587199,0.07420757620178448,0.8137314761021404,0.44458111947622203,0.6244311506151716,0.04071786559455784,0.9551064073654302,0.806250962302042,0.9721945850206966,0.8051988074157238,0.6516514745904189,0.17364456826968933,0.685011871974045,0.30224225855373654,0.8061666195024612,0.3987282566961194
5,3.906482477331537,0.4044765597462108,0.8339790817242724,0.49768290561372114,0.6530818702186232,0.15863309027185324,0.7666778107159996,0.029383023484985435,0.9522748706878986,0.8123949604761445,0.6704974990812417,0.26455470498538564,0.962578251525893,0.7594839874948263,0.9181786514536321,0.25106141510507596,0.8706741750034425,0.45558960953675687,0.8854384719428944,0.502935809158101,0.631569645521453,0.013720801053848831,0.798369764142362,0.48757901318610763,0.9662732312646063,0.7353648782447799,0.7868494505910033,0.2727328232284242,0.6135152816528866,0.08140593519560735,0.845956217896037,0.54908875284314,0.6738847244881546,0.04668783300029245,0.7738391963735851,0.03916392054155686,0.9615117949054337,0.8158105588597222,0.9796278722976234,0.7504960998193593,0.8328004525558174,0.4239576216053409,0.7524268448508913,0.10198936734973377,0.554444505204226,0.01984144494096383,0.6542436173454987,0.14236093554245405,0.7312626697963109,0.21801360665311353,0.6903931572696324,0.11530825911713696,0.6265634739587584,0.26204111747735415,0.7841120224026222,0.33874163364560717,0.38734690281082035,0.8044922956725102,0.4515247062572626,0.64918090096039,0.13596222131532532,0.951201307679393,0.7999209776329526,0.9536702732519977,0.7004496599987036,0.8746000682214525,0.4338996227855868,0.8846230972229423,0.5050389012602914,0.7947100322283299,0.4829282044331366,0.7725185946338018,0.2569659511692075,0.6371309297974167,0.07945061458057252,0.8269547905180765,0.5132446004126504,0.6415338506883506,0.04320844401171335,0.9552441451598939,0.7845454151263498,0.9726179570700145,0.7121975160055141,0.6770811209949472,0.17349844655020638,0.6536028828362022,0.2600453569745891,0.8032774831290478,0.4221920425676042
6,3.851433452967681,0.35213253436728936,0.826091704485504,0.5006800288937666,0.5198475447251194,0.08507671365307701,0.7755893265420275,0.031063214345686437,0.9775217414126248,0.9022027274615514,0.6857788975726626,0.2549873057957125,0.9616077254508756,0.7310008485399877,0.9360537535501794,0.3320958203286851,0.8726127934335542,0.4336811990447236,0.9075423451467095,0.5261110822755936,0.665623364053157,0.017056626757933596,0.8311473725949178,0.507059957525783,0.9658087630446497,0.7473446181185407,0.8113343713502528,0.32857318953017584,0.6140483981574297,0.0941095174470332,0.8264001397839644,0.4332614044769733,0.6970517210085349,0.078481171356553,0.8021277072360711,0.0714774755977198,0.9672497364372424,0.8396819506034134,0.9880882976594937,0.885585381780317,0.8447629731974373,0.5042635601406951,0.6728156416321702,0.07785649423956122,0.5945849589713298,0.03097677743760205,0.6432043992555101,0.14806587819326786,0.775057575423365,0.29322077631767973,0.7359779713831641,0.14244196287474686,0.7218820291578749,0.3436490151965814,0.7930696635640702,0.3592309499205139,0.3306018151378976,0.8016862946850218,0.4394552918184491,0.5189512074198515,0.08167011487131708,0.9723934197950421,0.8826698413661941,0.9468066157368744,0.6391460546085976,0.8688739323912217,0.4088053760915505,0.9031952062384794,0.5094036201057306,0.8285673750887093,0.4911106267434687,0.7937145683945307,0.29996213316118975,0.5989440505482566,0.08214592333616366,0.8109713117002485,0.4128006265732047,0.6504925077180393,0.06586286829775172,0.9602013283826436,0.8101985768321778,0.9825745203526328,0.8591896469011464,0.662283972874056,0.11155236294823716,0.7373563108411069,0.3429906137259035,0.8024675081444477,0.4291309118254055
7,3.799326580989068,0.4083245212078487,0.8064885560874113,0.43213262165954175,0.5539534628113073,0.09298921898115362,0.7493305221000548,0.027312286932555146,0.9651658675548729,0.8599328602199265,0.6170632287286765,0.228780834037659,0.9410898587268277,0.665149428290215,0.9384692803479849,0.34000292123478504,0.8470116512803012,0.4110103047904479,0.8942905752647486,0.40005703163640116,0.6266581972296005,0.01495044563445326,0.8294632357456142,0.45987224640109625,0.9724434138786486,0.7739311878970311,0.8098332682107618,0.3495359156796167,0.6363886454111041,0.1118493047972059,0.8112499880861572,0.43943373712686334,0.6782939476748836,0.07490989778340913,0.8128251806840532,0.11000888808177138,0.9633502766657085,0.8407209938793466,0.979842410397607,0.8662498439555272,0.9087828879411345,0.539456417039724,0.6510969972332517,0.0694267124175307,0.5679031608594125,0.0448382821090066,0.6556224518595645,0.18466952658254962,0.687094864852575,0.2969902605931325,0.7093740743622727,0.1575827172945295,0.7300271987468483,0.34679539018309535,0.7824274308746687,0.3514842028937913,0.38065027755749403,0.7821824895383723,0.3753139105282181,0.5472845866093519,0.08334493329164283,0.9608991022803461,0.8370988612858863,0.9178234755731141,0.5652342577562943,0.8291511225066649,0.3408295603734859,0.8870445736122857,0.3693005083870891,0.8262205185724136,0.4319805533220591,0.7912794507822789,0.2927073363383934,0.6346331502707885,0.087412264704729,0.7904363479160491,0.4070831245007877,0.6266565739802997,0.05365682438001449,0.9555136931044524,0.8106336183843076,0.9717777861436333,0.8369094084578066,0.6647279379442169,0.16617250800998998,0.7414500442346956,0.33652984397351793,0.795138723537931,0.3996138342462815
8,3.7564715966258397,0.41055692633063096,0.8541047993029388,0.5169220399666404,0.5840516116625403,0.12399482180964441,0.7636400111985603,0.027113268900648135,0.9817522488969412,0.9160296351905375,0.6829790104558938,0.28142380395846633,0.968558035525507,0.7583416357088444,0.9279516801478023,0.24777984331446304,0.9023504431812058,0.5292642181775162,0.897237980078585,0.48341815912160546,0.6528724735848362,0.01791575402488335,0.8110581997743722,0.5012111975437934,0.9752536094990422,0.7653756721392149,0.8174115805681106,0.3858365921765874,0.633115651724005,0.11769007565463455,0.8441052198695842,0.5220363251965123,0.7550387597792191,0.11323649437755519,0.7959653487199534,0.11749804666384554,0.9706708805667639,0.8635968446113996,0.97659267957027,0.8398335269955541,0.9079775008076402,0.5855028085821439,0.6922956751077131,0.07727683831058267,0.5661198926570499,0.045663151057920015,0.6307917201296869,0.18522457703753198,0.7265149427285639,0.27769298600954145,0.7292379677902888,0.20318135468084836,0.7107508470386366,0.27476870054700436,0.7983999527063734,0.37607032199068924,0.3774781919111816,0.8283065193412529,0.44993711500710853,0.5764393981081364,0.11134790568857206,0.979330762123495,0.9007809674148087,0.9562443952061486,0.6662795293434013,0.895223119518829,0.46615121443137847,0.8942560028707137,0.4599735594580507,0.8108958793834371,0.48223229857828004,0.8033020983781789,0.34461568288871397,0.6222410061719847,0.09164381503617933,0.8281863423348024,0.477527712042616,0.701800083732952,0.07272657634366017,0.961412732284952,0.8176858405839666,0.9688165720428642,0.7982467967159121,0.6273658643801583,0.14018332333804787,0.7222069948228478,0.26093765327224244,0.8117351847133835,0.4360179993428626
9,3.7152060904943793,0.446569145811303,0.7259086336366778,0.39275165798262207,0.5710727628783363,0.08968321128716704,0.7666468891461145,0.022793927025751788,0.9590051963266425,0.8598188275607277,0.5800202164659248,0.1665824783053135,0.9459030092049767,0.704615930067578,0.9326773437589843,0.3040955381883416,0.8884933784746545,0.48232721095650943,0.8810521338736895,0.347607017930171,0.6716609777731619,0.016689210958514198,0.8597203512886158,0.49333228357364683,0.9625334786722756,0.6895939764582784,0.7967488188549008,0.27092604557506395,0.6431242149683544,0.12104730435417156,0.8218551288631981,0.3553922517406774,0.6662012889809968,0.06591600866350278,0.8115652169017229,0.10248343095490096,0.9748772191174253,0.8739890738032845,0.980557360752636,0.8236908436248815,0.828882444328286,0.42785377575396777,0.6595235015206555,0.0927592148558698,0.5826413497228073,0.06253503293104971,0.5896202040409743,0.14977731477584402,0.7471869252349809,0.27043826006990873,0.7213475716229454,0.170650959208611,0.6918816642304544,0.3200897529234503,0.7792579723323227,0.3337477130588387,0.4105207507269363,0.7132045246247829,0.33488041709689564,0.5711206222196328,0.09085376169263981,0.9535055480632804,0.8404541877735735,0.912296185812591,0.5901876597193537,0.862538869142502,0.41720670708383795,0.8684035188268986,0.3228513744656117,0.853965036669093,0.463855525629538,0.7685511296756994,0.21942263979463617,0.6162750779898258,0.06206429126111703,0.806770406897971,0.3325673829526541,0.6070499231516021,0.04346174242699839,0.964632672978993,0.8368171454974789,0.9632003939122865,0.7767335717235901,0.5839915811777955,0.09953044159589113,0.7028351422208027,0.2983474170722726,0.783222708890917,0.3819489510524059
