epoch,train_loss,train_accuracy,train_1st degree av block_rocauc,train_1st degree av block_prauc,train_anterior myocardial infarction_rocauc,train_anterior myocardial infarction_prauc,train_atrial fibrillation_rocauc,train_atrial fibrillation_prauc,train_bundle branch block_rocauc,train_bundle branch block_prauc,train_early repolarization_rocauc,train_early repolarization_prauc,train_incomplete right bundle branch block_rocauc,train_incomplete right bundle branch block_prauc,train_left anterior fascicular block_rocauc,train_left anterior fascicular block_prauc,train_left atrial enlargement_rocauc,train_left atrial enlargement_prauc,train_left axis deviation_rocauc,train_left axis deviation_prauc,train_left bundle branch block_rocauc,train_left bundle branch block_prauc,train_left ventricular hypertrophy_rocauc,train_left ventricular hypertrophy_prauc,train_low qrs voltages_rocauc,train_low qrs voltages_prauc,train_nonspecific intraventricular conduction disorder_rocauc,train_nonspecific intraventricular conduction disorder_prauc,train_nonspecific st t abnormality_rocauc,train_nonspecific st t abnormality_prauc,train_normal ecg_rocauc,train_normal ecg_prauc,train_prolonged pr interval_rocauc,train_prolonged pr interval_prauc,train_prolonged qt interval_rocauc,train_prolonged qt interval_prauc,train_qwave abnormal_rocauc,train_qwave abnormal_prauc,train_right axis deviation_rocauc,train_right axis deviation_prauc,train_s t changes_rocauc,train_s t changes_prauc,train_sinus bradycardia_rocauc,train_sinus bradycardia_prauc,train_sinus tachycardia_rocauc,train_sinus tachycardia_prauc,train_st depression_rocauc,train_st depression_prauc,train_st interval abnormal_rocauc,train_st interval abnormal_prauc,train_t wave abnormal_rocauc,train_t wave abnormal_prauc,train_t wave inversion_rocauc,train_t wave inversion_prauc,train_mean_rocaucs,train_mean_praucs,valid_accuracy,valid_1st degree av block_rocauc,valid_1st degree av block_prauc,valid_atrial fibrillation_rocauc,valid_atrial fibrillation_prauc,valid_incomplete right bundle branch block_rocauc,valid_incomplete right bundle branch block_prauc,valid_left anterior fascicular block_rocauc,valid_left anterior fascicular block_prauc,valid_left axis deviation_rocauc,valid_left axis deviation_prauc,valid_left ventricular hypertrophy_rocauc,valid_left ventricular hypertrophy_prauc,valid_low qrs voltages_rocauc,valid_low qrs voltages_prauc,valid_nonspecific intraventricular conduction disorder_rocauc,valid_nonspecific intraventricular conduction disorder_prauc,valid_normal ecg_rocauc,valid_normal ecg_prauc,valid_qwave abnormal_rocauc,valid_qwave abnormal_prauc,valid_s t changes_rocauc,valid_s t changes_prauc,valid_sinus bradycardia_rocauc,valid_sinus bradycardia_prauc,valid_sinus tachycardia_rocauc,valid_sinus tachycardia_prauc,valid_st depression_rocauc,valid_st depression_prauc,valid_t wave abnormal_rocauc,valid_t wave abnormal_prauc,valid_t wave inversion_rocauc,valid_t wave inversion_prauc,valid_mean_rocaucs,valid_mean_praucs
0,4.702238486384886,0.47932087886264835,0.7268482512679145,0.09329364282053991,0.6859244591275009,0.014739806578333582,0.8642732646830297,0.17509120130214767,0.8181637642548171,0.2061266869255887,0.34846399930191385,0.0042934150858036976,0.7487725615884462,0.10665853845678067,0.9065875858063756,0.3191036861662021,0.782313208275487,0.027487077425363826,0.8424924502260903,0.5238970278423071,0.9616858116094851,0.2952288811640007,0.7833080028485664,0.20217440082472732,0.5149388247686826,0.020131615661203646,0.6712954727321402,0.04066597027164083,0.5747284001647113,0.009338293751601785,0.9382183013280453,0.7499297678128665,0.6900183167412057,0.01681421022025465,0.3987156973080659,0.006194730179419392,0.550942320637559,0.03047659920579628,0.547901840888251,0.018488465713607724,0.8196609698194027,0.3188286775591298,0.9635049265253436,0.9032049459146908,0.9430612725916845,0.8317168858362184,0.6465858407392436,0.06539578881859828,0.3340126601916883,0.009725910146087603,0.711034528676295,0.33452830567970415,0.7291704645417294,0.11885244337705855,0.7116393537170644,0.20932257595152592,0.4843598554938761,0.7355590849095722,0.09788664956746185,0.870566879512044,0.16791877866704474,0.7613619296506564,0.10374518506385703,0.9056865669002668,0.3535002126944936,0.8304505112545656,0.49009472592421477,0.7750025478529382,0.19166559483126822,0.529986277167641,0.023776183720457512,0.6688203919896488,0.03757927072304468,0.9323852728548695,0.7388091869878292,0.5570933279875099,0.028394345986433638,0.8211961942892241,0.31684939792216715,0.9637461745910186,0.9006368338958938,0.9420172501822859,0.837752524409073,0.6499675056986274,0.06784412017713576,0.7047435201642224,0.3166610440815747,0.7256903394255874,0.11618525119486661,0.7733921109019174,0.299331206615426
1,4.289019321613762,0.5351016331805898,0.8128611152006866,0.14251633901665609,0.7004621416997158,0.01526980939791187,0.845902396096286,0.13778274980496943,0.8516598398119996,0.2162016689093601,0.39040877449283196,0.0045684951974301205,0.8428486929262673,0.18207879529820353,0.9505659764496712,0.3945612622229987,0.8497315489232349,0.043082444391535336,0.9222128653779369,0.619873174927013,0.9679710841790602,0.37970644600861664,0.8531789964829471,0.31341312764393015,0.5922537854413751,0.03951062983519707,0.7308887201724341,0.06488541325545641,0.6389404932664917,0.01324616815335841,0.941022769474451,0.7361162289417882,0.6187263481551561,0.01631702707495424,0.5390846928751661,0.009232472770353054,0.6491513473435235,0.053964354944087745,0.772734272216242,0.053787151477071825,0.8412711843439966,0.39494528777562243,0.9735788385286397,0.9313102712878537,0.9228187880284064,0.8038326442452327,0.7351886465484355,0.10468944154302078,0.413252260660566,0.011572029656814257,0.7353368084566722,0.35202673927989536,0.7946895885218745,0.1767845469279758,0.7648746913720795,0.23889518153797334,0.5371398361089083,0.8117641319460442,0.12972362175066737,0.8434675132829811,0.1322578663568039,0.8406506620550955,0.16308132229864616,0.9513274958186341,0.4334506791102255,0.9160152440335378,0.571831763063031,0.8353425051669803,0.26620255047541963,0.6278447599343654,0.06870859326060581,0.7191159280715167,0.048671261400898475,0.9329824198209608,0.7194480990261477,0.6560994827650298,0.04794035566982769,0.8263289640026487,0.36958026075346584,0.9715969494598816,0.9222488763671598,0.9164273634962056,0.7884273965955785,0.7433707745283477,0.10989258411254818,0.7383343961524343,0.3364607778902193,0.7946867586721372,0.17403127944749397,0.8203347093254251,0.3301223304736712
2,4.116616890918157,0.5193279285630361,0.7789191766239224,0.19112882997575098,0.61527032988783,0.012362885536346254,0.8886260408378838,0.24205363919847583,0.8444330262772937,0.2311150657351581,0.44385458977585246,0.005061582842091331,0.8243332338608083,0.23840971347247075,0.9319394458343925,0.3253095329997535,0.8243060627394732,0.031228955845618682,0.8726589194531968,0.42583060762173813,0.9582781811050356,0.36060360792936325,0.8135657685130033,0.31628319314741354,0.5763032602555189,0.02780828684758929,0.6322281357621733,0.04984290282256194,0.49276163658270045,0.007630652243150713,0.9435561866659397,0.793476892435873,0.5297241872366044,0.01684088778065113,0.49459813603581537,0.009618468474476203,0.5736706559726774,0.036789157960090135,0.7488916547063748,0.05502016271061277,0.8410676048823358,0.3962970370721269,0.9649824916715803,0.9204792260152249,0.9550562151665654,0.8593504508657138,0.6724873288777989,0.07854434280105144,0.5018777581043943,0.013591898532211669,0.7613072183098591,0.3881577877066087,0.8039785133702737,0.16731632342822386,0.7418721445580503,0.23846738815385954,0.5130848532910388,0.7930666261935285,0.17400378274186298,0.8827695015606013,0.23315073127908476,0.8158527401228132,0.20860393080971706,0.9346828486696931,0.34956934351517915,0.8586204833076068,0.398222286881163,0.8004564998759662,0.26969645677179777,0.6031468091267328,0.0415435390087145,0.6336927674528026,0.04187099518093587,0.9358330933893328,0.7746168868127977,0.5672704172397495,0.03119232646857864,0.8252999906270789,0.3685820273447376,0.9653891154429748,0.916073243068469,0.9505042863202091,0.8461676012594546,0.6698763276589553,0.07698375063864199,0.7536028948136675,0.34701481612859464,0.7849597911227155,0.15277225224174937,0.7984390120577768,0.3268789981344674
3,3.986934166315397,0.5462049112912701,0.8523948608788068,0.28640910290535787,0.6424668498246419,0.013206157535181184,0.9153650410754643,0.28685733923652224,0.851157266575535,0.26965861740566865,0.44211169660274113,0.00529230343616877,0.8692147579871506,0.3297467775700033,0.9344922923538983,0.4906486374959175,0.8047855132920567,0.02646513292381826,0.8811725408894736,0.5583153452625671,0.9559993874025678,0.541610843519518,0.7272119458874157,0.1854162135522376,0.579006986530439,0.030653672241082747,0.6574145682507231,0.04938945131565954,0.5150348617767645,0.00657767180765572,0.9571589964955576,0.8269022237387783,0.6923726160015481,0.057142495958091205,0.487296976767863,0.008613660389904942,0.5709361877693621,0.041191623379803234,0.8427671630187777,0.10196494701497572,0.8100838606897101,0.3843722874814608,0.9367522053314284,0.8730589848808884,0.9595343875938113,0.8599075370120741,0.5455370307896985,0.05205468943136608,0.442468774318108,0.012289433071260701,0.7064348889949869,0.33389766835236434,0.7029117738582448,0.10864432518923631,0.7416185934983375,0.25924181315798317,0.537580403559785,0.8494223091912871,0.288561489093574,0.9121357604059946,0.276550936759364,0.8481360613693676,0.27732056603548316,0.9378661953855132,0.5164187593688513,0.8663431748549637,0.4986055842982781,0.7161836833203947,0.15948372697172353,0.5987179433377118,0.04988848772238583,0.6669124566253014,0.039927936644698014,0.9480979103662415,0.7931153435448488,0.5733362452139834,0.032216434295978764,0.8050253335578771,0.37648373451327555,0.9370804153575595,0.8692941943066554,0.9511252402752052,0.8395733474830979,0.5435896988214752,0.050908379761321454,0.7013955711756853,0.2998393760653313,0.7012878776575905,0.10912073055720681,0.7847909923072595,0.3423318142138796
4,3.8790878799964226,0.5777523205263776,0.8609330280876039,0.36860069050139443,0.6564915104844915,0.013397646042393315,0.902697561582121,0.3311883036103474,0.862436743257627,0.3399069172069808,0.5109534083775971,0.008966898940877478,0.8749905772977413,0.37279197926365837,0.9668804733850959,0.6158719525510694,0.8198016115837518,0.0284044051203072,0.8954981516806759,0.4980893715855055,0.9778068630008336,0.6567293144095087,0.7653120821959778,0.23406747782516663,0.5763020850743426,0.03820061082390644,0.648636752102648,0.054756788661379875,0.6218861456825341,0.010294952637038949,0.9713503766955551,0.8794388312854932,0.7106371484475791,0.07618139143465075,0.4790919572174267,0.008476625070783268,0.6219928918379038,0.06219748843690487,0.787819688633736,0.06844373167938808,0.8153332214617104,0.35102098114667435,0.9512164361150188,0.8984603902981049,0.9639900534763733,0.874662541389152,0.5654722655877569,0.054511946143596696,0.43446876323643846,0.014564658520730639,0.7566679211924087,0.38992426603564173,0.7955538300763445,0.14532236976318594,0.761316213375819,0.2844027896301477,0.555908009516257,0.852874089693172,0.35240364590384887,0.8896857353887208,0.2778323723871726,0.8579106179133213,0.30311718128698817,0.9651941246425606,0.6185193815970347,0.8831194433694356,0.4604560751278819,0.7553207525653028,0.19313606162841684,0.5709839732425752,0.039580129522313226,0.6409593160030582,0.0380382839738348,0.9607152942109229,0.8349468175381394,0.6235787986766432,0.047162828912002304,0.8017041856569923,0.3282709675938729,0.9526588227583901,0.8942609227818313,0.9564383421374876,0.8608566779099509,0.5635516756389738,0.05425220505743453,0.7442095399358235,0.337230584120485,0.7890441626258857,0.14350509662297836,0.8004968046537041,0.36147307699776166
5,3.797493391655514,0.620432381623781,0.9179834161676839,0.415902055384443,0.7151994259241448,0.019203542284060036,0.8887785562396496,0.4200149714340331,0.882020809555431,0.34019423728902576,0.49162986232502104,0.010619719383440203,0.9058184221775134,0.4108837205722039,0.9616523113027802,0.4743316984369572,0.8541852816872062,0.04122509604512066,0.8968834789080019,0.5125696662718178,0.9846517608929868,0.6877925263246844,0.8634685922521993,0.3828986915252652,0.6231494813742662,0.05385751915985868,0.7305042110998338,0.08841661998743802,0.7296411014505515,0.02052080457997646,0.9713619383443592,0.8698545136500639,0.7945220445944784,0.12693317130990525,0.6206353547833218,0.016109431676307562,0.6609051769101583,0.0806408826489963,0.7960332944623848,0.10003482920442197,0.8279155573627125,0.41674786622081067,0.959213095846319,0.9114903015574771,0.9697102352298039,0.9034388967372291,0.7012066818831572,0.10063388663401651,0.5283970242023661,0.020778951291249872,0.7539599695631415,0.4169043762805918,0.7692408678526089,0.1786937855952558,0.7999487673996956,0.3084881446724866,0.5946779451934091,0.9047585298493912,0.371198201970927,0.8791826499249482,0.39691643153201017,0.8834836313546776,0.341476910439606,0.9587462748552674,0.46906665013231824,0.8818114887457614,0.456502792101205,0.8439435979091549,0.31090231313843053,0.6223237329461285,0.05251911515527972,0.7024185070281714,0.05446914842116695,0.9589801088897314,0.8112059538982845,0.6686310797678284,0.05713384265295422,0.8078805977485176,0.37395718241884546,0.957745468288121,0.9033408340841519,0.9652557786999014,0.8876936696066766,0.6991635869828798,0.09746933093891277,0.7410477506063438,0.3739956945582963,0.7469084669899292,0.16305647683074423,0.8263925781616721,0.38255653424248814
6,3.711495206409553,0.6249265656209612,0.9009946644479441,0.4101968780016021,0.6945631122735882,0.02031869964596418,0.9635107596385727,0.6202405263678633,0.8704279908084226,0.32777118963700835,0.4967954185279952,0.020543319732630835,0.9066546241392424,0.45754916968432885,0.9594009051262573,0.6360188958723794,0.8032414261244131,0.02707566633518688,0.8935383121678492,0.5679020705323623,0.9775419642608214,0.7182719629916314,0.8169271240647618,0.31377564746404374,0.6384357158138229,0.06760498359024382,0.710273393205507,0.07838842236384233,0.6539395963685861,0.01334857867395767,0.9780219766975886,0.9063885489308616,0.7818001741635847,0.12219959549246286,0.5736137075937142,0.012777013486779277,0.643140462925288,0.0797190397644794,0.8497002950205317,0.10388607313175509,0.8689942041893771,0.4836818422423832,0.9663612696098963,0.9299843158539647,0.9514474110497804,0.8486084014166745,0.6359101184709262,0.08000493429561165,0.49988219569735715,0.027736707433799294,0.7337890569049893,0.40197892581696637,0.7561758503963543,0.15682065439987972,0.7894262203725835,0.3243381562753332,0.5997004141334038,0.8802548452580027,0.36968608926324814,0.9524314407567129,0.5298597482187797,0.8839769364235437,0.344453232228495,0.9554227180669009,0.57400228372789,0.8775786109382104,0.5058048074835069,0.7926912831315096,0.23068180056007337,0.6252810662682708,0.06800240317567527,0.6908863509380696,0.04770498225649268,0.9642062041235768,0.8455011391570427,0.6406396866320782,0.05163284036309161,0.845401715396966,0.4152054806572467,0.9653119749284201,0.9207356625796116,0.94049942797396,0.8146229546190151,0.637384354236384,0.07334966130822508,0.7225953712106186,0.3459648296517167,0.7513086161879896,0.15576298890985113,0.8203669126544509,0.3933106815099976
7,3.634347299755761,0.6186993302784631,0.912447196608878,0.4193187610614807,0.6590529783133064,0.017457222040339154,0.9245650481541418,0.5650349422477523,0.8297619932670678,0.20388671949476142,0.6174632026955134,0.040082486977551,0.9055643155343595,0.46133835320621636,0.9615464175760792,0.5006987798547466,0.8101578794996809,0.029975707484743278,0.8414375052154062,0.4295921922486766,0.9749362482379229,0.5259223162751769,0.8057068849014197,0.33534350135711716,0.6145980013354237,0.060450046315049875,0.6939079253123774,0.10435842275454393,0.6145383568126919,0.012512672657061678,0.9710263273178211,0.8813181830991834,0.7500669239700697,0.09045886348392916,0.5539967915821682,0.012366114559909712,0.6010271527642501,0.07479766550156254,0.8406867200893036,0.15746248886651643,0.860078390812758,0.45646833254556246,0.9484157003338846,0.9027990369291525,0.958058535310358,0.8739608117535578,0.5672241318816544,0.05861664212257623,0.4818258466395453,0.03109862791594717,0.7336181703568871,0.39760041381300715,0.7218246924197376,0.14239881634754287,0.7751358975747196,0.2994353123428332,0.5745880694334302,0.89849445346357,0.35886899288256036,0.9144826189511805,0.4884568233539918,0.866930287179003,0.3216281785762414,0.9538546775304347,0.4691537270848428,0.8240997026108734,0.36808137950399766,0.7858215834439041,0.23886035688740856,0.6085870518571986,0.06054842426562069,0.6708650679291889,0.04818736298878808,0.9560618568132301,0.8127782103424352,0.5894482273815909,0.04638503658815134,0.8272917363603043,0.38460795416722465,0.9491889989542789,0.8990669985669911,0.9514426845878007,0.8499675810327725,0.5548517386876183,0.052401151520493794,0.7123380428171345,0.32559870660024703,0.7032070123088401,0.14679390192307626,0.7979353588047595,0.3669615491428027
8,3.567185898530835,0.6232522617788744,0.9195951317182369,0.4366280261691225,0.6906278440200663,0.022719377381243296,0.9314464285930412,0.523371035342298,0.8620481699270298,0.2933256251295338,0.6448810297897016,0.06382956617481589,0.9208207906087013,0.5311214645396007,0.9717070866539712,0.669170916724884,0.8253576606155513,0.03875849357116103,0.892777620206336,0.5787620010765326,0.9878394826683431,0.740658792855138,0.8387367785783307,0.3926134321162197,0.6738760723919962,0.07942736021647417,0.6795742795351938,0.1155444712564194,0.6168880078692532,0.01317416136318525,0.9789593111477063,0.9079798264046812,0.7733727261976435,0.1005907513768353,0.5738642723688084,0.013547814358703343,0.6300841462943731,0.08250111006794786,0.874001265797552,0.23883308010137055,0.8502996707316942,0.4504900539893977,0.962969064899452,0.929766914215292,0.9525674255802979,0.858249695179343,0.5789999710708827,0.059796180845184926,0.533574595642195,0.04295380665532976,0.747245106230604,0.40057578355888895,0.7383429841523578,0.14651885585424265,0.7942483432034353,0.33580417678937874,0.5744999559432549,0.8902972878480306,0.35991762255315374,0.9102907364608896,0.42263071892923465,0.8798091433263101,0.3552599867384271,0.965989366250472,0.609387345938829,0.8693574096064747,0.47762072196097505,0.8093414611207472,0.27460993960884483,0.6389803977523092,0.051666476717466533,0.6141831588543198,0.038311642036203256,0.9588573759775185,0.8280722179874962,0.621369663691061,0.06321921745569514,0.8118797583767625,0.3486346031282487,0.9602559031181196,0.9190660997769897,0.9440159750816783,0.829339543835484,0.5851954992967651,0.05707402806021267,0.7229233700775567,0.31339734452333046,0.7157547929876912,0.14380084285016503,0.8061563312391691,0.3807505220062973
9,3.5029897798789875,0.6926036893432029,0.9182884572144713,0.4894135855403443,0.6925958827838286,0.018422611734222064,0.9684732264568637,0.6966794792515308,0.8624274797797989,0.33845486829915156,0.5229201676532763,0.049821059562974085,0.9312514888418197,0.5475767407250769,0.9587849673523248,0.7220550389323943,0.8435863989174227,0.04319412325738761,0.9197674465839123,0.6421902545336062,0.9850782112002212,0.760802382674881,0.8303876280596109,0.354644525706138,0.6524361192404633,0.11227042954970294,0.7315224709278494,0.1346226347333498,0.6474894870147812,0.013666337921972114,0.9833321233912188,0.9264850594379079,0.7734321245807173,0.15512145966465568,0.611713311632028,0.018882902871720147,0.690214656870599,0.11408741231171556,0.906397161424072,0.25916670181964585,0.8343363753809283,0.47440352033377936,0.9660910894666925,0.9256070461351562,0.9696068621954969,0.8989330440080502,0.6051411656498138,0.0765025358443826,0.5218379379722022,0.04769086352452793,0.7661394761577943,0.47781871481901206,0.7626743722856154,0.18711153111224937,0.8021510034243777,0.3648317255502128,0.6266631421270596,0.8771276177673464,0.3904742725976245,0.9495806628386266,0.5620441005934854,0.8897878877603127,0.35734844751401584,0.9451976973357593,0.5991439188493468,0.8952249825832226,0.5349779745346712,0.7922429101690955,0.2149362250438597,0.6189366693384923,0.05883587894026883,0.6839351879080162,0.05109229843455093,0.961037028234746,0.8280751614962678,0.6638649772448475,0.05682851969643298,0.7998505095287555,0.3570440307476944,0.9620421080299233,0.8982267015760024,0.9589072838713083,0.863168906475779,0.5886290314758232,0.061585243255468304,0.737403701088012,0.3750116317543031,0.7491522566206639,0.17687641825802616,0.8170575319871844,0.39910435811048733
