epoch,train_loss,train_accuracy,train_anterior myocardial infarction_rocauc,train_anterior myocardial infarction_prauc,train_atrial fibrillation_rocauc,train_atrial fibrillation_prauc,train_atrial flutter_rocauc,train_atrial flutter_prauc,train_bundle branch block_rocauc,train_bundle branch block_prauc,train_complete right bundle branch block_rocauc,train_complete right bundle branch block_prauc,train_early repolarization_rocauc,train_early repolarization_prauc,train_left anterior fascicular block_rocauc,train_left anterior fascicular block_prauc,train_left atrial enlargement_rocauc,train_left atrial enlargement_prauc,train_left axis deviation_rocauc,train_left axis deviation_prauc,train_left bundle branch block_rocauc,train_left bundle branch block_prauc,train_low qrs voltages_rocauc,train_low qrs voltages_prauc,train_myocardial ischemia_rocauc,train_myocardial ischemia_prauc,train_nonspecific st t abnormality_rocauc,train_nonspecific st t abnormality_prauc,train_normal ecg_rocauc,train_normal ecg_prauc,train_pacing rhythm_rocauc,train_pacing rhythm_prauc,train_premature ventricular contractions_rocauc,train_premature ventricular contractions_prauc,train_prolonged pr interval_rocauc,train_prolonged pr interval_prauc,train_prolonged qt interval_rocauc,train_prolonged qt interval_prauc,train_qwave abnormal_rocauc,train_qwave abnormal_prauc,train_right axis deviation_rocauc,train_right axis deviation_prauc,train_sinus arrhythmia_rocauc,train_sinus arrhythmia_prauc,train_sinus tachycardia_rocauc,train_sinus tachycardia_prauc,train_st depression_rocauc,train_st depression_prauc,train_st interval abnormal_rocauc,train_st interval abnormal_prauc,train_t wave inversion_rocauc,train_t wave inversion_prauc,train_ventricular ectopics_rocauc,train_ventricular ectopics_prauc,train_mean_rocaucs,train_mean_praucs,valid_accuracy,valid_atrial fibrillation_rocauc,valid_atrial fibrillation_prauc,valid_atrial flutter_rocauc,valid_atrial flutter_prauc,valid_complete right bundle branch block_rocauc,valid_complete right bundle branch block_prauc,valid_left anterior fascicular block_rocauc,valid_left anterior fascicular block_prauc,valid_left axis deviation_rocauc,valid_left axis deviation_prauc,valid_low qrs voltages_rocauc,valid_low qrs voltages_prauc,valid_myocardial ischemia_rocauc,valid_myocardial ischemia_prauc,valid_normal ecg_rocauc,valid_normal ecg_prauc,valid_pacing rhythm_rocauc,valid_pacing rhythm_prauc,valid_qwave abnormal_rocauc,valid_qwave abnormal_prauc,valid_right axis deviation_rocauc,valid_right axis deviation_prauc,valid_sinus arrhythmia_rocauc,valid_sinus arrhythmia_prauc,valid_sinus tachycardia_rocauc,valid_sinus tachycardia_prauc,valid_st depression_rocauc,valid_st depression_prauc,valid_t wave inversion_rocauc,valid_t wave inversion_prauc,valid_ventricular ectopics_rocauc,valid_ventricular ectopics_prauc,valid_mean_rocaucs,valid_mean_praucs
0,4.68695066852276,0.4280049347902714,0.76097845678591,0.023368562013326866,0.8804053905938011,0.11124855836571712,0.9670164548300489,0.8072143225699153,0.9155922417842042,0.5456670993249824,0.9826582237601558,0.6307614141392782,0.805648718838891,0.023260095780010412,0.894508111253439,0.26442007164186343,0.7658281762955188,0.025377361773518948,0.7908993445110661,0.49179617951423554,0.8879921225296699,0.12750020276704688,0.42073950592021336,0.017048847814602443,0.8708056825480226,0.30987005974631465,0.5203017815271761,0.009525233620131413,0.9327529558405854,0.7439888204049393,0.9574236705592287,0.6820516454177502,0.8800755899709048,0.35819410044878297,0.5411442614440928,0.008237647824625082,0.5566250321610666,0.025153950401264467,0.49748962009142156,0.031893374723211486,0.47533270801268085,0.01569546430868045,0.8143775588181976,0.35779400428157476,0.9879460189729098,0.9424846980051473,0.48570965532619775,0.049747360838366485,0.5301251220548978,0.019599222629951046,0.6533818455440218,0.18695967131738275,0.9397785729466134,0.4079529820145282,0.7582898778046515,0.27756965198796724,0.4325491232707728,0.8683840299398595,0.11208225895928914,0.9656675656608671,0.8057671046991947,0.9844440001250321,0.6690838182930139,0.9089375458745306,0.2730912826323137,0.7808967398274853,0.46866064189511397,0.37523601316004224,0.014077803702250792,0.8686583729125943,0.3039259110209496,0.9272895831143666,0.722475963466671,0.9482086083235391,0.6868124612679197,0.5032587595053692,0.031112971618716963,0.506897672552167,0.020660810348027144,0.8055020400593997,0.3623207627609979,0.9882508102647566,0.9301603814330063,0.4887950609281566,0.05037050107266544,0.6569808251660755,0.21099559167856818,0.9409887947394694,0.4481386798396434,0.7823997763846069,0.38185855904302135
1,4.193286895807979,0.5261720126894607,0.7332772759791393,0.021710345687339906,0.8695226848074143,0.1312386066393733,0.9644612913717627,0.82216707408561,0.8896893456699166,0.5201988881909939,0.9795313622821071,0.6542475686188961,0.8307963710746565,0.04098590407843038,0.9145541919002446,0.3631726053547909,0.7659153664128452,0.028654743996943313,0.8534765253287574,0.5586023685259378,0.9443699455387428,0.4310782149827411,0.4803449263576749,0.02883855496369707,0.9291366069769728,0.48104695567012057,0.5667937577584679,0.014736989066747527,0.9539014429379585,0.8215330753904009,0.96780225541042,0.8042986310488193,0.9281904466407582,0.37231250578585784,0.5918732730779214,0.012109910095851155,0.5860503659431353,0.023151930642128477,0.5296716273385519,0.052778931171737306,0.5821341854218942,0.027726265235352245,0.8928854850775667,0.6027026385855409,0.9867504726306433,0.9440103337346707,0.5801303448558323,0.08496894989578947,0.5525022570103935,0.03062594920144704,0.6331166231427676,0.240925010635751,0.9731615845715113,0.6018640492345092,0.7876938467506943,0.33521873078921066,0.5326460481099656,0.8594614634112865,0.1490870706104075,0.9634373582861374,0.8156308239922592,0.9818363781189335,0.6833347117994859,0.9174539095893959,0.38060759397233085,0.8454481890789485,0.54044891832119,0.43292587597605076,0.02847159353046101,0.9251229018179049,0.4526801047437946,0.9471944415248885,0.7965213284842015,0.9614376462847443,0.8058328200692111,0.5407349646907553,0.059541533910005336,0.5965080256821831,0.041872863845728,0.8843319678283214,0.5782618590568395,0.9867812938685722,0.9435653080353592,0.5902823041266299,0.08943173153910772,0.6422804678129145,0.26340619264166054,0.9716792471784377,0.5860266234684534,0.8154322772047565,0.450920067376281
2,4.015289251595095,0.5237339913053696,0.7553757549099165,0.02200598654312691,0.9069649357879783,0.24995713523162613,0.9676337517379444,0.803218577616004,0.9115867277460118,0.5708600118172833,0.9905141452342664,0.7499385927686881,0.8349219368126916,0.02930202195985721,0.9224728207525865,0.4719517748395216,0.7859576813949936,0.024288666086434735,0.8785269690518677,0.5881838294857891,0.9477557245280708,0.5014751628460413,0.5576873975971505,0.03458736145707701,0.9329215297186619,0.5232691203215785,0.599026197935579,0.01628845151424284,0.9620966453722524,0.8426141889926637,0.9758745366532025,0.8669695850986955,0.9456910368797048,0.41078717567156836,0.6803286778306739,0.024693589506545897,0.690183130199065,0.03216551040916299,0.6591459672191038,0.09382702303051095,0.7235290550774616,0.0401544610337312,0.9248518315489082,0.6812866244305575,0.9861161464888593,0.9383334229521736,0.6127046358489879,0.08592483520253016,0.6173312109221669,0.02628750551845811,0.7802173299962005,0.32664920198247627,0.9726123963936405,0.6427571076012947,0.8277703143706903,0.3691452663045246,0.5186360031720857,0.9021161267594358,0.2933255762543067,0.9655511376715784,0.7857557153296583,0.9904657557280377,0.7688383430648936,0.9276080480117439,0.480764986383056,0.8692928499197078,0.5568082833040866,0.51674984752562,0.024600987534238415,0.927906109581508,0.4823688010077939,0.9565193783152556,0.8204633919465607,0.9712980542245526,0.8761280127136896,0.659777942269636,0.09718595299788112,0.7340734349919744,0.05674940324423748,0.9165721291672944,0.6507812715190013,0.9856211882110816,0.927895108828876,0.6212197234775964,0.09154098774604601,0.7915146363272202,0.34708943220330046,0.9738094848726256,0.6812469955881829,0.8568809904409292,0.4963464531041131
3,3.921944916171286,0.49104100575725534,0.7271425664282807,0.0183295009428871,0.897906418914733,0.1480360493208213,0.9863827673791709,0.9224764794806757,0.8607472354722701,0.44348229828839625,0.9840686837925979,0.7179405709841608,0.8613339574334496,0.051066414271424526,0.9292666262914083,0.45906151851174104,0.7864768369550844,0.027487877246155902,0.8564105055341376,0.4876584066444849,0.9452697308525839,0.40112430443417796,0.5410943106909851,0.035973950814437376,0.9344263377365649,0.5001877095530317,0.6947863096293669,0.0201329847231151,0.9461109138283879,0.8089146986908565,0.9760983799102536,0.8759238011307928,0.939922405732987,0.48892771000200935,0.6683019735782976,0.0309184674308484,0.6130604444651502,0.019050965045700367,0.6141546399732037,0.09888657119770183,0.6978001394061519,0.09300404779123653,0.8958056997421012,0.6770946427756255,0.9775050406766336,0.9038564499252133,0.6357701689238388,0.09809012169850602,0.6965560059277487,0.04939101671071156,0.7082091836920267,0.271206420291771,0.9670252781287766,0.44281644413745774,0.8208320215806229,0.34965536238630546,0.5055952066261344,0.8900943169626415,0.15784509768159585,0.9853206368345196,0.9138591358206912,0.9833647889919925,0.7409466415388795,0.9283351323345277,0.47131536248710154,0.8455510338890777,0.45966050075238274,0.5076031027462569,0.02460981263596519,0.9302095116611822,0.4630429684793665,0.9387201435483253,0.7835960109007112,0.9741967523531125,0.8810994638223179,0.6307558024189093,0.1300031121672845,0.6946095505617979,0.11545775852086818,0.8894258970649888,0.6484387195017998,0.9762963313043178,0.8788547784209367,0.6506332887200386,0.09717917974653538,0.7193446197868093,0.2816704251833365,0.9631781542197085,0.5164167029350312,0.8442274414623878,0.47274972941217525
4,3.846974132316203,0.47467982610739046,0.6927619654327729,0.02010313426080853,0.94237447438538,0.47194246036160903,0.9723075817347564,0.8528378767126621,0.7968375164766797,0.34409411191372863,0.9672258679984689,0.6729241543100817,0.8769545139902837,0.06289128604050838,0.8850750779692549,0.5027627694508131,0.7796123058827366,0.02180197673158469,0.8376412005047167,0.5385884333283699,0.930709911369992,0.26617441751012183,0.5584792823645028,0.032770761715911964,0.896360338933987,0.4411224456950824,0.5039078751439099,0.009695508374082607,0.9646960829346943,0.8674022320193768,0.9780918141777083,0.8563882253875962,0.9605868736547312,0.49634815026219387,0.6818060853366452,0.04459034932454116,0.5077438999903345,0.01216103692238435,0.5826530722227273,0.06364215927054775,0.6647908910382755,0.0883861337159329,0.925744332977226,0.7234445207964133,0.9856264547756916,0.9400926553761044,0.47203213739624295,0.06761420408356986,0.6756534123407005,0.09564378763183946,0.5895178122114899,0.22733395053633015,0.9801752938236783,0.6455971395076525,0.7926679259641378,0.36024438004768644,0.4796898405145828,0.9369408294311017,0.45825205435539224,0.970191045571191,0.8472486355197782,0.962466087710089,0.6598076406194635,0.8879264712231769,0.48612496589975085,0.8230357876040378,0.5001557879725924,0.5265986187109687,0.024146910276524484,0.8781684856596063,0.4222764660440006,0.9560572400644519,0.8421756332187719,0.974242584054084,0.8560412305094238,0.5846285497594149,0.07184393991024988,0.6822606340288924,0.09661302295774385,0.9197323625253259,0.7031173858077677,0.9858288404777185,0.9259691470896344,0.4685168180117675,0.0652143389737967,0.592635206056883,0.23574307381675927,0.9764385042312727,0.6678096454555451,0.8203542540699988,0.49140874240169974
5,3.7825803837391287,0.5934672776407003,0.6912376098711502,0.01887336932111653,0.9174051163748859,0.5032893666962049,0.9747298244451983,0.8710489121150714,0.6971904996947209,0.18318222783643623,0.9761110212993067,0.6148559033980198,0.8876263431527758,0.0942213733361992,0.921272067009537,0.354186779391609,0.8086027783698466,0.03455456417282171,0.8860075566024684,0.5893615091782217,0.9384300539686458,0.4937527479430162,0.5113844783649084,0.041152374771766594,0.906016550487495,0.4998109239932646,0.6058801093293025,0.02322545897448703,0.9702095169455086,0.8786575704870945,0.9799559302386629,0.8547860034034257,0.7867723458776158,0.23795899262991538,0.6600648550617504,0.04574747452796366,0.5384978376063503,0.021953779480450995,0.5834501574172374,0.11331602543723067,0.6873767266257924,0.14164913316012273,0.9303924781258934,0.7468835752008816,0.9704416154842469,0.915338009454962,0.5533091802279015,0.09238382365895746,0.6362141701820394,0.07620083640645471,0.6060188154183631,0.26743063889998975,0.939906666465108,0.6144990454498914,0.7909424732556428,0.35878155458944516,0.5734425940611507,0.9050053415015223,0.46956009140074206,0.9725630664899512,0.8598525883920289,0.9696346903997906,0.6021177151239341,0.9245954406113727,0.38112149790764943,0.8728678820995381,0.5346478733307555,0.45902691280183483,0.020989429130967675,0.8805198055332707,0.4596876165451263,0.9644679566013254,0.8599823009244492,0.9741593963776632,0.8553762163543556,0.5834865242242514,0.09782939026589027,0.6875080256821829,0.1545788976041713,0.9246968887009289,0.7165180136345338,0.9718650009193708,0.9089143064147206,0.5475736769557328,0.0939987623859781,0.6066961101623595,0.2829056252752726,0.9302554494135713,0.5648990667673125,0.8234326355296667,0.491436211966118
6,3.73447951826782,0.5365996945129832,0.6682382949463695,0.01767910133663564,0.9095487410506125,0.33679065689759835,0.9835750312343262,0.9154933006266953,0.7836138939472633,0.36030347095579063,0.9572165818465662,0.6626287695182387,0.9151248353429215,0.19088732171467734,0.8854864977116214,0.37258135116039703,0.7419902533041974,0.021343304180124797,0.813884521252737,0.4415635564721332,0.9541168757237153,0.5472314555781476,0.548357351695784,0.03903170098257726,0.937317527143477,0.5390044891470409,0.7091459140847329,0.0214451973985725,0.9728249014158704,0.8908061275675943,0.9784634232449694,0.8804723196862417,0.941027000450529,0.4938007503151999,0.6444415532360179,0.034367096605014635,0.5753951845410172,0.022397656773867108,0.6385343043693352,0.12077787542015099,0.617225342703241,0.1261625758196893,0.9315124799182923,0.7729053636652137,0.9858448761230124,0.9436509835716628,0.6733004427879715,0.1285444128441827,0.7024524274141128,0.1415750714112747,0.7340903685486728,0.2966285139777282,0.9715236681786534,0.641712791242002,0.8143943189313855,0.38306866211032503,0.5244514935236585,0.9019156774785366,0.33748124197198787,0.9817092426279551,0.9079924257981009,0.954277556396529,0.6396118325795657,0.8851731358749622,0.38201234569355774,0.7966800325088381,0.40102380304738877,0.4981638648604537,0.02622212804705596,0.9192369645814266,0.48337006879275485,0.965110857783491,0.8609224859803131,0.9752835287145024,0.8660226869780336,0.637415368311083,0.11755004787559926,0.6189422150882825,0.11453421265204658,0.9238146015276205,0.7489828670097766,0.9865265284632033,0.9348332356273202,0.6748081928414666,0.118235995099736,0.7396971558465165,0.2994663220268463,0.9635978939810564,0.6471245600743014,0.8388970510553703,0.4928366412033991
7,3.7027062891008935,0.4896310656797086,0.7319788562024587,0.031053437469164794,0.9611837951598319,0.5946926409443145,0.9791771651394994,0.8858875696422048,0.7688926770977016,0.32893822610913437,0.9699578056646901,0.6556070051878289,0.8796455922104386,0.08430915398283723,0.9110067380780728,0.5286585040095807,0.8197166200424962,0.031067930751841753,0.853564906644179,0.6018881787471289,0.9457620342629627,0.6257075112980264,0.5353150207983235,0.045242544945345596,0.9303849480018754,0.5665803442193967,0.6496995133100827,0.014405930649458092,0.9685315714976157,0.8668957837709644,0.9736930780857637,0.8132342001310916,0.8346719595254719,0.3112213718823722,0.7807914683067704,0.07580940519200184,0.5057990579719234,0.01377390123198335,0.597776998136861,0.09270745787296843,0.6456412046808226,0.10431885256051886,0.9403657533704806,0.7735081331630689,0.9853497452105804,0.9442709653443219,0.5550384310834425,0.08708488258316024,0.6461349072453828,0.08417352962631006,0.5845126628863846,0.23523247934480213,0.9735433308227419,0.6863647584317751,0.8049283015937253,0.387793642272754,0.490968367257027,0.952055734622309,0.5746230292427098,0.9767154654115836,0.8798050028968403,0.9654539261727967,0.6324442551031146,0.9114658261733085,0.5345265365267396,0.8411671045736544,0.55957208455348,0.4787278912148987,0.02352323925013318,0.9059388351330754,0.5001368237708443,0.9593262443521565,0.8321438566676419,0.9692685888356486,0.803209534191562,0.5992033445840742,0.09307291140015289,0.6565718298555376,0.1217528975529012,0.9297592269117658,0.7209874781904134,0.9855201681894745,0.9268910868723488,0.5503345997107139,0.08444673145572873,0.5831516790453546,0.24490067829549994,0.9652122177756285,0.6823969788578949,0.8268670426601238,0.5134020703017503
8,3.660236034000008,0.5685583362707085,0.7159479696746778,0.025884049147351842,0.9342244948837203,0.606764721111933,0.9724376736744196,0.8755550853009307,0.6858535519655443,0.19024626631704894,0.9765085842872263,0.6149324176845321,0.9175143515922685,0.3101412467113721,0.8864212777151499,0.5107745868193394,0.741547419287251,0.03560689315564075,0.8088917760312667,0.5758228103001944,0.9302323093278719,0.5781642642628589,0.5521110007615885,0.047142692422194016,0.8897020519976204,0.5110901199336803,0.7157070796634549,0.026841922651201396,0.9767654440389713,0.9027618059002254,0.972104128970578,0.8460191546633582,0.9256810066467798,0.4177116354688919,0.7712056010592336,0.0703838502907926,0.615826902261873,0.02355098582831759,0.6500396035803845,0.16723764067836022,0.6166597272364729,0.09910859408903844,0.9368537406766319,0.7745983435490444,0.9716954328043694,0.9179641363827742,0.6239244188692297,0.14124054639543007,0.6922210022204834,0.12016420482045174,0.6848391165250266,0.30803209341102394,0.9633038968707124,0.6710352732172847,0.8126238293316462,0.3987990515582028,0.5517666754780157,0.9236794367060663,0.5732320292586994,0.9692652702750837,0.8637834445942396,0.9773468059122986,0.614739405908851,0.8875572082379863,0.4918415367009982,0.7924881704569481,0.5221860849371155,0.4986717548727375,0.028209618324214213,0.8704777843481653,0.4656394149050162,0.9684170427404019,0.8719512087606143,0.9693329415664647,0.8511801346677947,0.6484002225034906,0.14433534107131615,0.6055838683788122,0.09570358876869797,0.9262490186993431,0.7456396531535825,0.973087911787663,0.9033722001439318,0.6227633834882795,0.13436851825414037,0.6855253311969224,0.31146301063077986,0.9569583741197341,0.6256896488314203,0.8297377828306498,0.5152084274319633
9,3.626415296385815,0.6016625543414404,0.7678138516647833,0.03156548013873729,0.9568622772941429,0.6584636047391764,0.982439534335926,0.9031562334891998,0.7895565634931158,0.35574460844986333,0.9777268529577261,0.6134850983873258,0.9282332003820963,0.3263319818337032,0.883045696036562,0.567680253492688,0.7726788801262688,0.036377460775926296,0.8336977869039152,0.6137415003190972,0.9477902842890555,0.6660727310812689,0.5666164262382241,0.03873547530294742,0.9420260479526297,0.5765777539173066,0.7871280509602908,0.035424876682514164,0.9731687524096434,0.8843610063515696,0.985969882680976,0.9145003458031352,0.9610505968798186,0.4977424181531013,0.8514278955616665,0.09322267743794618,0.5835111568466101,0.017109760835955615,0.6479706446417357,0.1526816569964798,0.6823032232335636,0.16432885054444485,0.9330037654613754,0.784237252608682,0.9851421893318373,0.9575496594440684,0.6122460340214068,0.1281607080647167,0.6956500690522133,0.11526263871622905,0.7097408340105803,0.3447455292938445,0.980656811631834,0.7428942795450524,0.836056050323,0.4315443785540376,0.5858665961758746,0.9447317582575954,0.6340047867576084,0.979832173572335,0.89082618566146,0.9732767921910922,0.5959226412247046,0.8872738655498469,0.5537863915608221,0.8142631491989019,0.5602080287352573,0.49970707738826414,0.02732298074773112,0.9109111955636073,0.5129088219107878,0.964814535335959,0.847610913028394,0.9828718143828669,0.9055498011203904,0.6426445770424615,0.130973619167257,0.6632439807383628,0.16052962271290136,0.9208174824595599,0.7528950382639186,0.9854325141210188,0.9410531141579772,0.6136572698664202,0.1298080122447031,0.7155770189209749,0.34281273381273714,0.9744947742789082,0.6906920285596013,0.8420968736792609,0.5423065449791407
