epoch,train_loss,train_accuracy,train_anterior myocardial infarction_rocauc,train_anterior myocardial infarction_prauc,train_atrial fibrillation_rocauc,train_atrial fibrillation_prauc,train_atrial flutter_rocauc,train_atrial flutter_prauc,train_bundle branch block_rocauc,train_bundle branch block_prauc,train_complete right bundle branch block_rocauc,train_complete right bundle branch block_prauc,train_early repolarization_rocauc,train_early repolarization_prauc,train_left anterior fascicular block_rocauc,train_left anterior fascicular block_prauc,train_left atrial enlargement_rocauc,train_left atrial enlargement_prauc,train_left axis deviation_rocauc,train_left axis deviation_prauc,train_left bundle branch block_rocauc,train_left bundle branch block_prauc,train_low qrs voltages_rocauc,train_low qrs voltages_prauc,train_myocardial ischemia_rocauc,train_myocardial ischemia_prauc,train_nonspecific st t abnormality_rocauc,train_nonspecific st t abnormality_prauc,train_normal ecg_rocauc,train_normal ecg_prauc,train_pacing rhythm_rocauc,train_pacing rhythm_prauc,train_premature ventricular contractions_rocauc,train_premature ventricular contractions_prauc,train_prolonged pr interval_rocauc,train_prolonged pr interval_prauc,train_prolonged qt interval_rocauc,train_prolonged qt interval_prauc,train_qwave abnormal_rocauc,train_qwave abnormal_prauc,train_right axis deviation_rocauc,train_right axis deviation_prauc,train_sinus arrhythmia_rocauc,train_sinus arrhythmia_prauc,train_sinus tachycardia_rocauc,train_sinus tachycardia_prauc,train_st depression_rocauc,train_st depression_prauc,train_st interval abnormal_rocauc,train_st interval abnormal_prauc,train_t wave inversion_rocauc,train_t wave inversion_prauc,train_ventricular ectopics_rocauc,train_ventricular ectopics_prauc,train_mean_rocaucs,train_mean_praucs,valid_accuracy,valid_atrial fibrillation_rocauc,valid_atrial fibrillation_prauc,valid_atrial flutter_rocauc,valid_atrial flutter_prauc,valid_complete right bundle branch block_rocauc,valid_complete right bundle branch block_prauc,valid_left anterior fascicular block_rocauc,valid_left anterior fascicular block_prauc,valid_left axis deviation_rocauc,valid_left axis deviation_prauc,valid_low qrs voltages_rocauc,valid_low qrs voltages_prauc,valid_myocardial ischemia_rocauc,valid_myocardial ischemia_prauc,valid_normal ecg_rocauc,valid_normal ecg_prauc,valid_pacing rhythm_rocauc,valid_pacing rhythm_prauc,valid_qwave abnormal_rocauc,valid_qwave abnormal_prauc,valid_right axis deviation_rocauc,valid_right axis deviation_prauc,valid_sinus arrhythmia_rocauc,valid_sinus arrhythmia_prauc,valid_sinus tachycardia_rocauc,valid_sinus tachycardia_prauc,valid_st depression_rocauc,valid_st depression_prauc,valid_t wave inversion_rocauc,valid_t wave inversion_prauc,valid_ventricular ectopics_rocauc,valid_ventricular ectopics_prauc,valid_mean_rocaucs,valid_mean_praucs
0,4.68814911106725,0.4670426506873458,0.7762943750521389,0.024267543252766338,0.8964096860547428,0.12270516255804584,0.9754442351503894,0.8274283786072971,0.9273207638682668,0.5926594313865227,0.9847314449367298,0.6458101501447956,0.8059614523903295,0.022471970134372986,0.8903595010652623,0.24419545041666962,0.7839492292671381,0.03005389576628377,0.7875654519534017,0.511924883683314,0.9076717127509661,0.13111838518345148,0.42898204911582893,0.016185110608083607,0.9067369411354836,0.3809537624322089,0.5555067880435853,0.013099172789559261,0.9410396651391733,0.7731275623992405,0.9606127685198387,0.7501972044753912,0.8949902006112228,0.38550812659366734,0.5726780803690233,0.008844417649534291,0.5683365616491678,0.02685420014907333,0.5211002904012195,0.0400766017757166,0.4597634162716355,0.01574849964575084,0.8125588401693199,0.3801627968940485,0.9880326410226841,0.9433444172441927,0.5587470420125237,0.07238807916669662,0.5423432395909948,0.020358017974867974,0.6923712808446083,0.21730756751245522,0.9460897463828364,0.44659888287881416,0.7725229770680196,0.2939765258201085,0.469556789144418,0.8893903139247341,0.12947443103045125,0.9741703309585212,0.8246923172512939,0.9861402882854529,0.6830785805009483,0.9056577867967703,0.25108952367974924,0.777595668377348,0.4871128806567629,0.379505725305593,0.014189120514539811,0.8999264074753434,0.372710570303174,0.9350558014470417,0.7460103824600155,0.9536676033912949,0.7472124348636882,0.5328756127635637,0.03921245603281434,0.4964458266452648,0.020932058813890812,0.8098326255153153,0.3852501920729175,0.9881202522251358,0.9297612459912666,0.5543952097725122,0.07662727813293935,0.6957866193701188,0.2435993050895482,0.9507880438803266,0.5160458947038803,0.795584632258396,0.4041874170061175
1,4.1918706463641335,0.5221184349665139,0.7454042449384065,0.02302615616736218,0.8688760612197132,0.1215389570294893,0.972261083661906,0.8314043487512071,0.8718775787295565,0.5173392025988693,0.9830448864823212,0.679577758739601,0.8341008256363736,0.043485687454616284,0.9261498623374412,0.41950132696367826,0.7786242921086302,0.030543878207818315,0.8642422559802361,0.562391712170274,0.9361430290729946,0.40669137208091494,0.49080473160074156,0.0303373922032458,0.9187499818446914,0.4658938675295231,0.6093027019875752,0.015427503891062158,0.9516321044841622,0.8080829789218,0.9577153344049424,0.8069209653944545,0.9386066159713953,0.39888510724778525,0.6339416698699942,0.012566676785049054,0.6110223208606191,0.025216709667092406,0.5505268153099394,0.05075460003158254,0.6221689746727035,0.0428296059387637,0.8761477836670986,0.5823788453273865,0.9867986108371279,0.9364448119516959,0.5948888365552643,0.09034271416075257,0.5444836611954336,0.023033329301406384,0.6598577971888917,0.26104058729494256,0.9696301427480217,0.6299469027569458,0.7960385462833146,0.3390616537910507,0.5248039474843599,0.8548855866386973,0.13825480451779726,0.9706674566757629,0.8166494044908335,0.9850220045895441,0.716957720401385,0.9285229480592374,0.4473388450949327,0.8582783380469874,0.5479846700075026,0.4433278499823903,0.028401283530338724,0.9160572318413531,0.43220061080716937,0.9456153610362756,0.7852655619502628,0.9567570053441019,0.8015837659905527,0.5633799058754985,0.05728770083718515,0.6497833065810593,0.058045746073400115,0.8724448372631062,0.5738249838787242,0.9860594585533609,0.9304147608116011,0.6052977787380639,0.0915077232508045,0.669075028898368,0.282916393649036,0.9686320455343662,0.6115726014499334,0.8233628839786358,0.4575129110463412
2,4.013876394748744,0.5373340383033721,0.7245366894435218,0.018681960863399252,0.9118061454719091,0.19052156374435728,0.9713935517118101,0.8265952194400119,0.8984395420287948,0.5528305232557906,0.9887008282452933,0.7368456064163414,0.8413313130213257,0.032473245765492056,0.8915810328087181,0.31721651872514567,0.7669716106804271,0.021456881240316722,0.8342200619647342,0.452001976498246,0.9156408164785866,0.28121251346394693,0.5530686478304929,0.034408548704253604,0.9342584206362614,0.5001344490841148,0.5458382241588484,0.011666381270055629,0.95830566055979,0.838871644781565,0.981364388806337,0.8788926570690143,0.9530500200976633,0.4487320043180615,0.6595680271773593,0.030711558471981773,0.6692560651212983,0.024193875112485018,0.6274099814241914,0.0884204764376626,0.6542118135560637,0.08753849254875384,0.9256129357731333,0.6905588554033676,0.9878702925615985,0.9286865416531633,0.5908803653342071,0.0823514794666668,0.6252922228560146,0.03082498181847529,0.7593833886116569,0.31103656361657905,0.9745942667813181,0.6019405649647355,0.8132533197362058,0.3468771186205378,0.5300026434047053,0.9064144913678133,0.2079218279000316,0.9690675686380211,0.8186529414953939,0.9872731231427059,0.7617056111316678,0.8960806959975821,0.33040622934150904,0.8239001301213889,0.43531237380540505,0.5121689587932619,0.02473704132561057,0.9255072904098708,0.4678867969463095,0.9522861220681794,0.8236692721674923,0.973832610071422,0.8813968996895508,0.6324291303780047,0.10224293898183875,0.6615240770465489,0.08376002851144485,0.9208109805034607,0.6746549215186074,0.9868600865316239,0.9064566820425422,0.5999197760932757,0.08371998277842588,0.7722698357012233,0.3307000139713349,0.9738675008507712,0.6438796704132267,0.8433882736071971,0.47356895200127447
3,3.923032104723911,0.43188227000352486,0.638041013506852,0.014417288609206247,0.8780257517975706,0.12247838787742021,0.9847460470323114,0.9127496688756076,0.8757043530701525,0.47649875224270555,0.985521042697559,0.7072387104146771,0.8498215728878464,0.04619038062115695,0.9127909626074452,0.3970714762687518,0.7080647839478404,0.021263938520999788,0.726207042488706,0.28791745090978604,0.9479912543022668,0.2877393588587099,0.534106103582159,0.02269066854928325,0.9121706059825542,0.4491424552222511,0.6325682534052812,0.01572087932336077,0.8899740893045697,0.6343622473797172,0.976721797927337,0.8688209303434676,0.9349840695657045,0.5072974155982692,0.5947387234657704,0.02438559500059211,0.5977052413605705,0.022010131957915437,0.5752936525399563,0.06534706408098859,0.5639618221138958,0.040874403864376366,0.8658937111119513,0.6560626605519804,0.9709204718987218,0.8918361309747879,0.6441213298201544,0.10241626201997768,0.6682425638475411,0.03348034070093962,0.7226752431679958,0.2875707549800709,0.9561592930269284,0.3761425121530464,0.790275030633063,0.3181433025346171,0.44726407613005553,0.8661247578023668,0.12471258542321477,0.9834659628887114,0.904005539037311,0.9858589658327952,0.7172057028959329,0.9070719096757479,0.39266685011353014,0.7125467641167049,0.2698049505383513,0.5071997972735003,0.021835699997953796,0.9076806155574221,0.4193649055032682,0.8817778488452582,0.5999885864954293,0.9758269168951973,0.8776815497480199,0.5899018636550845,0.08261628961937689,0.5788142054574639,0.05162547315032552,0.8546309616930189,0.6180272073941537,0.971467308429338,0.878876166027174,0.6508275466088895,0.09427829277716179,0.7307852355842447,0.2892887893697717,0.9477089139798262,0.43735564559731593,0.8157305983934731,0.42370838960551815
4,3.843879910196657,0.47835154505933497,0.6603181555044909,0.018380690056928897,0.9339512971412474,0.43073752006626004,0.9763779818924961,0.8703163518299601,0.650311073517124,0.2690630508519352,0.9441452580033561,0.5475685629742473,0.880906425285105,0.08933220689940094,0.8353523007086271,0.45663015322826583,0.7056194151378709,0.01834529850770584,0.7887904894717941,0.5118287562159536,0.8513319131760282,0.32329154973308516,0.5353188460822055,0.031036647515020648,0.8678356420844306,0.4288971466960681,0.5003414429553816,0.00884328945984085,0.9629703048428802,0.8634574143930074,0.9574174148540509,0.7661796756076544,0.9430075775959081,0.3845322815813818,0.6226762733637567,0.03626721165657942,0.48495937191663513,0.012924047649855483,0.5694882006642495,0.05996412761283612,0.6108628141995383,0.08513613341633054,0.9194526938190768,0.701500570483092,0.9868334010244986,0.9359925774284128,0.45577159103320225,0.06066712479960318,0.6363140296101937,0.07977124333964465,0.5648591318705388,0.21803600135497325,0.978167324548338,0.6781818877071786,0.7624377065501162,0.34180313542558544,0.4779275707110759,0.9251740849104297,0.4317428159638831,0.97416953350654,0.8639688383585015,0.9341945285477617,0.5312188832235335,0.8374744182030138,0.4530837865641967,0.7745595557486585,0.4740329381195235,0.48477962083272486,0.019659586474010178,0.8393364494546787,0.3880991898276791,0.9546300014363218,0.8411146119740964,0.9574433821535123,0.7654737575211364,0.568025231293132,0.05615864073045643,0.6367584269662921,0.08934569265689159,0.9125464289136899,0.7043953752261863,0.9865076241316746,0.9221190884459498,0.45070721074880316,0.05844946165536161,0.5607894731634588,0.2249566489996334,0.973139770225577,0.6634486858616749,0.7981397337647668,0.46795425010016967
5,3.7848312628141736,0.5801315944072377,0.6816627357000028,0.019738227386198046,0.8989357099608046,0.4572666935100341,0.9734055544557095,0.8680369858042162,0.6800882986530483,0.15130361356258096,0.9622054210988167,0.5259425690214032,0.8876640295608509,0.08097067974920084,0.9138849128281099,0.3500055737535691,0.7878844984545491,0.03204977514020894,0.8595326235347216,0.5327055096563914,0.9375395820870527,0.44013000783636197,0.5342398865104577,0.039274462218573614,0.9045895972349483,0.5024337341071026,0.6039509425570784,0.0244268860048195,0.9686857482825967,0.8669619811071294,0.9722323877431363,0.8453192652754487,0.8400795548011973,0.2840575778816078,0.6815842507991892,0.04687844450459362,0.563996965239065,0.02320707046397909,0.5942487662163715,0.1171572048800183,0.6568825758440857,0.11529408627135489,0.9233040306633913,0.7317079080830223,0.9780191829265897,0.9233846657305402,0.5744070827872434,0.11368220136349243,0.6394501388504655,0.07739375185517322,0.6137570148410034,0.2712502047567349,0.9464405696760271,0.6004642631933002,0.7914873869733274,0.3477324362737329,0.5699180544541369,0.8799287361343999,0.4359571766460572,0.9720747268328237,0.8614043033369821,0.9562392685185086,0.5330697036052764,0.9147864945382324,0.38366638278620974,0.8462372899826924,0.47329346098939984,0.47202503156863923,0.02051148003667655,0.879485074130292,0.4646786350343983,0.9634240531680576,0.8528873792345117,0.9714440250529889,0.8299127156591942,0.5890120694331434,0.11371233374097725,0.6722331460674158,0.107245517155421,0.9186495041410394,0.7108689658481401,0.9796369334515839,0.9199495090991178,0.566958953768223,0.10404452073259735,0.6156991991568941,0.27448818068541936,0.9331562483208462,0.5588147929898888,0.8206869221416113,0.4777815660987667
6,3.73611767484472,0.5699389025966396,0.7101788653030889,0.019986898562134047,0.9515752746580195,0.5050926808512467,0.9861426178136566,0.9167691360875223,0.7819782452009386,0.372707707317005,0.9505292219571455,0.6286266335146717,0.903789781963271,0.14927515131082558,0.8888779504089701,0.42329475061851213,0.7885518289093205,0.027161162123141333,0.8436040441962471,0.5157550418270206,0.9356735089348912,0.5305636656430276,0.5602804300312735,0.045319244489419014,0.9444635046844778,0.5272677652196869,0.7214028857981687,0.025024516118689465,0.9743638251625293,0.8927523199535286,0.9694196410779065,0.8000204496075828,0.9118058511004921,0.44406705405243524,0.702848300265137,0.040564132586921084,0.5835224349592824,0.026045242987962076,0.6621278496185337,0.13416449166250766,0.6447189285881793,0.10392358948586863,0.9413972879567561,0.7647427885608384,0.9884821895488882,0.9537004045351238,0.6832993733617301,0.1375159788084666,0.7163153188690461,0.12869163337313466,0.7465101645610575,0.3060930085961634,0.9726802446092678,0.6401676151868843,0.8255592142130107,0.3868958870415507,0.5674508767292272,0.9414693818727511,0.521871201559228,0.9845840570210065,0.9117772274470224,0.9412777105310529,0.6144932081126604,0.8895780622598333,0.4311969592298759,0.8268213688413205,0.46627906658621554,0.5038698427151607,0.024764912256268014,0.9291479965130911,0.4874766507674912,0.9673076614037803,0.8674445258998356,0.9660387095802067,0.7713750066413883,0.651686920511507,0.1358365499155934,0.6527335473515249,0.10306602320262927,0.9295122939268619,0.7442067718877801,0.9881369412053137,0.9459711774537848,0.6799266181322035,0.12671674172097985,0.7443129792895736,0.3108344439254286,0.9678828996152257,0.6608605347987525,0.8477679369231508,0.5077606875878083
7,3.702996318481207,0.5184467160145694,0.7363685199088926,0.024063782659470866,0.9506475562587882,0.5102694119633231,0.9827380437652522,0.9102419235462931,0.8127360222909552,0.41376548805405666,0.9718560760142682,0.6554312496744413,0.897866440218256,0.11821483526979937,0.9247740673584949,0.5161903632399673,0.8098055672459817,0.027842877513606035,0.862555369322112,0.615802759965692,0.9483635606806288,0.6016987251225078,0.5360218057502484,0.04947963912232006,0.9300869008505039,0.5487501548300571,0.656154840017227,0.01770129170473272,0.9698098854400098,0.8719247619516429,0.9770466741862933,0.8232001065484896,0.8850881244799169,0.3302907976185286,0.7434419179225352,0.07370575743750564,0.5153886685323686,0.020351290310355298,0.593993486393069,0.11008925883137469,0.6822039364110758,0.11869699586138477,0.9318452899115602,0.7736559010219404,0.98631586250749,0.9454746338667157,0.567541502839668,0.0950860495857654,0.6474262976380661,0.08503407141000462,0.5819569049970145,0.22756970261515336,0.9771560926897327,0.6783682073146032,0.8107380543704004,0.3908807706553743,0.5249801744647106,0.9388918500353431,0.508601316463493,0.9792346494480834,0.8969773431622386,0.9699709839064155,0.6475811375282423,0.9260480980959372,0.5249818063713838,0.8492431705390009,0.572452909036585,0.46183458892048135,0.02334982758774512,0.9077377402637948,0.4753443114069516,0.9619209310398898,0.8435609329530092,0.9722834357954375,0.8177546895947729,0.5968263744487639,0.11914952635446266,0.6900339085072231,0.13848385399035987,0.9222473474139318,0.7272788953490449,0.9856386156417097,0.9310411242724159,0.5639442553881057,0.0885917556629782,0.5773866348617359,0.23190029018088776,0.9687757226882968,0.6659827025366672,0.8295011441871344,0.5133145264032024
8,3.661307115754262,0.5616261308894372,0.6838050493329996,0.02671536614922803,0.9295282236482635,0.5325868628078737,0.9712977747664227,0.8894945719150708,0.7402612478794862,0.20121583466195916,0.9806210765289854,0.609784906498115,0.9001403518199423,0.222571057435679,0.9206527139199288,0.4812649089612028,0.7275687422221766,0.03640571846046009,0.8423838624102038,0.5673705717396951,0.9524682442748562,0.5517873065591468,0.5497413394042798,0.04841487763473748,0.901911854241475,0.5161062186298306,0.6896173755900659,0.02843182326644033,0.9709923455649969,0.8837291071731139,0.9837995061288927,0.8947249634022854,0.9002839054803714,0.3770497736119756,0.7193195146712401,0.048228738742976125,0.6220835670203955,0.05399095439736219,0.6239572161907082,0.1811568086112753,0.697510237855558,0.1097968890129727,0.9344028625280116,0.760289599781846,0.9760228761170303,0.9219863515090548,0.6891899665064802,0.17142681658128103,0.6598319584145553,0.10232668311462698,0.6920832486497271,0.30126654218993554,0.9595438785881524,0.6288633643304885,0.8161161130675081,0.3902687160453321,0.5493876112432814,0.915534504727286,0.5326422682730381,0.9678880042488243,0.8791187724116422,0.9769916497891159,0.600566444083854,0.9210248909805275,0.48197244169540937,0.8234417497670257,0.5152283167114589,0.4923500811765009,0.0258519292522358,0.8825892683392279,0.46386595171217126,0.9616458190412337,0.8481633686100722,0.9803686501120051,0.8957120569207037,0.6243563157339601,0.16514616042035463,0.6826845906902086,0.08169209830318253,0.9259435681095448,0.7265387105251788,0.9767034390375922,0.9073018423717569,0.6842511068298354,0.146032679883402,0.6885414614192299,0.30462691332653075,0.9403747598566811,0.60953035807069,0.840293116241175,0.51149939453573
9,3.6246172736105944,0.5611855246152039,0.7171131663367688,0.02622509640294355,0.9325628426289779,0.5524390583243898,0.9813197989953787,0.9034834922745394,0.7020776389858929,0.24837269043629406,0.9705431093329762,0.5818903384828702,0.9089171839414891,0.2926593464307588,0.8724731440511165,0.4746437854876231,0.7317101520332385,0.025906581016364075,0.8261862746262484,0.5995943379089708,0.9455673373466787,0.6055618087684345,0.5720584791038512,0.05187547016295779,0.9172364112645449,0.5050105442871122,0.7421698939077906,0.02765029508944252,0.9713816725831285,0.8841557825004682,0.9791822575824277,0.8937939390328825,0.9338093463653425,0.4719806661864363,0.7906575856438359,0.08112250490736149,0.5831175296337681,0.028433912993267352,0.6244521717524905,0.17034511211540931,0.6623036097334731,0.14412553133843245,0.9249412812941814,0.7727327585648563,0.9763135931287414,0.9273875389649296,0.6067735524064366,0.11713372915912817,0.6828544979018216,0.1319354177846102,0.6546851140458632,0.3077637349279916,0.9719442293002919,0.7111037719345626,0.8147058413048752,0.40528181713396294,0.5517666754780157,0.9174031724172639,0.5380668412176443,0.9784893973442723,0.8848517391689054,0.9643717509142979,0.5640582902819735,0.8781967531626442,0.49125334517739677,0.8052869720719381,0.5429633774031152,0.5044329241579548,0.03356353239560765,0.8862778922364385,0.4450317758532227,0.9628756258205325,0.849985889770054,0.9766719781213272,0.8874791680470396,0.6253936503631377,0.14623468862471134,0.6387263242375603,0.14997892245912425,0.9140329739636235,0.7387760121952397,0.9775267374446808,0.9105497134604192,0.6044087137967115,0.11175733027069927,0.655162539008203,0.3047634465113021,0.9586836680738462,0.6647642096621474,0.8279963170709019,0.5165048926561626
