epoch,train_loss,train_accuracy,train_1st degree av block_rocauc,train_1st degree av block_prauc,train_anterior myocardial infarction_rocauc,train_anterior myocardial infarction_prauc,train_atrial flutter_rocauc,train_atrial flutter_prauc,train_bundle branch block_rocauc,train_bundle branch block_prauc,train_complete right bundle branch block_rocauc,train_complete right bundle branch block_prauc,train_early repolarization_rocauc,train_early repolarization_prauc,train_incomplete right bundle branch block_rocauc,train_incomplete right bundle branch block_prauc,train_inferior ischaemia_rocauc,train_inferior ischaemia_prauc,train_lateral ischaemia_rocauc,train_lateral ischaemia_prauc,train_left anterior fascicular block_rocauc,train_left anterior fascicular block_prauc,train_left bundle branch block_rocauc,train_left bundle branch block_prauc,train_left ventricular hypertrophy_rocauc,train_left ventricular hypertrophy_prauc,train_myocardial ischemia_rocauc,train_myocardial ischemia_prauc,train_nonspecific st t abnormality_rocauc,train_nonspecific st t abnormality_prauc,train_normal ecg_rocauc,train_normal ecg_prauc,train_premature atrial contraction_rocauc,train_premature atrial contraction_prauc,train_premature ventricular contractions_rocauc,train_premature ventricular contractions_prauc,train_prolonged pr interval_rocauc,train_prolonged pr interval_prauc,train_qwave abnormal_rocauc,train_qwave abnormal_prauc,train_right bundle branch block_rocauc,train_right bundle branch block_prauc,train_sinus arrhythmia_rocauc,train_sinus arrhythmia_prauc,train_sinus bradycardia_rocauc,train_sinus bradycardia_prauc,train_st depression_rocauc,train_st depression_prauc,train_st interval abnormal_rocauc,train_st interval abnormal_prauc,train_t wave inversion_rocauc,train_t wave inversion_prauc,train_ventricular ectopics_rocauc,train_ventricular ectopics_prauc,train_ventricular premature beats_rocauc,train_ventricular premature beats_prauc,train_mean_rocaucs,train_mean_praucs,valid_accuracy,valid_1st degree av block_rocauc,valid_1st degree av block_prauc,valid_atrial flutter_rocauc,valid_atrial flutter_prauc,valid_complete right bundle branch block_rocauc,valid_complete right bundle branch block_prauc,valid_incomplete right bundle branch block_rocauc,valid_incomplete right bundle branch block_prauc,valid_lateral ischaemia_rocauc,valid_lateral ischaemia_prauc,valid_left anterior fascicular block_rocauc,valid_left anterior fascicular block_prauc,valid_left ventricular hypertrophy_rocauc,valid_left ventricular hypertrophy_prauc,valid_myocardial ischemia_rocauc,valid_myocardial ischemia_prauc,valid_nonspecific st t abnormality_rocauc,valid_nonspecific st t abnormality_prauc,valid_normal ecg_rocauc,valid_normal ecg_prauc,valid_premature atrial contraction_rocauc,valid_premature atrial contraction_prauc,valid_premature ventricular contractions_rocauc,valid_premature ventricular contractions_prauc,valid_qwave abnormal_rocauc,valid_qwave abnormal_prauc,valid_sinus arrhythmia_rocauc,valid_sinus arrhythmia_prauc,valid_sinus bradycardia_rocauc,valid_sinus bradycardia_prauc,valid_st depression_rocauc,valid_st depression_prauc,valid_st interval abnormal_rocauc,valid_st interval abnormal_prauc,valid_t wave inversion_rocauc,valid_t wave inversion_prauc,valid_ventricular ectopics_rocauc,valid_ventricular ectopics_prauc,valid_mean_rocaucs,valid_mean_praucs
0,4.763286398217141,0.5321606916598345,0.804381079891966,0.22248549432248155,0.7554282591177933,0.016832953409476634,0.9691945588141593,0.8108378723704213,0.8960024517128551,0.544919933967227,0.9085145010464248,0.4708887873783199,0.37698462553335566,0.005127003883444202,0.800665259994684,0.1472812549057085,0.7627705118631051,0.03099433837384883,0.8454872454432264,0.0986362677261457,0.9003982848040318,0.2513092102162713,0.928018069047679,0.13705514165177302,0.7188000549256509,0.15959394479936054,0.9015661744248157,0.26796632074216614,0.6891072285208708,0.09674125629073774,0.9402745692153017,0.7814764428317663,0.8542319587499558,0.2626898497021299,0.9058241521552581,0.19324342120636553,0.7001326065629445,0.020019127619472842,0.6278177387375803,0.05275110239757131,0.9011934588160355,0.4928445898143578,0.8545472123880378,0.5295813810076697,0.9779563103618054,0.9277579665742507,0.6146696812363719,0.05001291505195189,0.5948691290790193,0.04900681427130532,0.7446156173500952,0.17391025394120518,0.9800952957268293,0.5547209659991807,0.7590630914333565,0.038727171281007396,0.8041707084056746,0.2736078437679858,0.535738242528136,0.8150973080221143,0.22050310841017906,0.9721263431421756,0.8117290671584588,0.9078179107978817,0.4602358513527899,0.7863530226292034,0.13320865073194002,0.872758666876314,0.11783557137269333,0.9102492723353212,0.2826404729576828,0.7078934389759322,0.15252571585760488,0.9054435913546535,0.24472613522232145,0.6905361101366035,0.10923657171133466,0.9369605051825707,0.7781759616492989,0.843425344237821,0.29170954565345586,0.9010861621155739,0.18479042509415192,0.6003768263543421,0.04484669727391914,0.8262499844063821,0.482581127751916,0.9746578828075508,0.9178698608015023,0.616083888443175,0.04955621805401733,0.588684764645466,0.05797123142165043,0.7304721526412692,0.16607200935485325,0.9793027292005879,0.5860629669398616,0.819240837068681,0.32064616782998057
1,4.28819009817087,0.49457156343941766,0.8106203616950676,0.31139473087387726,0.6725136661892619,0.0199763048711111,0.9662508373017722,0.7986693768412628,0.8701322013086374,0.3093362378231684,0.9579522823582902,0.589686610096291,0.5377373908463612,0.009510511296526119,0.8697518754675194,0.22862171639318232,0.7289281434198304,0.03526290727115042,0.81028261756522,0.10122316909478181,0.8656621510482554,0.32130560137939784,0.9363809985711046,0.23132739881685566,0.6767157633646756,0.14053978349135732,0.8557348970809635,0.21669847747203697,0.7095057172664415,0.11355321375378946,0.9434338714826281,0.7985178326616166,0.8282349942072137,0.3637610265068292,0.8903981395412444,0.22885456518945219,0.6320964035308636,0.02215925321040027,0.6319285831675554,0.06797415861385579,0.9301599077371457,0.3615095797026888,0.8610485616896817,0.6053319660972836,0.9790162485997281,0.9418410901698769,0.6558986439032641,0.06331139510364851,0.6002870075580502,0.05945156183140049,0.7319079606967519,0.16463088650533161,0.9773253761566038,0.5820560662477239,0.7168604293111039,0.033663963705493176,0.8017320381876013,0.2859321994451996,0.49929194305731533,0.8123674606602882,0.32302890764354497,0.968025207995136,0.7937969557038873,0.9533309875273724,0.5700233934414959,0.8568671463125841,0.2159528123396041,0.8427716460804696,0.1321264255859745,0.8656868881954755,0.33073759764585736,0.6699991378073713,0.13433968203677515,0.8609225001113446,0.19524334731089343,0.7050328680619058,0.12465925627460941,0.9399945972224782,0.7883911405163954,0.8058013474550734,0.3682273456117352,0.8932724337136101,0.22640190907503363,0.6082741196286576,0.056944333171299426,0.8386956666375586,0.5559232162560848,0.9732837276581987,0.9292037750794616,0.6468811331035366,0.0638857403304022,0.6008015842011981,0.05785666241979991,0.7069101474322694,0.16189954745912852,0.971493033262824,0.6063871006948398,0.8168637701614397,0.3492120604524644
2,4.104224109859343,0.5427442796452262,0.8548945124665549,0.33909353468948433,0.7183492508615583,0.013399376926076996,0.9722581368293812,0.8480427289196082,0.8505575470063093,0.3411757151921134,0.9544338234651192,0.5803315446796256,0.4259083341280263,0.006729015550049449,0.8296890474201708,0.26037270669173196,0.8315822626451079,0.06095833819590836,0.8675192122690143,0.11711143649646842,0.9265557063971087,0.4553917989513725,0.9611450688713167,0.5369073307220178,0.7613188756625885,0.18056158460121938,0.9211668002857867,0.2979990015410917,0.7452753114229991,0.13656696168608284,0.9472342455467592,0.7791863907549029,0.8726772108298277,0.41580250791326717,0.9454901463227107,0.2862321643851023,0.787919411579758,0.034334702104779506,0.6619319848072074,0.06943073051156735,0.9186491104536227,0.5022581338422618,0.8891993628250076,0.589020724705846,0.9748888476634929,0.9036069623118974,0.6738358177947249,0.05610305569135798,0.6631451170681755,0.08198729794949544,0.7257918281810929,0.13075441807324711,0.9844516027348414,0.5972660293524523,0.7573653703504548,0.04226835495850664,0.8304901461440266,0.3208478721258346,0.5422970857866886,0.8577924636374963,0.32389726368423033,0.973009545315585,0.8417236676167725,0.9469700955289623,0.5713988461369657,0.8100725642682166,0.253013686370052,0.8845444102797044,0.1447063306248348,0.9249177270579421,0.4609598103526522,0.7467388639218767,0.1748253056995539,0.927960597631544,0.27634301246919296,0.733669011235912,0.12911102993854467,0.9410952451194488,0.7699875018399324,0.8460196620110453,0.37122431972440195,0.9459787033316445,0.308543738993332,0.6441370598143288,0.059647526032412426,0.8592105263157894,0.5562984847747626,0.9704745443468922,0.8925022748657128,0.6635743629412241,0.05817145659070053,0.650137983271177,0.08553805644707953,0.7125360377758615,0.13941451942018293,0.980884660565698,0.5852529552904048,0.8431433718089658,0.3685557782564064
3,3.999763871159738,0.6153387493478423,0.9130648413587311,0.4669739455343859,0.7226655991603759,0.017104142382153426,0.9829920032208878,0.8684926287310434,0.9145610552407888,0.5107348081366502,0.9572704281726682,0.5857177690020269,0.51881528330296,0.00739967530004217,0.8833182157976688,0.34606505590977976,0.8059512699972144,0.04364475881176269,0.8513746121682444,0.13335051736290923,0.928351554672018,0.5112828216431339,0.9497788946396629,0.5809562769738352,0.7467537200031241,0.19373401672258564,0.9254639427108428,0.34930112983182227,0.765118765518689,0.14248785573648012,0.9544729325652281,0.7853604524882788,0.917759407542445,0.45421420222278625,0.9322177013290565,0.2524181793362298,0.8908729234368146,0.09993463951953736,0.6646438398508235,0.07949039468035124,0.9415553775394018,0.5067086509929251,0.9478535596884897,0.7281061670933278,0.9887963847804779,0.9658546600797071,0.6908191920046184,0.07916764249790426,0.6634344355148925,0.12038346313700829,0.7427252836448398,0.15722866282750333,0.9872661201620241,0.7382794394236296,0.8021231164901386,0.05038826228634739,0.8514822392782639,0.36202889698756097,0.6085563091600209,0.9089887349788749,0.41467151851031225,0.9837938795578642,0.867579252577502,0.9501145003831863,0.5710079082138283,0.8642512386198017,0.32152210779987744,0.867469804969805,0.14463597568655207,0.9313527712770269,0.5041799947506449,0.7294815921873752,0.1725801640078117,0.9310252426484038,0.3358338502062759,0.749301869201281,0.12744655882756073,0.9467876909006022,0.7613901941542967,0.896209896599985,0.44110967117712213,0.9324095022624437,0.23366644903672137,0.6435477300325121,0.06300756044194647,0.9290802780238103,0.6713774445920079,0.9857265164504084,0.9553163682599085,0.6818385982746951,0.08035990709704632,0.6573000917376262,0.13091913526738289,0.7287150228005328,0.16192848372886454,0.9782507918042807,0.7358337948961555,0.8576655659321325,0.40496664943325356
4,3.913730884053829,0.47641052396213757,0.918334337236878,0.49908977407749333,0.7066006838539328,0.01553135959812047,0.9848038331274951,0.9062931298494376,0.9312022022519785,0.5457032005359658,0.9735487573801369,0.6776276461778391,0.7226711484436994,0.05543064266392013,0.9223239055892132,0.4486839202332924,0.827318588600229,0.06097961741213469,0.8768090827792956,0.15176426646555882,0.9376829338742813,0.5527230360965389,0.9632028626496831,0.6460513269036251,0.7620506145815293,0.20486977670289205,0.9367281217675726,0.42902453949798813,0.7533648926893355,0.14282463310530205,0.9570446344006575,0.8266522598955678,0.901472875703888,0.5298038095468579,0.952473362459349,0.5308913922203363,0.8217407807267659,0.08634388737629294,0.6765045874218396,0.07032560239773405,0.9694931407444608,0.7173317098585307,0.9350306649053886,0.7370252632144456,0.9875971079786928,0.9669371477802124,0.6988064841132973,0.08251514284895321,0.7217611932466205,0.10758981728962327,0.7808258527984078,0.192151721058609,0.9838801294651268,0.6524443483241107,0.7525986300576599,0.04905633075799174,0.865032274401756,0.40317278895886566,0.5071923678914809,0.9233136985559086,0.47703926837781707,0.9849111001345205,0.892497594932096,0.9676046474287803,0.6666887758008737,0.9021944572452919,0.40093099236329305,0.8914822425851837,0.17854058754748908,0.9361699673704253,0.5467943323866873,0.7441203512434369,0.18189300219671872,0.9362464760815241,0.3696066325638494,0.7376275885955141,0.14498523084370013,0.949530337683096,0.8066587896829729,0.8781664502073075,0.47417854983596036,0.9454811550399786,0.49345975130177666,0.6530210740726233,0.06432581653228259,0.9025478931982718,0.6762342492729307,0.9835315100500369,0.9583883270622772,0.6986050823583524,0.0947160135709339,0.6916011083881519,0.10530351328756045,0.7656168324210937,0.19617482754691978,0.9778227713585893,0.6879359644838376,0.8668207760009521,0.4429659062942093
5,3.8448760502975343,0.5446324314923853,0.9140949765500764,0.5840668372200667,0.7411515378416806,0.020275386652619055,0.9833872219429923,0.9077593531579234,0.8993399164909223,0.4509319893607766,0.9668688237402912,0.6313429312419883,0.6936074747222001,0.0326908593832756,0.9089375793688709,0.4647733637979179,0.8223493672205862,0.06369135587434188,0.8673010144729817,0.14548967580546376,0.9117818822033293,0.500369421480634,0.9594492904112844,0.6378391094289039,0.7457736855196627,0.1951621279376924,0.9392505566924761,0.32805320176387065,0.7591453757442213,0.16236664832902378,0.9570617125485521,0.8119645488475387,0.9179077169527347,0.5649954855397901,0.9513725707691144,0.4651838001867209,0.8601450885045279,0.10699651445817268,0.655962851312133,0.08112121360224642,0.955221534688666,0.5972023569267254,0.9388676745345867,0.742122243607954,0.9873461291638059,0.9694510842346251,0.6017601220045816,0.0658942478028745,0.7151504508880793,0.1425959454061755,0.6904617059950257,0.1500429576939858,0.9855339880936581,0.6573017695049889,0.7609013700955363,0.057202190934787886,0.8551900599434289,0.39025506000670673,0.5403592457330253,0.899527106064841,0.5163073776735191,0.9816577626733395,0.8843426852563998,0.9553491777722358,0.6159626180577567,0.8780735079785416,0.38807534961505386,0.8748773417891064,0.18400370117822926,0.9084424306097285,0.48033022062331954,0.7194357388757044,0.1757360893814387,0.9380890911373013,0.2938682522640335,0.7478343567259871,0.16556095758619033,0.9499354404329879,0.7882608901401296,0.8927679620744745,0.5103717521761608,0.9460680582004112,0.4290695765171297,0.630131517098202,0.07401802599114574,0.9051889322737992,0.6711509232218709,0.9823211098535054,0.9607868306356724,0.5939477946307006,0.0715513881935111,0.6938743466677385,0.13533007682423537,0.67992920299209,0.15922472106597457,0.9833907269840056,0.6253548409795294,0.8505706107807738,0.42785822512533167
6,3.795103169195975,0.611537601550272,0.8946939997368867,0.42570008112452407,0.7066795023235892,0.016694845389311812,0.9861474372273856,0.9155277807542993,0.9224705974616866,0.5627511918017215,0.9669303259527251,0.6468548084242572,0.5866068124294073,0.022039259409748192,0.9082227922823108,0.4568043074680794,0.8263850259042027,0.057635794766381206,0.876045759913812,0.14328410015809115,0.9211074747367504,0.48654948557957567,0.942043491327649,0.5745270795795444,0.7702789301977322,0.2727625501226259,0.9150230771691618,0.33196813810754644,0.7843961564299048,0.16135938148776446,0.96625203876977,0.8550895353802366,0.9078631682936128,0.5645608208016865,0.945857425101682,0.402877355497288,0.8276569307072192,0.08483051340790809,0.685020009224926,0.090474205493671,0.9607671455206083,0.672506125677981,0.9290321616482266,0.7495396397449596,0.9782938130403529,0.9537743895664497,0.6367503318539327,0.07728089276744218,0.7229811859962072,0.1624245281563365,0.7661906612056346,0.2011500272870867,0.984994424324827,0.7036672029124712,0.7872837596325986,0.0601170375588149,0.8557768310523259,0.3945463362379927,0.5998360289185362,0.8927304994393053,0.388726242001363,0.9855439518893151,0.9043157862090639,0.9559388177365705,0.6175708498528439,0.8774133517371546,0.3971958660075372,0.884610652993006,0.16878312353317124,0.9210160533592804,0.48088750539189845,0.7510194352432551,0.2490101320175182,0.9047815971121812,0.2897744094452444,0.7661231470777874,0.14997963263755348,0.9593225816395083,0.8350935854560344,0.883099611650968,0.5040269203495517,0.9424802145390381,0.38065745056677436,0.6549181323201065,0.07121410623769733,0.8906443490808081,0.6911382025099796,0.9719187090512789,0.9432266560560315,0.6223682370896129,0.07416166442240432,0.6975612278522301,0.16593503982799349,0.7438087830107813,0.2000587017456279,0.9809336346919292,0.6665009545432797,0.857170157237585,0.43043456993745105
7,3.747242460280234,0.5820973391965417,0.8805624828475591,0.49704861723978755,0.749355140467995,0.024410638809122198,0.9873738238502906,0.9212833948605123,0.8949960004932022,0.47632916968240624,0.9694075548325076,0.6617512807980523,0.5701433684543906,0.04081465911946201,0.9162496804023056,0.47662549229818724,0.8389338586685535,0.07319325729012445,0.8760852180308579,0.14689367175026066,0.9220226564186355,0.5630785683979292,0.9751966530735646,0.725146749902236,0.7844312574068981,0.28494199333555353,0.9405728043244125,0.4830564724631911,0.791994368212015,0.2102436821911167,0.971852651243175,0.8825973024594257,0.9269865348569395,0.5785018884744746,0.9354422407253418,0.337344699880752,0.8476791263271066,0.11069353028736933,0.6696961247984783,0.07824699066322277,0.953047314806206,0.5081259180928113,0.9552677102640256,0.7823890797641858,0.9820999448653038,0.9552726222927381,0.6199219729589605,0.07572206087703211,0.711022818581278,0.159528112671319,0.6978481320223584,0.1536421797497603,0.9840516108828236,0.7879562151227602,0.7990927793388477,0.05915855676652241,0.8574568084871864,0.40940728908297463,0.5683833942013863,0.865105068662534,0.4343614753263905,0.9864714442738903,0.9091286530241042,0.9576556971769477,0.629803418821703,0.8776384751581486,0.41765316107357026,0.8729093508505273,0.16022902808641257,0.9156010328504604,0.5142654746240014,0.7582591414394277,0.24443796418049848,0.9340140629146665,0.4114313524313474,0.7713035332128138,0.17909169215761886,0.9642952376877267,0.8579341112189859,0.899385087411365,0.5183936740020804,0.9200679752150341,0.30454958957855044,0.6357158525598339,0.060494705993625074,0.9233106914002237,0.7048951062259907,0.9756662408271191,0.9438082370007134,0.6060188203796089,0.07807718804381196,0.6979439215553275,0.1466325437759301,0.6833440754818941,0.15020149971733604,0.9832968040021925,0.7371992123613782,0.854105395424197,0.4422414782970552
8,3.7061775227528426,0.5126580706069415,0.90052790597178,0.44362358075248715,0.7054849876742433,0.016034732616612812,0.9895312826486262,0.9372440100411858,0.8554069794166917,0.38694119802307786,0.9693873476974797,0.6203262497443048,0.7548164084133057,0.040145904275298266,0.8923349463903053,0.38876856040795665,0.8107805230377495,0.0644397210177324,0.8766774891602002,0.15066772253664046,0.9471075047922985,0.5479202044842911,0.9786201981737493,0.7385441515964908,0.7502148902420804,0.16911456141273493,0.9399859045562019,0.37406782059832827,0.7633719372998848,0.1473409946518964,0.9685871359794466,0.8647667931101275,0.9485385969828635,0.6079199808519669,0.962105498678237,0.5137762716155282,0.8511655063592408,0.10614125605546587,0.6634812558966016,0.06966281847187461,0.9491631943123404,0.5639536895268121,0.9619928953385107,0.7982135482423072,0.9874781792598933,0.9642843345952212,0.6649802082682188,0.08898985284451982,0.7690196849199591,0.14563758203669422,0.7046916460993313,0.1592067620328516,0.9886517400845812,0.7571428162273286,0.799077727805154,0.056675165226581704,0.864932650942925,0.3970944549257895,0.5097264664231944,0.8862887086814779,0.3916769387337231,0.9883835634154441,0.9232590622218882,0.9569590155813896,0.5713807297196123,0.8510194496934044,0.29763327545177254,0.8743059073941426,0.14237901044472864,0.9434572739905661,0.5241950894308544,0.7264964138584467,0.15423350351416465,0.9389573949560346,0.3234810398897494,0.7397203834383564,0.13211971441306353,0.9585670232251169,0.8311731316344018,0.9242724711613309,0.542582613480977,0.953610446257505,0.4695373307811765,0.6203901445415018,0.055801724312991394,0.9325625927820264,0.7101233004834642,0.9843046021019798,0.9572625800446102,0.6498429076170043,0.08291524630973152,0.7455458472499439,0.1420610831976966,0.690750405037522,0.15708930712188254,0.9807592062971332,0.7213508133452678,0.8603259872252804,0.4279081839227241
9,3.6816354689368613,0.5709423368363519,0.9141472181253314,0.550735779135814,0.7500366091049852,0.01805568139382427,0.9856221339135588,0.9194653813818613,0.9098175829506001,0.4574495671548181,0.9777674966915078,0.7037363746166793,0.7807184433232225,0.05435381396499796,0.9519360397532506,0.525608591273897,0.8597425951913833,0.0900832051374229,0.9002618613176582,0.17041433956729396,0.9501360306301165,0.5665069681376882,0.9651686510435975,0.6867706047455221,0.8173490404140732,0.2926996555159038,0.9477370026727056,0.4504245478163919,0.814681468032715,0.1963085581746743,0.9707612802449347,0.8699990357083355,0.9240596341801017,0.6076992550718759,0.9565054327325413,0.5370541986847837,0.8807501948474744,0.09570875434685273,0.6931268357301079,0.08126748335028727,0.9694652961460447,0.7228634915723633,0.952220189537802,0.7849040486064106,0.9894717513580216,0.974925193509613,0.755218049176892,0.12078772029649244,0.7479850013696829,0.17594466575742687,0.7687551267233343,0.21720893387711243,0.9834665404963973,0.6508175948590366,0.7847470974668382,0.07452585910870309,0.8852464667842547,0.4294933075098549,0.5756130282477454,0.8981228434374219,0.4602443032784014,0.9840756206636423,0.9041181587461996,0.9656806310445784,0.6504098140613782,0.9221681524224471,0.42502213623752816,0.900027734586558,0.1620533768299191,0.9457715063008351,0.5384508992349106,0.7935458709856845,0.27074421000193083,0.9416127335521945,0.3675183750877633,0.7883491874524329,0.17314147691579834,0.9601292507374365,0.8328531339370848,0.8903012482469986,0.5024564032610455,0.9393304099186452,0.4684570567101262,0.6615856476947786,0.06417877408846578,0.913451366624668,0.693334993237398,0.986085780632894,0.9684776240272046,0.7443274917223519,0.11426915881100702,0.7086530647108255,0.15257614308070358,0.7487369792364088,0.1993445372262183,0.9831029201325924,0.6452054334436389,0.8776346547422837,0.4522555793798274
