epoch,train_loss,train_accuracy,train_1st degree av block_rocauc,train_1st degree av block_prauc,train_anterior myocardial infarction_rocauc,train_anterior myocardial infarction_prauc,train_atrial fibrillation_rocauc,train_atrial fibrillation_prauc,train_atrial flutter_rocauc,train_atrial flutter_prauc,train_bundle branch block_rocauc,train_bundle branch block_prauc,train_complete right bundle branch block_rocauc,train_complete right bundle branch block_prauc,train_early repolarization_rocauc,train_early repolarization_prauc,train_left atrial enlargement_rocauc,train_left atrial enlargement_prauc,train_left axis deviation_rocauc,train_left axis deviation_prauc,train_left bundle branch block_rocauc,train_left bundle branch block_prauc,train_low qrs voltages_rocauc,train_low qrs voltages_prauc,train_myocardial infarction_rocauc,train_myocardial infarction_prauc,train_nonspecific st t abnormality_rocauc,train_nonspecific st t abnormality_prauc,train_normal ecg_rocauc,train_normal ecg_prauc,train_premature ventricular contractions_rocauc,train_premature ventricular contractions_prauc,train_prolonged pr interval_rocauc,train_prolonged pr interval_prauc,train_prolonged qt interval_rocauc,train_prolonged qt interval_prauc,train_right axis deviation_rocauc,train_right axis deviation_prauc,train_s t changes_rocauc,train_s t changes_prauc,train_sinus arrhythmia_rocauc,train_sinus arrhythmia_prauc,train_sinus bradycardia_rocauc,train_sinus bradycardia_prauc,train_sinus tachycardia_rocauc,train_sinus tachycardia_prauc,train_st depression_rocauc,train_st depression_prauc,train_st interval abnormal_rocauc,train_st interval abnormal_prauc,train_t wave abnormal_rocauc,train_t wave abnormal_prauc,train_t wave inversion_rocauc,train_t wave inversion_prauc,train_mean_rocaucs,train_mean_praucs,valid_accuracy,valid_1st degree av block_rocauc,valid_1st degree av block_prauc,valid_atrial fibrillation_rocauc,valid_atrial fibrillation_prauc,valid_atrial flutter_rocauc,valid_atrial flutter_prauc,valid_complete right bundle branch block_rocauc,valid_complete right bundle branch block_prauc,valid_left axis deviation_rocauc,valid_left axis deviation_prauc,valid_myocardial infarction_rocauc,valid_myocardial infarction_prauc,valid_normal ecg_rocauc,valid_normal ecg_prauc,valid_premature ventricular contractions_rocauc,valid_premature ventricular contractions_prauc,valid_right axis deviation_rocauc,valid_right axis deviation_prauc,valid_s t changes_rocauc,valid_s t changes_prauc,valid_sinus arrhythmia_rocauc,valid_sinus arrhythmia_prauc,valid_sinus bradycardia_rocauc,valid_sinus bradycardia_prauc,valid_sinus tachycardia_rocauc,valid_sinus tachycardia_prauc,valid_st depression_rocauc,valid_st depression_prauc,valid_t wave abnormal_rocauc,valid_t wave abnormal_prauc,valid_t wave inversion_rocauc,valid_t wave inversion_prauc,valid_mean_rocaucs,valid_mean_praucs
0,4.598753175868816,0.6085653859710962,0.7748784814988625,0.09437968175176846,0.7574210195962042,0.019966094935244157,0.8918246238385722,0.12830648752780743,0.9689736844500189,0.77061153028064,0.9471782882184165,0.5696819682549517,0.9813550707498172,0.6094700439043541,0.39390914411190214,0.006917244026406781,0.7902285447761195,0.029393583652506734,0.7995830634162631,0.48266678392168905,0.9558554379176581,0.39095088832063596,0.4182574266068071,0.01578946372278477,0.8106776810012651,0.33374126877232446,0.4683581910704582,0.007656945690018447,0.9368953995559791,0.7410436299038099,0.8534420801787815,0.20557937314867666,0.7573788422194015,0.025851081037064103,0.5064714814471466,0.009520951885668644,0.5240623180166375,0.01817519997060788,0.6021415999925483,0.11334076905425762,0.794069695088781,0.33439675765972365,0.9712099791398038,0.9150700118350065,0.9222965815143523,0.7908389733186353,0.5712291125167693,0.05780149390580665,0.3504687143981606,0.009396144234427138,0.6467093221663053,0.2563925238878506,0.6353716458018741,0.0863373576371803,0.7319325934341888,0.27012600970153255,0.631597497576879,0.7594454165108209,0.08888424131445982,0.8786109420445004,0.11410503977977621,0.9708917745678209,0.7980090112888429,0.9799418282687231,0.5605642811011126,0.8031399220741445,0.5044753832038431,0.8078515623678004,0.35526498380296945,0.9302427957814408,0.7329853030089514,0.8362630329896922,0.18190776948304713,0.5062900799619983,0.018910353334812235,0.587581963262126,0.1087504199860173,0.7987583147310432,0.36155186958937985,0.9695908218048354,0.9074912811214271,0.9206916328349342,0.781036815774964,0.5786584127275347,0.05655421542952611,0.6497393325223376,0.23350989059002875,0.6699493459269092,0.09846532517187863,0.7904779486485414,0.3689041364988148
1,4.065922617113922,0.5931735401245447,0.7652271912765269,0.1783859322951378,0.7564100764436459,0.016407879512937013,0.8287275626612005,0.07503367671652181,0.9637376141940005,0.7985722473738865,0.9282189074717325,0.4920517114065043,0.9844107928226841,0.6574360545486454,0.516469303748668,0.006359929737049093,0.7727293666968332,0.021667055862006127,0.7961608294407011,0.35149427491688023,0.9542243965016578,0.2178722250563087,0.4492382007709213,0.016399836449632704,0.8115177788032021,0.33626894597040524,0.6020921905827685,0.012376379733651395,0.9457567089538498,0.7956675658161283,0.9245875327573339,0.37635796993153975,0.7183694635005283,0.028231981610458416,0.49020120026163183,0.009539663226669133,0.5150855819970264,0.018185861197359942,0.6721638197862292,0.1596508589862246,0.8265081884752699,0.537935858637612,0.9400532382541579,0.8869100306887443,0.9408436879213141,0.8274047612397092,0.6355460111957424,0.0822013879166329,0.3786986427284214,0.009807402017594734,0.6602076836303549,0.28372578030762213,0.6699438337599479,0.09414094046814576,0.7479665309475519,0.28038793121630795,0.6088642171116397,0.7354979405188017,0.15011667850223004,0.8139646146925167,0.06818707483736475,0.9637593808295962,0.8047664162958246,0.9840075046653707,0.6574275883158847,0.8033800531243064,0.38335181188071454,0.8050324724770798,0.33784841571958546,0.9413473106259214,0.7822267640508663,0.9117835288052962,0.34370721507320257,0.498309714195234,0.01927700706355487,0.652484312599071,0.15063267057792823,0.8250684742556504,0.5564520012143521,0.9385426493516322,0.8808094863162279,0.93362273492425,0.8044557695119957,0.6371469647280066,0.07714566713405885,0.6671134635739846,0.2654532097138917,0.7016467939981628,0.11175405024648334,0.800794244585305,0.39960073915338534
2,3.860011334845608,0.5788978968393843,0.7411118174900367,0.12437556663597314,0.7642646259635669,0.01804670012839844,0.867503211766778,0.16348585693535297,0.9482079541016856,0.6741663606365724,0.8772813975791622,0.3892477823552536,0.974019131258271,0.6310133191128151,0.4894362216633053,0.005340214015924095,0.7978525774726557,0.020153721499087108,0.8858053176417249,0.5116507218636785,0.9219305192744542,0.13489376156311667,0.44874850260048277,0.014936641838470889,0.8557996345341092,0.41116154457144166,0.5236399307790605,0.007466911810665183,0.95937162871576,0.8401643130165432,0.9096413032180731,0.2780705991116287,0.700257831384442,0.02191966190080183,0.45336384202177515,0.009377274635382824,0.6622866117991912,0.0255871527398149,0.5636498599971215,0.10963659190722119,0.8620789201630373,0.5360278272267223,0.9370174590517641,0.8499167756984125,0.9323375089893844,0.8052471745631706,0.568284764650875,0.048821608685656284,0.4128514872506577,0.010326183306516313,0.603514195272359,0.22981512914072832,0.5990881981590191,0.07497834389615188,0.7407440174153367,0.26714722072290387,0.6070138338179575,0.7210945994925697,0.089045921953549,0.8569982149773504,0.13368343753179393,0.9492641405339625,0.6835036518407153,0.9709658945128118,0.6197330050388006,0.8922746618492463,0.5465769633190481,0.8510650430992178,0.3925146115952993,0.951962826614077,0.8207563069886223,0.895490415320257,0.26144897026608227,0.6360444761125625,0.0266736709950433,0.555204153516459,0.10692130736788802,0.8552606244176522,0.5251108146194179,0.9353875802666397,0.8470033582476514,0.9268312506188732,0.7914523315578055,0.5693919791106976,0.04778660158389273,0.6030981763493475,0.22288285435840166,0.6274908237516368,0.08751601078108487,0.7998640537839601,0.38766311362781847
3,3.72680556204075,0.696040418282223,0.798908372324365,0.26032371438571145,0.7542638589201633,0.018354705280133665,0.9029733847083214,0.24172260679898114,0.9782077822638786,0.8651222135123676,0.8767243109734866,0.45042395161422405,0.9751829094570302,0.6200584016700645,0.4900274798333481,0.005925161473210463,0.7865024489702129,0.033938636954620974,0.8061071505337746,0.41381747560739485,0.946864148853531,0.39545971328460855,0.48040098462344183,0.016383293012220964,0.8631436175695034,0.47075936223229664,0.5971213624638754,0.012723577945020615,0.9682114798039368,0.8619008684574141,0.9295737651908121,0.345822322113948,0.7852699425999498,0.06749050149768916,0.5058837648369608,0.009748256906763633,0.5708075659125439,0.03515582650604392,0.6164678683596498,0.13733252293208353,0.8906794040600402,0.6712711103614448,0.9593329454137078,0.9240274850792219,0.9527328719463332,0.8580773192894284,0.5938483974393923,0.08947072478026485,0.3485362465563312,0.009293881761325177,0.6379491579355786,0.26144160386673687,0.607126126533069,0.0749981665860058,0.7547248980032014,0.31350166938112406,0.7014714952859282,0.7755680798363069,0.19425416907944085,0.8925852997851719,0.20957249809380415,0.9755704312352467,0.8542513564616665,0.9786578425812398,0.642257503006048,0.8100582912957279,0.44065570588594205,0.8476759080956134,0.4485613042607092,0.9636512640531323,0.8446679387779977,0.9248749147853543,0.3325092719704918,0.5419453021226436,0.03052966660760114,0.608205136917565,0.1293062588788104,0.8916053236798474,0.6520681600849605,0.9580735748506032,0.9219344232031415,0.9465127240320824,0.8465608001095752,0.6034652784148243,0.08488960382406785,0.6349904710268813,0.24251360475506198,0.6332417082458535,0.0836417342181359,0.8116675969348809,0.43488587495109093
4,3.640266437309775,0.6530959934202797,0.8528212294983488,0.31996645681958624,0.7647051119181499,0.018301328980600273,0.9008215549184314,0.2922104902944339,0.9713894957729208,0.8294495789545457,0.9102137100951702,0.48505135674670985,0.9777881318479601,0.6213061345226006,0.5301513735579997,0.006291948488100093,0.7868867852824932,0.0194316735919266,0.8145199624750548,0.4075608105777698,0.9634787320592336,0.40844139071519947,0.46227565650232344,0.015574226928419062,0.8801383505668009,0.4480700479245465,0.55288924306956,0.010792143545764665,0.9684151153443349,0.8714911415742725,0.9426530594448241,0.4166806355324179,0.7981849224334702,0.05958635655277136,0.45392768515943405,0.007413316061850653,0.6154715951421219,0.05004400730639072,0.5705820982433762,0.12261768649154065,0.8976672949563902,0.6777804727957322,0.9717010052788917,0.9372880935366201,0.9126188682029268,0.7700792995427094,0.5502670250971962,0.05768695980381585,0.4160932936491497,0.01040914165920766,0.6157402831352319,0.24867915336168697,0.6099624944720151,0.07448192976419206,0.7573601568509158,0.3148725300797465,0.6673715745880694,0.8389276686117,0.2754817913113541,0.8796096044803587,0.23194439356872332,0.9705927680857057,0.8274774554170087,0.9790980821472559,0.6226001420104631,0.8192941126939535,0.417378427088366,0.8666261536274752,0.43508836036550524,0.9628077416363349,0.8456882517845099,0.9326381429175006,0.3968409614008091,0.5900931570474759,0.036761873099621506,0.5613607323868871,0.11252275374747803,0.8934889638923216,0.6652197198180196,0.9709840451376498,0.9347435454249816,0.9069415981780373,0.7560850425398583,0.5634258447783297,0.05816710229273232,0.6104409346703411,0.23650883488455823,0.6284167701285623,0.0877745965516499,0.8109216450262431,0.4337677032066024
5,3.566548853079646,0.7126072141933968,0.8515172257843706,0.29478979824268947,0.7837130615960921,0.023602838205897633,0.9040814297213636,0.39435860823853347,0.9733800485024567,0.838809773431282,0.8715043433779495,0.2979705732826762,0.9851960335267915,0.6697203982432509,0.5466664696786141,0.007362375790344105,0.8059763357537277,0.026468774021050325,0.8146082889467012,0.4417977162800919,0.9372748597697995,0.462513868051064,0.5056153528585011,0.017274734559712745,0.8594968820026896,0.5040099315198081,0.593973404038582,0.011077931727308934,0.9727813470383445,0.879230498100442,0.906785549558408,0.3637865384683736,0.8128230994768484,0.0784472300730651,0.49877081123025313,0.009100908872014256,0.6835865189571764,0.05965212717580305,0.6510178382892817,0.13893349114255016,0.9092345971500545,0.6824145034345723,0.9648585906506402,0.9235003147117764,0.9485511117048401,0.8633255078101622,0.5958152197862159,0.06914667174963099,0.4449333727758561,0.01093848010707118,0.7059567446313753,0.30915178081534095,0.6537224468983608,0.08131331628034005,0.7762246532194343,0.32533456501287894,0.7257027050841484,0.8345349868626292,0.24466704260819064,0.8915189772926835,0.31084436997735926,0.9708247908361022,0.8357254416440794,0.9864335530449718,0.689293849941837,0.8148434210828478,0.45399106101286407,0.8467372690629854,0.47377705281835364,0.9672478190245727,0.861561985219004,0.883872299949695,0.3191684584382467,0.6521424361579535,0.0505397679060101,0.6388923185666445,0.13200037636212217,0.8982941958039988,0.6531272696039249,0.9634384865368755,0.9174826501905463,0.9448218635508465,0.8496063915681703,0.6076202666531247,0.06672887030263538,0.6943413974283351,0.28069383302119016,0.6730773119339604,0.08927365553400904,0.8292900871117641,0.45178012975928394
6,3.5017691434249096,0.6595875925273176,0.844576654506581,0.3445506331852382,0.761855708607731,0.02094456566664825,0.9404295326167595,0.5095280243950807,0.9778249488549916,0.8758791602033236,0.8805636534736951,0.4138322593863578,0.9811583204844965,0.6175460120554809,0.4567164326110487,0.005858168607414308,0.7811404105714912,0.02121342743351442,0.8473746797724343,0.4891253265663169,0.9575868734975336,0.6527144383359912,0.49490956480831383,0.017221737478861073,0.8564514593756631,0.43073764828932115,0.5788076181622077,0.010350045552207313,0.9768658515377052,0.8994943013642499,0.9344181856791383,0.341240189153667,0.830803959414055,0.09761909692504911,0.4546975375881119,0.008563237030859759,0.7059921529587445,0.08563179787508064,0.5593223109941825,0.11653540126788446,0.9165149925772934,0.6956401981547599,0.9694584241816236,0.9323828959390137,0.9600110410870227,0.8575275441617007,0.5489098664248213,0.062008296314999135,0.41417726738405447,0.01046680864881129,0.667560613519966,0.2879384404055262,0.6107195051153009,0.07412676494232709,0.7657249063771142,0.3414875545899879,0.6901048550533087,0.8181038645524898,0.2741138936607411,0.9298503539974163,0.41365349156889986,0.9749359173703338,0.8680633753499349,0.9771606941203254,0.6165823277454768,0.8486484686574247,0.5042027684446987,0.8402723440762689,0.3928401562445408,0.9710416923222809,0.8792257168802524,0.910772668926365,0.3115624529579109,0.6793585446740383,0.07211345526208308,0.5503521417519949,0.10983771998479656,0.9053511962234301,0.6692550062059488,0.9678601066524027,0.9285564171883229,0.9563553619170213,0.8472653130712336,0.555865000917347,0.06057786319535902,0.6574201344000697,0.26629318444196953,0.6283653632282475,0.08372755293934603,0.823232115861716,0.4561169184463447
7,3.442214374466041,0.6424333215838327,0.8545183815198681,0.31124332058850057,0.8259465716669206,0.02732570185200124,0.9121831664077831,0.5187493966126354,0.9674426960892535,0.8264796756907743,0.757412080231263,0.1996891616072361,0.973096613045479,0.6219799594660335,0.5326246026611322,0.00723352533719844,0.8064631359721995,0.02927646630411452,0.8840929899470398,0.5974491365244885,0.9482682121599003,0.4259458188116093,0.4775327017337482,0.016856530286749157,0.9296695821218706,0.6852387121889578,0.6461128974583913,0.016315750139229337,0.9714861673103995,0.8741768656875981,0.8991389231483902,0.40066092054373353,0.8109906527470024,0.09580377571999513,0.5310460829908429,0.010710243750228533,0.668988352454803,0.06909699938174112,0.6435161066301138,0.1453885148215733,0.9264021529410533,0.7064912918592222,0.9610753549379226,0.9176873843414494,0.9103643716299658,0.7307656982292395,0.6461397834908262,0.08522809824735546,0.4870684733413426,0.012333928099877522,0.6697459037504188,0.29352803314445614,0.655785121370421,0.09541568259600455,0.7806581183753212,0.33542579199353856,0.6992686580315446,0.8307366423219045,0.2310967922817629,0.8996947178244856,0.42671107486246507,0.964480796928482,0.8217763655093375,0.9731630572773381,0.6110252254199051,0.8886956987683429,0.6144378752963817,0.912403631705592,0.6188960802655344,0.963960132420568,0.8516364597856672,0.8754522508748461,0.343435746351984,0.6472593882775182,0.060117026780891106,0.6322470023848167,0.13397386765919692,0.9136634641639668,0.6753948845867781,0.9599738743751307,0.9134025447627292,0.9118021982374493,0.7252927582996417,0.6542922421927215,0.08225317645527125,0.6607664454818771,0.2696221016525191,0.6748171360896972,0.1167175153860199,0.835213042457796,0.46848684345975533
8,3.4094607660849134,0.7166607919163436,0.8944590853768919,0.3267207965694181,0.7712880864623357,0.022973896680147318,0.9377999260617174,0.46638920965604896,0.9807348847350661,0.8693137834050282,0.8825962798899515,0.38448144305867094,0.9839069057567595,0.6548324402603836,0.49241493092996147,0.006623824924685712,0.7463190325021035,0.018218727324797464,0.8594091549183771,0.5095035937069121,0.957076249329174,0.42981991496967753,0.5320606018930734,0.020822934998176862,0.848834643975725,0.4755322437437964,0.5385874495729417,0.010382746786764352,0.9751257971771666,0.8950993394408163,0.9332431286491475,0.37320714355165135,0.7980681211033446,0.08368478881268429,0.5005700126867388,0.008753359021954885,0.6349139757529028,0.06109291073901148,0.5939559182266265,0.12989240928309495,0.9225931755183893,0.6994070877867705,0.967181966031252,0.923764320718322,0.9355347281082548,0.8202171630818225,0.5839716949702246,0.0816781066858566,0.4477554982186134,0.011624260221728046,0.6118539766630487,0.2646559619911382,0.5227669054038003,0.061027539325228634,0.7635777742274457,0.3311430748747919,0.7305489470437924,0.8708270464248865,0.26492683986624815,0.9243665815853985,0.387774336263769,0.9799562303178052,0.8703539122152859,0.979996649504188,0.6367178059448232,0.8634388419819806,0.5320454886407018,0.8248143704671367,0.4185149972447493,0.9663772208809958,0.8601689262729336,0.9105628816353012,0.33707474623131367,0.6091129408246025,0.06332249422756511,0.5832156761801208,0.1222434835096689,0.9111857235751303,0.6788771572015146,0.9653559852877817,0.9145092785419474,0.9285240122784434,0.806393054751612,0.595288501546385,0.0759174538975694,0.6012876714568091,0.23770190866545982,0.5484456762052778,0.06723899412485604,0.8164222506345151,0.4546113048500012
9,3.358827145815932,0.7544060627423335,0.8710912989401317,0.30646312182261076,0.7788755494637715,0.022533869497724575,0.9361979188714104,0.584654945523574,0.974569916282423,0.8480429417362101,0.886721175928031,0.45797115972015445,0.979613971275038,0.6846383356598466,0.4748770404985385,0.006546766500347719,0.8457607782086725,0.03877725209173716,0.8785174442752631,0.6237549624709592,0.9611776687234581,0.4137033927249029,0.5458027520433271,0.022425509663475566,0.882250312276396,0.5305572557897669,0.5997613850179291,0.015870772124525534,0.9721973051989318,0.8766066906035035,0.9036708011396807,0.2369801561943778,0.8661417739076149,0.09342996688552828,0.5154574565062884,0.009560789035809626,0.6496696493638107,0.051373669239772796,0.6444128307220053,0.1453174039583728,0.9378725276385043,0.7373965799255535,0.975120741245597,0.9411089857732271,0.9591403403645813,0.8916130159057125,0.6160037238337888,0.08816265422731341,0.46985375411686725,0.011736790718331055,0.7057643826868968,0.3183586897046654,0.6586090407049547,0.0906608525629239,0.7880435207397659,0.3480094819254203,0.7415631333157107,0.8536477192852436,0.2494028186308686,0.9208894560973439,0.4742155368918104,0.9735585643868692,0.8476275089509608,0.9785028404078702,0.6696402876085896,0.8797722697245037,0.6396033426042534,0.8660773450746411,0.48989843148533435,0.9634130513694654,0.8421414866247185,0.8628750817364969,0.20993906496088302,0.6170475637540795,0.04004017730844574,0.6285416663374177,0.12945519787109872,0.9289194297987573,0.6886343348942389,0.9726042552605985,0.9283905379414917,0.9538077037330428,0.876533641385066,0.6243867289370568,0.08853058731069155,0.6869441148544363,0.2900618529241724,0.676534250994463,0.10211065209738351,0.8367201276095179,0.47288909121812545
