epoch,train_loss,train_accuracy,train_1st degree av block_rocauc,train_1st degree av block_prauc,train_anterior myocardial infarction_rocauc,train_anterior myocardial infarction_prauc,train_atrial fibrillation_rocauc,train_atrial fibrillation_prauc,train_complete right bundle branch block_rocauc,train_complete right bundle branch block_prauc,train_left anterior fascicular block_rocauc,train_left anterior fascicular block_prauc,train_left atrial enlargement_rocauc,train_left atrial enlargement_prauc,train_left axis deviation_rocauc,train_left axis deviation_prauc,train_left bundle branch block_rocauc,train_left bundle branch block_prauc,train_left ventricular hypertrophy_rocauc,train_left ventricular hypertrophy_prauc,train_myocardial infarction_rocauc,train_myocardial infarction_prauc,train_nonspecific intraventricular conduction disorder_rocauc,train_nonspecific intraventricular conduction disorder_prauc,train_nonspecific st t abnormality_rocauc,train_nonspecific st t abnormality_prauc,train_normal ecg_rocauc,train_normal ecg_prauc,train_premature atrial contraction_rocauc,train_premature atrial contraction_prauc,train_prolonged pr interval_rocauc,train_prolonged pr interval_prauc,train_qwave abnormal_rocauc,train_qwave abnormal_prauc,train_right axis deviation_rocauc,train_right axis deviation_prauc,train_s t changes_rocauc,train_s t changes_prauc,train_sinus arrhythmia_rocauc,train_sinus arrhythmia_prauc,train_sinus bradycardia_rocauc,train_sinus bradycardia_prauc,train_sinus tachycardia_rocauc,train_sinus tachycardia_prauc,train_t wave abnormal_rocauc,train_t wave abnormal_prauc,train_mean_rocaucs,train_mean_praucs,valid_accuracy,valid_atrial fibrillation_rocauc,valid_atrial fibrillation_prauc,valid_left anterior fascicular block_rocauc,valid_left anterior fascicular block_prauc,valid_left axis deviation_rocauc,valid_left axis deviation_prauc,valid_left ventricular hypertrophy_rocauc,valid_left ventricular hypertrophy_prauc,valid_myocardial infarction_rocauc,valid_myocardial infarction_prauc,valid_normal ecg_rocauc,valid_normal ecg_prauc,valid_t wave abnormal_rocauc,valid_t wave abnormal_prauc,valid_mean_rocaucs,valid_mean_praucs
0,5.118986559372787,0.5079001602931074,0.4408787891664324,0.04029901365619011,0.6593648469700356,0.027125783508897505,0.6649625173137612,0.1882112645350759,0.9459832233114736,0.24884148558773228,0.9218987229928213,0.3918023936511871,0.4095812264680444,0.015663735580505184,0.7441594060548459,0.5239554928050365,0.8570179684635131,0.08850800247917652,0.6258902156679924,0.16547119745345926,0.6495759261069195,0.44148675967997086,0.43214290421105006,0.03469601210017826,0.5942613055686934,0.025563224406924885,0.8858302618626367,0.6617036441276525,0.49984970810190443,0.02001471867874363,0.5232154896216791,0.023431328111460033,0.5553831854613356,0.036992098325826436,0.40717230573483226,0.012573187120657308,0.7297345052048464,0.08626505023974816,0.5880438063135041,0.04700212002240653,0.7028406696832196,0.11930377501491848,0.7255863577321977,0.18710994217111432,0.8030528421111919,0.35515294824222765,0.6530193720055877,0.1700533262499586,0.5178571428571429,0.6639143825977831,0.21791058614160755,0.9141544870621662,0.4197177898771405,0.7470888555253418,0.5173964075144895,0.6488170109532464,0.19504651012647745,0.6256594806146042,0.43935846627053365,0.8889494828873545,0.6762723854710819,0.7988437897044143,0.31052349661966355,0.7553467841921302,0.39660366314585627
1,4.737992951054854,0.44637813907335316,0.6544045688995809,0.07201598024526269,0.6834964659663973,0.025475482216655847,0.8089067165451277,0.33544615327642907,0.9715596042766392,0.4321903587966348,0.9270789619707136,0.4866760592048003,0.5738740410048953,0.02338549215788601,0.7617253531958872,0.5083032887829627,0.9596492220650638,0.266025172631333,0.7131979851447949,0.24186847103415599,0.807715476352297,0.6267172085539059,0.46604777092098804,0.03403778763973545,0.6818535410830459,0.03007469265331646,0.9045200980359361,0.718909701859952,0.5756973446479494,0.0356603182303077,0.6738266217804534,0.04066371109914781,0.6059243030518883,0.03294125977146167,0.5947911210621876,0.02073344854641606,0.7857217311364358,0.09255977509047203,0.5951947518830556,0.05421928299287818,0.8241694069022175,0.29706225580740137,0.7974527944468487,0.20884855346696335,0.8514181945207564,0.42033146428991264,0.7371920943133254,0.2274611781067268,0.5082417582417582,0.8096937485997396,0.39001349943130703,0.9205493241299972,0.478026303105493,0.7694593472177018,0.4946579411316711,0.7320629646160385,0.28241309292825234,0.7906470179888164,0.6107117472205644,0.901344605063553,0.7172528273643185,0.8475433342150783,0.3815796447723133,0.824471477404418,0.47923643656484566
2,4.557431630802176,0.5432409739714525,0.598006213677281,0.06710228747685115,0.4856814246207128,0.01625434730430665,0.7849674163082366,0.3052820964563232,0.9261568334629643,0.416203600125065,0.8762981204244469,0.27597921259794095,0.3932879949151763,0.01497983294483455,0.5685927921182874,0.3550569540447559,0.9409105767719629,0.23264912803171275,0.6549068082750101,0.2980699052002132,0.611591177765357,0.47948574710648445,0.3705291570980953,0.027050885602600768,0.4560302429957236,0.01798506237023457,0.9145642949423718,0.7457673241095765,0.5853940998393634,0.037743424385926955,0.5564084416707933,0.030378507541225452,0.4946378771154406,0.0362921679233462,0.47766890041355414,0.032727333188699234,0.6728803415819249,0.08017442154412742,0.5927378159802605,0.05429377048222248,0.8150083742163068,0.2890841834315389,0.8443974004518796,0.2965277040281708,0.8001463192792126,0.3536106874166308,0.6554910283601983,0.20284993560512674,0.5290750915750916,0.7851041793736561,0.35386317722932964,0.8642783892999596,0.2939411372791087,0.5585358185676306,0.3399111886132304,0.6514101050050933,0.3209390726999306,0.5894950450130366,0.47096129987290064,0.9091386275729423,0.7293291338998718,0.7980215181281444,0.3296886582769352,0.7365690975657805,0.4055190954101867
3,4.435080873776043,0.5111060224410351,0.5539003817766999,0.08975655710958724,0.5806045105488888,0.023544296411472182,0.824687832680833,0.3344897686286091,0.9622431973326281,0.3934673096823897,0.8324636064456135,0.2926693698289889,0.34275850426055565,0.013679091325669754,0.6675702111536446,0.4359795786666092,0.9490638587668291,0.2783279895815059,0.6600953788451022,0.318140384843865,0.7281100364405141,0.5345959348783365,0.3722747280988169,0.02819487008045408,0.46757841052286914,0.018621994988963553,0.9253949573888434,0.7987027191134357,0.5629999564088434,0.06289236753820945,0.5417851219206606,0.061260093236817845,0.43231194559624764,0.021272718401422423,0.5556514695446858,0.021962344319471007,0.702555203507479,0.08362492567732882,0.6244776031147449,0.08032711720606972,0.8599246638138573,0.4331789774603657,0.8110329188500315,0.17894447239330386,0.7856442032819377,0.3811215201149468,0.6701422136500148,0.2220342909767192,0.5684523809523809,0.8270175111283329,0.3924483996488952,0.8023773832660804,0.3174206821017395,0.6600694918358466,0.4203729319151328,0.6494341854897783,0.3275204532637418,0.7030090682000798,0.5130233126231053,0.9148499893423813,0.7678968932392826,0.7766747088910075,0.31970738928478837,0.761918905450501,0.436912866010955
4,4.320601539824375,0.44637813907335316,0.6497781413227517,0.09504211031403015,0.5652251169522629,0.01966678957268252,0.8145917926983286,0.44300950969883296,0.9256699768638242,0.4571146220491677,0.8354875146912639,0.4031554633539184,0.37511000214807344,0.014370368470863634,0.7683855526686034,0.5618615171405923,0.9432902718843313,0.3008580659173332,0.5862692869816316,0.2117187925276364,0.7167028331512069,0.5335319891105096,0.3976927524867303,0.029460191631016132,0.5403683136487063,0.02306633602648982,0.9278631582007046,0.7972925209405666,0.6371325737194773,0.13372746249435957,0.6559891622764887,0.058161052754183276,0.49060437041493743,0.02448613187514068,0.550973414590466,0.021117054642859526,0.7246262676527326,0.08989712364499247,0.652791112681867,0.09691144892423892,0.8716935608522857,0.4348266004280779,0.8551530476452123,0.3538942703121789,0.8199306091903127,0.42506925509012117,0.6956967651237363,0.2512835762236269,0.5501373626373627,0.8131675903402164,0.4909285983802554,0.8079856662686689,0.39078367711640377,0.7672840089451637,0.5447768139471854,0.5672213051212673,0.19202425282252394,0.6928760788643705,0.5153429386610908,0.9199913243244254,0.780789524769602,0.8038448815295732,0.3469772300798625,0.7674815507705265,0.465946147968132
5,4.21276655883955,0.5465231661705213,0.7697730422503906,0.2384632548887234,0.6325610379066724,0.03467941105642184,0.8296445320968007,0.4572230878188079,0.9672298377703992,0.40072313372102275,0.9148830781038476,0.6219499317793712,0.4270095982976676,0.02050421948646977,0.5781578258390337,0.44064527205406584,0.9755547173764996,0.8026699737536089,0.7125298931003553,0.3335960728515359,0.7694842735273166,0.635412324337119,0.46961774037843773,0.041393726803881224,0.5079903820394178,0.02906747264356318,0.9359832033651967,0.8273126539317494,0.7047782413765957,0.21141014717498832,0.6898055891986707,0.12449211595089395,0.48704581784637246,0.02592721560088529,0.5063228300021956,0.02551002837532591,0.7248267734765541,0.1073333606835392,0.6908960497276375,0.13023251272976663,0.8589159465828751,0.4456203278268417,0.8197094114631142,0.27291884892424495,0.8184512985087057,0.44311389852029515,0.7177805054652162,0.3031908632233237,0.6069139194139194,0.8132186176230696,0.488394920009786,0.8957412781830385,0.588185236132871,0.55812110734313,0.4098302447571608,0.7027754701951681,0.3596816255328031,0.7430195630428484,0.6050647290481705,0.9233229831858926,0.7903222181007166,0.804350849286112,0.38063190443076833,0.777221409837037,0.5174444111446108
6,4.132829721988899,0.5415617128463476,0.6315134929299401,0.17643787200330788,0.6344875005131152,0.023670292144873102,0.8756189606948221,0.5448216295679545,0.9740780322800978,0.3832971195902296,0.9339384141521311,0.6396702222045977,0.39384832081760335,0.01781590342352803,0.5991693807290774,0.4464422598016309,0.9590945570747552,0.6058835828563962,0.6987597652023904,0.3629233694118247,0.8047588834592899,0.6717524754918022,0.45832548078982316,0.03482266097586197,0.45870097998683645,0.02068725048728862,0.9232292325111705,0.7724300935133371,0.7237810578858028,0.2278859677020584,0.6690187430269259,0.09576048365406432,0.4900572316241804,0.03860367933859045,0.5954580230178588,0.03838417292195003,0.6683037071713288,0.08934556102654576,0.6938940532802952,0.12253719468051147,0.8628082103315173,0.41645723327557943,0.8923946770457476,0.5355991400308929,0.7970785276757344,0.41542608975061907,0.7153780560091111,0.30366610244788383,0.532967032967033,0.8643607118624879,0.5913164169296463,0.9141661074361678,0.5934284385435956,0.5792821704503963,0.4171643929226465,0.6812992912102815,0.3639256065892739,0.7891392042504113,0.6589813763812783,0.9143389222467508,0.7535905304192585,0.7866647611506713,0.3693762447598263,0.7898930240867382,0.5353975723636465
7,4.061391732845768,0.5263720326692619,0.8576465656440193,0.3081270165646052,0.6326315437394621,0.02719243042602787,0.9295591324312886,0.6208524154518055,0.9753029467038846,0.453988772682454,0.9555879869029908,0.6794359508519129,0.35229695823981444,0.01408148943298753,0.6721944906361116,0.4552262096653589,0.9840875897113521,0.810301084402603,0.6272906056859714,0.238601511642062,0.7583390054127008,0.5855358988513288,0.4700669003759337,0.04292253427386993,0.4438404371078647,0.019213493370417563,0.9396052964548078,0.8284153131706012,0.7630498585239254,0.2458818218723648,0.8079611625867347,0.1372262470474214,0.4332267495654972,0.02190121356875723,0.6848680320922212,0.046767923637082195,0.6326189246989615,0.08336119140639439,0.6990376993926576,0.173268789395003,0.8675806666765479,0.4612701926508798,0.8806081048590992,0.5477391512085626,0.7530230929211308,0.3999390713227037,0.7327465341074081,0.32732953285887295,0.519459706959707,0.9217847430018872,0.6410972864717798,0.9426781475961804,0.646581349373239,0.6632454448842368,0.43600721926810004,0.5986123182912167,0.2262293833742345,0.73907333817991,0.5642133610346176,0.9246127420245487,0.7846270236747102,0.7433684196822048,0.3166215898388222,0.7904821648085978,0.516482459005072
8,4.012106035858718,0.4143958476452179,0.6082648281677987,0.17785263130348142,0.5241954733354922,0.022591092104636543,0.8361250795152201,0.5506533760331008,0.7424940679003328,0.24701806934412718,0.7750246858544216,0.38994163243247565,0.3975740628635897,0.014771745688187841,0.6380586846254502,0.4405886312600947,0.9516858923987637,0.7863640386464344,0.6622789951394051,0.3006298883559452,0.6351971188195179,0.48396372750098865,0.4307567929992653,0.03341776811284572,0.40357432255888026,0.019050446814302666,0.9374775075690667,0.82335367241904,0.7295803082480324,0.24693043643654877,0.6465091373374938,0.1074269409276058,0.42087375751720113,0.02306977332465248,0.5534461971227302,0.07554506417315406,0.629316256496948,0.0766036762467097,0.7102601533925079,0.1865697977962465,0.8614510791199346,0.47651916795715626,0.8793758034002148,0.5631481036372574,0.7578231382189912,0.4183275436894495,0.6696065155727844,0.293833510191111,0.46474358974358976,0.8203680183315514,0.5731384992264112,0.7440082446553542,0.3703697317644067,0.6152825752458813,0.4086076973281984,0.6203762629120815,0.26580435132172703,0.6058702793705281,0.46344995967628466,0.9231803830011605,0.7949241297435812,0.7455325414198224,0.34065870962416045,0.7249454721337686,0.4595647255263957
9,3.957953092879207,0.45439279444317227,0.863182164360099,0.35848999724212655,0.505718194077662,0.0187362291200699,0.9209373944241166,0.6340537000276408,0.9914600219912114,0.7228566735235715,0.938590037754631,0.6663638847760681,0.5030485634680111,0.020304397337560637,0.7230916142253692,0.5184940244493441,0.976932893289329,0.7778914848773083,0.7013510230656959,0.34379088773083843,0.5256516306630764,0.3184973048728028,0.49487778037698804,0.047043377868647464,0.3944635539488872,0.01831462533834078,0.9310192668736733,0.8053450285442919,0.801961146616578,0.2688933941504153,0.7958608278791711,0.16219169217223636,0.35504111619568013,0.017964931072281014,0.6917522961284468,0.04143709653236915,0.5702386476924541,0.07382575694886617,0.7199706599829032,0.20917082903131679,0.8849501252427041,0.4892497933690579,0.8764020166436499,0.48172462968939334,0.7192478757640269,0.31816129374781077,0.7220794932120167,0.332400046928289,0.45947802197802196,0.9166054737923077,0.6535525975359611,0.9085400307358893,0.6026865869624641,0.7103376250987199,0.4979843666039757,0.6676808759180204,0.29698873020733596,0.49823938080427665,0.31227576273922597,0.9135106196002957,0.7730194941029097,0.7053829643319363,0.2608310318687102,0.7600424243259208,0.48533408143151185
