epoch,train_loss,train_accuracy,train_1st degree av block_rocauc,train_1st degree av block_prauc,train_abnormal QRS_rocauc,train_abnormal QRS_prauc,train_anterior myocardial infarction_rocauc,train_anterior myocardial infarction_prauc,train_atrial fibrillation_rocauc,train_atrial fibrillation_prauc,train_complete right bundle branch block_rocauc,train_complete right bundle branch block_prauc,train_incomplete right bundle branch block_rocauc,train_incomplete right bundle branch block_prauc,train_left anterior fascicular block_rocauc,train_left anterior fascicular block_prauc,train_left atrial enlargement_rocauc,train_left atrial enlargement_prauc,train_left axis deviation_rocauc,train_left axis deviation_prauc,train_left bundle branch block_rocauc,train_left bundle branch block_prauc,train_left ventricular hypertrophy_rocauc,train_left ventricular hypertrophy_prauc,train_myocardial infarction_rocauc,train_myocardial infarction_prauc,train_myocardial ischemia_rocauc,train_myocardial ischemia_prauc,train_nonspecific intraventricular conduction disorder_rocauc,train_nonspecific intraventricular conduction disorder_prauc,train_nonspecific st t abnormality_rocauc,train_nonspecific st t abnormality_prauc,train_premature atrial contraction_rocauc,train_premature atrial contraction_prauc,train_prolonged pr interval_rocauc,train_prolonged pr interval_prauc,train_qwave abnormal_rocauc,train_qwave abnormal_prauc,train_right axis deviation_rocauc,train_right axis deviation_prauc,train_s t changes_rocauc,train_s t changes_prauc,train_sinus arrhythmia_rocauc,train_sinus arrhythmia_prauc,train_sinus bradycardia_rocauc,train_sinus bradycardia_prauc,train_sinus rhythm_rocauc,train_sinus rhythm_prauc,train_sinus tachycardia_rocauc,train_sinus tachycardia_prauc,train_st depression_rocauc,train_st depression_prauc,train_t wave abnormal_rocauc,train_t wave abnormal_prauc,train_ventricular ectopics_rocauc,train_ventricular ectopics_prauc,train_mean_rocaucs,train_mean_praucs,valid_accuracy,valid_abnormal QRS_rocauc,valid_abnormal QRS_prauc,valid_atrial fibrillation_rocauc,valid_atrial fibrillation_prauc,valid_incomplete right bundle branch block_rocauc,valid_incomplete right bundle branch block_prauc,valid_left anterior fascicular block_rocauc,valid_left anterior fascicular block_prauc,valid_left axis deviation_rocauc,valid_left axis deviation_prauc,valid_left ventricular hypertrophy_rocauc,valid_left ventricular hypertrophy_prauc,valid_myocardial infarction_rocauc,valid_myocardial infarction_prauc,valid_myocardial ischemia_rocauc,valid_myocardial ischemia_prauc,valid_sinus rhythm_rocauc,valid_sinus rhythm_prauc,valid_t wave abnormal_rocauc,valid_t wave abnormal_prauc,valid_ventricular ectopics_rocauc,valid_ventricular ectopics_prauc,valid_mean_rocaucs,valid_mean_praucs
0,5.5930620715341695,0.5745362949393176,0.5753579156561134,0.04329638996301373,0.6025405232035856,0.19410326420040233,0.635014298810941,0.02156012717630606,0.7006145986388927,0.11158462623362654,0.6553634667010201,0.1244357644200541,0.5917151862124701,0.07470496901967327,0.876339684676332,0.259618203012098,0.7423110309555649,0.04133864797726612,0.7084409017588371,0.3379132094919117,0.8673427628477133,0.09997005327027066,0.6734733557380983,0.16170978964397226,0.7688657346027854,0.4718568697113003,0.7476559087502855,0.17156622611823827,0.6294291640171198,0.054861147853665235,0.6809418523504139,0.028015317753306568,0.4821162400480413,0.02109826338250606,0.5937030156495176,0.021263758700365426,0.5726207889957569,0.034808532034229414,0.6483823131606732,0.036752696130864605,0.5794791187506334,0.049733277288499515,0.5230076798793587,0.03577851238085176,0.6040684293103924,0.037260935045377516,0.7554946702300862,0.9391980795348265,0.3874457929776428,0.03463452808932452,0.6682221649386815,0.0696099805190264,0.6238084895140846,0.1616665492268427,0.6504214041886967,0.07400686404491175,0.6497843145393977,0.13749431786010116,0.6339285714285714,0.5988397551148684,0.19590202195798706,0.707707750805075,0.11941689206554185,0.5859392025570137,0.06937186491196784,0.8706917463388559,0.2662943384045269,0.7193742176773138,0.3513184562054787,0.6929732863796627,0.16978767278254286,0.7766842309521337,0.49525277467649503,0.7533762895703787,0.19026089054218376,0.7596567066175584,0.9422364907155927,0.6141241343069218,0.1400291490761155,0.636636010336338,0.07080652384880405,0.7014548482414655,0.27369791592611237
1,5.150056297128851,0.18594000457980306,0.38660463884839413,0.02914792921589123,0.31631775555292807,0.1059169025665781,0.6498486500128469,0.025609125125901095,0.3645297211438377,0.05036555183664944,0.6345740815665151,0.09773119337989863,0.5944456899761162,0.06985813308345941,0.905458275067862,0.3897360902705027,0.5240012560875205,0.01919311684286267,0.3139027352115671,0.18060332529006115,0.8775736811776417,0.11136517441606576,0.48788561054459906,0.09683408042876138,0.705830331999312,0.3840177787456125,0.7274757656349558,0.15446058821771416,0.3829660210008863,0.029232497689408235,0.3284326825444599,0.012294357805935352,0.4339673677902992,0.017086871123922032,0.37989644052527016,0.012046351591234118,0.43462801536591694,0.02585180202875396,0.27478664757378823,0.010998762228257875,0.6230139669339965,0.04679613303710909,0.5385550007399946,0.040350995886853536,0.5593716055839402,0.03217959879661785,0.8078749936001802,0.9551876740127421,0.2677961665884131,0.02472645165587827,0.4158214126226477,0.03655311862986775,0.6204805348023581,0.14814606073571251,0.7445834356919195,0.16991150554819143,0.5296526845995617,0.12134078408112749,0.19322344322344323,0.3115857602906617,0.11192604499359968,0.3487068968953885,0.05106683146041305,0.589634886314593,0.0701768617930539,0.9016182823344169,0.41731802004143664,0.29160600567180306,0.17440061004145313,0.47872482984989206,0.09895305759840789,0.7044033244600896,0.40892125751802233,0.7499947555999151,0.1837817441592487,0.8119584742180896,0.9573241964565735,0.6503996553501504,0.1484744715111797,0.7305690072639225,0.14678649071984928,0.5972001707499021,0.25173905329938523
2,5.020182036632855,0.4723303564613388,0.6003146062274055,0.04586919984620634,0.49886236946977924,0.16537550592795572,0.682966246900404,0.02682439781975296,0.7133360766730011,0.13347165663158247,0.7150716657575094,0.1373598058465236,0.6299903410423583,0.06822589446473379,0.9107709184078923,0.4876715863728872,0.7489818698821836,0.045907960870962994,0.684720043883634,0.36107271066468993,0.9241758080569963,0.1830128771076119,0.7338142661701818,0.25983675393541716,0.780276663275837,0.43040834804656103,0.8659272908938631,0.3846925008588617,0.5498900369344109,0.040978862279838185,0.5754594825219694,0.021093613387539525,0.5316289624849302,0.02312982547950341,0.4869998776915321,0.016560965885125928,0.6175173219933288,0.037509218878741014,0.585164691063289,0.018731176485217382,0.7093335037265609,0.0783473395569224,0.5306843975982475,0.040438796638607416,0.6229062871202224,0.04006105645617546,0.8009950542192731,0.9522495777690018,0.47123915285285367,0.04406834191479921,0.6365436354885052,0.07548208504348555,0.7080623900133798,0.18864838117875643,0.8353773731914612,0.17685544897297145,0.6722596419830004,0.16606977364149747,0.5824175824175825,0.47946936615832847,0.164245906250512,0.7163648482616042,0.13771366543082758,0.6188376783478547,0.06674520237924023,0.9033540757009265,0.4718434143144947,0.6890219931103108,0.36285946601861824,0.7511809602723255,0.3080758405725635,0.7838406751682182,0.45294027100461465,0.8697945188842566,0.40584981003549464,0.804074085255404,0.9539779932793842,0.7124540856452509,0.17522859957267467,0.8096964209412579,0.1666691656550745,0.7398262461587035,0.3332863031375908
3,4.810419596694697,0.48377986413250895,0.30985779798521274,0.024501796086020565,0.3194829166287268,0.10464680390184827,0.5698878140075135,0.019376490008562144,0.5613757678266789,0.10502745902019875,0.8429216309679809,0.35173685274331135,0.7486750539779446,0.23740241992711347,0.945073058975578,0.5621460595226057,0.5180331080480942,0.022075990064994992,0.6595001778943463,0.4038614288655824,0.862914558122479,0.12032231502301673,0.7008235447721559,0.32001939783382405,0.6953995236142058,0.42002796390353514,0.8489452023504362,0.37042657370271725,0.41630789328887585,0.031492716161413484,0.5341999861088602,0.02323396405534557,0.41207208285702945,0.014424566609185249,0.34623401786300256,0.011982249620331363,0.5152802485105086,0.029905515116344573,0.46461916526354985,0.015421849877922632,0.7453256550167641,0.11285382592417112,0.5392557739232736,0.045145557472601155,0.5453281189456322,0.032528883272073816,0.820057444782355,0.9572919243036823,0.43759909942606945,0.044590184932106744,0.6758578883121917,0.11119726177107757,0.7578140906304732,0.31122028026033177,0.8716018286132275,0.23675491025197223,0.6172016092115987,0.1866524163048848,0.5531135531135531,0.3171011736191288,0.1108103156959884,0.5853901713480212,0.11810806032710056,0.7085329219777544,0.22326654508289964,0.9314666655046292,0.5451936809384892,0.6591629307659734,0.409229517994253,0.6945501246094609,0.30914250528683873,0.6695481478242332,0.4203864199962378,0.8555388593485022,0.423678632125473,0.8233188171718392,0.9587617901133182,0.7520115916917136,0.2924344978110366,0.8674446049606284,0.22634635687983218,0.7149150917110804,0.3670325747501334
4,4.567921954869733,0.41424318754293565,0.34075989252724403,0.028903728076519596,0.31530529269438473,0.10380459961426815,0.6224564688246393,0.023582724580086555,0.5935209749710062,0.14961769843192563,0.8286369147425072,0.2593427113146981,0.7604542383101569,0.3070952455097699,0.8804058361437854,0.24070406696410215,0.5139149173936625,0.025221231026892464,0.7593749217128585,0.5324498187131125,0.9194946828016134,0.22139586899351982,0.6093016964380554,0.2424742248314524,0.7579188666518611,0.5366755273254102,0.80589108461223,0.2882368143973392,0.4120707321975151,0.03209919323210782,0.469807607714213,0.01905877580987054,0.4890368241174905,0.02772788087643141,0.40904985710791186,0.014001291020425043,0.48917009262884215,0.03138089985070658,0.49964800315317237,0.01812221217738911,0.7049841544467716,0.09687842676895364,0.5338940601162732,0.0406516681377978,0.6646417508146598,0.05635034438706997,0.834339569317728,0.9615368268663852,0.49355809703374764,0.0814439356586109,0.49749267484528176,0.05872697340778345,0.7589127734573711,0.35647849333120807,0.760612389269398,0.20067519167415457,0.6194316434831252,0.1835050508510367,0.5016025641025641,0.31401339997839844,0.11123288938326456,0.5913129240147947,0.15292393166567944,0.7136798519803609,0.27151755870975947,0.8626856717883464,0.24333268837421876,0.7602750392838269,0.531882525909192,0.5750032567168449,0.22335371567175394,0.7335401783030059,0.5348685085891821,0.8099042979790843,0.3080291090400931,0.8366178978988046,0.9628608794051652,0.7553672527016015,0.312384891336662,0.7571642216208517,0.2002540194085169,0.7008694538423564,0.35024006522668066
5,4.451674879730116,0.48217693305854514,0.45861097673384804,0.04069975617115925,0.2853261856839532,0.0996897972281574,0.6154288807094521,0.027300420202458264,0.7285758329521282,0.15314772234394528,0.8979378985111959,0.5399278683137073,0.8283901111153387,0.3693869207181986,0.9100190149917117,0.38917630460104546,0.571871639698161,0.026878617101567765,0.5988886503407121,0.37275560192098234,0.9333023207082612,0.2612898664310033,0.7070836996974668,0.2779798868139666,0.7368359182591951,0.5616343741993037,0.8584728776814087,0.4212787767253103,0.42425249826200695,0.035222940446150056,0.5042205912995161,0.022351250961545124,0.6105356247100701,0.041956973224699996,0.5265592092310079,0.022010612686478206,0.5303984593166797,0.033323000366589015,0.515667699990034,0.02788035034774335,0.7982118202505118,0.1324388418470012,0.5828405162940661,0.04908603204839583,0.7471606007415046,0.15982624173382692,0.8591113363847673,0.9679035368488587,0.573885790907217,0.11352335037061065,0.5749417700227917,0.06399720843038427,0.7976594907106431,0.37268789662347446,0.8777613902190412,0.36298159335644337,0.6686648446452849,0.22023465711344467,0.5858516483516484,0.279095901125737,0.10492866485498176,0.7507101961281455,0.18846718129204607,0.7615960824363417,0.3142212382102986,0.885357747739111,0.38273326847091527,0.5848877713267143,0.37110848628733745,0.675914496767842,0.25310784434824624,0.6963619244917928,0.5338656870266932,0.8653028282221594,0.4695186359411814,0.8574113558145152,0.9672586833552749,0.7982147327158752,0.3587358818933539,0.8786019492542779,0.331527492121108,0.7303140896384103,0.3886793694364943
6,4.2993787890599435,0.458209297000229,0.4387922552935562,0.03238063045217584,0.32380160901388444,0.1055471838516915,0.6180028187129702,0.027439611843681516,0.7693917315839651,0.21383705759492916,0.9354798925248474,0.6184337006974032,0.8964141812088844,0.529658275656072,0.9423963472952042,0.5857624761921713,0.5766895290553706,0.025534893411938576,0.651164179282714,0.40412570029579026,0.9655805961548536,0.701726355852209,0.7161275151266587,0.3529790783183566,0.7086467690685959,0.5164551759995739,0.7331344247535821,0.2222696541312949,0.43647973220080993,0.03352114233407298,0.567061461678645,0.024836403871962245,0.5802695364828703,0.034098880996758264,0.44932998824645454,0.015935492574585312,0.5521470809500384,0.03863049802935139,0.6171267166168737,0.027865584338474435,0.7457225141769313,0.1120173422680269,0.5769679840393588,0.05053929595154364,0.734868606322904,0.12766993485981964,0.8551360960075365,0.9672960865077521,0.620245639472115,0.13991661709209002,0.4377165028205269,0.041607732883014184,0.783535695732594,0.38090115263947755,0.8779525677949943,0.43143424682079856,0.6707474804302869,0.25046000760981535,0.5224358974358975,0.3070463158247717,0.10898261887017566,0.7583124639719477,0.23558945513206359,0.8610595967063066,0.46488461626954924,0.9189725846326363,0.5537522488395556,0.6393097245407555,0.4091158711144958,0.6841251604333463,0.3028718328359289,0.6629548448457749,0.492575068248815,0.7205987890404183,0.2383566145331248,0.8511049390170269,0.9664965884098956,0.768482765436307,0.3300202666433951,0.8825096140150976,0.3996537071803438,0.7322251634967626,0.40929989891612206
7,4.167602953224016,0.6090374780551103,0.4131498048624231,0.036065335074835704,0.3039808801058602,0.10265630322565383,0.6619076179746924,0.029818208519908462,0.8032713687411334,0.27684151722580813,0.9052866412236789,0.5595434537286469,0.8726336035401246,0.44528590439083854,0.9260331461402581,0.34898654113977645,0.6299406476598913,0.031242511833270356,0.6872819885641389,0.3590014817431928,0.9465529886321966,0.3969138449627626,0.7232390056336477,0.3289511898252641,0.7644503409164407,0.5424452067310583,0.8112694305708985,0.2944676084629187,0.4175534824108517,0.034592021601476494,0.590162757854282,0.02549839907523065,0.5905098799031105,0.03569666171732461,0.4572796657697379,0.016396191872291188,0.5157314898076657,0.03069424615785112,0.6909242886441584,0.04090530630918688,0.7591471672069421,0.12942169082457267,0.5713967475100805,0.04947808170676968,0.7334889250724672,0.11452825077205504,0.8456452963884538,0.9650433648103512,0.6947914551448089,0.1882489288769214,0.4822721118563238,0.04768943757626082,0.7911816869618259,0.40407553951872166,0.8416672128337501,0.37877884361570646,0.6826203567381425,0.2301209656036539,0.6318681318681318,0.2986831243948934,0.10786867808457347,0.8005247837120913,0.32295564747460137,0.8267659589014756,0.3573939973337785,0.9095215892023485,0.3418853256038194,0.6797128635139282,0.3553241035609983,0.6942967947499589,0.26077752811722127,0.7315462948285569,0.5197868065340159,0.8021712920435273,0.2997178403698647,0.8425918518294893,0.9636437293993116,0.7865023188709404,0.3595311730887216,0.8407430768917735,0.3495813832105219,0.7466418135399074,0.38531511025249343
8,4.066664993794817,0.5820929700022899,0.5516107021684132,0.04677814826258723,0.3428713771932089,0.10854617217026842,0.6373138151903393,0.02646772962287805,0.882077401560203,0.4042706087440964,0.91902162754606,0.5676147151899802,0.902170544297073,0.46919163846377476,0.9302777973351476,0.3736840404761445,0.6997272072714491,0.045769937303749036,0.6979653033984504,0.37141522182741027,0.9702603593692705,0.37796559248701705,0.7848792485945386,0.369932698371587,0.7581176737902473,0.6330829183625901,0.8284809391058564,0.4102977038125454,0.48386944789480457,0.03787448614528659,0.634586788203115,0.03849451706936104,0.6497668523736685,0.03885136813424073,0.5317849131013251,0.01960195458764422,0.5365800698738199,0.03159865606061697,0.7550324871171777,0.0443125309998824,0.7749107723660602,0.13844783066332694,0.5961940009508846,0.05703572669274974,0.7816391866740917,0.14981282984118552,0.8744054925813288,0.9712638235336133,0.7480164800986453,0.1423051574003334,0.5790915939241764,0.0632253789987645,0.8076939554319384,0.431035327834172,0.8980836181040867,0.4470105168888615,0.7243122094635325,0.2524402677757284,0.6213369963369964,0.333820537925339,0.11358116263041165,0.8806974153883934,0.4341523032046811,0.8512945308794435,0.36379018036693067,0.9107460861127816,0.36850077253901076,0.6885339345771171,0.36781508789177936,0.7506113017684507,0.2911990799122102,0.7191681197286646,0.5910172132568451,0.8146617969191634,0.3872118798033601,0.8691741637483397,0.9698258698958814,0.7926413943169466,0.358644081811467,0.8960577451319511,0.41727455467912383,0.7734006387724173,0.4239101987265183
9,3.9939019005768683,0.6101060987710861,0.4129430636272709,0.04268545235286767,0.3418156741817101,0.11206219503994182,0.6462538027539464,0.032509171995233704,0.7910825446839529,0.36373305060464467,0.9532813452979788,0.7662543897170372,0.8718258006628102,0.4269835766966793,0.8847188461554547,0.5175436551813294,0.5139508236066341,0.02170532120412587,0.6226808022470374,0.4569511442854676,0.947054638797213,0.4369392976757436,0.7871419159418067,0.39146934244577775,0.698441048995433,0.5600344142507828,0.7779420525842642,0.28164232504513964,0.43113157348498077,0.03395902207721857,0.6078445250718536,0.03430920902312278,0.6061259237909472,0.03661305725285933,0.498461821859208,0.01886092785175373,0.5044258146288663,0.03306255487597658,0.6228725640282078,0.03773508932158557,0.7569165187307694,0.1395751278777187,0.5749730747920923,0.05720431771762111,0.7952168509135412,0.15511532905123057,0.888522921594528,0.9746482127451639,0.6698651068642881,0.17864615586658483,0.5104369631204001,0.05992259265418016,0.8221176689816909,0.45878260103855517,0.8942611550998409,0.5108961154140972,0.6826779571295084,0.2644386536763866,0.6318681318681318,0.3275250903541289,0.11452736150654949,0.7672805089333623,0.36263725307462463,0.8171589971925837,0.3394260998403162,0.8479241654392646,0.47556253159323014,0.5983011421765398,0.438131914515756,0.7555214697723289,0.3049974856082703,0.6466698005433267,0.5181415203691592,0.7707700325042397,0.29263046593923037,0.879396736505253,0.9723000634914712,0.7895890180734049,0.377375023888741,0.8833519848617414,0.4598477684206079,0.734862631486925,0.42323431711345055
