epoch,train_loss,train_accuracy,train_1st degree av block_rocauc,train_1st degree av block_prauc,train_abnormal QRS_rocauc,train_abnormal QRS_prauc,train_anterior myocardial infarction_rocauc,train_anterior myocardial infarction_prauc,train_atrial flutter_rocauc,train_atrial flutter_prauc,train_bundle branch block_rocauc,train_bundle branch block_prauc,train_complete right bundle branch block_rocauc,train_complete right bundle branch block_prauc,train_early repolarization_rocauc,train_early repolarization_prauc,train_incomplete right bundle branch block_rocauc,train_incomplete right bundle branch block_prauc,train_left anterior fascicular block_rocauc,train_left anterior fascicular block_prauc,train_left atrial enlargement_rocauc,train_left atrial enlargement_prauc,train_left axis deviation_rocauc,train_left axis deviation_prauc,train_left bundle branch block_rocauc,train_left bundle branch block_prauc,train_left ventricular hypertrophy_rocauc,train_left ventricular hypertrophy_prauc,train_low qrs voltages_rocauc,train_low qrs voltages_prauc,train_myocardial infarction_rocauc,train_myocardial infarction_prauc,train_nonspecific intraventricular conduction disorder_rocauc,train_nonspecific intraventricular conduction disorder_prauc,train_nonspecific st t abnormality_rocauc,train_nonspecific st t abnormality_prauc,train_normal ecg_rocauc,train_normal ecg_prauc,train_pacing rhythm_rocauc,train_pacing rhythm_prauc,train_premature ventricular contractions_rocauc,train_premature ventricular contractions_prauc,train_prolonged pr interval_rocauc,train_prolonged pr interval_prauc,train_prolonged qt interval_rocauc,train_prolonged qt interval_prauc,train_qwave abnormal_rocauc,train_qwave abnormal_prauc,train_right axis deviation_rocauc,train_right axis deviation_prauc,train_st interval abnormal_rocauc,train_st interval abnormal_prauc,train_t wave inversion_rocauc,train_t wave inversion_prauc,train_mean_rocaucs,train_mean_praucs,valid_accuracy,valid_1st degree av block_rocauc,valid_1st degree av block_prauc,valid_abnormal QRS_rocauc,valid_abnormal QRS_prauc,valid_atrial flutter_rocauc,valid_atrial flutter_prauc,valid_complete right bundle branch block_rocauc,valid_complete right bundle branch block_prauc,valid_incomplete right bundle branch block_rocauc,valid_incomplete right bundle branch block_prauc,valid_left anterior fascicular block_rocauc,valid_left anterior fascicular block_prauc,valid_left axis deviation_rocauc,valid_left axis deviation_prauc,valid_left ventricular hypertrophy_rocauc,valid_left ventricular hypertrophy_prauc,valid_low qrs voltages_rocauc,valid_low qrs voltages_prauc,valid_myocardial infarction_rocauc,valid_myocardial infarction_prauc,valid_nonspecific intraventricular conduction disorder_rocauc,valid_nonspecific intraventricular conduction disorder_prauc,valid_normal ecg_rocauc,valid_normal ecg_prauc,valid_pacing rhythm_rocauc,valid_pacing rhythm_prauc,valid_qwave abnormal_rocauc,valid_qwave abnormal_prauc,valid_t wave inversion_rocauc,valid_t wave inversion_prauc,valid_mean_rocaucs,valid_mean_praucs
0,4.891222229548479,0.3536012219480672,0.6844282720776513,0.16360012785092734,0.4854803281820812,0.06649752826820733,0.7684632002799869,0.024454845849696913,0.9340444256344776,0.7336718180950226,0.8959838018664814,0.5796383456244734,0.9081996049511796,0.6603759251152477,0.7793089328347009,0.014771687098627173,0.7575386455208913,0.15752180493900067,0.9047549833887043,0.3055733892022128,0.5431149695891256,0.009735647428786872,0.7167017424882123,0.39666766713100887,0.8994019855318305,0.055142426985753175,0.7552331666727118,0.17575420567859742,0.5188589407580138,0.024666328144136447,0.7856107787148976,0.4120009103856645,0.5148667243934664,0.028189194088936803,0.4905366753319624,0.00746970844634394,0.933160635190049,0.7543218703617227,0.9538917792555778,0.6389031677745483,0.6335919876198809,0.05497398226154536,0.42454551934611806,0.0067890314168952024,0.4233135921790411,0.006596641465105354,0.47760267568086784,0.02907860408300025,0.5658819610238188,0.03290847762033378,0.588051383881439,0.022221511119501325,0.6346605924514921,0.1956307349508909,0.6914318194171023,0.21373675313023793,0.3626751255617235,0.6946158042721053,0.16636883328225183,0.47551860627463416,0.06337034959806132,0.9324230653378821,0.7056306538063885,0.872586510282004,0.5764555465061997,0.7377078491238818,0.18198347818590682,0.9055697627944306,0.31971153614170866,0.7271354508957489,0.4117741501760702,0.7531776304487527,0.18079834447330928,0.5632594039172631,0.030617249980751,0.786809922123871,0.41521012984659683,0.5277669442155417,0.029532471435803898,0.9305437248628526,0.7390542437224336,0.9441190724178339,0.6113171808820556,0.4984037206798279,0.03370879842117726,0.6669827374284407,0.20213318760841287,0.7344413470050047,0.3111777436044752
1,4.433913698881049,0.41581482786981555,0.8515807748361578,0.3682658187579072,0.5445640630294606,0.09518593205984381,0.790859745171715,0.025830642244154375,0.9834390568635779,0.8974552159284601,0.943895348631988,0.6747509112986719,0.9584627760274985,0.7178128666441156,0.838170985933494,0.023855509102686436,0.884040705767193,0.22254591360488085,0.9262152321130134,0.3893437819522747,0.6731837857779877,0.013738788289142202,0.8580226365885429,0.5080931598579356,0.9638978346767723,0.5601691060139871,0.8149800092140508,0.2666863292833441,0.6482731488164416,0.03785569961879531,0.8484484160584458,0.42792631119835,0.5981605562998911,0.03408289490343825,0.6655131573257287,0.017181176678828767,0.9487627594533323,0.7922286650304546,0.9749673355058606,0.7876589600780196,0.8631706273388637,0.266601904391979,0.6151560651981076,0.021023398197675798,0.6070088592280727,0.014184620129017928,0.6420254766608716,0.09878570817424587,0.767480707491224,0.12755371384476166,0.7284584867590375,0.05176099563411657,0.738646652224029,0.33471573167732765,0.7952840462688984,0.2990497597920929,0.4136928363732487,0.8447198895007588,0.3544922351009019,0.5374457413647443,0.10071774466000886,0.9815452963813591,0.8858027201982079,0.9413073692060683,0.6305441940901012,0.8721732009589369,0.25902072287748124,0.9329340061645089,0.41056129141975023,0.8649758982745518,0.5200926564488663,0.8134574884360146,0.265999745759883,0.6777421125628189,0.057886231413686304,0.8367686987769196,0.40595362817880326,0.596809760550317,0.03358822996297335,0.9431051903536318,0.7565634980642351,0.9682963950930671,0.7464719260549468,0.663019601112302,0.12373616645941214,0.751405794818726,0.33029519312557776,0.8150470962369816,0.39211507892098907
2,4.243782766024159,0.46322406297732344,0.839263528082454,0.4305540187459446,0.6685438118193533,0.20679511516385204,0.7858933494900935,0.0326085213950539,0.9824111075934128,0.9050293629378088,0.9268126391500384,0.6138158744179202,0.9618368526030625,0.7584111329122577,0.8784811265315938,0.0746790407917843,0.8742630484760315,0.29106429659832045,0.9282372172943618,0.49579885934230006,0.7111328616774678,0.01669243758052641,0.849463238557855,0.5437107794119118,0.9690284710176251,0.6711274295715597,0.7958390578174395,0.2647918478812865,0.6383999640455702,0.06211340398215908,0.8525996312396636,0.576093623961347,0.6480686653255956,0.044992484912002584,0.7250533340345111,0.0254206620339835,0.9558565521492822,0.784329044979149,0.9777845882940354,0.7927328674641432,0.7209651395796388,0.2431016894837519,0.6805798291374504,0.06178952580891233,0.5421892886631438,0.010974520004521145,0.6429059118043977,0.14863031017394454,0.662592342387043,0.12047307147064457,0.6816953568330436,0.054579994009893815,0.7554845738673978,0.3497213867859598,0.794437749518137,0.33000120391619,0.4393338620142744,0.8116409665782279,0.38684663765500055,0.6620832753387691,0.19694724044437906,0.9806253970936313,0.8922686897700863,0.9408802492457604,0.6645113733117985,0.864841493030681,0.3110587256466151,0.9296555831848493,0.4811995303716553,0.8494904945044672,0.5452596881879599,0.7918593997544044,0.2675123652055872,0.6615812361296318,0.0740293647046114,0.840881385270597,0.5562396194012502,0.6423184102760882,0.04314777287168221,0.9494818107403997,0.7647458989153124,0.9724604997164572,0.7179880978806069,0.6628413277981657,0.16707494751571073,0.7708164355814765,0.33694879116107895,0.8220971976162404,0.427051916202889
3,4.109169701013844,0.4364058277523205,0.8195371085263399,0.4635863385450042,0.5654013898610695,0.1644210349420531,0.7877164553078516,0.02850130319154357,0.9651934442571152,0.8371115722406428,0.840375302706172,0.3997259667470819,0.9586660880845272,0.7572366822739378,0.8998921790587481,0.10757150189729058,0.8621298965461501,0.35737115053395485,0.9060774504190255,0.3602005224839455,0.7051085317703518,0.017215174966010122,0.8142387651787519,0.4240321154190946,0.9596977248891438,0.6172728044881919,0.7372746593969469,0.25942518767491685,0.6371198199683431,0.05989642113242817,0.854520757603568,0.5517315188337344,0.5652159630843375,0.032949011315501084,0.65060819786247,0.020817720145014817,0.9624459418676712,0.8452533833198006,0.9807185463896673,0.8339298226889021,0.7350276547445569,0.2662870339359685,0.6610409890597281,0.062428259000546535,0.5189757316896255,0.011044156534377837,0.6721972048722699,0.1537220326410283,0.7478462256976695,0.23801167749887142,0.728892577830422,0.06281300825759692,0.6794704530895715,0.31695561888706086,0.7775149638370037,0.3172888853690192,0.4154551061767557,0.7939050301297982,0.42327033230618744,0.5691049739375127,0.15010602271259643,0.9633999691652336,0.817934853929686,0.948046989358981,0.6571289331386369,0.8693855932838438,0.35521426366988057,0.9034846408097469,0.360308536990221,0.8098622412900004,0.40626393091722046,0.7245640043520033,0.2625334846784942,0.6304195136090526,0.05437701852758703,0.8413379225890616,0.5263776317696177,0.5684073055952203,0.03524797399697998,0.9535729183883891,0.8026645414946121,0.9749367929731594,0.7751691797689761,0.6691494248331794,0.14038631749279604,0.7037299931844712,0.30324188479602515,0.7948871542333101,0.40468166041263437
4,4.016346965017084,0.4181941017506756,0.8128787189877028,0.46347167933262623,0.6091590496484073,0.11594477611568978,0.7838573627712822,0.030620946756709504,0.9758653089010647,0.8983536399972073,0.8472719091597082,0.47113672742362317,0.9674718848628616,0.7780021039177378,0.8822836088150862,0.09521993892519134,0.870894474678353,0.44451635572302683,0.8746128288368855,0.3981320818190056,0.6549598436374461,0.013903745892185458,0.8556370916967805,0.5517331573692321,0.9759372418732216,0.7533782478415524,0.8091400365080823,0.3011715191715828,0.6853587670811663,0.08228275458968994,0.8633469887109038,0.5107972407884542,0.647258228516801,0.050877858508123014,0.7291089847109302,0.041361417207890785,0.9668483888570386,0.8666276317824736,0.978351755232781,0.8150146814335247,0.8857240017844342,0.4808227676240775,0.662296057911633,0.043435004164375,0.535628362093549,0.012589585589583374,0.6661781310257073,0.18276221186438835,0.7551345067908475,0.2522555061794393,0.747434024145275,0.09981693148621579,0.7720077760501995,0.384586849373847,0.8005632820495442,0.3514928984952866,0.39448409551502334,0.7857748287826484,0.41778741814593207,0.6119928982284414,0.10893236191778777,0.9719046997231455,0.8792298122891299,0.9462603890921082,0.6591801376949287,0.8603666333552545,0.402041949968414,0.8795001167833505,0.36885809874498743,0.843389060341432,0.533435451690635,0.8046477040637785,0.28308354032165184,0.6690668830059501,0.06267427517533836,0.8452590295484174,0.45968706720235397,0.6016831162077779,0.05062211727263304,0.9536080907180468,0.8010521238526327,0.9593990088851363,0.7513335145927393,0.655883883721964,0.14875475771244928,0.7739782962944425,0.35577803378331996,0.8108476425834595,0.4188300440243289
5,3.9293507081111243,0.4379038890847139,0.8036923512330594,0.37951257900953667,0.5338927734891901,0.10925580083137193,0.7478910855935542,0.028382249559099286,0.9810374885055808,0.9053753078041994,0.6785226163817742,0.23844867271921655,0.9553173816638006,0.7149936509057139,0.9261441836883381,0.23663756101655384,0.8149148399099568,0.36183269696136444,0.8611845512926867,0.30207245697988605,0.6101699663859154,0.014150815851151582,0.7705118987715596,0.3773401619490139,0.9658541782321556,0.7053445486873661,0.7507407210196196,0.27614182371736673,0.6821095267571433,0.08498918372725678,0.8462088057748473,0.523494094354037,0.5614198135624804,0.0427701594004643,0.7214691814991125,0.05076564574257432,0.9685452594536165,0.8718960342920878,0.9809721970930584,0.8076019073318305,0.7102899688313272,0.31356437468078346,0.6324609804004393,0.05939515319465365,0.5635926309733581,0.012526046863180927,0.673425748758986,0.16650195953004782,0.6959551113937159,0.21544328460209328,0.7467863459208857,0.11996035000211085,0.7545708724882364,0.3542935077492816,0.7668338645797845,0.3181803856716247,0.40250242312097984,0.7751347175787984,0.34211107020347714,0.5359677566407822,0.09934747641010697,0.9785360947823406,0.8874071966234247,0.9231490697968252,0.6111702732696717,0.8028711759567939,0.31142225911788596,0.8630907941221954,0.2793338897466206,0.7626457270243335,0.35017043588646624,0.7354773364976553,0.25465655625753625,0.6534810626209925,0.07370439748269447,0.826124569270539,0.48002241013409086,0.5322420790933916,0.04120821638500616,0.9515224207614145,0.7915641103522799,0.9685482671026472,0.7402314258486138,0.6519620251601528,0.13681455781775084,0.7554002393531282,0.3394821162858422,0.7810768890507993,0.3825764261214311
6,3.8747139062770537,0.38532487369286805,0.7934460721938059,0.4631183670984487,0.5553186749789143,0.1074624113749781,0.7720245359490027,0.02659320226839663,0.9763483963824853,0.916958711754008,0.655890709759493,0.1701941870263179,0.9415084021075592,0.6699113285068186,0.9335398239492335,0.22458553837995773,0.85223478351324,0.3345082363685188,0.8374913250998498,0.2627449512518394,0.6520985103411464,0.013573773882909741,0.8264605533686915,0.4588541901803612,0.9605613891167837,0.6798985686334529,0.8374433007051673,0.3565082433004031,0.6490683632776565,0.09444471857724432,0.8390032031711421,0.4343489107016556,0.6661611827934818,0.06030559741727602,0.7502592580924042,0.03923384853295999,0.9760915998817432,0.8986783938220151,0.9690918805654258,0.8433967906716731,0.818076357008861,0.4709187970931802,0.5985283169299653,0.06808358201564202,0.5329216833030463,0.01999847270990617,0.5928799597574657,0.13295360984132137,0.7955111896174059,0.23909477674151847,0.7284465425299415,0.11339340998043174,0.7241316727709388,0.3615626195109356,0.7782514495063404,0.3254355860631604,0.3516609392898053,0.7609586099311504,0.38183150526858006,0.556064828751493,0.09097000806651712,0.9729908433912099,0.8943732811588119,0.917473859703728,0.5720268416337942,0.8497947061831538,0.2862533043756673,0.8384849551382151,0.24060617395561967,0.8113998545459574,0.41988555454114623,0.823582099523443,0.28818609100943826,0.6076219114773981,0.05784039544259927,0.819868208163711,0.3795780811196905,0.6046190115737392,0.05366891787959327,0.9579315325100548,0.8230838768691031,0.9325526794939135,0.7712942503876596,0.6019667791151964,0.10339527230249934,0.7179773924640566,0.32635541444903177,0.7848858181310946,0.3792899312306501
7,3.8091363558378726,0.47802843379156384,0.8485942383330454,0.4918364977778229,0.5817586067874837,0.1283943023688498,0.805523191234996,0.03846552718818487,0.973413098889548,0.8654940180166235,0.7794732274720652,0.3345215396407013,0.9632391932595374,0.7934122312634131,0.9391500938247438,0.27523101300070246,0.9057203640342212,0.4871325558017663,0.8902927487951245,0.4748349748500276,0.6546023883087955,0.017124836352755697,0.7770756075984958,0.43198207231687413,0.9745999953615231,0.7647042924416932,0.799214627789992,0.3347931677141184,0.6614065611497633,0.13355743300180853,0.8800634504364158,0.5380130739888442,0.6877243925832466,0.06335085520937511,0.7595331928821509,0.06497017166371608,0.9759536377507658,0.897520423282409,0.9834365133384233,0.8634731712297984,0.8228186435249439,0.3782927584744564,0.6599925023232238,0.09684225272197215,0.5495038687661028,0.020447889171772357,0.7074141103239563,0.18422418629193257,0.769017199393734,0.25946472248601077,0.7896597239634219,0.18675472325475734,0.7309591464970342,0.3468519255868524,0.8026977047931829,0.36429579288835534,0.42505947660586835,0.808776420887714,0.3929528607824563,0.5719339622641509,0.10780254779241738,0.9698751329132049,0.8389327883057223,0.9290815225932899,0.6452691720784633,0.8737336617714677,0.3826638339857429,0.8880742861416938,0.4203902114468452,0.760164029362926,0.38133290748773696,0.7580593183134079,0.2728366904764996,0.6178721185461548,0.06138807232014851,0.85785296106332,0.4741583472427826,0.631369173552968,0.05792567763691846,0.9525997516784332,0.7988895215150278,0.9667113642379991,0.7762822496194594,0.7052736178956155,0.16377832112751328,0.7309662741726788,0.2980376482968075,0.8014895730263351,0.40484272334096943
8,3.736651255596736,0.4171953941957467,0.8667114972790083,0.44535506789158064,0.601022191277334,0.13063902290881407,0.7842724718910262,0.03708301777574266,0.9790917463825204,0.8991302026743931,0.7691762821973875,0.4241795216675823,0.9607771758895123,0.7847516360266262,0.94386360265181,0.3415891973841094,0.8726496877825075,0.4849334706163098,0.8586192088086403,0.49992709147500825,0.7227071686096255,0.02410980741459985,0.8284011578031086,0.5272256941388231,0.9595775355927473,0.758765743686812,0.8209117708769289,0.3757391264560789,0.6794890703922544,0.13282471663296486,0.8898205754140098,0.6202734712958656,0.6711138073834781,0.07751738957104018,0.7847982338944632,0.07522380556231902,0.975482344060441,0.8879950988795958,0.9754656793059181,0.7447180985194414,0.7841238819555848,0.38220894273892125,0.7165235332009801,0.10628540541361303,0.520174312531946,0.015494011828658037,0.597123210224106,0.15414984401256282,0.757647400495072,0.27247585230050314,0.7260854918604722,0.12782605202226943,0.7109875367371287,0.34031707114543086,0.798331406711462,0.371951475386141,0.3753634681469733,0.8210231438091049,0.3453230820898177,0.5919809297688525,0.10388587695895385,0.9762356607363695,0.8700215646958519,0.9256561653502786,0.6547538935730336,0.8480040429303574,0.3745217443399548,0.8521036375375187,0.42348365635202045,0.8173864400319439,0.48402087941289557,0.7869597376072889,0.2959710086477695,0.6416155978032496,0.05466420672830763,0.8672339549544077,0.5377123702446639,0.6120099473069511,0.052796227101536454,0.9468513632106286,0.7761752930306466,0.9497627383596591,0.6923193822991067,0.6049432488899207,0.11776900746152907,0.7126796804503254,0.2712480354325364,0.7969630859164571,0.40364441522457495
9,3.6829171443486968,0.5193573023146516,0.858534055833498,0.6090846799269256,0.6859998874606421,0.259205270050182,0.8600292816326219,0.0637530344651949,0.9726357572110159,0.9131495392827178,0.8243934455112754,0.4921301488466656,0.9693881743727277,0.7999173955831311,0.955289172503753,0.42371224807014596,0.9279100885464375,0.5688604241739976,0.8742775679727744,0.44796003824198427,0.7089395834075516,0.028023483739070477,0.8364020491780263,0.5563591065687853,0.9697482881654536,0.7685535652901185,0.8613833354640719,0.47332817438788555,0.7177440970669149,0.22239383611959218,0.9260040784927006,0.7315138007158776,0.7825331544163479,0.1770422432488329,0.8604879406803588,0.17701027901475275,0.984350700890125,0.9212356915831377,0.9917973964408351,0.8970140599605708,0.8698965717926285,0.534316279806344,0.739711418644927,0.14210048515697635,0.6034000671571337,0.021002046894631417,0.7270397945715565,0.2768810268536373,0.8306556249813148,0.3971985405037533,0.8030682579069676,0.26831330303270806,0.7795459798461265,0.4599800426513759,0.8431217603902995,0.4473091824680383,0.4443563309542691,0.8124898647720978,0.47728162204199465,0.6682677886861508,0.19453959010022842,0.9661443730940877,0.8777859129177209,0.9323116558140396,0.6723351520492031,0.8939974713700702,0.44651844849125016,0.863835660817098,0.37809591688979943,0.8230228627423193,0.48216608480613266,0.8299731499214222,0.3270509838688086,0.6646854457585112,0.0822261810579179,0.8927568225764106,0.615134753025948,0.6482871788635104,0.09275634574549317,0.9520536951114889,0.7608500483001015,0.9619341619115742,0.7885046063485014,0.7073669016067133,0.20651925201729132,0.7703140295378835,0.3672586962295934,0.8258294041722252,0.4512682395926657
