epoch,train_loss,train_accuracy,train_1st degree av block_rocauc,train_1st degree av block_prauc,train_abnormal QRS_rocauc,train_abnormal QRS_prauc,train_anterior myocardial infarction_rocauc,train_anterior myocardial infarction_prauc,train_atrial fibrillation_rocauc,train_atrial fibrillation_prauc,train_complete right bundle branch block_rocauc,train_complete right bundle branch block_prauc,train_incomplete right bundle branch block_rocauc,train_incomplete right bundle branch block_prauc,train_left atrial enlargement_rocauc,train_left atrial enlargement_prauc,train_left axis deviation_rocauc,train_left axis deviation_prauc,train_left bundle branch block_rocauc,train_left bundle branch block_prauc,train_left ventricular hypertrophy_rocauc,train_left ventricular hypertrophy_prauc,train_nonspecific intraventricular conduction disorder_rocauc,train_nonspecific intraventricular conduction disorder_prauc,train_nonspecific st t abnormality_rocauc,train_nonspecific st t abnormality_prauc,train_normal ecg_rocauc,train_normal ecg_prauc,train_premature atrial contraction_rocauc,train_premature atrial contraction_prauc,train_qwave abnormal_rocauc,train_qwave abnormal_prauc,train_right axis deviation_rocauc,train_right axis deviation_prauc,train_s t changes_rocauc,train_s t changes_prauc,train_sinus arrhythmia_rocauc,train_sinus arrhythmia_prauc,train_sinus bradycardia_rocauc,train_sinus bradycardia_prauc,train_sinus tachycardia_rocauc,train_sinus tachycardia_prauc,train_t wave abnormal_rocauc,train_t wave abnormal_prauc,train_mean_rocaucs,train_mean_praucs,valid_accuracy,valid_abnormal QRS_rocauc,valid_abnormal QRS_prauc,valid_atrial fibrillation_rocauc,valid_atrial fibrillation_prauc,valid_incomplete right bundle branch block_rocauc,valid_incomplete right bundle branch block_prauc,valid_left axis deviation_rocauc,valid_left axis deviation_prauc,valid_left ventricular hypertrophy_rocauc,valid_left ventricular hypertrophy_prauc,valid_normal ecg_rocauc,valid_normal ecg_prauc,valid_t wave abnormal_rocauc,valid_t wave abnormal_prauc,valid_mean_rocaucs,valid_mean_praucs
0,5.25034839573202,0.28104724830165634,0.529735383127548,0.046436952997215196,0.4950100578101469,0.17276658178763546,0.533099233966674,0.019738615081863906,0.7057565595742479,0.18253348860010055,0.8907087133510602,0.6026696613096281,0.8349089332603723,0.28504568560094995,0.4800067942547274,0.018228032917261296,0.8215697053530548,0.6726005930521725,0.8988162352603987,0.12243459571213222,0.5307461543685409,0.11711911626259928,0.41561683177901837,0.029712598146135753,0.3753705225543467,0.013051285655072208,0.9007958480422773,0.7177506621219178,0.5314666696665279,0.021917917592008576,0.5093604459101039,0.02572667210386637,0.5994610223794665,0.02010482610956137,0.6437228141825885,0.05479043898940477,0.5853058557490887,0.04531126950833482,0.7954601867429237,0.2471445196711758,0.7582423568527793,0.248305333553429,0.7726442903368692,0.2664546004248014,0.6479906959296553,0.1871354022474889,0.37385531135531136,0.5017954247815083,0.1685017428489359,0.7009250666855313,0.18676113923236565,0.8096241886585142,0.29849090660625544,0.8298695129460751,0.6781901824916963,0.5287963511297376,0.11227215862785533,0.883553233581605,0.6732971874201206,0.748463370049474,0.23314519111368226,0.7147181639760636,0.3358083583344159
1,4.806193491728486,0.5198839783222655,0.5868802054240623,0.05908916311743912,0.4947852936615599,0.19796263326017244,0.5170449002205453,0.018569962507248766,0.8810118573830235,0.47845512110515914,0.887396579152719,0.6316617167371683,0.8301318169650064,0.3115283037015146,0.5132891177628487,0.024786477948765945,0.7624964083337595,0.5947274330061878,0.9365175288933593,0.22538660449904116,0.6743956642024582,0.2505629835812782,0.4553207335030597,0.032897423220808214,0.5792431050437404,0.023983075069080435,0.9158931270922961,0.7695288121207241,0.6350396919142489,0.05057268399128295,0.6101773844599794,0.053162905463703905,0.4515300491023752,0.014781039426502501,0.6812766261032634,0.07284632640561765,0.6188423846932972,0.05676717493958427,0.8030046568414569,0.2532064270339779,0.9018771087657284,0.48787479497577246,0.8019845357744372,0.35775250659705543,0.6922923226330108,0.23648112231943264,0.5,0.5071592897247755,0.18619284446807105,0.8703591655673785,0.4788948231712751,0.8236616680570534,0.366667648688363,0.7584863501744714,0.5902582150151545,0.6771564094387755,0.22519537122504116,0.9011323030993924,0.7204272369545719,0.7834094296784043,0.3171584117281006,0.7601949451057501,0.41211350732151103
2,4.584293992325929,0.5572093733302801,0.7181796960324143,0.09893811151632617,0.6571853073876146,0.3770858994826449,0.6186108996494207,0.02433990436478726,0.9345190121465005,0.6247433116800689,0.9186185873371485,0.7201263098877033,0.8766691796218363,0.353938288159287,0.6423180473184917,0.03312563665692314,0.865523253887124,0.7032642816757292,0.9216812631871157,0.1989599696061351,0.7794010262376174,0.3816069444035591,0.5740638019263202,0.06386330397436661,0.6245862072255135,0.028740960863312646,0.9234735379367943,0.7764216034349152,0.8341251717108085,0.0943868433098132,0.6934147248483367,0.06375326685745404,0.731013474813405,0.037840125887405804,0.749942859033235,0.08166066671817904,0.6709732961214354,0.07540867360762454,0.8612118819641144,0.2969062687704752,0.9137871019861167,0.597255887964811,0.8331035824478009,0.365260373423982,0.7782096148961506,0.28560126820216675,0.5331959706959707,0.6313264926408759,0.3647741134258373,0.9135872030361164,0.6033317078506453,0.8811901031599079,0.3962782916458929,0.8545734979327332,0.6699161512242686,0.7818524508017493,0.35187447270895017,0.9058008168940646,0.7142090837641122,0.8146088389753404,0.3281112334838057,0.8261342004915411,0.4897850077290732
3,4.426167206057755,0.5137775742309747,0.5741077309144873,0.08197893652586397,0.6213504005532121,0.3429863893051679,0.5144479568053199,0.01929677649107077,0.9123558428486275,0.6373305880943466,0.8679032045953041,0.5470418036046075,0.8269121751693784,0.359997727094883,0.4943985497123554,0.020472577934160713,0.8360106812051524,0.6542738715003075,0.8335002987802734,0.3023469462809486,0.7427322766680561,0.3530666602221038,0.4693782683498898,0.039581616289616706,0.5899158581608998,0.02866410217919827,0.9312516791005496,0.8100921528657077,0.8167134770016886,0.17686557330516656,0.6453368194724771,0.07579056866603712,0.5549206039055182,0.017566614286487047,0.7376712516444737,0.09101061390015283,0.6703106282390472,0.08670152918389201,0.8641468487800542,0.37433522613454157,0.9146826540874624,0.5623677121743538,0.8190490999483656,0.4199107526264155,0.7255760145686948,0.28579422565071566,0.5331959706959707,0.5970945902883,0.3190054477830613,0.9009000986238437,0.6306457346010033,0.854772417441553,0.41217149354292426,0.8232132070492331,0.6174498178455687,0.7486726721938776,0.3533548434031385,0.9156692345835526,0.7618173068940565,0.7990077515949812,0.3640030568376531,0.8056185673964773,0.4940639572724865
4,4.3353013851817135,0.5601099152736433,0.8135651579447588,0.21490550493105381,0.5970182100442578,0.3431282727108298,0.5409614547868004,0.025048231338859205,0.9545946020709373,0.6963362083845033,0.9408065568028793,0.7754170279683541,0.8958181194565719,0.5115711808896728,0.593431162135047,0.034513234409943326,0.8037711610678503,0.6354140028384652,0.9691803416099525,0.7968910503179717,0.7736844716469642,0.4045887028441416,0.5124144220954464,0.04369793099869476,0.551725630007591,0.02498971550291813,0.9350643356937827,0.8183847258156416,0.8241796941891437,0.25182720783071916,0.6722681513787659,0.08049732666197006,0.5224510616971643,0.018235892393312497,0.7578921365675788,0.09697350033503592,0.6917087151147355,0.10642827056349664,0.8436932585088309,0.3861349433893864,0.8973976791513893,0.5410309844003183,0.8336073402133246,0.41237436065331184,0.7583444601039891,0.34373277500850474,0.5576923076923077,0.5905687259330226,0.33070697834823004,0.9410737098794458,0.689725694944898,0.8976783933912548,0.5691950993536543,0.7887309034395801,0.5943000470782379,0.7675843886661807,0.37751438936175347,0.9197754308119356,0.7774485139702032,0.8138660354034674,0.3657382718805162,0.8170396553606982,0.529232713562499
5,4.2223152377097515,0.467903213495153,0.559556970995523,0.10240456604528622,0.5445922167187692,0.2659544463852229,0.4148351394021137,0.013553974158285121,0.9301705614231714,0.6684769334717033,0.8063729585055197,0.3884630445685795,0.7740034377620395,0.2694597165932465,0.4299756803779384,0.0152480066875869,0.6813670629806919,0.3975273738361044,0.7270042838692,0.24900171872248333,0.6888477527565469,0.2739616151750716,0.41667238459827,0.02839752400113211,0.44497152342520246,0.02076637759006924,0.9340454918694336,0.832603871657679,0.7628798730558711,0.21754262709488115,0.5435202494591297,0.038681197025725846,0.48284698315722907,0.019186509993531754,0.6046821675740719,0.06039092931091855,0.6811946457004527,0.14721200815321842,0.8655618485598285,0.34332731672664657,0.9473182599765597,0.6443530769596109,0.7489588925695443,0.3571555754069162,0.6661608754636719,0.25493659093161425,0.4816849816849817,0.5416241264959303,0.2423464954039024,0.9105577448846682,0.6614419438204896,0.8134982806681994,0.36920062918538915,0.6703037855907106,0.3811300417826951,0.6886861106049562,0.260895158564631,0.9165968029690367,0.7788635028250973,0.7263944159755312,0.3021354666258287,0.7525230381698618,0.4280018911725762
6,4.145234002474473,0.5269063430272498,0.8212658090656707,0.2911307971132945,0.6177358872482779,0.38791214604960855,0.49993092383320026,0.018727044663943915,0.9629785160781402,0.7318335060134554,0.9172220159005254,0.6937794856380092,0.8641783817618507,0.4490660958945197,0.5510181857434947,0.02375894478216352,0.8504317239129198,0.677727756302225,0.9277355069034916,0.6834297511305745,0.7177615284955754,0.3184617737184498,0.4756993568176144,0.03578804207241814,0.5075491202176186,0.024112977192062353,0.9459593927867103,0.8575539171009752,0.8312431175058154,0.3107364304548359,0.6468205131632465,0.08360116348512575,0.7003379144318026,0.06385682441667097,0.6093852701280726,0.07081966733280046,0.7418267995418979,0.21617161448910482,0.866881142899953,0.39155222710248405,0.9413443721029603,0.7323686115409026,0.7893749878519861,0.42866664000907123,0.7517466888757535,0.3567169245953665,0.4913003663003663,0.5975592255804343,0.3703517222000552,0.9505873736512045,0.7259220396454837,0.8763179848210472,0.576412931670455,0.8386452804738586,0.643596338935536,0.707665019132653,0.27463011886370586,0.9232633333162934,0.7987010997171383,0.7629339358357093,0.36363273995081624,0.8081388789730285,0.5361781415690272
7,4.080436811329945,0.5162964659186322,0.639716207991863,0.1934482646507118,0.6747937508225859,0.4307203746434767,0.5046726110150138,0.018698025879343952,0.9445537062352988,0.6596941884692412,0.9034550329410201,0.6192674398088727,0.844749810052083,0.4007162798994208,0.5231703135516808,0.03462026834271682,0.8190912223699108,0.6644035122653,0.9369254788821381,0.7260551344758709,0.748864062030192,0.39142029035133985,0.5000551978545867,0.04173994599888996,0.446546968290765,0.017432999637594704,0.9340396667766182,0.8279120492695208,0.8316249748449133,0.24265882935688313,0.609151019776854,0.05865552173313757,0.6195099159353017,0.02882898103259428,0.6377840799920069,0.07152160602664157,0.7668839733309987,0.23938298681413875,0.8903345327042982,0.42786129940611417,0.9167867918355753,0.5759407948564411,0.7756688590838834,0.4094108068675042,0.7365894369675041,0.3371614095136074,0.5016025641025641,0.651836234562698,0.40359357383196615,0.9147532115169347,0.6388723050160119,0.8579211345555172,0.4560283674613785,0.8062317098202505,0.6398319864708104,0.7297546920553936,0.32687100187014045,0.9171302378603305,0.7732628328788154,0.7520534951314009,0.33697562443778706,0.8042401022146465,0.5107765274238443
8,4.049340194094755,0.42737195633921077,0.7108482079585149,0.21162083299463055,0.5808247230572963,0.2965483073706732,0.4363167590886788,0.014285498385525945,0.9146102001334937,0.6315662631581735,0.9286207444891978,0.7111388669219924,0.8739292670372456,0.445979288959369,0.48999879354355313,0.018688814821570688,0.8426485791480969,0.6696206594469364,0.9741987686467283,0.8660375837866361,0.7108042308845066,0.2897647344831832,0.5025911571338557,0.039345164024922205,0.5018626637283803,0.02153757132660304,0.9465969667408255,0.8577159856015163,0.8299988000554974,0.2654241543864407,0.6225481818546362,0.06769577749706672,0.6507310168308383,0.026533554254597167,0.6566954844267475,0.07941933029980122,0.7483183289950297,0.26423531482446616,0.8775085630641217,0.43745838377550345,0.907404889696265,0.6165074842648374,0.8043261899590823,0.452081278282236,0.7386372626891711,0.346819278517461,0.44116300366300365,0.5642382962276138,0.26304891125521784,0.8874148485062859,0.5782768564298271,0.8781655034895315,0.5297261666928332,0.8349458991877546,0.6477965557012118,0.6850514759475218,0.234145411516282,0.9227978877307419,0.7968478334556677,0.7840488049048265,0.3849652326442898,0.7938089594277538,0.49068670967076133
9,3.9798140773135517,0.5367529196244561,0.8748694006519546,0.4049454674523961,0.7347595833707976,0.524949994643017,0.6300330354987407,0.03293026819385231,0.9700609109696856,0.7770081479450927,0.9501705424952244,0.7916663881437515,0.9240477753457446,0.5646473972980616,0.5460496488576762,0.029643951005723125,0.817831380078246,0.720868100176997,0.9646236044527723,0.7839676081533219,0.7659168696177178,0.3786827948790802,0.5475470922619402,0.06841351267150211,0.5417898334743875,0.02460810700366422,0.9084349730150821,0.7366879217725251,0.9060721566627542,0.3924466431860301,0.6816947142696198,0.06244607458442157,0.5759878646134754,0.02807625770541418,0.716135205552097,0.08910596678194034,0.8415533333760402,0.32373186567801215,0.9079464946905091,0.5476514103520067,0.9290117911831058,0.735483840289076,0.8238658101104553,0.40245136108181545,0.7884953343118107,0.40097205138084296,0.4590201465201465,0.6963760503121896,0.47700014797659984,0.9516435226605967,0.741506536764718,0.9221356339145828,0.6081079529601535,0.8049086590622526,0.6935042423931224,0.7280646410349855,0.3089139053807988,0.8803372883002163,0.6512870484108281,0.8037317168275706,0.3497365551663797,0.826742501730342,0.5471509127218
