epoch,train_loss,train_accuracy,train_1st degree av block_rocauc,train_1st degree av block_prauc,train_anterior myocardial infarction_rocauc,train_anterior myocardial infarction_prauc,train_atrial fibrillation_rocauc,train_atrial fibrillation_prauc,train_complete right bundle branch block_rocauc,train_complete right bundle branch block_prauc,train_left anterior fascicular block_rocauc,train_left anterior fascicular block_prauc,train_left atrial enlargement_rocauc,train_left atrial enlargement_prauc,train_left axis deviation_rocauc,train_left axis deviation_prauc,train_left bundle branch block_rocauc,train_left bundle branch block_prauc,train_left ventricular hypertrophy_rocauc,train_left ventricular hypertrophy_prauc,train_myocardial infarction_rocauc,train_myocardial infarction_prauc,train_nonspecific intraventricular conduction disorder_rocauc,train_nonspecific intraventricular conduction disorder_prauc,train_nonspecific st t abnormality_rocauc,train_nonspecific st t abnormality_prauc,train_normal ecg_rocauc,train_normal ecg_prauc,train_premature atrial contraction_rocauc,train_premature atrial contraction_prauc,train_prolonged pr interval_rocauc,train_prolonged pr interval_prauc,train_qwave abnormal_rocauc,train_qwave abnormal_prauc,train_right axis deviation_rocauc,train_right axis deviation_prauc,train_s t changes_rocauc,train_s t changes_prauc,train_sinus arrhythmia_rocauc,train_sinus arrhythmia_prauc,train_sinus bradycardia_rocauc,train_sinus bradycardia_prauc,train_sinus tachycardia_rocauc,train_sinus tachycardia_prauc,train_t wave abnormal_rocauc,train_t wave abnormal_prauc,train_mean_rocaucs,train_mean_praucs,valid_accuracy,valid_atrial fibrillation_rocauc,valid_atrial fibrillation_prauc,valid_left anterior fascicular block_rocauc,valid_left anterior fascicular block_prauc,valid_left axis deviation_rocauc,valid_left axis deviation_prauc,valid_left ventricular hypertrophy_rocauc,valid_left ventricular hypertrophy_prauc,valid_myocardial infarction_rocauc,valid_myocardial infarction_prauc,valid_normal ecg_rocauc,valid_normal ecg_prauc,valid_t wave abnormal_rocauc,valid_t wave abnormal_prauc,valid_mean_rocaucs,valid_mean_praucs
0,5.119221664969134,0.5118693229524464,0.44049586844393307,0.038127798934685264,0.6529478659727828,0.025521260804772492,0.6449260948304578,0.1733581949220671,0.9561605743377961,0.2672662598081529,0.9221174363517985,0.3567483167163918,0.40553516320633665,0.015599335879601023,0.7447135329895038,0.5018287050375454,0.8749908324165749,0.10025506599726525,0.6081932912580108,0.16743623005450164,0.616325561348023,0.42241539599385713,0.4202375696432749,0.03391080712054502,0.5799934513198237,0.024132415141097225,0.8978672719858538,0.6986489464218841,0.5054518223380604,0.02090560495523197,0.518084873127338,0.020759853015668538,0.5366065724538692,0.034920619969948344,0.3919517672527161,0.01230844581441597,0.7163324789943455,0.08643704795416486,0.5810902496054785,0.0461245427005349,0.6846012877871954,0.11703891060706775,0.7289733108036713,0.21195157795255004,0.791846205375466,0.35051367695194613,0.6463383219019232,0.1693731369433589,0.5201465201465202,0.646250172416405,0.21210521323404813,0.9146055028281086,0.3884471510365177,0.74923532149744,0.4975068041000422,0.6310801835720525,0.19203849096783143,0.5913220768856554,0.4226244996446574,0.9019830649815579,0.7199599294342636,0.7879533515481725,0.3133189798563623,0.7460613819613418,0.39228586689624617
1,4.732057545332679,0.43393634073734827,0.6728891965038668,0.08581578094942921,0.6769422741570847,0.024182705281268833,0.8167596478922928,0.343913075689784,0.9694364850779562,0.4070179271957413,0.9155136870994323,0.36083496220080835,0.5886223604996381,0.024138982575381655,0.7657398853662073,0.5312312008644877,0.9645471213788046,0.3042822796097902,0.7359391474091908,0.2725582103060844,0.8519277671258237,0.6771670969483027,0.4963920582779537,0.03705072631038646,0.6775644863089587,0.028985262328991554,0.8954885911193853,0.6843640876641081,0.5672699379118795,0.03409445985472718,0.6689367068594169,0.03725202427664358,0.6022137093661978,0.03348975008180058,0.6022001020584791,0.021052504356951246,0.7749275518052472,0.08791559334606196,0.594937890013901,0.054700279238260485,0.8370527840299142,0.28454820144649057,0.7705150551495867,0.16896036915790594,0.8429045036019588,0.3960084088153017,0.7403964067733262,0.222707449477214,0.5011446886446886,0.8228755309029995,0.3910024820739679,0.9096083788706739,0.3790903850123285,0.7713900000349967,0.518381852282987,0.7582587135861684,0.3127091302542004,0.8440630346493793,0.6711329584833212,0.8941593756505197,0.6893356246926657,0.8406994545608406,0.35903064046304906,0.8344363554650825,0.47438329618036007
2,4.557900616835296,0.5270590031295321,0.6183104910145192,0.07506090653399608,0.5041330481172852,0.016919228826328958,0.7814884374067308,0.3108212506368172,0.9459755737653138,0.46189545485459366,0.8710129251752844,0.24845917324599207,0.38897452485686335,0.014643796882587008,0.5594339753668576,0.323904940336311,0.9454613651841374,0.2323825318027067,0.6268205408321433,0.268013510763809,0.6346436175817827,0.5108510988376931,0.36692352171749953,0.026728896128614354,0.46959328727207783,0.017793105206543404,0.9130449577627214,0.7428957510335966,0.5393426453586152,0.029290835202378206,0.5475694175133794,0.028289373337316598,0.5052795929203705,0.03701318813913372,0.5035825373596228,0.03290117597083577,0.6733259289114483,0.0811132838873049,0.5786446785159228,0.05140644390064742,0.7893451595759322,0.26456935149220684,0.8564530360986075,0.3077313550545125,0.7915907458148911,0.3309963735556029,0.655043182187364,0.20062186480134223,0.5057234432234432,0.7824236524212844,0.359184749523567,0.860234499147355,0.2630900247662066,0.5537666394858748,0.3190209991544935,0.6211968487794253,0.2962153730591742,0.6114216139100395,0.499427886071683,0.9069152364059269,0.7240918476731115,0.7868798714190945,0.31354249678353535,0.7318340516527143,0.39636762529025305
3,4.439897026490478,0.4862987558201664,0.5673504925834646,0.09314317745688798,0.5762088234533946,0.022321418337801886,0.8331918817809002,0.3241226405160956,0.9582461860843404,0.4227607573069147,0.8271308780740119,0.3215658726141723,0.33731272862651174,0.012975335120981757,0.621202416507453,0.4062119902682066,0.9335283147362354,0.23148504210536894,0.6473681285825003,0.3033289921861866,0.7430980222344677,0.575774698527999,0.36834719334719335,0.027327084220920964,0.4681426553905891,0.01813700136340281,0.917823220132933,0.7768874553041186,0.518903597831893,0.036214188287018514,0.5334908924938397,0.05110692209042848,0.4128058142011053,0.020111129702303887,0.5143179728578398,0.020456954539144333,0.6941310775891436,0.0835821989572107,0.6113476549348753,0.0662117824496478,0.8353409925828369,0.393228474266702,0.8639757870450767,0.24612484358876702,0.7783597560866005,0.3630697234930056,0.6618920221435094,0.21891580375924022,0.5572344322344323,0.8351842682886963,0.37983690802699493,0.7915479209698364,0.33337231033400166,0.6094505163767188,0.3854602348485589,0.6273232136641161,0.2980491429032684,0.7183717142123129,0.5501643751901886,0.9077396748865368,0.7647623967881991,0.7720724735195413,0.30290183455070185,0.7516699688453942,0.4306496003774162
4,4.329664910970667,0.5078238302419663,0.6496946276696585,0.09385421566584812,0.5948681635948169,0.021112139970414036,0.8223975482055039,0.5144370031927902,0.9446836641227402,0.44618871308038677,0.8685811985980036,0.45962085361982546,0.4155816586024672,0.017995732871626573,0.7582331138935289,0.5683732655469712,0.9536782440148777,0.30949131515855655,0.63902547632255,0.2929122139289741,0.7184721243308945,0.5577991190701435,0.4234987364543625,0.03393365956657214,0.5694057568852096,0.026385512661868248,0.929559525324179,0.7997470635854853,0.6337012340201,0.10670557586281428,0.6714925063689897,0.05375563098159349,0.5106768200995567,0.025897153198018295,0.5268274424909463,0.01892320981175096,0.7091751159899919,0.08755360283923302,0.6527736809382516,0.09767404209919997,0.8688657012850346,0.4391981076910581,0.8741733993786885,0.41250262190335174,0.818953229959142,0.4255985242389072,0.7070144985704316,0.2640754216611541,0.586996336996337,0.8179537900115689,0.5391776906957517,0.8462798825180189,0.4577990498823964,0.7591936403946231,0.5541149783642828,0.6273632552646696,0.2778260386536643,0.6889951734655393,0.53545804964444,0.9193917553658929,0.7757394092063123,0.8052479804193438,0.3593827735564255,0.780632211062808,0.4999282842861819
5,4.221755507720098,0.5420196931531944,0.770953918767855,0.2156707193956897,0.6332883312276604,0.02793008696450634,0.8436432219302841,0.5110120948495654,0.9514694284653924,0.3183046434768477,0.899825665411432,0.6133261590719342,0.4477372471525428,0.02023734689139422,0.5903988681999546,0.4572320112224476,0.967868824977736,0.7663618025636754,0.7215326462407599,0.33009089352255666,0.7676829565697267,0.6305194987065144,0.46438918194068746,0.03846178046229489,0.4882729013629854,0.023593967542544343,0.9321141257441933,0.802083386034364,0.6863167359462435,0.21792924881404582,0.7103329027677512,0.10134787908697909,0.5151283236327691,0.028534303551817856,0.4908199821809792,0.022981071856749392,0.7436867783781842,0.10855597347864698,0.6831233719691409,0.10986289935198773,0.8585837305175076,0.45203159637033796,0.850800176659993,0.4558381333342303,0.8363801437188465,0.4626891386322397,0.7206522483528465,0.3052088470536987,0.5535714285714286,0.8314592766404275,0.5351241896744935,0.874067101849673,0.5731683964905285,0.5708514587219428,0.42202921523567327,0.7144457281484978,0.35974493630569854,0.7402378831027566,0.6038320743959544,0.920876218302933,0.7676185349917247,0.8181457198974335,0.40098535866301277,0.7814404838090949,0.5232146722510123
6,4.14080961854683,0.5643843981375467,0.7055574985781432,0.19476659475476923,0.6828567823190377,0.02856168970706043,0.9020641412748215,0.6101252795960359,0.9782075534086379,0.6187672469381491,0.8973800840835232,0.5790961127486481,0.4187058140977871,0.019027524003424712,0.5984747750230367,0.44207652991107094,0.9718589763738278,0.7922652876829182,0.7138740068827281,0.3827097567695181,0.830706228196722,0.6903495794375177,0.4660009851372767,0.037244461087370034,0.4597444691765531,0.02399993950440254,0.92388020232604,0.7662344512308225,0.7185107569311566,0.19938083940936832,0.6934479950360661,0.09111321245583329,0.46746157358371604,0.029311350321974527,0.6254785396195961,0.039079082038716635,0.6846079831486973,0.10464076024451369,0.6917811379647312,0.11626676587057957,0.8808870952373894,0.46533549703228294,0.8915337352286917,0.5539204741284418,0.8076435046403343,0.4430678514303969,0.7277574471940234,0.3285154675592643,0.57257326007326,0.8962423987287829,0.6457467009854655,0.863218030172301,0.5427770596272501,0.5863628834037351,0.4215961694811624,0.6984205457189656,0.38444119154538975,0.8073390107517479,0.6600697105268108,0.9133484492853163,0.7463765567888014,0.7969471503363353,0.386343465718874,0.7945540669138834,0.5410501220962506
7,4.068048132620607,0.5380505304938554,0.8664771130098256,0.3006331308217764,0.6507289276880016,0.02754819573899047,0.9529306361089986,0.69224135272899,0.9840389751779629,0.6140973306959581,0.9556177876873614,0.7100603219299061,0.4198585925142475,0.01806137559579173,0.6440800447974439,0.45688009174280064,0.9867999371365709,0.8248118705629821,0.6657350813574259,0.2870461706782491,0.7777471277134803,0.6219392919721017,0.49819273436547606,0.04934698217708375,0.48044292891374596,0.021797493376735366,0.93569849367547,0.8060458409936208,0.7600827321115231,0.2809611713413758,0.8106735765979155,0.12809919074873233,0.46937068926236347,0.024988514831782903,0.662101385582479,0.03722500566742388,0.7042494183975195,0.09851978493894128,0.6946317407441713,0.15861346896497028,0.8752476798868475,0.4484682410752422,0.8935455090904246,0.5954306038936019,0.7888924673133395,0.43966122105048244,0.7489610717787543,0.3473853023421609,0.5535714285714286,0.945621659805889,0.6998234414687687,0.9415560552316377,0.6651425051420615,0.6283286262734434,0.43382804290468613,0.6415086180202152,0.26804194888702526,0.7524209197199189,0.594734226743656,0.9206164466377396,0.7640960075640048,0.7784559521040861,0.3534867226715385,0.8012154682561328,0.5398789850545344
8,4.007759867110477,0.4719487062056332,0.5852614745471304,0.14566519042651457,0.4914598622266616,0.02343179054228127,0.8230623401149251,0.4520206835244874,0.7719170601659014,0.27502418227680847,0.6824593977383471,0.3157551929327596,0.39643451305190847,0.015111983269775003,0.6415784907368383,0.4603908393079942,0.8965494263712086,0.7097376407554706,0.6122465633077223,0.22798761612355567,0.5911366765657522,0.3715948894000215,0.42138662190167736,0.03450901565767212,0.35945077079288645,0.015201535311156558,0.9372326594847933,0.8326830742351036,0.6957229918627672,0.18877204992133262,0.6140052890954543,0.08048550021694842,0.3622544675445685,0.01825535185108604,0.5354323510392056,0.03827986429403063,0.5716837133339594,0.07483634656187961,0.6973902287215661,0.19286183128662374,0.8735224431114396,0.47564543303829077,0.8837473572210233,0.47625715890466674,0.7138141697219753,0.38280522827516494,0.6435340394844414,0.26396874536880116,0.4661172161172161,0.8068944237544758,0.48657899322067205,0.6359837953884546,0.2867009406685161,0.6266910710515233,0.4311583355574872,0.5618904333675734,0.18609952237795135,0.5679058689128546,0.37234550684344303,0.9237303410562635,0.8056390205217662,0.7006937380128546,0.3083947331319713,0.6891128102205714,0.4109881503316868
9,3.9575523574901315,0.43401267078848943,0.818764177709209,0.2822845136692024,0.48275153668507803,0.01713019722782526,0.904309893580421,0.5356774181919662,0.9892154970921854,0.7055560313727499,0.9215583666660625,0.6330917341563189,0.5181527954246665,0.02181586753398945,0.7086003154720314,0.5196986362606059,0.9685046885640946,0.7686844865120979,0.67018173382195,0.322606140257717,0.5001351312515305,0.28248193844298736,0.4727537881658326,0.03867291658525394,0.36599581281358423,0.01435653626297606,0.9271681944418753,0.797778245092888,0.7888948600821466,0.22201080429876233,0.7207727508666002,0.12651308551165585,0.3590678810117848,0.01805359793684444,0.6840615677890852,0.04042295443019922,0.5304027336587753,0.053662937159978066,0.7167164781588797,0.1924058284365156,0.8741762883694733,0.4093082738559193,0.9075299178047116,0.5521628294485128,0.718315374968618,0.3107767785561022,0.7067286265635725,0.3120523523273213,0.413003663003663,0.9042688308613005,0.5645401315552203,0.8915049255860299,0.5695387246298785,0.7005846203379984,0.5015882461922003,0.6356972470598787,0.26637723181327244,0.4746729927246689,0.2818475395192286,0.9108417275065036,0.768317140260416,0.7040005775725502,0.25568335612361853,0.7459387030927044,0.45827033858483357
