epoch,train_loss,train_accuracy,train_1st degree av block_rocauc,train_1st degree av block_prauc,train_abnormal QRS_rocauc,train_abnormal QRS_prauc,train_anterior myocardial infarction_rocauc,train_anterior myocardial infarction_prauc,train_atrial fibrillation_rocauc,train_atrial fibrillation_prauc,train_complete right bundle branch block_rocauc,train_complete right bundle branch block_prauc,train_incomplete right bundle branch block_rocauc,train_incomplete right bundle branch block_prauc,train_left atrial enlargement_rocauc,train_left atrial enlargement_prauc,train_left axis deviation_rocauc,train_left axis deviation_prauc,train_left bundle branch block_rocauc,train_left bundle branch block_prauc,train_left ventricular hypertrophy_rocauc,train_left ventricular hypertrophy_prauc,train_nonspecific intraventricular conduction disorder_rocauc,train_nonspecific intraventricular conduction disorder_prauc,train_nonspecific st t abnormality_rocauc,train_nonspecific st t abnormality_prauc,train_normal ecg_rocauc,train_normal ecg_prauc,train_premature atrial contraction_rocauc,train_premature atrial contraction_prauc,train_qwave abnormal_rocauc,train_qwave abnormal_prauc,train_right axis deviation_rocauc,train_right axis deviation_prauc,train_s t changes_rocauc,train_s t changes_prauc,train_sinus arrhythmia_rocauc,train_sinus arrhythmia_prauc,train_sinus bradycardia_rocauc,train_sinus bradycardia_prauc,train_sinus tachycardia_rocauc,train_sinus tachycardia_prauc,train_t wave abnormal_rocauc,train_t wave abnormal_prauc,train_mean_rocaucs,train_mean_praucs,valid_accuracy,valid_abnormal QRS_rocauc,valid_abnormal QRS_prauc,valid_atrial fibrillation_rocauc,valid_atrial fibrillation_prauc,valid_incomplete right bundle branch block_rocauc,valid_incomplete right bundle branch block_prauc,valid_left axis deviation_rocauc,valid_left axis deviation_prauc,valid_left ventricular hypertrophy_rocauc,valid_left ventricular hypertrophy_prauc,valid_normal ecg_rocauc,valid_normal ecg_prauc,valid_t wave abnormal_rocauc,valid_t wave abnormal_prauc,valid_mean_rocaucs,valid_mean_praucs
0,5.20898776325176,0.19074879780169451,0.5139806747980358,0.04002517190684747,0.43513933031620744,0.17243270530528687,0.5115720382525297,0.019365055350895277,0.6639488886826597,0.1600035182403464,0.8859083790763633,0.5679230719819214,0.8076500539333982,0.2914208170718576,0.5775984849446935,0.02312477690865978,0.7957655501853509,0.5704522598085917,0.8911847201154383,0.14980622331538734,0.7050979348305757,0.22099091638341334,0.49794154462279483,0.034546630030335354,0.43543742444746997,0.015418185453796028,0.9062428151340122,0.761527395968403,0.5625033592196361,0.0317481084815054,0.4655239329148948,0.02555221852272012,0.4368452022266107,0.013006447648331856,0.5586791781992844,0.052530064981862384,0.5565138793688212,0.03933303136143579,0.7079135843683585,0.10476903373610633,0.673859180122203,0.1743844337451685,0.675995144174742,0.23965743294570996,0.6316810142825752,0.17657226186421818,0.25274725274725274,0.4399113492309875,0.16016193131479278,0.6591077247021517,0.16861402943576137,0.8385191364681466,0.3350685987140305,0.7906433451602498,0.5579769638063375,0.7099506878644315,0.2181154220141464,0.891205353263231,0.7362074802009708,0.6657925957472697,0.2256408840732032,0.713590027490924,0.3431121870798918
1,4.686439493868826,0.3807342950919777,0.45374040201088817,0.03807643111369261,0.5782799950134458,0.26383907308867516,0.48558373277635636,0.018960548020286398,0.8222292022858121,0.36086712132269816,0.875379682244458,0.590520633183211,0.7844260915608011,0.3497730552167555,0.5254670256403744,0.021838639914613586,0.8404806445790053,0.6111418695872437,0.9044950883767713,0.25736217076545087,0.7129785607380963,0.3301976311684261,0.4125820537338376,0.029795962192563943,0.49942658440554893,0.02091394811297407,0.9223099651196248,0.78485656996708,0.6511417596936141,0.041764984600455995,0.5668946310147358,0.04127374747133371,0.4567503460434702,0.014587451382801347,0.6047470777073707,0.07169046585736526,0.5902783560996407,0.050279533936363995,0.8213862757987905,0.32075825392458746,0.8034962645371686,0.20258567064773683,0.7705803654050157,0.3555585199520267,0.670602576418325,0.22745915625839727,0.4913003663003663,0.5718418677516381,0.24807755580942095,0.8151090063959852,0.3688661230845027,0.7934797647872709,0.4343661482315734,0.8253086238747324,0.5795762347431195,0.7006052979227404,0.32259396437751686,0.9044292732301055,0.7385058655242599,0.7469733381636768,0.3083159650119137,0.7653924531608786,0.42861455096890105
2,4.452529425512206,0.45439279444317227,0.5631862405895937,0.10523606245509581,0.5711422944490705,0.26023208384293484,0.4750204201967318,0.016925595348869525,0.883278305843384,0.5146523873269236,0.8870330000650836,0.557205687797803,0.8415979540739398,0.41542470423848366,0.426165182936896,0.0162584491887255,0.7207243888053918,0.5086155155438025,0.9344920870545673,0.4573766079032066,0.7435900643132264,0.37077225700349214,0.445903554911675,0.036893808158789454,0.48358968383438206,0.019232735943660886,0.9295552295998933,0.7955438091782552,0.6635427486478751,0.05642766311177964,0.5807320558036865,0.050359173596265544,0.46761473130917797,0.019595163924810362,0.5982606590458661,0.06751182260974257,0.5973178677611007,0.05367650395227764,0.8196216938916054,0.3227751251250022,0.8709371644714361,0.4173074555406248,0.7784801056880231,0.37831420011512173,0.6800850206329813,0.25906365770979367,0.48054029304029305,0.5577790433035981,0.22192311361413097,0.8528665415489353,0.5146470973199827,0.8498545180784178,0.4575579892209529,0.7104891065302172,0.4668540220943105,0.7189658117711372,0.32782348021169333,0.9038940491465551,0.729289875023707,0.7558972132421466,0.31722533547255205,0.7642494690887155,0.43361727327961846
3,4.310033446913884,0.5223265399587818,0.6810918155518687,0.1360526628303938,0.6021684126121594,0.32409927383577125,0.4807167115187,0.017716809421783983,0.903147364212976,0.604801237415552,0.9176480366561526,0.6940652284049026,0.8753763281591389,0.4151345192548009,0.5522122601374091,0.025636188617369715,0.8105270329796206,0.5990323012685463,0.952371810644509,0.6343035176809725,0.7578216243235065,0.39673373426408,0.5225427188934614,0.044916775344222004,0.5762632519308059,0.02362604037895536,0.9384574592769865,0.8198165113432937,0.6943122630578336,0.08272260470459546,0.6202663106056411,0.061693242406243035,0.5214267282783145,0.022587727311997523,0.6356059565615039,0.07345268281577724,0.6201699447729313,0.07654073155595183,0.8861037348173095,0.4762550217567011,0.8520408937433955,0.2810665398234404,0.795721019788496,0.4084951998139479,0.7236186513582248,0.29613088334520465,0.521978021978022,0.5822632672907033,0.2868483257769719,0.8840366697599321,0.5872857419815695,0.8738417400858647,0.46917367793913106,0.7988144737999591,0.5659917447066336,0.7279792274052478,0.3494557203234807,0.9131855801328091,0.7496499369450885,0.7723392781586436,0.3161768607326241,0.7932086052333085,0.4749402869150714
4,4.178149049149771,0.5333180673231052,0.639907792608402,0.16304753435305464,0.645183197223862,0.43153904063878934,0.5286582417480685,0.02473211445005541,0.9306893665473314,0.6444530275845949,0.9386821562261178,0.7493029735939162,0.8919382118125952,0.47701489878238823,0.5254482938165933,0.023165109385940654,0.8990438365076745,0.7469466766864783,0.941392198905644,0.6216456418036744,0.6863346212296279,0.35507928997180627,0.46523783481744796,0.03428735598904184,0.5489375968469297,0.023638978923283135,0.9316731491293944,0.7943950570511039,0.7341882312943027,0.14601906208121246,0.6507519672785391,0.07037826618434434,0.6869227636940737,0.03924797734773439,0.6764956648050742,0.08512780833700065,0.6478709392018234,0.08659444720894079,0.8946567138497914,0.4013553645407336,0.9038196465497725,0.6386280638499554,0.8134374116816752,0.4691566169578836,0.7419652302749876,0.3345597764629491,0.5302197802197802,0.6056523088878976,0.3743047408445322,0.9149795886095702,0.6375991395050232,0.8870612651840396,0.544437836112059,0.8726356918746151,0.6802849427193765,0.6456723760932945,0.2565016816503459,0.8995442671724118,0.7105921463585549,0.7738724512794419,0.347531645196975,0.7999168498716102,0.5073217331981238
5,4.055755099452422,0.453095183573773,0.7489881364269217,0.23466018188678123,0.6366047387032613,0.3235204431487521,0.5411740242279315,0.025334809074278694,0.9232169308581075,0.6026540529811384,0.9193576551388193,0.7565981580642991,0.8762039056441104,0.4866258237125319,0.5444610949544721,0.025367146555801957,0.8207228282605974,0.6246149872756148,0.9335932676647642,0.5595612542910516,0.8246805575652689,0.46975961325705673,0.4979391668690587,0.03645101916685882,0.5029157995587119,0.020338669688756784,0.931408437260943,0.8121500088525595,0.7101952784683708,0.10018022047510138,0.6042168312350938,0.044303945048058437,0.4947772792630467,0.031880610080736685,0.6388233939796144,0.06622407192192571,0.6311005838737529,0.07754203462652243,0.8466158762357836,0.3829793609935229,0.9035434851088288,0.551955053754585,0.7545571501127517,0.3235417968065734,0.727861734352867,0.312202060079167,0.4251373626373626,0.604834262946569,0.2750516452506655,0.8987936264861198,0.5639819453429494,0.8673825462388346,0.5027448565311207,0.7906251649415007,0.561580184300982,0.7777360832725948,0.3840296399595592,0.8976684268910484,0.7244255715304646,0.7205720085286903,0.24934103462835505,0.793944588472194,0.4658792682205853
6,3.971125852514811,0.4614151591481566,0.721997215436818,0.26019913026479147,0.727675418764125,0.5285365587559628,0.5676334006766617,0.02867707545355392,0.9506170515021611,0.6784433401884159,0.9560912203576107,0.8138221803293334,0.9248255284095159,0.585935327823141,0.5239633999212628,0.0268728236243716,0.7704017099709803,0.6527712993734192,0.9403187530362475,0.7535421064009734,0.7686723965693534,0.3920117190240878,0.587356973866788,0.09035513793467095,0.547822792435139,0.026034568377924092,0.9596795076042026,0.888021757174181,0.7393512737535889,0.2190005734460186,0.6983339952987724,0.1043881775436944,0.4911166017337971,0.019537823972147303,0.6630185835121912,0.08580378585996461,0.6937727013574371,0.17806929238731223,0.8587984583397308,0.33079524882791866,0.9354630438331937,0.7327436702082014,0.8321817820958375,0.5085533832471064,0.7551948480226388,0.37638642762938995,0.5107600732600732,0.671377438050341,0.43016344625163333,0.9106576171314195,0.606229897411634,0.9066240055344172,0.5559713228845117,0.7470512858106325,0.5757556204701035,0.7045422968294461,0.26568652424047656,0.9181641353856222,0.764224370573509,0.7851876228902968,0.3517625257431994,0.8062292002331678,0.5071133867964382
7,3.8322574307232284,0.5055339287077323,0.8386962575137351,0.35464188795883633,0.6274306519311388,0.39469679785336176,0.5843583785473638,0.03283806452386863,0.9548581540032053,0.7227405425196928,0.9731431634383192,0.8607280651661481,0.9543832204143817,0.6599684443325451,0.6390209288444688,0.05226802454307114,0.8659744765659263,0.7536130961175536,0.965163256605838,0.8394421821331464,0.806958815394572,0.4798213200139989,0.6378898454629911,0.1069517466229331,0.5331604909500505,0.04169243639961679,0.9594661548071052,0.873060076185435,0.8607823763150955,0.3348687283219572,0.6857932510077469,0.09824312675908001,0.5185513606071273,0.018085274842639245,0.6576967879759367,0.09282588771694714,0.700680889469702,0.16231064153475763,0.9232689355785074,0.5586806284032377,0.9198728200695926,0.6649742327090714,0.8422706397624024,0.5198385364460137,0.7833057550126289,0.4105852257668529,0.48443223443223443,0.5809890152815669,0.30267524577901617,0.9148780518253732,0.6466328789757031,0.9267890206930229,0.5746436327740829,0.8149020614022225,0.6600710177177054,0.7120051703717201,0.26763632793738645,0.9074532637422744,0.7198515982922782,0.7808425261958557,0.33444657229529906,0.8054084442160051,0.5008510391102102
8,3.7190488350954634,0.4827112434165331,0.7521970536987169,0.3167342524539788,0.6974700187777644,0.49363153479474864,0.607039573522322,0.049555993571964524,0.9370457555066157,0.646681277325133,0.9664807758500957,0.8252397023514956,0.915807554218812,0.5955151734117498,0.5522646457462885,0.031406728247187946,0.8366855605203403,0.6987645022883294,0.951107514932254,0.7213911574391155,0.7914827029072573,0.46909550517063237,0.6758289443962289,0.1650889852866355,0.6470161946464857,0.03646027780687731,0.9725742278242928,0.9203672388361529,0.7467445255656926,0.2067442507555343,0.7253820463515839,0.1076509530424539,0.5373939496089113,0.03879798830286684,0.6958265206932167,0.11416042001113821,0.7046659719686503,0.23849921412184596,0.9027097605964447,0.5853773063117947,0.9397499191241495,0.6177211498521474,0.8500289198185205,0.5518622210253182,0.7812143874416497,0.40146408725748095,0.49175824175824173,0.6407061634077091,0.3862486978120833,0.8936119214171871,0.5751071658693848,0.8809205037947382,0.5328535121881276,0.7882501539454007,0.5836685202063319,0.7033826644497085,0.23928172301569972,0.9127278025140707,0.7532696593441703,0.7893734288708889,0.38110238773671923,0.8012818054856717,0.4930759523103595
9,3.5817646287650646,0.5692695214105793,0.7174845556787581,0.29795181324832315,0.6739575908341229,0.45945219239789853,0.6152628419359272,0.04336016639475096,0.8641451583542439,0.634024499281211,0.9594536769210228,0.8133547939185233,0.9215405612616477,0.6384661114680245,0.5330178555554145,0.024825691739630583,0.8252109229126265,0.7130455188211069,0.9378908816586766,0.6636738053776363,0.7852756282843815,0.41680248040488693,0.6116543051778984,0.12195332435387299,0.6292157800700774,0.05571482496720745,0.9715600160014597,0.9208461181750686,0.7894384884699084,0.3543477088756322,0.738730754468744,0.16651722905046976,0.5325638838009892,0.0384971639968828,0.6903247812353076,0.11082302358318524,0.7467807935928343,0.3030712979198952,0.8972156509060734,0.44058999520065223,0.9493081397219084,0.7775650621152396,0.8449100032873583,0.5609248276295065,0.77309248905378,0.4074194118533145,0.4626831501831502,0.6015246616488796,0.3292529772031832,0.806502515532215,0.581575547982568,0.8865007019757056,0.5250660304178852,0.7555241474357095,0.5718405398379766,0.6606681623542275,0.18624877255356245,0.902652733118971,0.7131568982206625,0.7553305697131937,0.3356934834711583,0.7669576416827003,0.46326203566957086
