epoch,train_loss,train_accuracy,train_1st degree av block_rocauc,train_1st degree av block_prauc,train_anterior myocardial infarction_rocauc,train_anterior myocardial infarction_prauc,train_atrial flutter_rocauc,train_atrial flutter_prauc,train_bundle branch block_rocauc,train_bundle branch block_prauc,train_early repolarization_rocauc,train_early repolarization_prauc,train_left anterior fascicular block_rocauc,train_left anterior fascicular block_prauc,train_left atrial enlargement_rocauc,train_left atrial enlargement_prauc,train_left axis deviation_rocauc,train_left axis deviation_prauc,train_left bundle branch block_rocauc,train_left bundle branch block_prauc,train_left ventricular hypertrophy_rocauc,train_left ventricular hypertrophy_prauc,train_low qrs voltages_rocauc,train_low qrs voltages_prauc,train_myocardial infarction_rocauc,train_myocardial infarction_prauc,train_myocardial ischemia_rocauc,train_myocardial ischemia_prauc,train_nonspecific st t abnormality_rocauc,train_nonspecific st t abnormality_prauc,train_normal ecg_rocauc,train_normal ecg_prauc,train_premature atrial contraction_rocauc,train_premature atrial contraction_prauc,train_prolonged pr interval_rocauc,train_prolonged pr interval_prauc,train_prolonged qt interval_rocauc,train_prolonged qt interval_prauc,train_qwave abnormal_rocauc,train_qwave abnormal_prauc,train_right axis deviation_rocauc,train_right axis deviation_prauc,train_sinus arrhythmia_rocauc,train_sinus arrhythmia_prauc,train_sinus tachycardia_rocauc,train_sinus tachycardia_prauc,train_st depression_rocauc,train_st depression_prauc,train_st interval abnormal_rocauc,train_st interval abnormal_prauc,train_t wave inversion_rocauc,train_t wave inversion_prauc,train_ventricular ectopics_rocauc,train_ventricular ectopics_prauc,train_mean_rocaucs,train_mean_praucs,valid_accuracy,valid_1st degree av block_rocauc,valid_1st degree av block_prauc,valid_atrial flutter_rocauc,valid_atrial flutter_prauc,valid_left anterior fascicular block_rocauc,valid_left anterior fascicular block_prauc,valid_left axis deviation_rocauc,valid_left axis deviation_prauc,valid_left ventricular hypertrophy_rocauc,valid_left ventricular hypertrophy_prauc,valid_myocardial infarction_rocauc,valid_myocardial infarction_prauc,valid_myocardial ischemia_rocauc,valid_myocardial ischemia_prauc,valid_normal ecg_rocauc,valid_normal ecg_prauc,valid_premature atrial contraction_rocauc,valid_premature atrial contraction_prauc,valid_qwave abnormal_rocauc,valid_qwave abnormal_prauc,valid_right axis deviation_rocauc,valid_right axis deviation_prauc,valid_sinus arrhythmia_rocauc,valid_sinus arrhythmia_prauc,valid_sinus tachycardia_rocauc,valid_sinus tachycardia_prauc,valid_st depression_rocauc,valid_st depression_prauc,valid_t wave inversion_rocauc,valid_t wave inversion_prauc,valid_ventricular ectopics_rocauc,valid_ventricular ectopics_prauc,valid_mean_rocaucs,valid_mean_praucs
0,4.727235021020842,0.5032311126777111,0.7602611697567188,0.2388766860252639,0.8129326333853986,0.026499764700170247,0.9733397910814499,0.844029523062802,0.7532159500751343,0.08676124502897631,0.7601760282472521,0.013221116120724333,0.9037798740747147,0.28960519379479754,0.7925437562743856,0.0251351278647838,0.8417951676348882,0.4799273682015101,0.8681514534538104,0.14462044323512416,0.7489641534918607,0.14242650862335204,0.42470649942191924,0.016480340928161388,0.8733756867713287,0.43444887476359373,0.9194356958375651,0.32403940207214244,0.5757962518604015,0.012959546339543548,0.9343155693052511,0.7477503148656859,0.7151411721810705,0.16951718661029383,0.6315785969765209,0.012521636550888789,0.6308962735203508,0.02004022749166585,0.552586631685489,0.03875931391052671,0.5204658943836711,0.017652290591075766,0.8597411953319383,0.5120856291738971,0.9817758374981743,0.9347192297906833,0.686511993206973,0.0908337738539283,0.5677273799176487,0.022244614512067638,0.8087953905956354,0.26443447428176525,0.856789251497839,0.13584109670155492,0.759799972979515,0.23251657419596075,0.5076218169001674,0.7510033399211576,0.22604725585219884,0.9726461295105755,0.8344409664654019,0.8923889248221303,0.29376958870940123,0.842186467832933,0.47579266487329336,0.7260960054790212,0.12868799768913924,0.8677414730490407,0.43048927542111587,0.9133953500995728,0.32118175788495673,0.9300160217477393,0.724165080478676,0.7001239063452572,0.17947466468515322,0.5819638409020857,0.05061442646223657,0.5190232024537005,0.01847130213287808,0.8614551369657574,0.48854194972867815,0.97968123743458,0.9253329418962233,0.7229808783390069,0.11314077264061416,0.8068244323530308,0.2375455375577473,0.8654229615827702,0.16746871550185813,0.8083093318023975,0.3509478061237232
1,4.283332916197465,0.5118376219010692,0.8425997914802877,0.3522193535690415,0.7929332539037854,0.022107428282440993,0.9847497782176021,0.8978027896485983,0.8704091160815295,0.2294762484389922,0.796587282827089,0.01741866640527643,0.9422298607555538,0.3209834865667761,0.8141854044530595,0.023045364635735026,0.9131383098692069,0.5669823074688196,0.9536793707644752,0.3596894967885937,0.6981544163579043,0.1292285779910515,0.5091497976717299,0.023949419593760537,0.8463605110041095,0.4244567880681618,0.8229809142484376,0.2835558573308996,0.6336130432288134,0.015253203454253817,0.9429773886638945,0.7596337020064525,0.832668462518013,0.27511765863819626,0.7534862932786808,0.04766317514273133,0.6134478341258217,0.014525756602305446,0.7064707482351142,0.09005003432605908,0.5974668609395996,0.020144825425908484,0.9154235351772231,0.64469421573785,0.9891771713135625,0.9339229993221454,0.589105914161043,0.06560802741685602,0.6545605909189224,0.03229727262248188,0.8386758977025308,0.34764560175007403,0.9415902151887894,0.38546820652068414,0.7998392985802607,0.28011309475977486,0.512379945369636,0.8306605430140772,0.33314180998067466,0.9844084839554293,0.8990121687514631,0.9349740376047656,0.31373214961581763,0.9052659668156813,0.5337698753946782,0.6766978122927487,0.11781681670533675,0.8447030445264633,0.42035877961617,0.8104025237566961,0.27989760418144705,0.9399329184365584,0.7440047295697633,0.8127303883607124,0.22850944755960523,0.7051764895751895,0.08681093607851852,0.5920072632863249,0.021486533214140187,0.9154899485093704,0.6223678893606129,0.986828368594243,0.9198005294781352,0.6135910233998835,0.08438813400261352,0.8429817682650105,0.3183417511723682,0.9423679916683726,0.4735712735227925,0.8336386607538454,0.39981315176275856
2,4.103959896214041,0.5443543649394901,0.828786251365156,0.3244873107270787,0.7725885164088182,0.02227215714509767,0.9824480594175818,0.8786376563065867,0.7993988639459065,0.11610539289681843,0.8711826320765867,0.04812891213997611,0.930907856552062,0.28552755119920675,0.6879287547658435,0.013789243338841895,0.8301258716764737,0.45531144697655945,0.9105598695161099,0.27339999108769264,0.7351502927078934,0.17403686744371083,0.4739482916716501,0.022899587201160084,0.8596937517908728,0.4885654063129228,0.8845884969132632,0.374835288962285,0.5639604194298481,0.009574191975064157,0.9640304845842588,0.842509260635411,0.8934430868168993,0.37652306750764525,0.6853242233865071,0.0381264273702979,0.5646560955895172,0.013854840495111691,0.6097971315106218,0.08817174033120787,0.7117447880171796,0.03635362421747799,0.9263382274182111,0.719571764682378,0.9884619005837452,0.9482154479290744,0.5775750702669289,0.058603984881178975,0.6244592063469812,0.039022030214842005,0.7866057458680757,0.2944963677286188,0.9594721056642945,0.5900316315848103,0.7855067690112032,0.28973273812657907,0.5394307868534672,0.8306046086570801,0.32290256515762505,0.9812345598322592,0.8563668880018233,0.9276383040314081,0.2948155928162913,0.8207064047629977,0.4130819194232368,0.709278497504779,0.14489673177311618,0.8562316527735765,0.4828659793858403,0.8720329574330214,0.3685125677510649,0.9581323787463063,0.826028164487524,0.8802959252607468,0.34086906753866464,0.6336893815225343,0.10083629484125335,0.6837741079798161,0.03615671224458987,0.9216293908548479,0.6802100483304032,0.9868988979970409,0.9439446908217713,0.6058024350599565,0.07109943477870866,0.7804797436748597,0.27781668324975983,0.9628354652995785,0.6512274948523569,0.8382040444619256,0.42572692721587685
3,3.9793361210960323,0.5224121724826695,0.7670351409223813,0.37681162809201824,0.7781752782360124,0.02181548489772357,0.9759259661023735,0.9060831774902806,0.7617703645958166,0.16189866867011465,0.8675879033211205,0.04600525822538114,0.8537017068246588,0.13108538021659566,0.6415966510857346,0.011320321023512988,0.7812700769680626,0.3407621180995917,0.9112627437284508,0.5001127181880629,0.7348017813008512,0.13980320815220984,0.524511895506917,0.03290943220134036,0.8638083190918029,0.44871252417258983,0.8841374681912065,0.2776034395480893,0.5297538026438794,0.007261695905506887,0.9669033079057983,0.8628845242426642,0.8680775450551069,0.3938621370357781,0.6012899057881758,0.039478427288222095,0.5965467582978531,0.020054893842902544,0.5936860171022522,0.07110722712959007,0.576720428334721,0.02200381992372993,0.9287549329314114,0.7328242979699604,0.9829323301956302,0.9186740631100497,0.4908694552650603,0.044131024193379005,0.6438971426869127,0.04407258985951858,0.8125894458223002,0.3219820677751508,0.9002475239515125,0.45206591637053006,0.7629943804560001,0.2817433093701728,0.5287690545422504,0.7544167270998899,0.3647008993105071,0.9770953405188292,0.909959212821776,0.8511464839951332,0.14075189514335587,0.7724271946283116,0.2928478696634775,0.70863797281172,0.12714437971773884,0.8558768260578701,0.43202596126001486,0.8717115083848161,0.25515089786789574,0.9595850211327335,0.8375946289176535,0.8518195449078116,0.3533214896056566,0.6123615460018493,0.08157982655355564,0.5512219508028551,0.02259208836454938,0.921322482706387,0.6667469688554843,0.9821069180243576,0.9042489888358022,0.5237777739442451,0.05592840493496752,0.801432207099937,0.28811232805831394,0.9225355506180735,0.512733695263915,0.8073421905459262,0.39033997094841655
4,3.8949465094183013,0.3872341675478792,0.8472265976986777,0.45205945410297205,0.7008441925049286,0.01396461196746052,0.9835850796786348,0.8478713433140579,0.7942244516665753,0.39409520708119894,0.8831671788204702,0.05001228236973833,0.915871081998974,0.4071891307334684,0.7081933388459092,0.01549072169228165,0.7176663157672277,0.35361271555977586,0.9488013092973486,0.6924599321772631,0.7203746350748894,0.1317912636713348,0.49902523621576367,0.021050191193257572,0.8097572606653796,0.30129070117474327,0.7987460488628711,0.11384540765525991,0.5204226022334942,0.007295182671968875,0.9489049376627079,0.795603861093495,0.9264510262163483,0.4519909313795048,0.705763287078166,0.07360642483688996,0.542866576956706,0.01567394063198563,0.5639581079938669,0.036905981840532474,0.6191161165472727,0.03348616475702912,0.9415055027127026,0.7488866128767222,0.9868811256416384,0.9328331680230815,0.4179201982779309,0.032781958275729134,0.6268433046478838,0.04339122877494396,0.6912860089624111,0.21109090126464436,0.9495111973631385,0.5614594639017725,0.7603427968996892,0.2976822608854274,0.38126707198872145,0.8402726257256857,0.4226285537392466,0.9831951557979768,0.842491014075894,0.9124593489499703,0.41497505541905844,0.7066855287186014,0.3159837736157704,0.6861540466918119,0.10177792180608923,0.7987118057265394,0.2856969371609334,0.770699855644781,0.09327621831323946,0.9429862147622612,0.7780592068266521,0.9016203390947588,0.42276998956047246,0.5839636768672521,0.040927263130912286,0.5919118762882665,0.030601037909484374,0.9302904838003957,0.6728822534016298,0.983701034203727,0.917582592145616,0.4327820713343761,0.03739974386411044,0.6684006780172006,0.18822463343713236,0.9521818598834229,0.5749569634996547,0.7928760375941892,0.38376457236911854
5,3.8133200540790235,0.446833509575843,0.7760375433696178,0.3619757613762043,0.5954593866523141,0.01240977054510943,0.989595672955417,0.9452673300385901,0.8059115222617684,0.12171744372655927,0.9057140113461766,0.12336804129199265,0.8815115202656278,0.19348865550551225,0.5236218845674445,0.008350845365136443,0.7071439014520551,0.2281131095661841,0.9500323980501723,0.47108967869720975,0.6256092067521187,0.11784461481574404,0.5419331818363035,0.02904633122908358,0.63749374343266,0.18457666813914722,0.6826532717887858,0.14704616012237326,0.4475874684027039,0.005666827781393165,0.9444799757651797,0.8041167618142032,0.8649972845747557,0.42514934368207347,0.5605659238877232,0.023887501143003087,0.5366194793099566,0.027514751898334314,0.5171921105323377,0.04369264727610345,0.5917605486492948,0.02865259821478829,0.898496471423796,0.7538302436567603,0.984001524659472,0.9345083231093081,0.5185467288079177,0.04831090044635406,0.6959136565136064,0.06594366493204776,0.7468924310170048,0.26827501010410404,0.9343490070458254,0.37457975981864516,0.7255430713584629,0.2595547209344602,0.43695479777954005,0.7697778042453343,0.3491707811135498,0.9889913502051207,0.9370285498723108,0.8823101782540064,0.21014746624657926,0.7018143513078743,0.20521261133869106,0.5984742276084952,0.0964130405180886,0.632384938257921,0.1793432080195386,0.6780562680019948,0.144304479923476,0.9325286858850453,0.7629496374976773,0.8466714998929001,0.36729843305362125,0.5245855474728714,0.03825028161792371,0.5844439414948183,0.031153001572479327,0.8874336536796709,0.6850886974987128,0.9801602306690662,0.9199645484970571,0.5463025577330022,0.06523999383233112,0.7317255281173477,0.23457867033642704,0.9337987873118996,0.3847170952130962,0.7637162218835856,0.3506787810094725
6,3.765754817165509,0.5528140054047703,0.846770739676054,0.4404404035008659,0.7762642493123089,0.029019171616337363,0.9909690197208781,0.9429696847148545,0.7795508831659,0.10885634571822513,0.9108361157073631,0.19870399376474032,0.8275041744326992,0.1761326307658771,0.6308997560416251,0.01271061638398894,0.7325021904509159,0.3625743907456369,0.927186088158364,0.41013362058423486,0.7333854403005307,0.15023258774072976,0.5662907148267751,0.03952975781075842,0.8723828055695882,0.5630561902004012,0.8847143294573201,0.3067448304943088,0.6312707428444146,0.01248388309688659,0.9737951120924253,0.890607623771613,0.9177875249702875,0.5361555009042208,0.7061929484074814,0.07732594656599337,0.5671318758096785,0.026254327522568347,0.7252925408100873,0.1606960792420666,0.6931739821279893,0.06003143285721436,0.9389558283102742,0.806510141162452,0.9799935499071712,0.9267975391717631,0.5743184103254307,0.06819964983959254,0.6896563528891061,0.1029269416322871,0.8146982628698141,0.323669115849449,0.9508285710032831,0.6187355558300027,0.7939366234302986,0.321211460057195,0.5383734249713631,0.8462731856258164,0.40741887923295456,0.9899770122227372,0.9333664147577913,0.8346687306921646,0.17328297948239818,0.7272091814094106,0.3123052945204293,0.7036368488940712,0.13173596732153242,0.8584199367317199,0.5193159179880462,0.8798518450666476,0.28661439539473743,0.9648051879496519,0.8586169768124592,0.8964465901039692,0.4307514709862298,0.7177947699345316,0.15510914182331517,0.6829819623186673,0.05649143311604321,0.9279914446688249,0.7289583689180554,0.9750664151876348,0.9124169626900286,0.6032155672094949,0.08834822662795261,0.7954641162443491,0.2807527205958508,0.9517604970885624,0.6099277140976003,0.8347227057092659,0.430338304022839
7,3.7058441271416074,0.5106332980848314,0.7732307556963613,0.35774117409469325,0.7201581866679827,0.024963461822946086,0.984556897640561,0.8579569858690346,0.7317263228674242,0.2077324946056755,0.9020322656896348,0.19953618710040252,0.9010483243994613,0.3332460639008797,0.734094111992004,0.018255289272984043,0.8480227261231323,0.4976718552258075,0.9312160414932827,0.6039171979570489,0.7555518159136468,0.18174944537574525,0.47654536937367936,0.02509605853230848,0.7918439852500759,0.3906275587157485,0.7788603703323329,0.14619436538496766,0.5643553476630656,0.008102592947325647,0.9716621611519426,0.8862705761871507,0.8949185073110442,0.3939135226677715,0.6519474374145655,0.057757381296896726,0.49267871554631226,0.03036717766708944,0.5423076235477909,0.052471621795260964,0.7346899550314492,0.06902442568381828,0.9175532428854936,0.6284760515596494,0.9810480286724436,0.9343520240655102,0.4501755953464459,0.04409171325048854,0.6077929861172304,0.07560007545715981,0.6084747243882196,0.18388330035998732,0.9081836716599314,0.5835070271464924,0.7559490450067506,0.2997117549208786,0.5036567098422768,0.767064013949639,0.32833369620866165,0.9840660769859473,0.8530552275914918,0.893376988452614,0.3177726748256166,0.8386106626347748,0.4471342732863916,0.7246260883888469,0.16267105414121402,0.7796758156939445,0.3737623274840611,0.7659230718994161,0.13182686063223203,0.9619138605141481,0.8556161106026833,0.8563042296221844,0.3321219713007098,0.5610341867113264,0.056331818072223615,0.7046679795386217,0.06661791731492872,0.9078249210553774,0.5272468812915508,0.9733933515799724,0.9172926165206862,0.47203016223510286,0.05668066317248757,0.5892242091269326,0.1627557993256749,0.9193529167419989,0.6400590825553096,0.793693033445678,0.3893299358953702
8,3.6802973989005543,0.48208201151451063,0.8082924778365834,0.44929231522424423,0.6073323111950022,0.012091997575377144,0.994766262424046,0.9666696230338991,0.7656813584222854,0.10447382115823825,0.9330449267226096,0.25989946186959795,0.8646749373456859,0.21710830075525042,0.5496331700261269,0.009488002876427315,0.7499153787843093,0.27925744443612877,0.9271557707169183,0.4163058541420252,0.5888468557359959,0.0841520293425165,0.5637578987760634,0.030647769960929508,0.6938715096963975,0.25923584447012815,0.7278267866176744,0.1462562547554284,0.4790796707468942,0.0058081354930315,0.9687948366103392,0.8890038403576689,0.9217197753540738,0.5206137919812257,0.6462429663121704,0.04671435268521224,0.5481048246129672,0.05698688854872533,0.5954728517090673,0.09097395914257675,0.6773455468357144,0.06493070758030443,0.9344448570081269,0.7899243395881541,0.9887686344865666,0.9305803647489241,0.43884718911852616,0.042590334464609615,0.6961764493094663,0.11663027277437568,0.7015786709132275,0.24413356618474313,0.912019602585346,0.5390924393280274,0.7416690584577764,0.2912639120183758,0.46400563926337124,0.7937282836946062,0.40457837559148746,0.9931921651422906,0.9546400186552729,0.8615560927952092,0.20521574454690883,0.7371686118005112,0.24452130145811085,0.5556198359389852,0.06965177862305652,0.6855827368223827,0.24787624024720153,0.7198785702896265,0.14088724273008243,0.9562251785067406,0.8546815133878842,0.8859369593514689,0.40593433720213823,0.5966492578085211,0.09248541545224848,0.6369835336026715,0.0629230985948706,0.9230661303900477,0.7160987615529434,0.9835109840065099,0.9147477422640787,0.4717155250406355,0.050083073509492475,0.6768960186534911,0.21011897802852064,0.9193999838627015,0.5563431152529587,0.77481936673165,0.3831741710685785
9,3.638755901455669,0.5574550581600282,0.8675169957878347,0.5043283050216956,0.7965078231436349,0.029915804298569205,0.9954224727227968,0.9714717690328769,0.8085681366602399,0.20694396601792048,0.9333432809360596,0.3074931950198155,0.9285114770683491,0.469345708351669,0.7271212618354531,0.02674052299617949,0.8815047297802933,0.5599385832046706,0.9490370496968256,0.6430018568201841,0.7977978610268505,0.25568474774530947,0.5406099748833872,0.03738588289799344,0.8969865498554823,0.6133144897573546,0.9234417970399279,0.45833218294023026,0.7135480430769439,0.023797835309049373,0.9697972302496113,0.8593546955676653,0.9488369090956931,0.5476403967358916,0.7954608508241726,0.1271627636775508,0.5764010334570948,0.06779737210826847,0.6705506481091171,0.16886674922207118,0.8398469379343321,0.1604839886883812,0.9456726041135298,0.7885095877398158,0.9807774488819381,0.9295843220319538,0.5554577162300818,0.0817345819691582,0.6948397984074468,0.15637150188010765,0.7646510533256777,0.3238391504999559,0.966382066615741,0.7388777217872096,0.8257150673368661,0.38684298774313647,0.56815578465063,0.8693635004110201,0.44492917031370294,0.9931900195283875,0.9498500814854922,0.9241863005396017,0.46517716363433304,0.8662902395596174,0.5067722005795251,0.7602140273591899,0.22066841960923284,0.8837810818680288,0.5714794664073999,0.9138177290600118,0.4190994286517471,0.9626881861171933,0.8367340412438599,0.920177950602231,0.421119986025983,0.6667156125444316,0.1483386801552803,0.8250806236922226,0.10675591318642577,0.9343407047202443,0.7109156696611358,0.9740087016598676,0.909588015660324,0.5858506225657067,0.10628319648019025,0.7214718008669254,0.2714704400728798,0.9656904970736205,0.7470183482639013,0.8604292248855188,0.48976251383946334
