epoch,train_loss,train_accuracy,train_1st degree av block_rocauc,train_1st degree av block_prauc,train_anterior myocardial infarction_rocauc,train_anterior myocardial infarction_prauc,train_atrial fibrillation_rocauc,train_atrial fibrillation_prauc,train_complete right bundle branch block_rocauc,train_complete right bundle branch block_prauc,train_left anterior fascicular block_rocauc,train_left anterior fascicular block_prauc,train_left atrial enlargement_rocauc,train_left atrial enlargement_prauc,train_left axis deviation_rocauc,train_left axis deviation_prauc,train_left bundle branch block_rocauc,train_left bundle branch block_prauc,train_myocardial infarction_rocauc,train_myocardial infarction_prauc,train_myocardial ischemia_rocauc,train_myocardial ischemia_prauc,train_nonspecific intraventricular conduction disorder_rocauc,train_nonspecific intraventricular conduction disorder_prauc,train_nonspecific st t abnormality_rocauc,train_nonspecific st t abnormality_prauc,train_normal ecg_rocauc,train_normal ecg_prauc,train_premature atrial contraction_rocauc,train_premature atrial contraction_prauc,train_prolonged pr interval_rocauc,train_prolonged pr interval_prauc,train_qwave abnormal_rocauc,train_qwave abnormal_prauc,train_right axis deviation_rocauc,train_right axis deviation_prauc,train_s t changes_rocauc,train_s t changes_prauc,train_sinus arrhythmia_rocauc,train_sinus arrhythmia_prauc,train_sinus bradycardia_rocauc,train_sinus bradycardia_prauc,train_sinus tachycardia_rocauc,train_sinus tachycardia_prauc,train_st depression_rocauc,train_st depression_prauc,train_mean_rocaucs,train_mean_praucs,valid_accuracy,valid_atrial fibrillation_rocauc,valid_atrial fibrillation_prauc,valid_left anterior fascicular block_rocauc,valid_left anterior fascicular block_prauc,valid_left axis deviation_rocauc,valid_left axis deviation_prauc,valid_myocardial infarction_rocauc,valid_myocardial infarction_prauc,valid_myocardial ischemia_rocauc,valid_myocardial ischemia_prauc,valid_normal ecg_rocauc,valid_normal ecg_prauc,valid_mean_rocaucs,valid_mean_praucs
0,5.077841988447722,0.2915807953591329,0.36955248795678525,0.02993870804561844,0.449782760493444,0.016699547511523208,0.5360239332396398,0.09312694107082539,0.9155964466354752,0.1451814118376399,0.9056638628259887,0.3796608759681419,0.3291440172278035,0.013360017014750227,0.5537318616963774,0.3236627013775209,0.9145273966093753,0.15972835722357298,0.38743878581669355,0.2103639117981949,0.5953567760782814,0.14068827173909484,0.37665401426810186,0.028026057443560095,0.3135478124471752,0.011443077022308032,0.9029934163689914,0.7582308920792833,0.5145889882395813,0.020923335361254815,0.3738105354023779,0.01328823717289642,0.3702244431631324,0.019396428057502985,0.29721184107002363,0.010375524164196927,0.49600247135436126,0.03820496953649689,0.5918589345961238,0.05068111403949394,0.8023403258611189,0.3507940601753445,0.6105180305726826,0.08372582591914705,0.43929273848876405,0.04111426594877208,0.5475391763823771,0.1335733877503245,0.36607142857142855,0.5758785559977952,0.10213946603361496,0.9146453366431264,0.40593022386760536,0.5672471900632475,0.3178068471203421,0.39885000556359185,0.21604627475553695,0.5924511428496279,0.1319103448198107,0.8955095777959394,0.7305854917052632,0.6574303014855546,0.3174031080503622
1,4.71170341183271,0.5131669338218456,0.7176288783402816,0.09585548848891079,0.5966929896342793,0.02536070760862208,0.8280822031682943,0.43866324342445684,0.9797229154602618,0.4124616145593562,0.9346704254552177,0.4950521049066235,0.5975480104859391,0.028463238285385307,0.7340011668348043,0.5376425202099953,0.9430654853331505,0.273067172601708,0.6481958088639911,0.492676846965631,0.8150610681039491,0.3785587810236711,0.47058526607203965,0.03707989638358909,0.5754128972166009,0.031108919277195907,0.9189420374958919,0.7779653217300335,0.5990374489886147,0.03440463348516168,0.5708776279871026,0.03153427724811539,0.553817479469347,0.03689573923472658,0.3835728983840707,0.011930629041737128,0.7326721041097128,0.10077514705164932,0.6360744226078506,0.06509529959672655,0.8689608774557962,0.40445831615051325,0.8521193693147839,0.29650374240384325,0.7378650151547204,0.12056912464918762,0.7133911998153043,0.23300558019667453,0.5132783882783882,0.8387892519202017,0.4541826824579379,0.9376468499442467,0.4789869487919714,0.7340231299174852,0.5002548579126139,0.6554653944586625,0.4935832649079088,0.8252978773771009,0.40653084153051283,0.9194075173016301,0.7776498659458899,0.818438336819888,0.5185314102578058
2,4.4877589044293575,0.5487367376536142,0.580685221055764,0.1128998700784284,0.591655602188205,0.021930251968142238,0.8658241558826536,0.4569823792291973,0.9350990832176037,0.16950623158475234,0.9110599367326746,0.47761884933129567,0.5344239848466162,0.02757823177674979,0.6336333251209874,0.4385266483002168,0.9557075072433661,0.3562643509379588,0.6419983189915691,0.4311777269579381,0.7763180458723261,0.3838187340063047,0.38935340171610994,0.030974183435469326,0.5312375316435338,0.025699162106260918,0.9137116014557061,0.7337626766764336,0.673641348763803,0.05391927350588743,0.7100482642190615,0.05425634790059098,0.5008613264427217,0.04041440353692108,0.3873638261816862,0.012738337660755644,0.7710858491500591,0.1192328147598264,0.6519702524740575,0.08112234471793725,0.842690136205162,0.24088316139515176,0.8640472286833256,0.4933656051026014,0.7243052572695118,0.12946433507163185,0.6993964184252957,0.2223698145472933,0.5416666666666666,0.8720768132965648,0.4665113493101726,0.9195843068018902,0.4544852151838216,0.6392088764394837,0.43343074865488673,0.6424166852119728,0.44724041932781977,0.7818196165075357,0.3703828286468749,0.9162361808387718,0.733965912071178,0.7952237465160366,0.4843360788657923
3,4.346691514870455,0.45523242500572475,0.5973109852983767,0.14506210620237234,0.5170951681776328,0.01887435184266205,0.7950672138529657,0.3900182023633781,0.9220271191304659,0.3765085708581475,0.8380080194801978,0.4542902843492875,0.4331135586735097,0.01778680527121685,0.6044789986777288,0.44472105312226295,0.9166916768143776,0.28925028294378946,0.5729696239536858,0.37235844254818845,0.5946137871625203,0.23373622815664097,0.3679873277344014,0.027411720827299008,0.37974755662986354,0.0164813907129105,0.9295572554040489,0.8165878269985316,0.5787166299125672,0.10692742494594064,0.5815385053453315,0.06971053698285354,0.3951949611216701,0.02120452258690082,0.47711409852932274,0.016160541709999424,0.5700509043384261,0.07126237329808244,0.6701917888356003,0.1640515519397875,0.8209766986888378,0.36954527094502215,0.7718754933164425,0.3000296573553693,0.47918831611383655,0.060885054891589435,0.6278870766905369,0.21740291822055607,0.5139652014652014,0.8054903709095849,0.38418624953095787,0.8572842550310624,0.4450683521895495,0.6096753558537344,0.4137210447381183,0.5749788583509514,0.36846656387085763,0.5961381882158336,0.2012163478727155,0.9233887039176769,0.7995782428737318,0.7278259553798073,0.4353728001793218
4,4.204399616752323,0.47164338600106864,0.6626408584493814,0.22058564314931017,0.49788689199653935,0.018292108680773154,0.8292824379091649,0.5231737240854246,0.9414924745950323,0.3785455884494405,0.8640938704300891,0.46630189840428715,0.45790667008187,0.0197598415353406,0.5950605408096679,0.4234439412530836,0.9686109754399612,0.59965503401121,0.5656135478578808,0.3898066571457973,0.7184005183844803,0.3767454008627702,0.3923779901838995,0.030741154930776622,0.4516000216260756,0.024067297752055218,0.9351290824198605,0.8275578973051451,0.6647788323182414,0.1482992765910519,0.678996110238144,0.11342783659298143,0.4512975657443592,0.025610457924907123,0.45180203352902015,0.017672691912892256,0.6561708258529388,0.09471136983143913,0.6895600405464696,0.15190396460343053,0.8846521485635521,0.48312879251930824,0.7888638377841257,0.35130712061285224,0.6022685313899699,0.11108980638302368,0.6703857184613965,0.2634467047516955,0.5155677655677655,0.8332426311357859,0.5157808374774463,0.8656530425317263,0.4151751361522199,0.6007197610614174,0.38719509509977545,0.5694547679982196,0.3800905237454363,0.7285310561093721,0.34709158879893504,0.929093762958609,0.8092371052521761,0.7544491702991883,0.47576171442099824
5,4.115199500391041,0.44920235096557515,0.6133959507430524,0.16808947841219762,0.549067912231726,0.02564730993537157,0.8253624846875445,0.47227449487043616,0.9812513131665122,0.6065739934639184,0.9133436853645158,0.5225072420080413,0.43553708815967973,0.01777621127483294,0.5047918588320244,0.3504472504515136,0.9506677598937417,0.6627484243644168,0.6466712362473197,0.5328462924349596,0.7638413524483737,0.3762298034464575,0.4339092429253828,0.039404868815654574,0.3689447843859734,0.016363799080737245,0.9302568557475581,0.8167557376608483,0.6926756627125866,0.2127218415722492,0.6635910497261581,0.10911890243416342,0.476672883402975,0.04055837645715342,0.5478790927797615,0.04802037341665496,0.6112800294755063,0.07797200144101818,0.7330062046857061,0.29547811314570277,0.8835633750840435,0.4539996100928624,0.8422595907266662,0.5229909498654669,0.5743077952954533,0.08370372217519106,0.6791944185782846,0.2932831271281749,0.47184065934065933,0.8279720352789463,0.45420989819738417,0.9203923963255988,0.5167689225685038,0.513477111690288,0.32640701208797385,0.6358439968843885,0.5077526986938216,0.7723682018639801,0.35896879367019957,0.9254029498323182,0.7980467560916997,0.7659094486459198,0.4936923468849305
6,4.034897054445561,0.4878253568429891,0.7408993351986034,0.26522416600382476,0.5611000750969454,0.022213092328171164,0.8465057445364202,0.42033850586388666,0.9796806379042631,0.6111887544089026,0.9359332702820367,0.6815665603399172,0.4776190340666534,0.021238872218281246,0.7278984838285918,0.5430642185331741,0.9502166932238338,0.7106428761303176,0.6473828496701286,0.47910858671701684,0.7176742519652807,0.36035665178640447,0.4949498948944625,0.050791266840990654,0.41468290766692284,0.019696235851333947,0.9323899791709388,0.8218416616002815,0.7458219565328068,0.21584067373582888,0.7731433711818927,0.1468097961390697,0.4910645093167996,0.034411832052084625,0.6460789505537735,0.06135846764338991,0.6298642840632402,0.08629421316975296,0.7330012456440282,0.26648405230380157,0.9160835581513305,0.5324315726038444,0.8967531672143775,0.550426266598423,0.5834715505328696,0.08865571023587344,0.7201007159407363,0.31772654695929875,0.4649725274725275,0.8436262187110073,0.3817761535795593,0.9321121834014762,0.6285575450129215,0.7212441496403496,0.5036741929799744,0.6372577055747191,0.4489649481753978,0.7233961966385228,0.33613608865220834,0.9213238816846292,0.7858068547455643,0.7964933892751174,0.5141526305242711
7,3.961706931623245,0.6208686359819862,0.7990065178170495,0.3150725614737326,0.7000312537969338,0.03118426474648022,0.9355301850370736,0.6730744494029685,0.9735129830531057,0.5185983985306496,0.9332892964855423,0.6382483913074691,0.6205645837088476,0.0344311798163027,0.6914526778196369,0.5547686057676718,0.9704441934835122,0.7343388836628477,0.8431167153020606,0.7056539801155013,0.8990090984585731,0.5307456100137461,0.5163147132349938,0.06260342197989487,0.5787514226330568,0.03230818037319007,0.9175180149886856,0.7350088722979276,0.7963939003378875,0.2952122328197073,0.8195052336816959,0.1759605629215463,0.6037646846667283,0.07904751807218635,0.5378604823579253,0.02490681665727589,0.7477126068617449,0.0829498269296585,0.7798460343636372,0.2948060212486891,0.8929558104148165,0.4777192495801254,0.8899567813857338,0.6580128926533295,0.7716776403006569,0.1802889128887375,0.7826461286449953,0.3561336742390744,0.5446428571428571,0.9275691433736167,0.6372295478747082,0.9354358041735252,0.5941193807355688,0.6901919516232208,0.523319667315195,0.8228441081562257,0.6701225037626681,0.8958625950182804,0.512790001169998,0.9133885579760616,0.7277976463788041,0.8642153600534884,0.6108964578728238
8,3.916875747567542,0.378062743302038,0.7058459743910637,0.24870898470503436,0.4470445765513082,0.015604565683067936,0.8353797842690365,0.45647860206421903,0.9668487590896746,0.4993946595626145,0.8112899486013844,0.37134736885197744,0.42209320342911716,0.017565259968881475,0.5741972592629891,0.3665299478534601,0.9573608290256208,0.6434528176847972,0.4608204963578669,0.27370019302626747,0.592375296985728,0.25035607719655883,0.41941696729506767,0.03573939947091794,0.3758493880710293,0.017985193335176036,0.938741174961427,0.8377421381594752,0.7157959115865178,0.19798223593092248,0.7158997668840468,0.11713449124122419,0.40871659987234343,0.021007006903995637,0.5123188131695212,0.028059921407709867,0.6131086926674465,0.08432407502663385,0.7139591139621397,0.29192313561187944,0.8574833640299068,0.378234833348068,0.7656289199211087,0.3927048812565346,0.5338907628481444,0.0894310133863364,0.6520029819651132,0.25615485462162507,0.4677197802197802,0.832608731617567,0.42947810751723353,0.8081152431901449,0.33861760063474144,0.5829917331791135,0.3327728896742015,0.4573522866362524,0.25702668384004834,0.5923693124198134,0.21938151139539558,0.9265742571068534,0.7994503594369824,0.7000019273582906,0.3961211920831005
9,3.8322084574251356,0.45187390275551487,0.7583854120998106,0.257724728122261,0.5041554009049695,0.024028201718075334,0.8646427577170709,0.511970274506161,0.9712771409098131,0.49052114616299336,0.7174916726788142,0.18942266430378094,0.479723495017914,0.021931114099849783,0.41486237825293626,0.20474563322196204,0.9816172099283287,0.7855610874866885,0.6031487956868633,0.44074549730028645,0.7416653204734106,0.378896688621311,0.4850679151199958,0.044878478007371755,0.4689508410558726,0.02264249074455517,0.9085567922126534,0.7701197753020309,0.7416295106390389,0.2670976596234412,0.7151541854841672,0.14491792265570339,0.5024595259619925,0.044190435534422166,0.5018245400351026,0.024636558857120183,0.6438470749557258,0.09533606260836858,0.7092675243287223,0.2674070439241242,0.8252058327421505,0.29376760991127215,0.8241779260174354,0.5088642648103823,0.5746843120880377,0.10255214989744264,0.6789907074686741,0.2678162494281638,0.4409340659340659,0.8681454172460723,0.5089648529045201,0.7165372949078745,0.15548801563983056,0.4306864882195118,0.19874678182023864,0.5954061422054078,0.4169966423447402,0.7288034345400399,0.3117357429777833,0.8980992865971247,0.739576626404944,0.706279677286005,0.3885847770153428
