epoch,train_loss,train_accuracy,train_1st degree av block_rocauc,train_1st degree av block_prauc,train_anterior myocardial infarction_rocauc,train_anterior myocardial infarction_prauc,train_atrial fibrillation_rocauc,train_atrial fibrillation_prauc,train_complete right bundle branch block_rocauc,train_complete right bundle branch block_prauc,train_left anterior fascicular block_rocauc,train_left anterior fascicular block_prauc,train_left atrial enlargement_rocauc,train_left atrial enlargement_prauc,train_left axis deviation_rocauc,train_left axis deviation_prauc,train_left bundle branch block_rocauc,train_left bundle branch block_prauc,train_myocardial infarction_rocauc,train_myocardial infarction_prauc,train_myocardial ischemia_rocauc,train_myocardial ischemia_prauc,train_nonspecific intraventricular conduction disorder_rocauc,train_nonspecific intraventricular conduction disorder_prauc,train_nonspecific st t abnormality_rocauc,train_nonspecific st t abnormality_prauc,train_normal ecg_rocauc,train_normal ecg_prauc,train_premature atrial contraction_rocauc,train_premature atrial contraction_prauc,train_prolonged pr interval_rocauc,train_prolonged pr interval_prauc,train_qwave abnormal_rocauc,train_qwave abnormal_prauc,train_right axis deviation_rocauc,train_right axis deviation_prauc,train_s t changes_rocauc,train_s t changes_prauc,train_sinus arrhythmia_rocauc,train_sinus arrhythmia_prauc,train_sinus bradycardia_rocauc,train_sinus bradycardia_prauc,train_sinus tachycardia_rocauc,train_sinus tachycardia_prauc,train_st depression_rocauc,train_st depression_prauc,train_mean_rocaucs,train_mean_praucs,valid_accuracy,valid_atrial fibrillation_rocauc,valid_atrial fibrillation_prauc,valid_left anterior fascicular block_rocauc,valid_left anterior fascicular block_prauc,valid_left axis deviation_rocauc,valid_left axis deviation_prauc,valid_myocardial infarction_rocauc,valid_myocardial infarction_prauc,valid_myocardial ischemia_rocauc,valid_myocardial ischemia_prauc,valid_normal ecg_rocauc,valid_normal ecg_prauc,valid_mean_rocaucs,valid_mean_praucs
0,5.229398759100585,0.4343943210441951,0.44321870026278526,0.03341096929869472,0.6600022397334572,0.02594907143637342,0.7195178668011817,0.21714590369376535,0.9211016249955161,0.17066598412460832,0.948652803216657,0.5264971588319366,0.6265487789066922,0.025582220135387388,0.833121497252787,0.569720858832089,0.9403785335581667,0.23353800970653596,0.6798261724053943,0.4051294742055278,0.8083282617035847,0.32926190443979325,0.42245210314874626,0.031140027104115148,0.4383319794223785,0.020189209882431086,0.9081948749629493,0.7560347013310754,0.6571559293785386,0.040398334969660846,0.4624878889855522,0.018662337877999903,0.4483614628787286,0.025504904031433764,0.4466728197058646,0.013109855028098296,0.7213254245359257,0.07710254906901537,0.5419460960574779,0.038389273569919995,0.7014731195750897,0.09216057919392248,0.6859947912333942,0.16997485071974602,0.685648932006414,0.09512380970155583,0.6682155409421492,0.1779405448719857,0.48603479853479853,0.755638701655366,0.22064261146227718,0.9546656799235383,0.5217282020210663,0.8246280390806325,0.52133133800052,0.6768651941693558,0.40860870406642275,0.804658489468716,0.34385519085173377,0.9071114329654933,0.7590299873435565,0.8205945895438503,0.4625326722909295
1,4.799397931918962,0.47057476528509273,0.7088881648346099,0.07347904231946095,0.6651367920868607,0.028399339642878413,0.7790678424462857,0.258728538452879,0.952781094501868,0.33051456752041264,0.9356567422716972,0.39990487934294616,0.5614221159714514,0.02545564580893141,0.8181493520253271,0.607478473392783,0.9598510883281804,0.3176132745013102,0.6872131063909738,0.4995356172742566,0.8259935777865329,0.42315101703127644,0.47687879078071416,0.038407879469068124,0.5534720116835556,0.027700714884118724,0.893888439714375,0.7028105702191098,0.7057842154763786,0.04786092501007553,0.5885424745359599,0.02599231285904579,0.5139734198930817,0.030875348223530042,0.5499016522423289,0.016781457669400212,0.6954806540920727,0.07712583067342997,0.5978561810672194,0.05072391285206489,0.8167823194476975,0.18900543231436215,0.8520437138139085,0.3626503157297749,0.6754449726344117,0.10270239426719122,0.7188276691829769,0.21076806770265027,0.49885531135531136,0.8022024525293723,0.2551567165259464,0.931154340121064,0.34193821697374,0.8092716024194525,0.5630647079145743,0.6867185935239789,0.47892293452622037,0.8254492636722573,0.46079720414996356,0.8859823581749449,0.6773843133353459,0.8234631017401783,0.4628773489042984
2,4.587022503280756,0.47843676055262957,0.6244014927475003,0.09018667106731923,0.6283751538901828,0.024031824967244556,0.8172357847529509,0.40231807434923117,0.964880162345815,0.3473628356566094,0.8397427416434227,0.24269025233409214,0.43714760951576837,0.0229745543230862,0.6052248784048678,0.41094137873804193,0.962406985455807,0.30665106849285684,0.8097706904172876,0.630320147360472,0.8917794273003343,0.4653706260479248,0.40049353395019355,0.030256800170979956,0.509608034223949,0.021128709703378153,0.9152483155862451,0.7478372296157766,0.6037560858625781,0.04585373130594578,0.6013518627171084,0.04818858956151565,0.49628300861563723,0.03400325889680525,0.39633389820250564,0.020174927870293048,0.7828326031077889,0.10361794833823113,0.6481487645262098,0.08015821991138247,0.850843299187959,0.30893169974538237,0.7298471431369327,0.24767917979406381,0.7674121462964533,0.13035291560674397,0.6946874373585227,0.2164104838116989,0.51007326007326,0.8300679090981127,0.4365750807974441,0.8500823853077045,0.2414589152041864,0.6087181288666832,0.3835708415072448,0.7997938689217758,0.6109797669420305,0.8936137194560615,0.4942014658606004,0.9150305269599455,0.7685391527394136,0.8162177564350471,0.4892208705084866
3,4.440960189002442,0.5078238302419663,0.717952294787075,0.13604247957158713,0.6139881601541171,0.029406350214201293,0.9273740363721004,0.5915300850760273,0.9643482338230698,0.3620173004219776,0.8926090375801063,0.42013897821613577,0.6490761558724105,0.03564222741131627,0.8348929716531299,0.6401714430643114,0.9581526819792126,0.4706950735557046,0.7178808095343413,0.6015681402137103,0.8071633687191692,0.41969790913021604,0.45278755689728717,0.03812877193141253,0.661898037159894,0.051457574226047735,0.9185323375427258,0.757238650253873,0.7132858700807339,0.09066977581700922,0.752236182203609,0.05766409047903525,0.567344575660291,0.04250544583325033,0.5568241996005568,0.021684009626077697,0.7086801542597843,0.07290570222006128,0.6882176531797544,0.09213698347272607,0.8952670054242782,0.37674194762646135,0.9196163578328335,0.5731775586816801,0.7390096390875579,0.1729523548368271,0.7571426054274562,0.2751896750854386,0.5423534798534798,0.9235654758121185,0.5732780884848504,0.9016520203897415,0.4088858709788292,0.8283020112504851,0.6079167831903913,0.7116201179481474,0.5905698588040029,0.8252382580639506,0.43693746277144146,0.9163663959869076,0.7525578312735056,0.851124046575225,0.5616909825838369
4,4.341062606468372,0.4361499122204412,0.7108321509327679,0.15920026460357847,0.5030552965304625,0.019572001808627337,0.8337802229755281,0.41319987575289546,0.9783526101906845,0.46204303725431567,0.8792675264947246,0.45103775914072947,0.4617282193825439,0.02065199664671153,0.701574474562596,0.5423395793366781,0.953636600712071,0.29378775535336143,0.5968669287720892,0.3945946794301356,0.7510869299936893,0.39420727809457773,0.40088880979279573,0.029594121947392197,0.4599265739984766,0.02303266757803147,0.9199954117411071,0.7836996712434199,0.6081980621702515,0.10290761143575924,0.7160876608900968,0.08835554216498452,0.40642447495865397,0.01986540102604657,0.39368834352115234,0.012870402779686839,0.6415489934705497,0.0927012588079261,0.6666032917950555,0.104496562026931,0.8571600389590913,0.37922093347128766,0.8542080834136286,0.35264588551760373,0.6129716573360932,0.10733292421222974,0.6776310164815503,0.23851623680149592,0.4961080586080586,0.8384574995624525,0.41066826071241547,0.8812423671215419,0.40320159041494813,0.6958265516971605,0.5063975342030101,0.5989529320129076,0.39819209191412813,0.756939074322488,0.37925211692843946,0.9150134165636689,0.7673096153704129,0.7810719735467032,0.47750353492389236
5,4.2539760727216684,0.5264483627204031,0.6471530717172442,0.11965208104651205,0.5207929241989293,0.019014465612936578,0.8367318170450313,0.4554059595781167,0.985295609796094,0.6924620672476401,0.7312750493326307,0.33191807382895594,0.48500077474520364,0.020490937215500046,0.5405917384314445,0.3186822197032352,0.9525378854012194,0.31433038276891656,0.6921490933784008,0.531249160758112,0.8455193523189841,0.4752213738025957,0.43927920169347484,0.03283828670425619,0.5271385006422807,0.03845501563857563,0.9290758464156732,0.7983035642689045,0.7274679060345498,0.14775605765832384,0.7468189151378501,0.10319163834138367,0.49175190951089476,0.02862953693285112,0.3603855232100708,0.011707521066104586,0.7211180010879521,0.09294683869277723,0.6924198946665927,0.12668165402700052,0.887339011497313,0.419764676526639,0.9090670006425805,0.5678909320007864,0.7037640599551298,0.1379103287890327,0.6987578675845246,0.26293194419132526,0.5240384615384616,0.847849313028812,0.44677214848449387,0.7405692468008284,0.29964821610707315,0.5503375605745202,0.3052922488881288,0.6890419494825859,0.5212269336539436,0.8400501503634148,0.45813357992739234,0.9224472546872422,0.7791787462353151,0.7650492458229006,0.4683753122160578
6,4.161096339989742,0.5225555301122051,0.6855390750173375,0.19254140748481807,0.5249459463020244,0.019883608238567992,0.9082673817372592,0.5096966028790384,0.9706557889504405,0.5001728663575226,0.8037792413260114,0.3594876193335158,0.4768828680118774,0.02081752055194095,0.5657067739763684,0.36480716577185035,0.9673384414442091,0.593293745923398,0.6600178646029209,0.40171135780342787,0.7479624703272534,0.38322390355744007,0.4191219753278228,0.03229519386069999,0.4441939462044526,0.028499660999499424,0.9266766090136284,0.8087457690948424,0.6940680089281648,0.14528703343137211,0.7458560286063473,0.11779030255777133,0.39135897381140505,0.019053369989398453,0.45100844277673546,0.03903448022172258,0.5856346879437184,0.07328509614890087,0.7015581477054766,0.22739233081279506,0.8386395155052802,0.38860430201551005,0.8466643948182205,0.4587415835744309,0.5453123949199286,0.08589753454675376,0.6773267716934948,0.26228465705250986,0.5173992673992674,0.8933733990336515,0.49049806837667215,0.807686723437583,0.3568450125153932,0.5682378586341414,0.3343422954096157,0.6543696450428397,0.39189858660330457,0.7507518170739191,0.35163217411235553,0.9179093511335135,0.78050045581896,0.7653881323926081,0.45095276547271684
7,4.091567183767473,0.5411800625906419,0.7209234913764471,0.2258992593461921,0.5640545470248873,0.02252726254558767,0.8602603798373298,0.4404537279557974,0.992832288778768,0.7544047445244785,0.9356241700591859,0.6798853083047153,0.5766523417859616,0.025942610472617034,0.7476765073979603,0.5695461013842588,0.9628436869451448,0.5935562238322416,0.6356266935677787,0.41906968730450206,0.7543632480072788,0.35440062015996887,0.5165762214375116,0.04369027682589224,0.4450093724400304,0.02467655370481598,0.9313436149211656,0.8177805522803574,0.713870675587686,0.18610280088295153,0.7497165666688397,0.11996856888790529,0.4543826804573809,0.02240211777226085,0.6848589844459239,0.062203747303507764,0.6101183886491495,0.07805577290696933,0.718872347543089,0.2651860534489061,0.8665425744342758,0.4419211955745233,0.8222436342937544,0.3954692970230409,0.5271691167850091,0.07734780414674727,0.7177982514747526,0.30093137666310166,0.5212912087912088,0.857642538140637,0.42004762588501343,0.929647261455955,0.6495162000074656,0.7409185390629913,0.5302125107764801,0.6318183209079782,0.40771219078176385,0.7622904921808101,0.33759996014496013,0.9217687519878255,0.7785419905505631,0.8073476506226994,0.520605079691041
8,4.036966100465923,0.5301122051751774,0.6464197176586874,0.20210762992189005,0.6297859663864316,0.032377143693666,0.832560709486241,0.45576302151751935,0.9828073834548707,0.6139800044130829,0.8640892532350168,0.48321585211583135,0.4273560950311953,0.02291913008538597,0.5738938140456067,0.4291943757067763,0.9617161307717639,0.6005587816943041,0.7727779908589723,0.6355072013375354,0.8062708781015228,0.3953666490036979,0.4189391539724134,0.03841739412023557,0.3742007419933903,0.018507854211951696,0.9363777570969697,0.8201949413235172,0.7015763623355777,0.25570245504926603,0.6604212047846094,0.13045334904022748,0.4566742121710409,0.029863878915183578,0.522967984022272,0.07024327970761439,0.6055906137196664,0.08768112297198832,0.7397039368066798,0.3116416438662949,0.8818488043502072,0.5076610752230933,0.8601227223927838,0.4686895760314109,0.5401032577173381,0.09037023389691884,0.6907365768360572,0.30456439062942686,0.5322802197802198,0.8338834965827766,0.41577735829101653,0.871452370838422,0.46257819792612564,0.5725481413075659,0.39231171467611203,0.7479751307444086,0.5952238428411173,0.8040646343494919,0.36230777092751093,0.923240875126315,0.7820276943842441,0.7921941081581633,0.501704429841021
9,3.978295544432953,0.5050759484008854,0.7549752160870248,0.22898775573452784,0.507077667515228,0.01799410389406972,0.8465408973001617,0.4613737561139185,0.9676469081014046,0.5159987327088168,0.7842141710279572,0.3113387605861628,0.44381026015627717,0.019458306418013875,0.5812599089156302,0.39583370873739643,0.9654020151033299,0.6914966438348904,0.6579280357926637,0.4820338765699289,0.7108279391982937,0.361776077031571,0.4401732182116857,0.03637866927696539,0.43778824787041326,0.021847014864016835,0.9463033229785021,0.851711854139897,0.7206361317359814,0.24366206526006703,0.8021987532680069,0.13914877181852606,0.4570767577110072,0.023534183597072517,0.4726744537916843,0.03415478058018126,0.637969961400295,0.09118766532269384,0.7367878521970236,0.33381947363717285,0.8669107648080775,0.442454237754909,0.797769243517044,0.38445201836273424,0.6151339394877928,0.11411535331688792,0.6886866211897947,0.28194353679820083,0.5476190476190477,0.8409147309366475,0.4127341529834554,0.7953608692189242,0.2994511621943264,0.5817975004717104,0.3612637300859175,0.641318710359408,0.4567086848095461,0.7175108352256621,0.3341067966651775,0.934812912914122,0.827014782672036,0.7519525931877457,0.4485465515684098
