epoch,train_loss,train_accuracy,train_1st degree av block_rocauc,train_1st degree av block_prauc,train_anterior myocardial infarction_rocauc,train_anterior myocardial infarction_prauc,train_complete right bundle branch block_rocauc,train_complete right bundle branch block_prauc,train_incomplete right bundle branch block_rocauc,train_incomplete right bundle branch block_prauc,train_left anterior fascicular block_rocauc,train_left anterior fascicular block_prauc,train_left atrial enlargement_rocauc,train_left atrial enlargement_prauc,train_left axis deviation_rocauc,train_left axis deviation_prauc,train_left bundle branch block_rocauc,train_left bundle branch block_prauc,train_left ventricular hypertrophy_rocauc,train_left ventricular hypertrophy_prauc,train_myocardial infarction_rocauc,train_myocardial infarction_prauc,train_nonspecific intraventricular conduction disorder_rocauc,train_nonspecific intraventricular conduction disorder_prauc,train_nonspecific st t abnormality_rocauc,train_nonspecific st t abnormality_prauc,train_normal ecg_rocauc,train_normal ecg_prauc,train_premature atrial contraction_rocauc,train_premature atrial contraction_prauc,train_qwave abnormal_rocauc,train_qwave abnormal_prauc,train_right axis deviation_rocauc,train_right axis deviation_prauc,train_s t changes_rocauc,train_s t changes_prauc,train_sinus arrhythmia_rocauc,train_sinus arrhythmia_prauc,train_sinus bradycardia_rocauc,train_sinus bradycardia_prauc,train_sinus tachycardia_rocauc,train_sinus tachycardia_prauc,train_st depression_rocauc,train_st depression_prauc,train_t wave abnormal_rocauc,train_t wave abnormal_prauc,train_mean_rocaucs,train_mean_praucs,valid_accuracy,valid_incomplete right bundle branch block_rocauc,valid_incomplete right bundle branch block_prauc,valid_left anterior fascicular block_rocauc,valid_left anterior fascicular block_prauc,valid_left axis deviation_rocauc,valid_left axis deviation_prauc,valid_left ventricular hypertrophy_rocauc,valid_left ventricular hypertrophy_prauc,valid_myocardial infarction_rocauc,valid_myocardial infarction_prauc,valid_normal ecg_rocauc,valid_normal ecg_prauc,valid_t wave abnormal_rocauc,valid_t wave abnormal_prauc,valid_mean_rocaucs,valid_mean_praucs
0,5.14348344493118,0.4863750858713075,0.47041618280516384,0.03962751877047485,0.5194678311957406,0.019187530008015992,0.8697183783415829,0.5398138616028952,0.7959586942417253,0.2701876478179464,0.9000740983812077,0.30652696308378213,0.279577413062575,0.013894721842666623,0.582980734544602,0.44259881978322735,0.9374444578434245,0.22810502430096785,0.6078269040424,0.16905445382389905,0.6351527790753597,0.5189373017582222,0.46046208824928253,0.03911077343033413,0.5713607455247369,0.024662949262387494,0.8764314639230245,0.6528965921981983,0.5884982462237791,0.027503285550721027,0.5102043969551617,0.028173494728319707,0.3013021687719991,0.010946483710230546,0.7467768225136926,0.09262771866498914,0.5804627445936951,0.04305546714294438,0.7595651958599514,0.147343301054635,0.6761945823442943,0.19683077957203093,0.6712387467459491,0.09968855560873435,0.7941466742287413,0.26289964482201683,0.6425118795212769,0.18971240402443812,0.49793956043956045,0.8320965674405355,0.2801844806773282,0.9019882401263406,0.32682044666066773,0.5924603174603175,0.4349156751024968,0.6036270623892708,0.15016795888648482,0.6426832636296929,0.5237079688389712,0.8709930578044043,0.6421261295539774,0.7808159014507644,0.2426982947277824,0.7463806300430466,0.3715172792068155
1,4.697047790965272,0.4798870315243111,0.5204043117107136,0.04439501643521593,0.5366268581903171,0.019693140512745715,0.8909329623956697,0.6904577598907055,0.842570101867331,0.4547112073101278,0.9020200265154544,0.306328653786648,0.4528658385247693,0.021892769976308717,0.5586486392518402,0.3405278993190758,0.9577585486075543,0.4290749739895233,0.7067775599458895,0.2977900491433514,0.6873786572603139,0.5758528763804005,0.41984716093398405,0.03206800999783692,0.5860149781104421,0.023441247835485124,0.9205000315818284,0.7788841928562329,0.508688852202624,0.026369569193481907,0.40308422551501444,0.019645058794072315,0.33898400699517667,0.01250943283871615,0.7854744125371924,0.14375804969176137,0.5925096412365114,0.052121089743201385,0.7606408573928258,0.3740106255581653,0.6417267897265487,0.11164710033015021,0.5862122650539335,0.0647766621999634,0.8106865625502042,0.3417974314267733,0.6550160585502791,0.23462512805499738,0.49954212454212454,0.8490925183632776,0.4555284556837987,0.9015057499793167,0.3312788047939231,0.5701893778344671,0.3462061020751213,0.6998545910421642,0.284683689755294,0.6761839284315887,0.5445284994301933,0.9067352453044042,0.7362781087756174,0.784734305721529,0.29903264459076173,0.7697565309538212,0.4282194721578157
2,4.475173553740939,0.5340813678345164,0.41470231009882885,0.04630890608381011,0.5668529592618821,0.021611693129833458,0.9053848950750657,0.7001302017764897,0.8660233262454003,0.5100623422882232,0.9335158204710886,0.6472123495551971,0.4353518872501254,0.017966053847597776,0.7781003403534491,0.551308689839741,0.96638436369855,0.7966862936357159,0.7172107654853996,0.3334837362330774,0.7646688674340737,0.6248089701990417,0.4214742853803025,0.03642174315803036,0.6635800462496896,0.033703532383382785,0.9246790233494985,0.776198131308574,0.5386735585161532,0.02939760293164563,0.46679107424282484,0.022335943294951473,0.3973615179177176,0.01301368743007793,0.8301999634953717,0.16891497906984093,0.5929262260750479,0.0500764238510414,0.802811308374189,0.2781751887353314,0.8468693467833088,0.416486307889027,0.7126106768035484,0.12040997447534951,0.871989298284902,0.4540228834160432,0.7008255391293825,0.302215256115092,0.4981684981684982,0.8663987628949885,0.509922453933967,0.92639096637871,0.6094930529891103,0.7716739299886622,0.5226691944574731,0.6962501811365883,0.2759672319692207,0.7583325971417559,0.6096595464280447,0.9107786188471503,0.7383780033132977,0.8382414366923908,0.36348547922228847,0.8240094990114637,0.5185107089019145
3,4.319418106249439,0.46805587359743533,0.44286248427281877,0.053950573832890904,0.5108478826611645,0.0202304102069266,0.9326252932391451,0.7903086799048566,0.8814339567241436,0.5846622830209598,0.8632597995601539,0.41472497174516293,0.37764016877177253,0.014977891732272184,0.6468505641171328,0.4456561471692887,0.9672215665125597,0.7066270932437551,0.6274822786064544,0.2592861686474613,0.6844244946188901,0.5664699449154564,0.42936520068376643,0.03473511737145023,0.5083171422920493,0.021712729613997808,0.9345909170661184,0.806442625336684,0.5304723926420447,0.028779650374823454,0.38090962555592234,0.018655092306453527,0.39815908979568204,0.015609836662161987,0.7628172178373424,0.13391573652166958,0.6144806245470487,0.07061907920432509,0.8600286402878885,0.4673651157855817,0.8083619091138815,0.26423728086827214,0.5327371534167047,0.06388890130417622,0.7998994698433872,0.4267196302748682,0.6588539941893669,0.2822534072747043,0.5041208791208791,0.8618298166724317,0.5476041080424328,0.8429172423235378,0.3821163056295829,0.6302765376984127,0.4162792576220513,0.6229549609772104,0.2034875792792305,0.6698657325905091,0.5389487095087309,0.9132026949077073,0.7561059471480459,0.7474248651425637,0.3239737894357739,0.7554959786160532,0.45264509952369264
4,4.200357597972153,0.5302648652774598,0.4394726003834282,0.086448439362917,0.5439332144324669,0.02797927390634513,0.9176213712969209,0.7133106206166361,0.8584343640040348,0.5124450148744544,0.8340357679471281,0.43604767023115343,0.396257516154809,0.015393783006646953,0.6747599863874131,0.45673342188826815,0.9204913634703937,0.6738068847546236,0.7646538642010537,0.3804168001617843,0.7012165364579162,0.5060085096059893,0.4411065570216919,0.034189071296602286,0.5414265955561152,0.024371599297097674,0.9395212756251449,0.8323217386409417,0.5170477893404116,0.036324204524636514,0.3394351333600493,0.016805832743607793,0.4122103095721986,0.018408898382727953,0.7871568799816404,0.18067582633042858,0.6214509039908375,0.0735197827014854,0.8195260527575563,0.3955200406793741,0.7981493537428298,0.3603481401963216,0.5182667026093616,0.05712965714511665,0.7920159156520342,0.3939750696174336,0.6626450024520653,0.2832809218165724,0.5176282051282052,0.8533603271817201,0.5011183838032016,0.8086655669698521,0.3959927421449591,0.6494071239606953,0.4183587391072448,0.7302286290750181,0.29863541984448483,0.6801717644101489,0.46020081509822763,0.9190267770401556,0.7667509156485522,0.7281416477735959,0.27282274474410184,0.7670002623444551,0.4448399657701102
5,4.108855452048725,0.463323410426685,0.4958829106308477,0.1345139655580581,0.4559964796017986,0.018083415361898066,0.8973475506692026,0.5732040296616778,0.8051101786822128,0.351722092373852,0.748472090180633,0.29224190819303897,0.3702984604284927,0.014988815352008363,0.5213004932042404,0.30470776089656404,0.9555549299585833,0.810848054508373,0.6555761646809075,0.317246371104262,0.6098908414518138,0.4008364907436382,0.4223101265314656,0.032569441988210476,0.5556467667990466,0.023614234005246336,0.9397306140209282,0.8262240633632497,0.5219530710519457,0.03920101186293162,0.34695979701078467,0.016951515468707195,0.37908342698338937,0.017078421948637942,0.8195096099775739,0.19588386512229172,0.6237983430455358,0.07462086035813904,0.8338574423480085,0.39412827528121125,0.8185623554282192,0.42228437437474653,0.554921479536756,0.06691398239491197,0.8249884986685231,0.4428217119654608,0.6434887104950412,0.2623038482675962,0.43223443223443225,0.7824363643762589,0.33780218051256244,0.7131698577642475,0.2763965850387874,0.5103756259448224,0.2790436925480411,0.6329803506360184,0.23569038621707555,0.586956115829085,0.3465576843016231,0.9176537706444301,0.7599063267542593,0.7485545404795675,0.2842178651849647,0.6988752322392041,0.3599449600796163
6,3.9900811045563462,0.5281276238455079,0.6262016858569235,0.18067324261564782,0.5861976639476837,0.02878997953343238,0.9270123997325267,0.7872390450675499,0.9023342820744754,0.6093450312280798,0.8958016026761394,0.6361925654293209,0.4319743193478012,0.017433381326961227,0.7486656414143182,0.5886183748522346,0.9610871913641847,0.8511610537843881,0.7130387608098412,0.3660304048878732,0.7745489180714036,0.6469861863879289,0.4512612522636194,0.03727377672999263,0.5276611878327319,0.020377984446024566,0.9303311740720205,0.7729264444016546,0.5700045469482203,0.06845841208365772,0.4164615552140574,0.019945680371958506,0.4347019107580533,0.016157916720153535,0.8421159733247799,0.21095917111955326,0.6540359371768513,0.12083722617543238,0.8910589890886281,0.5693129732441381,0.8120689534301612,0.4142010318562142,0.5842767639593744,0.07763757274705857,0.8466053728865544,0.48283874008204486,0.7057930037386524,0.34197255432233176,0.5004578754578755,0.8775896799397725,0.5614566213448289,0.852025982716749,0.563885089250575,0.7015219021636432,0.5168662474037377,0.6660268820577337,0.23991086368314088,0.7311591854274755,0.5550599722358432,0.8931691224093263,0.6794761192613213,0.7702825025966339,0.321774706306493,0.7845393224730477,0.4912042313551343
7,3.8727337001580406,0.5126326234638577,0.5124424413430648,0.1695152242634655,0.5419792185765119,0.025921718042399053,0.8700172420414406,0.6064146008943405,0.8264701146540252,0.4923081342697537,0.8631778914339258,0.41874355822653403,0.36671031283671285,0.015017782306659525,0.6104712098050952,0.40045911432669257,0.8670103855166644,0.5764060866017391,0.6907112973958476,0.3632112913766406,0.7463359915753998,0.5876195061683621,0.47114505500928244,0.043621542076095754,0.639424883263676,0.030855984729552123,0.9575669499673655,0.8782119451190291,0.5555532871626455,0.06215288461775105,0.45188742594037756,0.022142641122091442,0.43530018245059804,0.03244988254867355,0.8317398347360327,0.26517859199489924,0.6405215218120484,0.1098742556193934,0.7927058056422194,0.28274268117706514,0.79803447703374,0.46409046223774353,0.6260525935389101,0.07735287757663274,0.8891420736961506,0.5986465237833645,0.6811090997923516,0.29649714950358536,0.49038461538461536,0.7842330152399943,0.413921738633544,0.8394402382139519,0.3565289535619094,0.5860000944822373,0.35460015312271886,0.6437344507078068,0.21629825262199512,0.6979190906413004,0.4858789014759693,0.9208790833468264,0.7817340059107346,0.806762695585164,0.3625805906353659,0.7541383811738972,0.42450608513746246
8,3.7285491506631714,0.4940844210365621,0.7675309415635282,0.23913434748953213,0.5806362070623617,0.039231712810802816,0.9325804616238901,0.7448955907102582,0.9155518760921967,0.6365067535112849,0.8216232400885173,0.2878594143032515,0.5065316725476944,0.028932771318178233,0.6878938644741078,0.4838141332270415,0.9808708085761502,0.8644309454627247,0.7203370378020577,0.4333716328009731,0.7467533113811232,0.5534621465385012,0.5541034333152747,0.06047039303452799,0.5697577811098967,0.024480744646302295,0.9593310687992589,0.878401747506763,0.5731519693316182,0.08793874423405103,0.37604998015920704,0.01855932310861063,0.5677587228161227,0.08072030444920579,0.7999250279488559,0.20705732243520608,0.682607191954021,0.17922773465710606,0.8762914954026972,0.4902222043595811,0.8107473932865477,0.3191179451399271,0.64198497439083,0.11911774257246195,0.8256164470257191,0.531744635682277,0.7226197684887127,0.3322135586362986,0.4983974358974359,0.8582243066718214,0.5191584109325629,0.7441436751691827,0.23585426364455506,0.6369227725812547,0.3952973923808824,0.6465324210896843,0.28031999210331116,0.695552780477147,0.444055896774391,0.9125893073996114,0.7405145484596912,0.736078971174572,0.29781856282860936,0.7471491763661818,0.41614558101771476
9,3.590128255303548,0.5070605297305549,0.6065307170625582,0.14767223260894316,0.5255891858496312,0.023913210390985064,0.9659044440492376,0.8175001200353165,0.9386004252759794,0.6703755569765798,0.9047155874118555,0.5334779041306941,0.41567645837541467,0.016139619776489603,0.6420246680962554,0.4354968422561074,0.9698884303823317,0.8472249529369248,0.7064649207745953,0.30101106818009005,0.7167352960824475,0.518320580220254,0.5487584977049893,0.052698868721085916,0.605095883586014,0.023323106251438595,0.9695421477047029,0.9191336337513668,0.5688209358220471,0.1039501717352497,0.3656208108090875,0.017763501250615835,0.4895732971896076,0.04435669234631776,0.7736785190394451,0.16670183897435548,0.666531396801838,0.21509198830071793,0.8377410076098978,0.36293085609767994,0.7713708121385009,0.3120855551552183,0.5311199926030976,0.0489317763964954,0.7919878621398075,0.47451358442781283,0.6959986952958791,0.32057334822366995,0.4416208791208791,0.8898829023134678,0.5095073496459537,0.8504013307649336,0.40959595593176756,0.5883343962585034,0.35462888078660004,0.6360006817953425,0.16711592712487297,0.6526955619770658,0.41019618796147306,0.9112663941062177,0.7658922352153013,0.6868205474709345,0.2310663266726584,0.7450574020980664,0.40685755190551814
