epoch,train_loss,train_accuracy,train_abnormal QRS_rocauc,train_abnormal QRS_prauc,train_anterior myocardial infarction_rocauc,train_anterior myocardial infarction_prauc,train_atrial fibrillation_rocauc,train_atrial fibrillation_prauc,train_atrial flutter_rocauc,train_atrial flutter_prauc,train_bundle branch block_rocauc,train_bundle branch block_prauc,train_early repolarization_rocauc,train_early repolarization_prauc,train_inferior ischaemia_rocauc,train_inferior ischaemia_prauc,train_lateral ischaemia_rocauc,train_lateral ischaemia_prauc,train_left anterior fascicular block_rocauc,train_left anterior fascicular block_prauc,train_left bundle branch block_rocauc,train_left bundle branch block_prauc,train_left ventricular hypertrophy_rocauc,train_left ventricular hypertrophy_prauc,train_low qrs voltages_rocauc,train_low qrs voltages_prauc,train_myocardial ischemia_rocauc,train_myocardial ischemia_prauc,train_nonspecific intraventricular conduction disorder_rocauc,train_nonspecific intraventricular conduction disorder_prauc,train_normal ecg_rocauc,train_normal ecg_prauc,train_premature ventricular contractions_rocauc,train_premature ventricular contractions_prauc,train_prolonged pr interval_rocauc,train_prolonged pr interval_prauc,train_prolonged qt interval_rocauc,train_prolonged qt interval_prauc,train_qwave abnormal_rocauc,train_qwave abnormal_prauc,train_right axis deviation_rocauc,train_right axis deviation_prauc,train_right bundle branch block_rocauc,train_right bundle branch block_prauc,train_s t changes_rocauc,train_s t changes_prauc,train_sinus tachycardia_rocauc,train_sinus tachycardia_prauc,train_st depression_rocauc,train_st depression_prauc,train_t wave abnormal_rocauc,train_t wave abnormal_prauc,train_ventricular ectopics_rocauc,train_ventricular ectopics_prauc,train_ventricular premature beats_rocauc,train_ventricular premature beats_prauc,train_mean_rocaucs,train_mean_praucs,valid_accuracy,valid_abnormal QRS_rocauc,valid_abnormal QRS_prauc,valid_atrial fibrillation_rocauc,valid_atrial fibrillation_prauc,valid_atrial flutter_rocauc,valid_atrial flutter_prauc,valid_lateral ischaemia_rocauc,valid_lateral ischaemia_prauc,valid_left anterior fascicular block_rocauc,valid_left anterior fascicular block_prauc,valid_left ventricular hypertrophy_rocauc,valid_left ventricular hypertrophy_prauc,valid_low qrs voltages_rocauc,valid_low qrs voltages_prauc,valid_myocardial ischemia_rocauc,valid_myocardial ischemia_prauc,valid_nonspecific intraventricular conduction disorder_rocauc,valid_nonspecific intraventricular conduction disorder_prauc,valid_normal ecg_rocauc,valid_normal ecg_prauc,valid_premature ventricular contractions_rocauc,valid_premature ventricular contractions_prauc,valid_prolonged qt interval_rocauc,valid_prolonged qt interval_prauc,valid_qwave abnormal_rocauc,valid_qwave abnormal_prauc,valid_s t changes_rocauc,valid_s t changes_prauc,valid_sinus tachycardia_rocauc,valid_sinus tachycardia_prauc,valid_st depression_rocauc,valid_st depression_prauc,valid_t wave abnormal_rocauc,valid_t wave abnormal_prauc,valid_ventricular ectopics_rocauc,valid_ventricular ectopics_prauc,valid_mean_rocaucs,valid_mean_praucs
0,4.746024195983429,0.37994087103426,0.8331465844499922,0.25754910858827706,0.7645129692680566,0.017274347106146438,0.8485309675645368,0.10888299731907915,0.9589511504227223,0.7546544509124401,0.9178242864060631,0.38766852361147563,0.7898108297383654,0.028667944565405203,0.7711361160201377,0.031483723683289326,0.7731517340553095,0.04498857897857579,0.9336199595059961,0.2512645197668693,0.9553489423906616,0.4644426849874633,0.6884535595348298,0.14798436254124958,0.5322040641420643,0.030640567431437688,0.8833620989707135,0.22483024623450992,0.5696259750888629,0.030700694079259218,0.9337422983570555,0.7354629076521718,0.7856986740801959,0.06797217317794316,0.6971749473953042,0.010798985127142549,0.7753164444496138,0.08533923541885614,0.6813762517532116,0.09377397677353005,0.6481393275360993,0.03935022128489576,0.9078936802614704,0.06672913087806226,0.5975701628634187,0.12402698700244959,0.981449405586433,0.912392693941218,0.6681591888198166,0.06595608260307337,0.6983068302104899,0.3820762686952797,0.8819234601294293,0.10289134309649406,0.7556184433199307,0.018986843761036175,0.786372161197066,0.20321442960065297,0.3830215398375196,0.8289139248068962,0.25961327377470694,0.8429276869375246,0.11297034412229823,0.9512299340253062,0.7105003427500339,0.7829136907700579,0.04748243534849732,0.9204697819222263,0.24853968452715988,0.6816453405305462,0.14337648484890078,0.5101096797403226,0.028444422512011496,0.8723853244775829,0.23406903848572375,0.558486380897191,0.033359783460002596,0.9314469573968776,0.7410014929771911,0.8002419232806234,0.06351586356877076,0.7670119649348444,0.08231167077904607,0.673307562882851,0.07202370657497209,0.5849095784383722,0.12168186502564039,0.9810791430344514,0.894881021434707,0.6500668922864123,0.06227101431280567,0.6955144932042965,0.3612544069832245,0.8898135810655875,0.11322223876295907,0.7734707689239984,0.2405843939027029
1,4.342701712725832,0.4157909120270304,0.8359513359034716,0.3663906681878106,0.7018990065761567,0.022525226794618113,0.8802908018571836,0.15235406091040923,0.9607019446120798,0.7562517896602245,0.88743422835922,0.4571664659530854,0.8339469598254459,0.053699180100965735,0.6780981085556899,0.028904697767113817,0.681638509676667,0.040572964440880994,0.9123044614405849,0.3630291754395631,0.9394874822076676,0.6772673505531583,0.6287916700499548,0.12666248393947688,0.5762712299446493,0.03906334055799063,0.8756623032224794,0.30239605773358985,0.5557573540740385,0.035651738653132606,0.9411741401927285,0.7723615192838941,0.8610298451084277,0.1756306926968541,0.6578492313329669,0.01417120428567656,0.7962489183615183,0.1410592230420507,0.6651021596145581,0.079906155955437,0.8640836929127734,0.18288461914469117,0.8747889752898266,0.06049259066360089,0.5414031410489417,0.10780930912814082,0.99177030178531,0.9454898724891505,0.550544668827771,0.044633821087509025,0.7010611655896288,0.38461162668344306,0.9414019977315862,0.4677576500996979,0.7895167131672065,0.04236463274968483,0.7823781610099455,0.2533743747408093,0.4128344637400313,0.8310926593143978,0.34456232718785856,0.871718389029161,0.1495391313781084,0.9501774198689005,0.7149294735470355,0.6745921513126858,0.04016982237456514,0.8999119156789754,0.30940120454549275,0.6254123880688243,0.11423921404297152,0.5547917469942094,0.03864939498645508,0.8567704359826378,0.2654442272646318,0.538209837864202,0.03599292578624209,0.939908020766351,0.7704450878395279,0.8675887115079065,0.16734754482908687,0.7894380962059395,0.1255209575136486,0.6580938422569507,0.08011976986853399,0.5431421594080612,0.10640070082468625,0.9902036044639584,0.9266380398737977,0.5338475469438128,0.04233520113881077,0.6934860349848709,0.3663806985603806,0.9433098657015191,0.4632907304935092,0.7645386014640757,0.28118924733640793
2,4.184144917625732,0.42048644754167597,0.825877200886131,0.32788275063927635,0.6875358961089604,0.011961600402123101,0.8844194895923205,0.16803930645336826,0.9661116588483172,0.7593795599662183,0.9121202919954816,0.4672456099626999,0.8312201400403862,0.07259209785440768,0.7335766620449062,0.04711021323498304,0.7307884566702546,0.05495000693050152,0.9418652720201158,0.4485261802698663,0.9705490269122802,0.7242221441543686,0.609519298856406,0.10834651318481792,0.6047459386907339,0.046430258416523464,0.8712888343482961,0.26593842819869257,0.5154857742743721,0.030188910037401304,0.9436680465279593,0.771902971673275,0.8431823712589354,0.1527660930203224,0.5806242608970836,0.008578651193355973,0.7986949398242533,0.21133820389028543,0.601145577999798,0.05927845755275926,0.6997292435331934,0.14664793600329512,0.9055681743351314,0.09139267582745063,0.4981991413500361,0.0971679398904629,0.984672990729879,0.917422998665757,0.5781356976149798,0.04799398670996766,0.6025884773497756,0.2556533906410335,0.9369077144984003,0.42442934984918135,0.7256588177081817,0.031821363240235524,0.769773310922836,0.24997065177269004,0.40187821420585823,0.8181822948101275,0.28969595495342493,0.8662088448896763,0.1502948584158658,0.9610905744366653,0.7330092723255358,0.74054679700271,0.07169303823091422,0.9282795150712139,0.3938871256817982,0.5956260409981358,0.09132221249264369,0.587645198452312,0.044533055352815806,0.8427464093939466,0.21332590108665472,0.5154375674380012,0.030915279259378477,0.9350009261518197,0.7589089394020735,0.8460592418854507,0.13576485730409904,0.7768342651610819,0.17137310637141848,0.6073453270310379,0.05816519694101256,0.48616943597066264,0.08811172871560638,0.9818712000590077,0.895898170672332,0.5752194757258697,0.04887080605169733,0.5953025640609635,0.2390547780600805,0.9305530593652585,0.431422517383303,0.755006596550219,0.2692359332611475
3,4.0695555994417125,0.42063551216118855,0.878054694489345,0.45637289207523496,0.6607906114757617,0.01234923199608794,0.8539858711507559,0.24120882738695693,0.9395779488043555,0.7588847761320542,0.8180832092188763,0.44157372447289656,0.8807017288938664,0.1812845888258176,0.6531081696908166,0.043214605768806806,0.6891540631680403,0.0583674757403356,0.8899474693633878,0.3740768730147051,0.9317655156256084,0.6920099851349796,0.6528145032854895,0.16210575202889188,0.5538180955394854,0.05157000058244673,0.8837307201857055,0.3099811342712567,0.5333272370360577,0.06602908352274975,0.9599219569080546,0.8285190026610865,0.6892099600725011,0.17186598822235116,0.6405612463010154,0.013230892313761702,0.7716780359863683,0.2480906926001198,0.607140365352308,0.10015979542594783,0.7754459950666727,0.20823471140962663,0.8296683569172519,0.07455049231573836,0.522258182291864,0.12469809863901744,0.9862022104917023,0.9152151898380904,0.5126274898239722,0.0493294524249675,0.6235456257772007,0.3368648077652604,0.9463099097544272,0.47773306642044494,0.748044773574942,0.03711699676360029,0.7567212572683641,0.2753569680649346,0.4017291495863457,0.8692551407965567,0.4311982233448778,0.8401206084932454,0.21936107321976933,0.9313068779415047,0.7244205899521364,0.7040121120363361,0.07705692789729167,0.8684651559790013,0.304451230612247,0.6408331996271507,0.13020697977466453,0.5265080890935884,0.04329770331833045,0.8585324620517617,0.23506833611458544,0.5222796264738224,0.05387523617076528,0.9511985681998343,0.7989750217448709,0.693664976923659,0.15883025862168088,0.7396295984699811,0.182107719859199,0.6143601172333043,0.09046173075643352,0.5121749853962485,0.10749611465367567,0.9836195819212237,0.8827227112692336,0.505549625506569,0.04976752409336808,0.6097872956985031,0.30959754687215124,0.9384994143421111,0.47079687565856754,0.7394331908991334,0.2927606557741027
4,3.969980120395288,0.4149959007229634,0.8353142399005583,0.40785194843298506,0.6604520031817771,0.012532685815576653,0.9319736483485067,0.3620768298285963,0.9835437549702489,0.8782928135228998,0.8598538586098654,0.3885629893929039,0.8994278848116335,0.21982087622113322,0.6772141769279608,0.0434742847467505,0.6814934277331012,0.052574000535071184,0.8856517833318475,0.4757513866406388,0.9509189753606103,0.6821734638954917,0.6584860248183032,0.17894547172765052,0.605058939419123,0.05886166930172766,0.8705263383645653,0.2921450436242167,0.5645216942588996,0.04640242612392871,0.9571814171851347,0.8135061494426492,0.8463474590598137,0.26857818403650374,0.6355733773047518,0.013700038181226054,0.8142367601634324,0.3599173629030362,0.640645970196732,0.10593993215857225,0.7938844997085467,0.22301714312402063,0.875671595689091,0.16583706759508768,0.6513975063793795,0.16040335071111966,0.9940305245889256,0.9687330644223969,0.5739725250841771,0.06204330065096687,0.7199652928410052,0.4091230858251177,0.9398138672217754,0.5420381813907167,0.817116620027526,0.07650818614642574,0.789787932055085,0.30625225690360774,0.38741894611314004,0.8238230578366285,0.3673750230167142,0.9113412409655519,0.3269779420920298,0.975924973705738,0.8308609452985264,0.6879669552052134,0.06462089906984668,0.8642541087763861,0.4258533454697079,0.6373695887197823,0.13966756328971897,0.560467052943113,0.051937423228180714,0.8370092832438146,0.2075566188260822,0.5590213461054385,0.04535022542738325,0.9467269697492711,0.7788164231927797,0.8492137020503896,0.2811943422764636,0.7856936396925301,0.26217023944983403,0.6274858709569504,0.09746791475979477,0.6399352567014993,0.14765634876149838,0.9904961475814865,0.9469985656472272,0.5607340944915236,0.057962939830820764,0.6982469031980683,0.3666487761685935,0.9263381817956459,0.5235655852047825,0.7712249096510574,0.32903784005611025
5,3.8918011935790076,0.5247571488907108,0.8297234815197172,0.42619508155293034,0.73064114676725,0.01951501231973379,0.9371863187520042,0.41245095743892013,0.9803434309323507,0.8446155708378209,0.8930118945855008,0.43265810145254074,0.9128113956717935,0.2438371812766419,0.7353160202850157,0.05356667261970849,0.7650125984194377,0.11073487973114736,0.9381312029352656,0.6118445353271128,0.9664343436994091,0.7092400196932135,0.7054838241302926,0.25185159435397964,0.6190750459899315,0.0740849984050918,0.9108531943138481,0.4102688246243447,0.631012237576939,0.0877654571762332,0.9662158897259199,0.849615033085298,0.8730811936375187,0.25545033534201705,0.7426860873765386,0.017042672963254096,0.8580282337413606,0.43172457633065,0.6489683244047749,0.09776421521866603,0.8802201265659237,0.29807610056246386,0.9229013952324938,0.2343539644740905,0.5854450954027915,0.15770348056222538,0.9918882722918264,0.9537462267760497,0.6124047648007321,0.0761834922027376,0.6919746288655609,0.4153984786683958,0.9339418014214815,0.5603298492228127,0.8367773670576593,0.0690117969231942,0.8185025672630867,0.3372233003385657,0.4817023179548334,0.8146282105211821,0.3842477774276783,0.9146705644467296,0.35306763790972556,0.9736390196224249,0.8002457303326749,0.7742432720051784,0.12170281763453782,0.9066696241522221,0.5120016759988694,0.6831609478622291,0.19407942860198155,0.563529916471093,0.0633658623519366,0.8727203274059553,0.29965405474569634,0.6086159698093655,0.05515702352864661,0.9536441574746909,0.8036301357884038,0.8588840130135431,0.25083131880179904,0.8305307003368573,0.32099623622344975,0.6445473508498817,0.0817845013597687,0.5745496365288505,0.13300588104486108,0.9884277152299334,0.9305962406506584,0.6011482397758341,0.07388332373225032,0.6684592199204831,0.3773445767736961,0.9177373773681958,0.5089331584507027,0.7861003479330361,0.3480292989642966
6,3.8235185589631246,0.4096047303172592,0.8928913746188324,0.5257751784499021,0.6970483001656225,0.013254738045798365,0.9367685503373584,0.4183322121690334,0.9793167506559974,0.8693771273494739,0.8851485792659392,0.41750868670299573,0.9319780859960118,0.2854264976659629,0.7427804374958347,0.05794579352434473,0.7508863387298697,0.08224047966014363,0.9482698528646923,0.6261457692798209,0.9611857878819531,0.7389687001417076,0.6741359603779543,0.18711103622935615,0.6903303449659609,0.08386275567604584,0.8972395514528123,0.37392307755513665,0.623825071871657,0.09818772094076662,0.9686893967470589,0.8772177340337052,0.8874365849079322,0.38491233507265427,0.7014402305168307,0.016222810457429567,0.8463011679387861,0.34926171839863424,0.686320649486445,0.1451442515749497,0.9363667413193683,0.3717659125774423,0.921595037688948,0.25190836995537574,0.5787815296546882,0.16208576305339586,0.993892479819297,0.9661913818192377,0.5968346012322474,0.07970513808019698,0.7054457185184789,0.39604262806796475,0.9660143365336119,0.6112854554720373,0.8467402359261369,0.06184230807947041,0.8239875443322343,0.350060947408629,0.3661772378326004,0.870983411672184,0.46780361442088425,0.9099153237118713,0.36614055908589904,0.9709750124831346,0.81805588076448,0.7544434570501779,0.08797283537020113,0.9164230082716367,0.5184422776033248,0.6536160359555026,0.14324920440621353,0.6340649815342017,0.05835742567063834,0.8465928683504598,0.25311221851531496,0.5952829341559768,0.06070382123801952,0.9522302832761003,0.8136695419277774,0.8751501853673298,0.3137654265404341,0.8040053668946812,0.23734294958479976,0.6727418022460163,0.11322309196281843,0.5518856688518207,0.12587130907585936,0.990007947190283,0.9422372354802706,0.5668240936278595,0.08935380232269999,0.6771678064195714,0.3354806601213291,0.9453426253586769,0.5398862188066457,0.7882029340231935,0.34914822627208947
7,3.760094042348671,0.4730814141263571,0.8668963440394291,0.4648121155517225,0.6675332204293325,0.015404529791354041,0.9297833396010342,0.4158211940172009,0.9767719949630667,0.8572744949395111,0.8404856535901313,0.37623897713427196,0.9135209122396669,0.2407085809136321,0.6723388987969472,0.04395703331184245,0.7151421989961085,0.08337793307759717,0.9259367822699526,0.5316855659127618,0.9552428615850445,0.7424733946459177,0.7078965881207543,0.26669107223880684,0.647448165270144,0.06771231092686474,0.8451999359364465,0.3477053717834681,0.5906800271642629,0.10702937768708319,0.9681359823897893,0.8517624499403766,0.7719671717013745,0.18437586948047244,0.6704207820472249,0.03548953809454209,0.7950288500006739,0.37239397743211483,0.6339872684529639,0.10782379319421294,0.7832653173087839,0.22572418604117714,0.8887979722204192,0.27855659596881166,0.5595892267241489,0.1708376543670161,0.9899318467462928,0.9655770155729971,0.5591761869471599,0.07823496420809922,0.6605624301962318,0.3769666541298784,0.9225027239314675,0.5112449637875688,0.8162857226017572,0.056350072088260934,0.7879454964544672,0.3250455439347245,0.42707013490348067,0.8385310093823729,0.38085850255425197,0.8976423379257419,0.3359768977553572,0.9700946062235065,0.8089637079526496,0.7238364289972096,0.09890474450294856,0.8869760052783199,0.4360914748395111,0.6831513496684086,0.1941202379641154,0.5973819236473135,0.04014001240939559,0.7865955412271577,0.24192057593663924,0.5457233941598139,0.04294272064894556,0.9493229198414906,0.7741730909088588,0.7436956192782023,0.1487477410255855,0.7483028018138989,0.24443723579451584,0.6209416567097074,0.08043369791053251,0.5373853605503992,0.12279582915160692,0.9845095784994395,0.94099544059768,0.545041584260105,0.0703113333455635,0.6317047801119653,0.31805327017604396,0.8905516959289028,0.447530729173226,0.7545215885279974,0.3181887357026349
8,3.700801768897261,0.540557998559042,0.8661727925145142,0.5306903296423877,0.7023654356120513,0.016345281349983636,0.9442257920572971,0.4610973969838231,0.9791225391996076,0.8694190142349981,0.8530159500782992,0.31579376363005673,0.9422748323239539,0.4662921281491451,0.7468888724152334,0.06308974047098796,0.7534561643674196,0.12753413371667854,0.9203418057108539,0.6055518599451174,0.9699111485352531,0.7821164305332494,0.7260482578212135,0.29230649211505527,0.6630519222179339,0.13619944271487844,0.8941381159845453,0.3662781931250483,0.6769219043831056,0.1596382254415661,0.977419669374614,0.9000570576166707,0.7831581316318484,0.28932085491461046,0.7337201374662025,0.024744200304660256,0.8689027044146728,0.5177005756739493,0.6647235907438287,0.15550776385394977,0.8432280597941194,0.28226850763082395,0.8881858613977149,0.34355956041236124,0.5629246795675138,0.1750710724184203,0.9870795581244161,0.942894385631514,0.5878667746469641,0.09373982472791845,0.6635964181764995,0.409714206784922,0.9323529978549328,0.571504363700842,0.8558735795159231,0.12427089498427554,0.814332136886316,0.37121132224844056,0.4775285086084818,0.8412999372069914,0.4304731292361686,0.9139228107098712,0.3585676198093682,0.9726244329469759,0.8266954864701929,0.7557139043397807,0.11129909392694118,0.8838612102462217,0.47293944724911463,0.6973436401699216,0.1979464911387906,0.5846257631483349,0.0532289224448944,0.8396411555832213,0.22389433945366782,0.6062577558301516,0.060292024721015164,0.9557942321153072,0.8014564123015847,0.7522304607702202,0.2556241511987611,0.8161427287448313,0.31063963912953574,0.6434858812240621,0.12723015920776554,0.5257475092490427,0.11943293181794817,0.9768590629857812,0.8890272735595065,0.5634003656733861,0.08420966345839986,0.6306912608127804,0.3283562994834219,0.885696932887944,0.47955660195761507,0.769185502480268,0.34060387147581617
9,3.6228786369503894,0.5191672256589899,0.8833509106789301,0.5611196159030273,0.7672790308646905,0.022632377628438578,0.9405639899777469,0.4526467598933208,0.9829272946475215,0.8972490767438714,0.9101168306698517,0.4859661493567139,0.9445895907557151,0.46770264510285114,0.7614447483206589,0.07737651336617868,0.7803677576357475,0.16063481955596554,0.9606281640463679,0.6728240201693673,0.9679826560884294,0.7800557991304445,0.7543177249668851,0.34363148410617095,0.6930000147117699,0.17040905692993683,0.9345409195126843,0.4592621944779177,0.7061310539100257,0.18151638977541207,0.9786737956864813,0.9009882235557112,0.9414748082342443,0.5132395837308821,0.7275543119194746,0.02123719629686613,0.8872579732933373,0.5667011424759327,0.6661900813129547,0.17183558465416854,0.8913484023648834,0.3625238702493973,0.9543107074891359,0.4646525840613097,0.6608820925710369,0.2345899283726708,0.9938103591860411,0.9684437359202016,0.594183798909627,0.0850276549021306,0.7236692758710173,0.4717304995874463,0.9721916512766929,0.6174806010891173,0.9072344583553362,0.1461031652459109,0.8476304593798996,0.4169474323067171,0.4393679660132668,0.849663661137224,0.4400890686830562,0.9035181176545931,0.3614863709409409,0.974805209982258,0.8424566461631505,0.7761344977271646,0.13351455933806286,0.9287354373602201,0.5246724651979157,0.7223563900094739,0.22387584767951593,0.5978087233217192,0.05636201911425397,0.8914292136132326,0.2825903708873623,0.6150097915438941,0.06972765859677889,0.9515486869125028,0.7927965853528726,0.9115166073995612,0.4192346053844244,0.8268503833377203,0.34111383537898177,0.6509300719852872,0.12905443973219602,0.6130370123969624,0.14956025809172285,0.9871726359327244,0.9297002552834059,0.5636468767537968,0.07768181059037343,0.6778745974360291,0.36206240842741744,0.9376375056551621,0.5368242075344454,0.7988708566755292,0.3707113006876042
