epoch,train_loss,train_accuracy,train_1st degree av block_rocauc,train_1st degree av block_prauc,train_anterior myocardial infarction_rocauc,train_anterior myocardial infarction_prauc,train_atrial fibrillation_rocauc,train_atrial fibrillation_prauc,train_bundle branch block_rocauc,train_bundle branch block_prauc,train_early repolarization_rocauc,train_early repolarization_prauc,train_incomplete right bundle branch block_rocauc,train_incomplete right bundle branch block_prauc,train_left anterior fascicular block_rocauc,train_left anterior fascicular block_prauc,train_left atrial enlargement_rocauc,train_left atrial enlargement_prauc,train_left axis deviation_rocauc,train_left axis deviation_prauc,train_left bundle branch block_rocauc,train_left bundle branch block_prauc,train_left ventricular hypertrophy_rocauc,train_left ventricular hypertrophy_prauc,train_low qrs voltages_rocauc,train_low qrs voltages_prauc,train_nonspecific intraventricular conduction disorder_rocauc,train_nonspecific intraventricular conduction disorder_prauc,train_nonspecific st t abnormality_rocauc,train_nonspecific st t abnormality_prauc,train_normal ecg_rocauc,train_normal ecg_prauc,train_prolonged pr interval_rocauc,train_prolonged pr interval_prauc,train_prolonged qt interval_rocauc,train_prolonged qt interval_prauc,train_qwave abnormal_rocauc,train_qwave abnormal_prauc,train_right axis deviation_rocauc,train_right axis deviation_prauc,train_s t changes_rocauc,train_s t changes_prauc,train_sinus bradycardia_rocauc,train_sinus bradycardia_prauc,train_sinus tachycardia_rocauc,train_sinus tachycardia_prauc,train_st depression_rocauc,train_st depression_prauc,train_st interval abnormal_rocauc,train_st interval abnormal_prauc,train_t wave abnormal_rocauc,train_t wave abnormal_prauc,train_t wave inversion_rocauc,train_t wave inversion_prauc,train_mean_rocaucs,train_mean_praucs,valid_accuracy,valid_1st degree av block_rocauc,valid_1st degree av block_prauc,valid_atrial fibrillation_rocauc,valid_atrial fibrillation_prauc,valid_incomplete right bundle branch block_rocauc,valid_incomplete right bundle branch block_prauc,valid_left anterior fascicular block_rocauc,valid_left anterior fascicular block_prauc,valid_left axis deviation_rocauc,valid_left axis deviation_prauc,valid_left ventricular hypertrophy_rocauc,valid_left ventricular hypertrophy_prauc,valid_low qrs voltages_rocauc,valid_low qrs voltages_prauc,valid_nonspecific intraventricular conduction disorder_rocauc,valid_nonspecific intraventricular conduction disorder_prauc,valid_normal ecg_rocauc,valid_normal ecg_prauc,valid_qwave abnormal_rocauc,valid_qwave abnormal_prauc,valid_s t changes_rocauc,valid_s t changes_prauc,valid_sinus bradycardia_rocauc,valid_sinus bradycardia_prauc,valid_sinus tachycardia_rocauc,valid_sinus tachycardia_prauc,valid_st depression_rocauc,valid_st depression_prauc,valid_t wave abnormal_rocauc,valid_t wave abnormal_prauc,valid_t wave inversion_rocauc,valid_t wave inversion_prauc,valid_mean_rocaucs,valid_mean_praucs
0,4.706204733155531,0.5328986018094231,0.5484572209348915,0.0468950296714142,0.5635290496995975,0.00992210322306759,0.6853939442569864,0.08203495505415544,0.7021040156900451,0.089289391035994,0.47589407105278714,0.005291096883832655,0.6293578557795665,0.04933680003864542,0.7629208185481013,0.08302832341563848,0.7591614961322428,0.02503779261070381,0.7860066398490362,0.29012114817881124,0.9063013513425775,0.24009172828045489,0.7527141861606168,0.18657314309993225,0.4796273202777146,0.01544020196165718,0.5245824449118205,0.026932071743077133,0.5333354871041454,0.0070534873075726165,0.9398647474990682,0.794023930427218,0.5201200599896793,0.007869162676432949,0.3752064696672436,0.005737282253150008,0.48022688514556355,0.023466049409330215,0.5745499940198541,0.019216806601882953,0.7503310055430238,0.25593032092459433,0.9180425246969105,0.783627093956389,0.9017247169628765,0.683691271022415,0.5909826928460544,0.05312479323851539,0.3131448300318167,0.00933247076078636,0.6714582201897829,0.25347354370956665,0.632301428967641,0.07571448914653092,0.6452822875884479,0.15854824948583726,0.5404881487355714,0.5541411338079892,0.052556916230489074,0.6951046555955303,0.08095462744506768,0.6423879755861374,0.04179182847399354,0.7802755144927569,0.0887591638308254,0.7771196107928594,0.2806329796845974,0.7468559003194728,0.16768388290023672,0.4731544469111038,0.017524065068203833,0.5470957331059225,0.024249434702668878,0.9350517872085639,0.785324762375799,0.49527306182922753,0.02448392373425294,0.7533219099269903,0.2831163468818238,0.9221125045078309,0.7878075743642264,0.901004540980221,0.6942865830779539,0.5995580775013336,0.05513093413815498,0.6835357369424312,0.2512644468527215,0.6253521820216338,0.0746738182922639,0.6957090482206253,0.23189008050332993
1,4.315221436840851,0.5360709669839032,0.690033227071615,0.13747364355901548,0.6592548921769563,0.01554670933702269,0.8498339569318749,0.17556194758631538,0.7983960051626348,0.18140493989700035,0.31859604455366114,0.004086241860117276,0.7460228881415425,0.1147860391173601,0.9405737487618065,0.40250800332935943,0.8139665839819805,0.03450743205870388,0.9151189446551415,0.5962243144685035,0.9587404171849621,0.3190955578388753,0.7811734946601433,0.26441006121076027,0.5503023506130581,0.024175479872629788,0.6335509739324614,0.03576264352194389,0.5894311426661694,0.009215020197850341,0.9581623043816133,0.8304953050258863,0.6344346671540381,0.03413379499138086,0.4718532602863362,0.007396056476565347,0.6042541126885895,0.040079798179048366,0.7413385310768248,0.05151633413194637,0.8524389788702472,0.4368229711244464,0.9601963293602852,0.9039871192552058,0.9587214725346366,0.8522738611305734,0.6333461882173395,0.07253742834066919,0.2810949489750687,0.00891610496936158,0.7422423236452614,0.3782466375687553,0.7718925377185946,0.16535757867233278,0.7251911663616478,0.23448157783544724,0.5423385320292536,0.6974900330380059,0.14151385129576674,0.8518137523528151,0.17808199653700185,0.7629675402046313,0.11838022889965116,0.9454994266915546,0.46860299439437464,0.9075192001476727,0.569389810571176,0.7783310596544948,0.2513465074537212,0.5666942242403132,0.04302154531267406,0.6488737281656178,0.03334269633926569,0.9539507645444126,0.820384056637056,0.6121530967717953,0.03637458767551041,0.8488149732033519,0.43181409153989875,0.9623566457618045,0.8976029357644536,0.9587426512228767,0.8532261927895098,0.6426468790920995,0.07827003405936467,0.7444502054913589,0.36934972260839727,0.7645788884744498,0.15578891117022747,0.7904301918160783,0.34040563519050304
2,4.153737996358763,0.5854776172012689,0.7711741455170806,0.1609228615339238,0.652901108566651,0.016367560725615682,0.8798431163608611,0.21626789251974968,0.8367803095672962,0.2656928134951715,0.2974771784933161,0.003998376837584718,0.8178831312799956,0.1860209162344877,0.9377021680712326,0.45814332641457345,0.7615007380211385,0.030907665460872542,0.8711547868203552,0.5488415316845832,0.9551345709278215,0.5188387987157284,0.6966862734371987,0.1677929295124122,0.5829404223883191,0.029024308342358043,0.6581223188653935,0.04292267067678493,0.5910896547483677,0.010857844856803541,0.9537607044269112,0.8190199237877096,0.6790861249677475,0.02958647984249726,0.4533443766011133,0.007455703024827131,0.6023853096734632,0.040809891731888835,0.7911147739504844,0.06354998643027052,0.7842548919632072,0.345529420233773,0.9339434925688859,0.8244537260366536,0.9331729913165056,0.7735212266659265,0.5916655663471294,0.05876983803359245,0.30125044326677763,0.009169322039861916,0.711460555174266,0.3339789831768335,0.6759164149811402,0.09076924748700352,0.7200671372424101,0.23281589405774947,0.5908009516256939,0.7801067298336717,0.15648941517829068,0.8833542803364228,0.21521454473123985,0.8411101742069571,0.2067292523625147,0.9393528528725948,0.48027971757525484,0.8663114559641242,0.512759923441388,0.6982036244068255,0.15111065238616153,0.5925548388721259,0.04536144516473249,0.6696895400811621,0.04018501852154292,0.9489554368693209,0.8068537320257336,0.6111610438162807,0.03585462871601902,0.7834939525608268,0.3599926403351895,0.9380701172944341,0.8174171098790521,0.9301560667404943,0.7639429122369138,0.6010605751976332,0.06525638625142192,0.7118886788637833,0.3229308358004317,0.6679794106676613,0.09030141596921004,0.7789655486615199,0.3169174769109435
3,4.0437313745870895,0.605539889554694,0.7720511330177869,0.15775398769110885,0.6936827955746123,0.017415411093317908,0.9140118982621357,0.34467390338406506,0.8424044823091619,0.26692186017034836,0.3206378762417067,0.004188069922617027,0.8466634563338717,0.2689713134256998,0.9566396407244381,0.5745680255862808,0.7776803984656179,0.030229817861766088,0.9282276187122858,0.6462422643948167,0.9665990034216088,0.5591966298206522,0.7951174695511928,0.2911337223784173,0.6225306570819239,0.04129592872036633,0.7213137187758683,0.060673850161502646,0.6595890761612874,0.012918284699395911,0.9654388736148152,0.8391444496536241,0.7359917245420143,0.03373026032332435,0.518824497343287,0.009830025873510208,0.6673674355288804,0.060963301202964795,0.8090348792010527,0.07389219277266937,0.8594955557922072,0.4548642316159919,0.9656200157886822,0.9295439628411934,0.971526222342033,0.9149499258712753,0.7000834779507783,0.0954728391201633,0.37186828943350503,0.010934702845061678,0.7893113362377657,0.4299713342085062,0.82198214869083,0.19089521399981507,0.768988218503821,0.2815529042168637,0.6021675918583135,0.7788066206104035,0.15675099369181156,0.9139194324652736,0.34920104811513386,0.8511112684537934,0.2778292295845665,0.959854353811787,0.5858237843453645,0.924915908151902,0.6008622688418871,0.7931081151491894,0.26249071869152457,0.6491080158966633,0.06485347605722165,0.7081489296006588,0.051809020768810894,0.9595719654377226,0.8170973631660581,0.677730485531759,0.06306913264982861,0.8529940196191242,0.436330700480958,0.9672977021513904,0.9262367911733864,0.9674805505666477,0.9111505195569799,0.7103454095736942,0.0981074019953759,0.7847258305232744,0.40401869769471827,0.8153574039537486,0.18951815008580647,0.8321547507185645,0.3871968310562145
4,3.946068349448764,0.5945834802020914,0.8185599547637276,0.21293968003223873,0.6852477904507517,0.017270785830034385,0.9006936645805395,0.4874784160428693,0.826483717447055,0.263996676256811,0.38862612137128905,0.004677514672084048,0.826584971670447,0.28924633554498125,0.9255324541725943,0.39917281774087665,0.7810545696996812,0.024425825248588537,0.9009745477158381,0.588714606457625,0.9728676243402834,0.5455718228366783,0.8013780435416069,0.3160852320805061,0.5638164640689138,0.02799185416531727,0.7014944525497668,0.061396275243434106,0.6629819816662865,0.015087681997106212,0.9687134196115191,0.8623899467319082,0.7091230272211231,0.02857759011517268,0.5403574386589584,0.011316740203079774,0.635124545564048,0.05509842392019621,0.6837812960969581,0.041662071385124816,0.8366766705714166,0.37694794881565963,0.9686347334327515,0.9293736534244104,0.9553039845470794,0.8687278901706604,0.7040380995348491,0.10341967595922041,0.43590574793880943,0.012440829169472856,0.7510792663821915,0.4128517057920844,0.8034404212854322,0.17536423578842017,0.7595567311109199,0.27431639367786764,0.6006696625253326,0.8103542574037385,0.22373574987839961,0.8975715374901717,0.4446497818238751,0.8389122042136371,0.292226876398225,0.9250706944399736,0.4220072861954771,0.8926546079291668,0.5528650446787364,0.8032549599569273,0.29467318709805157,0.5810473836391944,0.047809574059088346,0.69135189378345,0.045081225271407024,0.9658306018657318,0.8533602356421697,0.6541080750256228,0.04955564618818277,0.8313005651947625,0.3776385440252337,0.9697517700814577,0.9271750216859529,0.9519964703010687,0.8605416362776236,0.7120818662398759,0.10143168367024918,0.7513385602102276,0.39901550252946727,0.7992077582991421,0.16660616205440074,0.8172395753796342,0.37864832234228374
5,3.878582489727219,0.5708494888967219,0.8053328520055424,0.21145725984254451,0.7475174363864391,0.029387558139630274,0.9030618321481402,0.3792270228135192,0.8263437403842144,0.24937045583884485,0.46556957357631235,0.005683247829504289,0.8683845360810036,0.36056692398057033,0.9542158661209942,0.49207152761293405,0.8488766835764526,0.04122746303847737,0.9196384212197566,0.632023020855089,0.9722776746809738,0.361081698315939,0.8364197656922905,0.3085015627776505,0.6097793406700851,0.02855351195545794,0.6678409126359113,0.0427458982747251,0.6486538910713912,0.011858437699473333,0.9635531169262933,0.8249906352723988,0.7003272286488346,0.05159752373220485,0.5809715507444575,0.010380064821547658,0.6620597633705603,0.05759109697155465,0.8514400191364669,0.1060751690248657,0.8309056599511422,0.4066489153376791,0.953261657441711,0.8957490210205377,0.9473662424794059,0.8466532103980626,0.6656827727557055,0.06973673080955535,0.4370027408662418,0.011595794494247556,0.7844120165910717,0.43756718803041145,0.8073004132641859,0.1757696861323318,0.779161373400984,0.2710811778853753,0.5676271037095779,0.799011570077703,0.20084005342775468,0.8983152057372948,0.3868082701079504,0.8714410158043573,0.36263224112882075,0.9599513787286018,0.5082363588625238,0.9133446442244069,0.5927357485451454,0.8303603466915106,0.2799269528036709,0.6093399191737764,0.03704792440402907,0.6663754190436981,0.03793161995592233,0.9573442445852689,0.8067307435044594,0.673192897046875,0.05427699356404625,0.8208251828291133,0.3942598968800288,0.9562625233822678,0.8988066205111561,0.9413145670380544,0.8293185897603694,0.6663809108104175,0.08017848119126804,0.7791148201119602,0.4200329988942753,0.8027779932860873,0.17057387649731387,0.821584539910712,0.3787710856274209
6,3.8142745353937175,0.6005169780284338,0.8497859336076141,0.29883090904542886,0.6872318990839943,0.01968021192767641,0.9451862917161516,0.4420997770883052,0.854798976224082,0.2693023677168891,0.4761911095347875,0.010668124650610844,0.9022304802664932,0.4369564973884307,0.9505849055107849,0.5594654930056442,0.7947412978205898,0.026313482975198393,0.8892898818157959,0.5332766614421047,0.9840341603271362,0.7248614774456826,0.773455511102874,0.21107887224856503,0.6641378944012488,0.04720047591662861,0.7170622817638955,0.08659265509805311,0.640365303846474,0.015967508553429537,0.9745502417269322,0.8876434633576338,0.750659899909693,0.05404773112950214,0.6240650598895491,0.01355175674886167,0.7066378194451328,0.09933419149573679,0.7833148197982697,0.07652567732945643,0.8509621820129794,0.45287579551264046,0.9749146753653443,0.9492079571237773,0.9380716904886199,0.8137197121250677,0.697705740898894,0.09026057843190323,0.5593399696115998,0.026963399699298472,0.8002949055562186,0.45182743180071133,0.8327029678829784,0.1955606479615969,0.7931659961387741,0.29976203296995513,0.5922988809586748,0.845694895777152,0.307020486759797,0.9388515284363013,0.4239645264320805,0.8977959150978887,0.3833672510958546,0.9567350480749396,0.5747969403073635,0.879117345017657,0.5017495645283234,0.776748113851505,0.17904112320262627,0.6753232419457045,0.08406559091607432,0.7082467064635654,0.06749371309793224,0.9688424536470802,0.86646389886521,0.7147404664673489,0.09954882856979705,0.8392989817045151,0.4244724014674552,0.9754808765839555,0.9474077683058495,0.9325597973491874,0.7981861569725122,0.6991770696930015,0.08549762262709595,0.8008828372356206,0.41609740724334165,0.8282075345020514,0.1920325817446252,0.8398564257404671,0.3969503663834962
7,3.7531729983521496,0.6362648337445659,0.8436752702687179,0.2846838360086299,0.6611358183748668,0.021047056184856205,0.9559670943563806,0.5594543107246477,0.8368396056801597,0.22198409249630466,0.4702667364752841,0.011429281059353239,0.8844102986725045,0.4543978865111752,0.9018255270777246,0.43972972907459185,0.7867384839093847,0.025304537601387997,0.8763100825128909,0.5918445942588865,0.9634002823906118,0.3864127519789792,0.7357901939521261,0.24297480623019563,0.6039485095151025,0.03611215249290266,0.6909776941208563,0.10425037048533924,0.6298674948957586,0.013403848479089842,0.9776497578917881,0.9064295673307202,0.7986397501505117,0.07731597041271294,0.5382654181537014,0.012060773265621084,0.6515760923752736,0.07535434971092056,0.7461739524777737,0.08709242341335327,0.8310872899852308,0.4387800141934577,0.9656534433690741,0.9259741539241235,0.9642916680536393,0.8969278672933888,0.6192558170320008,0.07332328518060015,0.48263016036406975,0.020077472051482376,0.7236748552757222,0.3924211268939892,0.7111331738179658,0.121078359565673,0.7635070950441969,0.2853794083393224,0.6314212705965283,0.839555897649938,0.28031582999332316,0.9511415620309261,0.5415227698149856,0.8798409694597853,0.43059586893241,0.9065249936639102,0.44905886349108093,0.8632681183127708,0.5498080792882472,0.7411972090605911,0.20883862588996904,0.6097385947316074,0.049018125754555456,0.6916308886667059,0.07979032890823129,0.971664329147695,0.8829838120014724,0.661522749842015,0.06743863930933988,0.8201471224751218,0.4166968870757693,0.9675835131902456,0.9205875885889852,0.9584861906635518,0.8851534120328742,0.6199998060041708,0.07009744513954752,0.7245941616201684,0.3530226582933299,0.7135069750093249,0.1252027400845587,0.807525192595533,0.39438322966241746
8,3.714026622802471,0.5956115615086359,0.8597660569479095,0.34263476439727064,0.5979705373394401,0.013814544325685098,0.9343615744535375,0.5023077549232777,0.7980437564908401,0.21394233771960358,0.5925627081239779,0.012825249589816963,0.8830819399651431,0.4283989222054235,0.9499715320795556,0.516791926439944,0.7627611311791449,0.02085897462946332,0.8666852912324167,0.49552688569944287,0.9594817211849103,0.5344874067095597,0.7493419419263122,0.2217702469178099,0.593438759794221,0.04557463043090462,0.645301244721162,0.14405009451792866,0.5759778694838336,0.014017722419454067,0.97479704088405,0.882333822753167,0.7295594306355896,0.08061637810493678,0.5215371238157609,0.009638746747460411,0.6265377196248325,0.07429381615872557,0.7973654467168999,0.10155289414226722,0.8131721790333216,0.40992998625830024,0.9650183555238869,0.9351216128469919,0.9440828362133603,0.8294637532155493,0.5777140436681085,0.05593448274352415,0.4910859974487535,0.02506409446916909,0.7552550877297685,0.4169418782279214,0.7612688501513604,0.13415559909957192,0.7586976990910805,0.2870018663728142,0.5803154462948278,0.8464700286473932,0.34658910304485446,0.9251474232207952,0.44255660131185615,0.8667489854972958,0.37306560577951603,0.9552601786618633,0.5455413322319557,0.8540371035813081,0.45156430727597113,0.7514242579849384,0.1876883971082724,0.5922988471981501,0.0457666824189226,0.6605529171322708,0.13226878522685429,0.9669924351330108,0.8512697190260227,0.6357416533463616,0.06583928646971116,0.7973953566701288,0.370748509546342,0.9679468341489368,0.9347939682801615,0.9397374441967343,0.8151677953235281,0.5642029196372278,0.052616906548911185,0.7511123469757279,0.3817599713958192,0.7477001118985453,0.134835372163065,0.801423052745668,0.38325452144698524
9,3.6675809215762585,0.6860827164845494,0.8986993132029845,0.35432570062604396,0.7236618885588078,0.020859503722079113,0.9140182442112922,0.4970590470193175,0.8370288565612346,0.20842342852740542,0.4201549160185443,0.00611980634711899,0.892898594387021,0.43112847378648844,0.9525790721886007,0.5193825900696634,0.8431723723486618,0.04375568596365738,0.9006262300096749,0.6181531942244973,0.9646013399995952,0.44770683705694386,0.796640261430154,0.3047995532054437,0.6673697209816951,0.08005053999324353,0.7625320212626262,0.21821045400310354,0.6990850859751871,0.023323342354382624,0.9752168429551963,0.8811955736980654,0.7724197315515611,0.07814439667529186,0.667529875983369,0.020213072650491035,0.75039210229506,0.12233555934895546,0.8278627955188773,0.13815242901704827,0.8624614500068307,0.4596772424811196,0.9614761705373552,0.9303958541994799,0.9537761937605274,0.8659410616496866,0.6631822726872099,0.09466422899675518,0.521879863621588,0.023905930052824806,0.8097874268918596,0.46783253410733444,0.8235053430700571,0.20363957804866217,0.8024060763852142,0.30997675453173473,0.6655211912943871,0.885976870685613,0.3246907533589977,0.9127692335183817,0.4817322546140455,0.8849635465612756,0.35518925252314854,0.95590149522651,0.545287827665428,0.8873599239008219,0.5602766253997653,0.7972492363814393,0.2778635730759457,0.662521140296027,0.07413149833602031,0.7533449979415396,0.20125318564523278,0.9686477854118325,0.853732396436322,0.7370780870802777,0.09829595895548031,0.8439990634699162,0.42794832727132354,0.9643164928853846,0.9297146529139645,0.9443840695718939,0.8506264321376809,0.6560218245307725,0.08212246498018923,0.803669726475372,0.42284812767155666,0.8171598657217455,0.19870839643193144,0.8422102099786752,0.4177763579635645
