epoch,train_loss,train_accuracy,train_1st degree av block_rocauc,train_1st degree av block_prauc,train_anterior myocardial infarction_rocauc,train_anterior myocardial infarction_prauc,train_atrial flutter_rocauc,train_atrial flutter_prauc,train_bundle branch block_rocauc,train_bundle branch block_prauc,train_early repolarization_rocauc,train_early repolarization_prauc,train_left anterior fascicular block_rocauc,train_left anterior fascicular block_prauc,train_left atrial enlargement_rocauc,train_left atrial enlargement_prauc,train_left axis deviation_rocauc,train_left axis deviation_prauc,train_left bundle branch block_rocauc,train_left bundle branch block_prauc,train_left ventricular hypertrophy_rocauc,train_left ventricular hypertrophy_prauc,train_low qrs voltages_rocauc,train_low qrs voltages_prauc,train_myocardial infarction_rocauc,train_myocardial infarction_prauc,train_myocardial ischemia_rocauc,train_myocardial ischemia_prauc,train_nonspecific st t abnormality_rocauc,train_nonspecific st t abnormality_prauc,train_normal ecg_rocauc,train_normal ecg_prauc,train_premature atrial contraction_rocauc,train_premature atrial contraction_prauc,train_prolonged pr interval_rocauc,train_prolonged pr interval_prauc,train_prolonged qt interval_rocauc,train_prolonged qt interval_prauc,train_qwave abnormal_rocauc,train_qwave abnormal_prauc,train_right axis deviation_rocauc,train_right axis deviation_prauc,train_sinus arrhythmia_rocauc,train_sinus arrhythmia_prauc,train_sinus tachycardia_rocauc,train_sinus tachycardia_prauc,train_st depression_rocauc,train_st depression_prauc,train_st interval abnormal_rocauc,train_st interval abnormal_prauc,train_t wave inversion_rocauc,train_t wave inversion_prauc,train_ventricular ectopics_rocauc,train_ventricular ectopics_prauc,train_mean_rocaucs,train_mean_praucs,valid_accuracy,valid_1st degree av block_rocauc,valid_1st degree av block_prauc,valid_atrial flutter_rocauc,valid_atrial flutter_prauc,valid_left anterior fascicular block_rocauc,valid_left anterior fascicular block_prauc,valid_left axis deviation_rocauc,valid_left axis deviation_prauc,valid_left ventricular hypertrophy_rocauc,valid_left ventricular hypertrophy_prauc,valid_myocardial infarction_rocauc,valid_myocardial infarction_prauc,valid_myocardial ischemia_rocauc,valid_myocardial ischemia_prauc,valid_normal ecg_rocauc,valid_normal ecg_prauc,valid_premature atrial contraction_rocauc,valid_premature atrial contraction_prauc,valid_qwave abnormal_rocauc,valid_qwave abnormal_prauc,valid_right axis deviation_rocauc,valid_right axis deviation_prauc,valid_sinus arrhythmia_rocauc,valid_sinus arrhythmia_prauc,valid_sinus tachycardia_rocauc,valid_sinus tachycardia_prauc,valid_st depression_rocauc,valid_st depression_prauc,valid_t wave inversion_rocauc,valid_t wave inversion_prauc,valid_ventricular ectopics_rocauc,valid_ventricular ectopics_prauc,valid_mean_rocaucs,valid_mean_praucs
0,4.7278134420859015,0.4866349430149219,0.770735918159711,0.15702859726963142,0.817166413567838,0.025828362735542485,0.9755481035367346,0.8517499241375486,0.8001680808718693,0.11958371661864384,0.7494733187566481,0.012443911147343396,0.937328182562135,0.3492362386670903,0.8269440142668462,0.035624201871790905,0.8820647238836581,0.5656030375675636,0.9120123944834144,0.21021239432220906,0.7902712688043876,0.18760828087599146,0.42939264143045086,0.016508624563810373,0.878052329377822,0.4381288468682023,0.9248955397319883,0.3644326602803057,0.6342045918591191,0.016194535612284757,0.9219816728515947,0.6895573795182868,0.7018712628098671,0.13833672985432782,0.6535544424817781,0.014372713991550297,0.6780037053096949,0.022080655924718716,0.5838503293816415,0.04788439780460002,0.5739376128335545,0.020315209477974244,0.8671600311389188,0.44124270364344875,0.9761080273228362,0.9271131586725166,0.7333438890061139,0.11404972038952291,0.5858715358164237,0.025521920758028324,0.8418492368854882,0.2934085730882604,0.8695509729132342,0.17804646972722157,0.7813592400016833,0.24085049866878522,0.4895585514142215,0.7623591275130807,0.15501790908713103,0.9754712758414437,0.8499997363600101,0.9322305723034616,0.35770820939296954,0.8809969262685369,0.5571616720605999,0.7711420365635491,0.18342019625193778,0.874877256208052,0.43704666546673765,0.9227194928738394,0.35757183888734984,0.9204444526427787,0.6768464606057787,0.6836934636107496,0.13181660151444058,0.6143904849213625,0.06683484104128765,0.5690354726902689,0.021561846484137878,0.8664307023008019,0.4377289218292869,0.9745271306894665,0.9133321476040528,0.7636634771674794,0.14497622890270384,0.8404148284991734,0.27427024058372673,0.8839972910257196,0.22000174005031614,0.8272746244449852,0.3615809535076542
1,4.278833461107539,0.5123369756785336,0.8262006704143202,0.3648535349703077,0.7691638059531193,0.021577872362943763,0.985570548593803,0.8999449003517934,0.8726036154463438,0.24276064147889204,0.7628420104006617,0.01341533221131433,0.9237337954120526,0.3058215250793985,0.7693424664098802,0.02147314359426563,0.9003416852250146,0.5821986397982611,0.9520845470217574,0.340336152441377,0.6924038110363517,0.13648949122482673,0.48984979866842093,0.022444595750918516,0.8265229747343994,0.4181752267178884,0.8387467834605685,0.3035395629505452,0.6141065179020407,0.014844198016694003,0.9451249269850277,0.7839620772561411,0.8667423681654433,0.3023100920556453,0.7241364300187829,0.026577966575694063,0.67306948544625,0.022353925469097195,0.6766880483421192,0.08083834250696621,0.5826939088428533,0.020561374789804843,0.9303570603719473,0.6379416423284645,0.9901761423119042,0.936125207975959,0.5902619031211668,0.07065111027197454,0.6300072072441941,0.02918598560383635,0.8748729496037587,0.38782570634596064,0.9620254595448055,0.5424916524778309,0.7949872661798841,0.28956538079256927,0.5111463565071812,0.8144515455414195,0.3489651764717089,0.9848896626302719,0.8986858975237347,0.9173940132706737,0.3046723980807233,0.8924844726260137,0.5449408467811439,0.671587392802097,0.12095205063054214,0.8243904590047317,0.42321048173493653,0.8243181293870587,0.27985931234225087,0.9414340803542307,0.7711691825176381,0.8439122769438632,0.2416382049384006,0.682053365558241,0.07248805187190525,0.5858465639435414,0.022763448442641856,0.9243091154989609,0.6206483732260544,0.9878348914264307,0.9247449987163889,0.6259072055080197,0.08762540739173182,0.8706946789761747,0.3671896367255592,0.9582273700536564,0.6075816946220732,0.8343584514703365,0.41482094762608956
2,4.0950284388549685,0.5340735518740454,0.8487473621004779,0.32504726188279914,0.7664837175615928,0.020971710244831385,0.9817198058721841,0.8885206385229086,0.8257613231169174,0.13376770987325143,0.8591010223377854,0.035682324883073754,0.9492652132416981,0.32986561720898777,0.7378558704287145,0.016584089384050774,0.8757601661520682,0.49373564573893486,0.9384623929972656,0.3456085067457959,0.7686526293596402,0.20370088443203999,0.5053796645138141,0.025607254304559644,0.8383288440185281,0.4685330750037848,0.8792529046325775,0.3381311750786229,0.5470528202168696,0.008559443301194302,0.9600840034354747,0.8348892284975685,0.9088971002098416,0.41771894060748666,0.6875043449437913,0.03768437509358452,0.5707427412912888,0.012983670071372102,0.6317982190751258,0.09089262060215605,0.766714874244685,0.04720281467272997,0.929153430891149,0.7357078840843858,0.9830512205483988,0.9411302587528907,0.5820930243681177,0.05745172283987024,0.6199279550952889,0.036223588837809295,0.8415296281447898,0.3449320687640776,0.944420841628895,0.5523975682270159,0.7979900430933454,0.2978280799098378,0.523570358621905,0.8422836189139383,0.3065890364086712,0.9811165510675914,0.8788133345679998,0.9497599383053882,0.3485055703600287,0.8656382803121982,0.4484425105852886,0.7387210374472022,0.17322881525487993,0.8340721410069015,0.4605803508833268,0.8633421710617826,0.3203204139703919,0.9548156346119203,0.8165897664386337,0.8947020151258012,0.34368381039516765,0.6483437111822811,0.08987786811747732,0.7469513014688731,0.04616602559058626,0.9233438971904613,0.6952096480178367,0.981826696364854,0.9357309763085457,0.6084370303922471,0.06725830421288115,0.8338011940671891,0.3283094202240974,0.9493100184234158,0.6170770901144986,0.8510290773088778,0.42977393384064444
3,3.976666193005061,0.5053166490424157,0.759751967601981,0.36712367067849216,0.7241806551835627,0.019077541089847428,0.9763619644935123,0.9004596484946303,0.7032557463248797,0.1679396682035217,0.8570307883228933,0.04298831275809045,0.8321044237874269,0.11875467073628171,0.5721504815842967,0.008781483938728862,0.7280066688793484,0.279667610007848,0.8962201284032815,0.5178516462141038,0.6640308435673489,0.10169041944700473,0.5013144609895148,0.028153027262511926,0.8147558589234273,0.3813964079213699,0.8467942893468595,0.23620520936467862,0.4883077348830773,0.006157576155764901,0.9656121482141958,0.849777850701363,0.8434542902953167,0.35717155885979784,0.5450708461089083,0.026380021347600154,0.5243698584028358,0.021123502071521222,0.5333346373588324,0.052053059271080324,0.49096775124271474,0.0185714009222085,0.918425518181913,0.709821437212252,0.9802198813181231,0.9164995481419808,0.44272663684981267,0.03609874321041173,0.6144095567206864,0.044176779775872456,0.7431354378838552,0.2594360090745492,0.8726817172907151,0.42136558230538884,0.7245643958522815,0.2649508609679577,0.5077980438805181,0.7476823418296045,0.3489380128299861,0.9780171292610241,0.9065821997810268,0.8288011841385143,0.12496442873445812,0.7183814415771259,0.2413614881898635,0.6375427506692419,0.09366357320088461,0.807582688093762,0.37655805505722395,0.8341204170186494,0.2123657800236862,0.957281349111813,0.8191368504215807,0.8264170964393402,0.30613386178693575,0.5622310457088354,0.05726399875500189,0.4726000848077128,0.02584644742061892,0.9068987237226779,0.6401842694692906,0.9799155770632316,0.9042391845084256,0.4792939399515442,0.04409344888163229,0.7253379261461587,0.22923275323054798,0.9091826831844867,0.49181871034310276,0.7732053986702326,0.3638989414146416
4,3.8944401201217467,0.4527670074021854,0.8641002464849241,0.49313830923587043,0.7568074640455714,0.021182264280030484,0.9882206615808958,0.9165401285612451,0.7765478409818752,0.15927191886227676,0.880922541661742,0.05981742502343071,0.8940754331961908,0.39469344452521493,0.6505422193708524,0.013590278381006323,0.7069882313282464,0.36914771000083263,0.9239445369159434,0.4601641541937826,0.6943520044014495,0.12600372579064303,0.5354752720966391,0.029463674462801445,0.8633242586100718,0.4773488460749704,0.8734411789318329,0.251597612511938,0.5559817351598174,0.008189042338365966,0.9618413320396583,0.8392046169579979,0.9319513807321332,0.525155495576174,0.7495117339407995,0.07896308191897405,0.6091680146040687,0.017227482367493406,0.6129425170119234,0.07454688488757955,0.614849462520712,0.0331988705900806,0.942087271485025,0.7714972100196285,0.9857538955349144,0.9397675107793315,0.4831559625844856,0.046647164987852825,0.620519348409049,0.0404489160713756,0.7711911296646232,0.29918302452654344,0.9533806952458963,0.6251490737645868,0.7769644757130515,0.31042837948807794,0.4692043351837166,0.8559634651250675,0.4588013093835575,0.9883930540206163,0.9185380729853704,0.8930189878284313,0.431894070100056,0.6929548681414457,0.32037080400281037,0.658191409058343,0.10554564701113003,0.8549977377223179,0.44842475519600494,0.8531115674160926,0.1971347346673083,0.9546565602134741,0.8169020133682503,0.9106249691057983,0.448681012728251,0.639874420751994,0.0796281663797799,0.5838742209700511,0.03149597150688144,0.9317108046736469,0.6814618348586914,0.9825797683753742,0.9262083746866774,0.5140311129512068,0.05618727721811513,0.7449279406269895,0.2671299392424237,0.9499144200210083,0.6530633713911822,0.813051581687616,0.4275917096704056
5,3.818593145355244,0.4626953354482434,0.8061307753781453,0.42137923414963707,0.6672191037246796,0.014267083741298297,0.9886833527718578,0.9402203598646102,0.8351621134794356,0.16104732352481266,0.894683991253989,0.1332088198872715,0.9118847113665293,0.2708428005212972,0.6295410902870924,0.012804723464963176,0.7879998887884945,0.34170168711900584,0.9595579449530376,0.5176049322341723,0.6722788383954558,0.11976358337703254,0.5575854164174939,0.03421560645160521,0.7231370955868055,0.3085329758775389,0.738906861570413,0.14413717560056755,0.5446557118124108,0.007636679306557301,0.9699308139435265,0.8852723784846672,0.8720799433442987,0.4428853841500517,0.604157216613964,0.04015163363867316,0.5566652893982293,0.02241412635599948,0.5441164432283512,0.06997718649582482,0.6577035950110052,0.029841935700109925,0.9125985381364998,0.7603719371068003,0.9782408751801955,0.9305876476690136,0.5368372122547902,0.04894905814471992,0.6756861213861141,0.07043520905231548,0.7774262749009091,0.2907205602418522,0.9439551540272474,0.4516835539282958,0.7594932451234988,0.2873328306187959,0.460128645695656,0.7997831082694355,0.3956204865281092,0.9871318621684035,0.9300873425933146,0.9132637761263563,0.2864324711120254,0.7809289548368865,0.3019427318628942,0.6431083877695467,0.1017062689735243,0.712004587353516,0.30260852504820035,0.7268083841375497,0.12614643997815594,0.9604390679069351,0.8561305855996413,0.8620492329999506,0.36443131628131087,0.5533381088635694,0.05375779089105268,0.6462534155048963,0.032266748090721345,0.9061547664299631,0.7027426631593007,0.9743836450657098,0.9168633615693812,0.5634397905357745,0.06311804978038135,0.7604910653433464,0.2395052665056466,0.9402895673859221,0.46397480638003125,0.7956167325436101,0.3835834283971057
6,3.7637228116405343,0.5405651509810833,0.876606099292908,0.46746861265543604,0.7620512636832989,0.025996363980683834,0.9906249919030242,0.9358849103916721,0.7924288146116452,0.1609608392371597,0.8930652405153056,0.17227926845974115,0.854680297355878,0.2323907868453262,0.6339802867550015,0.01313366891890761,0.7359824912901644,0.36831077508969723,0.9292351533705862,0.5146724393282583,0.7114511124581562,0.13561620480325765,0.5631032970537815,0.03749453814621592,0.855318928701542,0.5381844291428074,0.8550047142628918,0.22780625557156028,0.5896150951546876,0.013893138717980128,0.9737487349751268,0.8955389518345175,0.9190114501707286,0.512887998054226,0.7058550830177127,0.0654151169577458,0.5399202787621594,0.02039501737376121,0.6764358261668627,0.13549386889252352,0.6739350882471746,0.04391836415755522,0.9331443560324328,0.7602987456798489,0.9865665253602297,0.9415094962323373,0.5263238039576831,0.05449189898879576,0.6573421015212568,0.07968784020084234,0.8042195713740545,0.2875564510984425,0.9321715987730371,0.5920690547498634,0.783531623260282,0.31666750136573707,0.528416600581549,0.8697597716765112,0.434541649418069,0.9901932240852752,0.9320165977000003,0.8567635658038164,0.22276582928628022,0.7290631549097495,0.32514691929210815,0.6736256933147644,0.11938879415694645,0.8396158794906898,0.4880948363555538,0.8433930346486452,0.20146531605164267,0.9651759281899164,0.8664556607827694,0.8905234713548962,0.4060705132492957,0.6672854351619248,0.1285030497925283,0.6635954221178169,0.046341498749190344,0.9240559411532411,0.6942559801098399,0.9833406517068494,0.928433068917963,0.5552601818627902,0.07123021281643516,0.7859436514465596,0.25213891169600566,0.9418465178548749,0.5991719038070856,0.8237150952986451,0.4197512963863571
7,3.7043531090598902,0.5326342380448831,0.8014520024231381,0.4124317545106561,0.7313289551249009,0.0248382297800993,0.988801196758688,0.907180448666323,0.7184969533169131,0.13881506723479548,0.9072509159673796,0.2290958782915118,0.9075739046489977,0.3005636078690759,0.727855850869013,0.019083077586694856,0.8529090080280156,0.48140226815519654,0.9265075496373796,0.5767895306976647,0.7393441885322704,0.19063101483507428,0.4757651347526213,0.02620804738719658,0.8028366120293643,0.42457183479658434,0.7916156965222386,0.20761778614340748,0.6089465993041001,0.010966697839011528,0.9752174984700492,0.8982436866182429,0.9150220686598162,0.4606792446106086,0.6922390694016992,0.07774337251768731,0.5042189210672423,0.030860616337218472,0.5572387818582718,0.0750957718025095,0.7833619195512213,0.0687949751109971,0.9321284931516356,0.7608549269977443,0.9828783838879686,0.9324801415534724,0.4509096437505712,0.047756570089717856,0.6211987356906538,0.09033510921459288,0.6160268809731537,0.21642006232203556,0.9480800067133914,0.6937154060297179,0.7676617296573343,0.3193528894999168,0.5222486562692749,0.7966076508182278,0.38840297306956156,0.9882051642615985,0.8990205387227801,0.9035355671245516,0.2936151281895604,0.8418073384728234,0.4279447008371114,0.7055467348489399,0.16974356452539907,0.7913615480053265,0.40483513422988293,0.7727577868699513,0.17297511153159706,0.9663158182894986,0.8660452000470342,0.8890423621294755,0.3777789917495381,0.5730265881945189,0.06901300603659477,0.7511361892200552,0.06686348623826818,0.9215716767704222,0.6720363796612728,0.9785572414357966,0.9186173598386431,0.471041781672647,0.06278781648306359,0.594341090119519,0.18367012405357616,0.945368707387446,0.7050986285405579,0.8056389528512998,0.41740300898465255
8,3.6766782271121086,0.44830219715662084,0.7813238225970895,0.4168909962249419,0.5845940857410266,0.011461578935807445,0.995097774301054,0.9701124546155753,0.7344414250738459,0.08055405540826875,0.9303658698735374,0.27397723942311686,0.84126276863047,0.18900935289577458,0.5209389659079295,0.008259102581570539,0.6762250371744379,0.21935758660456173,0.9051003893710616,0.3548779503484421,0.5903788336408687,0.0818164105256298,0.5725558146952119,0.04033397275110577,0.6744900958079499,0.2768198719647997,0.713495237239396,0.12513257522819202,0.46805839889034007,0.005707161403734577,0.9667560220669161,0.8801077864484467,0.9206807823765908,0.5583308697680593,0.6175830449186851,0.05720209486451703,0.5413082474364073,0.04129186177644907,0.579459973486182,0.11099967137091211,0.6166869492279918,0.05105035320543391,0.9387940493665219,0.8007721622093995,0.9898890743555508,0.9378567083238329,0.45489964394745974,0.040970678299372884,0.6786740986313495,0.11591056196395058,0.6911571672175505,0.25510310101150524,0.900744729114007,0.4990005860060123,0.726344703888055,0.2847271824676697,0.441272358798132,0.7645688128948451,0.3858372425105133,0.9942279024874598,0.9631739467413196,0.8352809275902465,0.18475451818383057,0.6644811381108516,0.1985461597015194,0.5571259010692389,0.0682559256897018,0.6661657541774926,0.2639023244714582,0.7078081161219844,0.12084105056014094,0.9540459451015976,0.8463556236356372,0.898935591768137,0.45272163777111507,0.5865842656200186,0.11433685463275707,0.5766057317179978,0.04711602205592468,0.925530919823196,0.7302365972974942,0.9869554731954142,0.9274640439302789,0.48423862207501456,0.050302551077561916,0.6668801105867223,0.20486526273920208,0.9113018242618307,0.5237921519138283,0.761296064787628,0.3801563695570177
9,3.635159349514362,0.5711432264128774,0.8442016575277972,0.5137582674710414,0.8097296564304691,0.029632141082424943,0.9963520258546932,0.9788561538463518,0.8274903536017447,0.1897999813530832,0.9314562403971162,0.3092561457901118,0.9409585408376537,0.5200772198872977,0.7517952749629466,0.032074317223253636,0.8871047271126029,0.5799212083912497,0.9567206634169542,0.6308517100363003,0.7743573862492311,0.23751501107156164,0.5494330074153809,0.039002956249420635,0.8906226172079738,0.6374457114596979,0.913698975176779,0.4554000544397586,0.7111967655168457,0.030264615985992484,0.9736130006472811,0.8801323503292948,0.9444910279593437,0.5825133438028097,0.7545835556216179,0.11622085194888017,0.6136409544790247,0.048847786155430686,0.6743163022054123,0.18870038972498793,0.8041296565738169,0.10723564145307292,0.9439261950562533,0.7862675094098391,0.9808514282900042,0.9356467558327305,0.5616476327121809,0.08253540815197691,0.6889930185610946,0.12403759875432782,0.7490008927557016,0.3270206957195839,0.9631494133009285,0.7119484482604412,0.8245177296104172,0.38749854899349706,0.5810203542162306,0.8400213385397738,0.4506248075688592,0.99464527390577,0.9665183076247702,0.9354941901225299,0.5093441969779615,0.8736063455413313,0.5157224765395957,0.7369591494637086,0.1944967568475479,0.8752306673916478,0.5887059606555517,0.90016505009177,0.42367147538136457,0.9662612154196542,0.8502953157680844,0.9144733156481192,0.4326132269925895,0.6665791924459313,0.16424921039967405,0.7782182922779021,0.08193664903660332,0.9327643710202513,0.7164499005193055,0.9747235512843555,0.9169562492603782,0.5928270770080044,0.10783703559193228,0.7057609011150081,0.2629897589208618,0.9628575046656218,0.7127933746906262,0.8531617147463362,0.4934502939234816
