epoch,train_loss,train_accuracy,train_1st degree av block_rocauc,train_1st degree av block_prauc,train_anterior myocardial infarction_rocauc,train_anterior myocardial infarction_prauc,train_atrial fibrillation_rocauc,train_atrial fibrillation_prauc,train_complete right bundle branch block_rocauc,train_complete right bundle branch block_prauc,train_left anterior fascicular block_rocauc,train_left anterior fascicular block_prauc,train_left atrial enlargement_rocauc,train_left atrial enlargement_prauc,train_left axis deviation_rocauc,train_left axis deviation_prauc,train_left bundle branch block_rocauc,train_left bundle branch block_prauc,train_left ventricular hypertrophy_rocauc,train_left ventricular hypertrophy_prauc,train_myocardial infarction_rocauc,train_myocardial infarction_prauc,train_nonspecific intraventricular conduction disorder_rocauc,train_nonspecific intraventricular conduction disorder_prauc,train_nonspecific st t abnormality_rocauc,train_nonspecific st t abnormality_prauc,train_normal ecg_rocauc,train_normal ecg_prauc,train_premature atrial contraction_rocauc,train_premature atrial contraction_prauc,train_prolonged pr interval_rocauc,train_prolonged pr interval_prauc,train_qwave abnormal_rocauc,train_qwave abnormal_prauc,train_right axis deviation_rocauc,train_right axis deviation_prauc,train_s t changes_rocauc,train_s t changes_prauc,train_sinus arrhythmia_rocauc,train_sinus arrhythmia_prauc,train_sinus bradycardia_rocauc,train_sinus bradycardia_prauc,train_sinus tachycardia_rocauc,train_sinus tachycardia_prauc,train_t wave abnormal_rocauc,train_t wave abnormal_prauc,train_mean_rocaucs,train_mean_praucs,valid_accuracy,valid_atrial fibrillation_rocauc,valid_atrial fibrillation_prauc,valid_left anterior fascicular block_rocauc,valid_left anterior fascicular block_prauc,valid_left axis deviation_rocauc,valid_left axis deviation_prauc,valid_left ventricular hypertrophy_rocauc,valid_left ventricular hypertrophy_prauc,valid_myocardial infarction_rocauc,valid_myocardial infarction_prauc,valid_normal ecg_rocauc,valid_normal ecg_prauc,valid_t wave abnormal_rocauc,valid_t wave abnormal_prauc,valid_mean_rocaucs,valid_mean_praucs
0,5.143248521665628,0.4595832379207694,0.46327107126280487,0.03881919266336817,0.5030944648930364,0.017171567414563917,0.7462644483416804,0.22407981203714852,0.977013360549267,0.4634968832415437,0.9392003438766533,0.49887272409974737,0.33458543127456347,0.013095255563089122,0.6150658728291016,0.37167151737242177,0.915029388653151,0.16254788084107366,0.6737985039065727,0.22615323513541413,0.6535657338326641,0.44318848851666875,0.4576342373093562,0.03353378535976648,0.4207596469004567,0.016633444429235564,0.9133069255350914,0.7701549663612446,0.5590819572299186,0.024889904178442786,0.42192617938177546,0.014934650724972232,0.3689865878346648,0.018836019486945868,0.33241128518001484,0.011150099455700793,0.6219259304707496,0.07271282632553577,0.5754406556796552,0.04377168493521327,0.7549547622929471,0.16314910099598237,0.7456895482398472,0.2085586141323452,0.6938296944251876,0.280531121790727,0.6221289104499619,0.18717967159368867,0.489010989010989,0.7526420571649083,0.25975612819682486,0.9311688934208349,0.5047421956844963,0.6052042467362635,0.34831424310466796,0.6796479756034535,0.23062366968762613,0.6278815722586323,0.42534322774452055,0.9053346679248059,0.7455198531979927,0.6999220632122385,0.258659040907774,0.7431144966173052,0.3961369083605574
1,4.649694438053809,0.4448515380505305,0.4810254855558969,0.04760970082840393,0.46572694364246436,0.01862486981126628,0.7531842096674828,0.33275656530312264,0.962752755810694,0.41941867933261107,0.8629567362320376,0.2739889653881368,0.3863836081208515,0.015215260658032945,0.6352098277118244,0.41026330932851773,0.9411742888574571,0.23316072946075062,0.6584103804482526,0.2856140500425035,0.5657714778234166,0.39592961334844123,0.3685576470045566,0.02809747887027478,0.39451696868870945,0.01520060338253729,0.9225971533866144,0.7898646048722272,0.48868516710051796,0.021142311715297707,0.4168880400217172,0.018069700936109656,0.36338547677211597,0.01883194893532547,0.35433137833647677,0.011873297347139941,0.6622020929214835,0.07883819871848415,0.5856997494955902,0.05223989009067265,0.8009159762261187,0.3808015275039755,0.7485345459412458,0.1836326491405892,0.7312886582186555,0.3142492267039943,0.6159181167265536,0.1975192355326552,0.4993131868131868,0.7507556423019364,0.35687725938785,0.8485836216638633,0.2907050682757168,0.6245440218006284,0.3816587444478312,0.6558488498984545,0.2986504234708529,0.5313230061165255,0.3686946645541953,0.9122607489252009,0.7648740550042576,0.7323460156666554,0.2874573564276217,0.7222374151961806,0.3927025102240465
2,4.4390233038181695,0.46034653843218076,0.6098756120521152,0.08764772363078058,0.5153755927431064,0.018865928472627663,0.9110179789633128,0.5015094759736257,0.9807449818977192,0.5978793307851392,0.89541528002978,0.4602145657408372,0.3727753108879607,0.014822651137744756,0.6526492336264836,0.4174766308085271,0.9611604589030333,0.5135088460647855,0.6244683109777448,0.262255085105512,0.6666617099235895,0.5446481333067157,0.3882031458497386,0.030023234886327597,0.49912899246240305,0.020360630154000865,0.926124272968451,0.7885738423338845,0.5565224406623513,0.03305871018912335,0.5436812760651277,0.028408262347141715,0.4871594999660581,0.027203820251588122,0.4721137569884206,0.01659962707638817,0.7396581028250813,0.10255458758680398,0.6078557519797847,0.06397408220992443,0.8632713860122003,0.3668998680697287,0.9011455947251924,0.36384968873385026,0.7937849058661328,0.3934488654308279,0.6803997089261723,0.2569901631952675,0.49473443223443225,0.9190013641825152,0.543719638990815,0.8809950235748337,0.45080730713156214,0.6423127354259044,0.3784833379589152,0.6061956635480488,0.25130761571646687,0.6223802522041902,0.49476646561246906,0.9118798169631893,0.764209659171553,0.7833605845791679,0.35638652491409306,0.7665893486396929,0.46281150707083923
3,4.277887446344758,0.513930234333257,0.5939437892644915,0.12889023865406457,0.5970262882232834,0.02731059885498832,0.8495001366504041,0.5473587699035984,0.9776064471362074,0.6054788223611761,0.8926955227719818,0.5539488211127509,0.40328913509492154,0.01647194831447818,0.7023213135339501,0.5398815561304987,0.958976373827859,0.7572407502275544,0.7272807519660722,0.37490864831242454,0.7783134016954816,0.6435450674710229,0.4343904339546178,0.03741365651985888,0.5497792301001154,0.03214641970594691,0.9318057183581359,0.8039163038492461,0.5603467513853205,0.043199205252423295,0.6147324278529196,0.046509528635385024,0.5309524562312216,0.0320835975848285,0.5038766486153542,0.01911297231057331,0.7346263049403754,0.1046819704213335,0.6237190659183094,0.06936317558789803,0.8570511748252636,0.26949537944063146,0.8670299712498726,0.6120050579320407,0.8323257755011676,0.42532373466328255,0.7055267781407877,0.30410391923845476,0.5892857142857143,0.8306061642552289,0.5577379737498133,0.8626195809112116,0.526010098894577,0.6848028459339051,0.4967458382972361,0.7058095557411113,0.38200980275945223,0.7460570547754266,0.6036819620135381,0.9125791063306254,0.7534628030342462,0.8150495522925074,0.35658928295197156,0.793931980034288,0.5251768231001192
4,4.144607521706742,0.5418670330509121,0.707831407017108,0.17761794156364055,0.5693530339172965,0.022934820724719328,0.9385134715055191,0.6462196122644387,0.9873882425982005,0.6907593135102953,0.8569459093108106,0.48681631205353365,0.4658497268293113,0.019873753016723547,0.7235433432013532,0.5396268497228971,0.9626532558017706,0.7020497608700766,0.7968070443708766,0.4436347182668294,0.7278054941458569,0.6272288242650171,0.49831826523585643,0.04048386047211361,0.5319582207434406,0.0326198727174856,0.9449400330216013,0.8405285576440188,0.6044437605765484,0.07914757495047493,0.700271912606125,0.1096320763619467,0.49116580665019477,0.029981584639783843,0.5726559707582225,0.09419786012947116,0.7598109719905398,0.11925550693550385,0.6567450422924861,0.10076951039428343,0.8921837118846117,0.5406606541926265,0.9209881443625769,0.6197102517600974,0.8369290507282111,0.4962158495347771,0.7339591736158417,0.33908932118139795,0.5460164835164835,0.9320922541381931,0.6389958994505339,0.8138118312837898,0.44661478740555727,0.7062704220488718,0.49364652585925034,0.7744691551542616,0.41516749523324187,0.6950499324941103,0.5702549307069308,0.921672610418539,0.7911246484118416,0.8022530063657253,0.39790379711085394,0.8065170302719273,0.5362440120254586
5,4.046416202835178,0.5274406533852378,0.6043978681955167,0.1556140058213676,0.5252593322356469,0.02175009783886093,0.8556306256619431,0.5091458229994804,0.9807533717225396,0.6296943100202791,0.6903612238467618,0.19696231478806112,0.42893010824148375,0.015423576969260463,0.5978377367322035,0.38802637178447463,0.9843354811671644,0.8737826997016357,0.7050639637353602,0.34827311009369805,0.6953430323959997,0.49278426780569473,0.43908177957306327,0.03237676756414927,0.4345419727402919,0.016659204410857026,0.9464265926046658,0.8533790019496408,0.5389825303560356,0.06701474381003497,0.6087311093079727,0.10342772750073624,0.4254059311844236,0.02113705023339548,0.6456030554600163,0.11257556778283448,0.6001102866775659,0.08008495041584504,0.6407460341928779,0.11939934559217708,0.8534997025088771,0.4661397649422094,0.8689105824174915,0.49393677569334665,0.6971682545883556,0.34591854969566355,0.6712327534339209,0.2883411830642592,0.5439560439560439,0.8429420098849414,0.5192701455997168,0.6642045999250485,0.2079372500643486,0.5752003854306289,0.3480850199734929,0.6629180610041794,0.2877193150557171,0.657887256965132,0.4443335281402651,0.9210897446284978,0.7873705267010925,0.6644623042185874,0.25439087451474146,0.7126720517224309,0.40701523714991067
6,3.895775833308956,0.5259140523624151,0.6106528937235649,0.17279060180933004,0.5159537025634476,0.022685649917852352,0.8099527895188138,0.41829191372668695,0.9603197066127613,0.5304760833305004,0.8795435739749576,0.5093182705866343,0.38866428257811647,0.015615456639747097,0.6148050184507785,0.40106890397578304,0.9863797998847503,0.7533354081741236,0.7724228065853093,0.44634578944583814,0.6814894102993023,0.52883279165083,0.5138850815950657,0.046748062241319895,0.5465849294363174,0.021389893545805325,0.9580351326359783,0.8779532124372762,0.5269995165935919,0.05467534120712196,0.5683588739268177,0.10088614345264317,0.4703839479917089,0.024901320085371926,0.48270475950691216,0.08739085974085106,0.6389540104385061,0.08582904053140199,0.6428206680322672,0.16208379932178268,0.8282262965213654,0.3362720533499352,0.8475043406965144,0.338740265751927,0.7740849203063238,0.3936454168790728,0.6826693846305987,0.2876943762637198,0.5206043956043956,0.7869850131275659,0.39787793041995045,0.8293424611371117,0.4749227865329673,0.5805382613392315,0.35418308660094455,0.7311932610520155,0.36314209790914015,0.6384775372102304,0.4745853420618425,0.9216763499338728,0.7857401643099732,0.7344545105398114,0.27533198867547937,0.7460953420485487,0.4465404852157568
7,3.814348562356489,0.5307228455843065,0.6715842752453113,0.2151199623208339,0.539214165933102,0.03146368584294466,0.8003016610089084,0.47783619853074744,0.9583145384806718,0.5226710760909342,0.9594931967074838,0.6824176307569964,0.42252793597859234,0.015440570665413527,0.6753376260755598,0.41941701714581003,0.9828286447692388,0.7386632746994355,0.7051861978090933,0.3749605128652843,0.7034731815259284,0.5000115812498636,0.46711692492199625,0.03694072128190401,0.5511848811480696,0.020258571793016475,0.96038522446666,0.8818948061310307,0.6221242035667975,0.1321168614275041,0.6748585994785483,0.13835461933532028,0.5045537941930522,0.02792453153238257,0.6335710951204507,0.11552334339505768,0.7145853834474731,0.10721964169990453,0.6570805179073567,0.192174715586624,0.8420997579840901,0.47980240946444547,0.7993720729586169,0.4454824116844469,0.8139124349217742,0.4487432801173727,0.711777559711308,0.3183835192553306,0.5364010989010989,0.7714854759609673,0.46036246424774013,0.9352345717746926,0.6080914902995345,0.6491545957119675,0.3753446731671321,0.6333524109314637,0.24705307717029917,0.646770649423057,0.4177625592080961,0.9219442238822901,0.7810949557419927,0.7644261467566874,0.3103448575208003,0.7603382963487322,0.45715058247937074
8,3.6783769877209354,0.50202274635524,0.6647887807333512,0.19039829413877948,0.5434954473376541,0.02294090451212511,0.8037743042178938,0.5110984324319137,0.9673113918028451,0.5491946509338074,0.9318201186315201,0.5093608761760461,0.41893196024615287,0.016317408543137228,0.5273934739968569,0.320582589375572,0.9904028498087905,0.8947056530447614,0.7098237776223804,0.42548112120124504,0.7274647467562394,0.6240884415796465,0.5264986277268369,0.05082454136577565,0.5135964491600822,0.021633816733823204,0.961675849360013,0.889161101179447,0.6331068978776312,0.1507291746882875,0.62118084351079,0.1290987193186358,0.4736793345899586,0.027980946949782776,0.5572670207990984,0.06636569033159621,0.651281389839253,0.09934935518338774,0.6891188663761149,0.2091483549154752,0.8581126146822986,0.5012756859400045,0.834407060396707,0.4041756591205085,0.799867222144662,0.4941473224826986,0.7002272285280514,0.3230935790975662,0.5020604395604396,0.7784586730833475,0.47515342880261274,0.9040069954651491,0.44067349182460325,0.4924727871277369,0.26899920206524897,0.6536433585399658,0.3143230871072936,0.6613735125473497,0.5238288144716863,0.9198083373740874,0.7820787572383217,0.7338118427227337,0.3039082552193746,0.7347965009800529,0.4441378623898773
9,3.5718166806681286,0.4916418594000458,0.6723233955899562,0.17627406308260796,0.5899844469073976,0.03107618282090897,0.8196703288488786,0.4507045831861399,0.9715916830185998,0.6876210169323257,0.8754301072270562,0.5880614314360681,0.4341127291304586,0.015911181802437873,0.8810642599030557,0.7533139291324145,0.9753175127036513,0.7959989771861725,0.7079126907552313,0.3597877108842721,0.7604238898152954,0.6415842818571362,0.5616233843254446,0.0757388721253669,0.44027669827452204,0.01889046592842595,0.9580877285907057,0.878486782480338,0.7003700043395973,0.13679975227886523,0.6692277488082383,0.13109874893755852,0.46227799439633166,0.028849068837685014,0.7738734040249406,0.05975840498764783,0.6054615718639651,0.09674609469641339,0.7380719876323488,0.30470414304955096,0.8653748917492267,0.35568254582805514,0.8640842087466911,0.5951022023357836,0.7811816749782649,0.4693695554014072,0.7321701064377208,0.34779818160034465,0.5077838827838828,0.7808059280945854,0.43237969360371203,0.7982761175168422,0.48173110379500106,0.8307884879430439,0.6439035912950072,0.5947576468779298,0.1680500179120995,0.6822637157209466,0.5224240523695858,0.9021581989496947,0.7491014108108416,0.7213242034262599,0.2844648930871947,0.7586248997899004,0.4688649661247774
