epoch,train_loss,train_accuracy,train_1st degree av block_rocauc,train_1st degree av block_prauc,train_abnormal QRS_rocauc,train_abnormal QRS_prauc,train_anterior myocardial infarction_rocauc,train_anterior myocardial infarction_prauc,train_atrial fibrillation_rocauc,train_atrial fibrillation_prauc,train_complete right bundle branch block_rocauc,train_complete right bundle branch block_prauc,train_left anterior fascicular block_rocauc,train_left anterior fascicular block_prauc,train_left atrial enlargement_rocauc,train_left atrial enlargement_prauc,train_left axis deviation_rocauc,train_left axis deviation_prauc,train_left bundle branch block_rocauc,train_left bundle branch block_prauc,train_left ventricular hypertrophy_rocauc,train_left ventricular hypertrophy_prauc,train_nonspecific intraventricular conduction disorder_rocauc,train_nonspecific intraventricular conduction disorder_prauc,train_nonspecific st t abnormality_rocauc,train_nonspecific st t abnormality_prauc,train_normal ecg_rocauc,train_normal ecg_prauc,train_premature atrial contraction_rocauc,train_premature atrial contraction_prauc,train_qwave abnormal_rocauc,train_qwave abnormal_prauc,train_s t changes_rocauc,train_s t changes_prauc,train_sinus arrhythmia_rocauc,train_sinus arrhythmia_prauc,train_sinus bradycardia_rocauc,train_sinus bradycardia_prauc,train_sinus tachycardia_rocauc,train_sinus tachycardia_prauc,train_ventricular ectopics_rocauc,train_ventricular ectopics_prauc,train_mean_rocaucs,train_mean_praucs,valid_accuracy,valid_abnormal QRS_rocauc,valid_abnormal QRS_prauc,valid_atrial fibrillation_rocauc,valid_atrial fibrillation_prauc,valid_left anterior fascicular block_rocauc,valid_left anterior fascicular block_prauc,valid_left axis deviation_rocauc,valid_left axis deviation_prauc,valid_left ventricular hypertrophy_rocauc,valid_left ventricular hypertrophy_prauc,valid_normal ecg_rocauc,valid_normal ecg_prauc,valid_ventricular ectopics_rocauc,valid_ventricular ectopics_prauc,valid_mean_rocaucs,valid_mean_praucs
0,5.116077888868172,0.4353102816578887,0.29807975095709116,0.023141910328753797,0.43772650969875265,0.1507465708654559,0.4333339161807177,0.014373118962380981,0.5813448747283003,0.17131102004403248,0.793780152879671,0.05522580211912945,0.8525254725015273,0.24329954233261353,0.3558805776484968,0.014596136313159078,0.4908238579692799,0.328354261524035,0.6365456728275208,0.03502072376102339,0.5794915623441411,0.18900133764392696,0.43385070072615406,0.03309706003968817,0.5063758839731193,0.019864639480235445,0.9076852774385904,0.7676942018487003,0.5257546723721253,0.021437591130456207,0.5344916281981066,0.03246066152155272,0.6292007967962426,0.08475798232964854,0.5693096677778282,0.045544421150818186,0.7361550937322868,0.1992766066595704,0.5343606986237731,0.13728435917087564,0.850862852498028,0.512087092503329,0.5843789809935875,0.15392875198646924,0.4993131868131868,0.44896815723439565,0.15833690997618677,0.578761983497353,0.15222034246818558,0.8431303196305686,0.2504422038364836,0.46570579561247,0.2997661823917863,0.6203015986627121,0.2091908036641328,0.906033316136277,0.7467650066654961,0.8521743804762673,0.48264045518052745,0.6735822216071491,0.3284802720261141
1,4.725892788016626,0.45805663689794673,0.6113630354549308,0.05262514917649116,0.6181152250959991,0.3608986083772511,0.5827337290867072,0.025839758132776572,0.8128012362058767,0.37918247025746754,0.9407658106380242,0.25733043995642596,0.9360561836050869,0.5559180466639425,0.38070972510497103,0.015226103803294824,0.7263644929686879,0.5446613103398082,0.9379039685951008,0.4605513096948817,0.5868452439760362,0.16236315822196207,0.4902185965468082,0.03782051396100114,0.41832030456783614,0.01467721911500163,0.8792784701638615,0.696504994009944,0.6328284342812419,0.06436412849371027,0.6168607209920977,0.040665727911586236,0.5262471396783945,0.05059480869380313,0.604500792606153,0.06376538110254494,0.8064664107009131,0.16459813875430826,0.8190658658170544,0.38873834581744043,0.9471971851786039,0.7787750494923317,0.6937321285632192,0.25575503309879866,0.4722985347985348,0.6131558261982011,0.36993907963330225,0.7895443488767706,0.37415134543757245,0.9197740288844622,0.5157351822960663,0.691486604870039,0.5013303988237253,0.6220258036190011,0.18989367198704604,0.8751221377018438,0.6670542582690849,0.9646820818809207,0.7592400148408718,0.7822558331473196,0.4824777073268099
2,4.492692209274639,0.4629417601709793,0.6939017808958445,0.12801215588279952,0.6185248246719159,0.33023860801128596,0.4559425662187485,0.015582056335602156,0.8547788775814218,0.4631236243606989,0.9735146436128225,0.3619026002764755,0.8788924987444517,0.4094360677151651,0.33380590197343163,0.013560054634002904,0.5983514082896664,0.38192189958099765,0.926769966312571,0.36102316862610967,0.6261130480429185,0.2418277702824126,0.4544070297714824,0.036393743889382844,0.4739143603980043,0.022906614906650698,0.9169200791409363,0.7859097521415377,0.6385693392571419,0.07522588479750679,0.6298788240356779,0.0590994410641869,0.5908819408525443,0.0742041461008742,0.6358476515155336,0.0778835632972147,0.8335800934219836,0.3842174903603813,0.7854812510913937,0.31002497878921154,0.930128398310915,0.6856190185490961,0.6925102242069703,0.26090563198007966,0.47298534798534797,0.6169515946046148,0.3404395359695809,0.8556225059221927,0.4718021026403879,0.8594952576059398,0.43050947359067254,0.5737050342388786,0.3516217556819691,0.6344085222374418,0.2501402626929253,0.9143255720905774,0.7639428753368458,0.9435399170522537,0.6714302255995261,0.7711497719645569,0.4685551759302725
3,4.33843942387724,0.5558354324097398,0.6982665512482931,0.1659636940142996,0.6277473814336665,0.3801281235637194,0.5018144767633319,0.018490187398083835,0.9137694390915803,0.5832724364846423,0.9763182782248607,0.4590249107154809,0.8603538885415025,0.35832451326168,0.4360692746515813,0.0177570598698031,0.6536564282459103,0.4267020968750532,0.9540116836727132,0.6655351728113214,0.6230895497337826,0.24741075487936506,0.5098768622808407,0.055447126158905846,0.5997928821510001,0.034709227993492464,0.9269094443348502,0.8005338867609637,0.6886193541800921,0.1569192137965158,0.7213028616696658,0.07851987663505369,0.6974138154972134,0.0905842950983981,0.6583614485780998,0.09363927126979639,0.9003872585323067,0.5067211511264951,0.8681868202470422,0.3154660342186271,0.9638266514743474,0.7873397546434587,0.7389887175276341,0.3121244393787578,0.5485347985347986,0.617477082978632,0.37739644601573086,0.9090565827755608,0.5888155589390522,0.8430199655921768,0.3696288011840395,0.6336951673416596,0.40668745827660235,0.6468329739334054,0.2657708781481174,0.9252368370617519,0.7701410016626907,0.9641569391206546,0.745688597894757,0.7913536498291202,0.5034469631601415
4,4.258894455814151,0.5937714678268834,0.6843366642882756,0.22135980155831916,0.6591578225630547,0.4330899451811513,0.6138147944151564,0.026819466904131485,0.9041823950369776,0.647484296285847,0.9221229140449057,0.4173383748151719,0.92859720986237,0.6089476311164786,0.6151871158484401,0.032330275799800016,0.8587662321865589,0.6767017070913347,0.9511464524448265,0.7671224812809182,0.7617549574278393,0.3863163066181949,0.4369504030947002,0.03540232857316907,0.5499002740674416,0.02911965248081587,0.9299871427885722,0.7950762794089201,0.822127296663285,0.20212800170477033,0.7415399323214145,0.08364868082670562,0.7008143881040874,0.088658566919324,0.6826596601291367,0.1301104637632801,0.8736225636018354,0.4512979457692217,0.8453303998866599,0.5629103332990173,0.9486193639637066,0.7512344339048751,0.7715308991369622,0.3673548486650723,0.5721153846153846,0.65019301056705,0.4310480969637191,0.8942654096249543,0.5968560025187277,0.9167810292919233,0.558708115798867,0.8302463685690303,0.6399433201531265,0.7762575376798239,0.43964424357003423,0.9259259494925767,0.7825318878446623,0.9497051757574255,0.6911443964571061,0.8490534972832549,0.5914108661866061
5,4.1557117323776795,0.5656056789558049,0.6808759240411884,0.1993315862048084,0.5986240805175038,0.3854807931645221,0.46134647217049457,0.01713203916571089,0.9518604546208387,0.6727740781546167,0.9811503047757874,0.5535554192625396,0.8575058281712552,0.3567152326862901,0.4003166701385142,0.020808985816917917,0.525689597290946,0.34795129893243376,0.9576423457969058,0.6957942097209767,0.6259873491702803,0.28540108554943,0.4724713415091666,0.04689991283201109,0.4810927877060787,0.03070669594432604,0.9279741179950186,0.8244776009632655,0.8201642729687596,0.27389470610902267,0.6814270205774196,0.10234575425200726,0.5780704621464241,0.0733567829216977,0.7155389469685126,0.19699617240256023,0.8701712667408636,0.38837205141962916,0.8677125376016026,0.5674662672909381,0.9877391859782416,0.822806587507125,0.7221680483442902,0.3431133630150414,0.5228937728937729,0.5926745090800891,0.3791627714298777,0.9432208779153881,0.6453564054798963,0.828122170409272,0.3598321290259305,0.5030257147050594,0.32404481877741875,0.6371045933826203,0.29260925073087407,0.9249787539574652,0.8039027554438561,0.985619565082555,0.7670885343760081,0.7735351692189213,0.5102852378948374
6,4.11000708190278,0.5433173040225937,0.7214576761065857,0.18885464312077144,0.5717735428316764,0.3454303421971037,0.5122507234593158,0.01884214131464627,0.9341791551883809,0.6754562335101043,0.9884258336885058,0.7061621948721913,0.9200329006634833,0.44745954951041345,0.4293760337112209,0.018918205805576682,0.4951615717832822,0.33450266306212584,0.9607879174139233,0.7456523508019294,0.6953380121247037,0.3410685914349719,0.47010062777726824,0.04517395828130326,0.5025974056947698,0.03318231683217577,0.9374464895567757,0.8378817341072218,0.8056163461954275,0.28522740506842853,0.6526037184101401,0.09563807026589188,0.5975163744061103,0.07428128955898071,0.7318146898581713,0.2561155927474674,0.834606266471934,0.3921996499445162,0.8864873101798616,0.5354245108766025,0.9561777429320295,0.7248798768128423,0.7301875169226781,0.35511756600626326,0.51007326007326,0.5710801590547097,0.33455115491784637,0.9293319448639883,0.6578422239632563,0.9059337932361464,0.4292778119392408,0.4691772693290281,0.31411429505095256,0.7095446406724856,0.3775544244834884,0.93077060713414,0.8106236334007018,0.9539404314440599,0.6635096439768328,0.7813969779620799,0.5124961696760455
7,4.049740819819656,0.5716357529959545,0.8119238890679724,0.30102038733416936,0.6630167869829775,0.43076617319760047,0.5639387223402488,0.021597006242551373,0.9474969326008756,0.6959939122017308,0.9895781055732231,0.7002619001567214,0.9534252279559401,0.7453923212098977,0.4911116521058219,0.02621260306065795,0.7657945115058571,0.6324012914665549,0.9732522661201016,0.804936943750611,0.7475381292531987,0.39576321408486836,0.5744610536320208,0.07933534002533846,0.5517010988591653,0.03230314035370668,0.936004048606585,0.8321696271384786,0.8799266116963318,0.3327367859666474,0.717177353102261,0.1269879470827847,0.6235794571776274,0.09408399194375511,0.7826040180004807,0.2999218246453421,0.8660546795808008,0.37927734733691865,0.9065643419843102,0.630681080689138,0.9812846914970637,0.8086065106885834,0.7863216788821432,0.4185224674288028,0.5274725274725275,0.6533678195852421,0.4211226867316593,0.9403647116806308,0.6633988572930831,0.9365917013763131,0.66499639784336,0.7289254885862759,0.5730829425037449,0.7531888644715449,0.3962936828604392,0.9257415498781232,0.8033934087936447,0.9804322297065403,0.7555357653235022,0.8455160521835243,0.6111176773356334
8,3.9766891433595566,0.5846118616899474,0.6935421246880625,0.29699965124362787,0.6662539413376434,0.4404540611462064,0.5064960162381281,0.019237823514353214,0.90107105798852,0.6543365181035399,0.9845125478852319,0.6852814761172362,0.9155880974366987,0.5046008384333899,0.47212054170860074,0.02304508937481174,0.750328706339128,0.5368499179023388,0.939022577564723,0.6060082265913065,0.7239715249201586,0.3748039287227074,0.5114880738993055,0.06030814935579259,0.5858912166223063,0.032133356846479055,0.9438234472364625,0.8491149441753626,0.8006783030230847,0.2950837321801829,0.7495025575072373,0.17865379909271759,0.6502839030520728,0.08762105370447243,0.7676838585714935,0.3656270969052824,0.915042677048726,0.5665442756470659,0.9130003525407646,0.5539042182032621,0.950368481780623,0.7210012721175107,0.7670335003694486,0.39258047146888225,0.5741758241758241,0.6559526972948287,0.4343211075617497,0.8989212865069398,0.6365276228743421,0.9046611848062297,0.4636773813850774,0.7178328257509391,0.4979311686402933,0.7369444069672516,0.41177836527045936,0.9342411122312813,0.8109121092923517,0.9564379607920973,0.6757768818388012,0.8292844963356527,0.5615606624090106
9,3.935195929821589,0.589573315014121,0.861075817556873,0.3705751975139275,0.638451967366782,0.3842640087001714,0.5405945917591208,0.0225689428642199,0.9712213018394121,0.7713886748542494,0.9912022314076682,0.7024836546616812,0.945687751558367,0.6760587487394255,0.5521366920738976,0.030715250379156164,0.7128779806649054,0.5163571521828675,0.9730348117548165,0.8094312493241679,0.7492735117003511,0.39097044197792025,0.5817927084462304,0.08100376583075605,0.5953789789863457,0.03633322115978964,0.9459207902551547,0.8498527686661455,0.8870183803955679,0.37398954103120396,0.7544220913856505,0.18069999519742033,0.6495123272914879,0.08623025804585985,0.7670465796901188,0.4033406688974543,0.9041847504540771,0.5667342511065414,0.8667883536346295,0.5019888697142214,0.9785470723768336,0.796261919199126,0.7933084345299145,0.4275624290023153,0.530448717948718,0.6287681215918837,0.37647650440196634,0.9655908678993308,0.7247300114703645,0.9330851310666425,0.6096948873261392,0.6733455030798937,0.4638919675793352,0.7517059110044979,0.4018501151604544,0.934208915473202,0.8093996291778872,0.9764161280852137,0.725313958067412,0.8375886540286663,0.5873367247405084
