epoch,train_loss,train_accuracy,train_sinus rhythm_rocauc,train_sinus rhythm_prauc,train_myocardial infarction_rocauc,train_myocardial infarction_prauc,train_left axis deviation_rocauc,train_left axis deviation_prauc,train_abnormal QRS_rocauc,train_abnormal QRS_prauc,train_left ventricular hypertrophy_rocauc,train_left ventricular hypertrophy_prauc,train_t wave abnormal_rocauc,train_t wave abnormal_prauc,train_myocardial ischemia_rocauc,train_myocardial ischemia_prauc,train_left anterior fascicular block_rocauc,train_left anterior fascicular block_prauc,train_atrial fibrillation_rocauc,train_atrial fibrillation_prauc,train_ventricular ectopics_rocauc,train_ventricular ectopics_prauc,train_incomplete right bundle branch block_rocauc,train_incomplete right bundle branch block_prauc,train_st depression_rocauc,train_st depression_prauc,train_1st degree av block_rocauc,train_1st degree av block_prauc,train_sinus tachycardia_rocauc,train_sinus tachycardia_prauc,train_nonspecific intraventricular conduction disorder_rocauc,train_nonspecific intraventricular conduction disorder_prauc,train_sinus arrhythmia_rocauc,train_sinus arrhythmia_prauc,train_s t changes_rocauc,train_s t changes_prauc,train_sinus bradycardia_rocauc,train_sinus bradycardia_prauc,train_qwave abnormal_rocauc,train_qwave abnormal_prauc,train_complete right bundle branch block_rocauc,train_complete right bundle branch block_prauc,train_left bundle branch block_rocauc,train_left bundle branch block_prauc,train_premature atrial contraction_rocauc,train_premature atrial contraction_prauc,train_left atrial enlargement_rocauc,train_left atrial enlargement_prauc,train_nonspecific st t abnormality_rocauc,train_nonspecific st t abnormality_prauc,train_anterior myocardial infarction_rocauc,train_anterior myocardial infarction_prauc,train_prolonged pr interval_rocauc,train_prolonged pr interval_prauc,train_right axis deviation_rocauc,train_right axis deviation_prauc,train_mean_rocaucs,train_mean_praucs,valid_accuracy,valid_sinus rhythm_rocauc,valid_sinus rhythm_prauc,valid_myocardial infarction_rocauc,valid_myocardial infarction_prauc,valid_left axis deviation_rocauc,valid_left axis deviation_prauc,valid_abnormal QRS_rocauc,valid_abnormal QRS_prauc,valid_t wave abnormal_rocauc,valid_t wave abnormal_prauc,valid_left ventricular hypertrophy_rocauc,valid_left ventricular hypertrophy_prauc,valid_myocardial ischemia_rocauc,valid_myocardial ischemia_prauc,valid_left anterior fascicular block_rocauc,valid_left anterior fascicular block_prauc,valid_atrial fibrillation_rocauc,valid_atrial fibrillation_prauc,valid_incomplete right bundle branch block_rocauc,valid_incomplete right bundle branch block_prauc,valid_ventricular ectopics_rocauc,valid_ventricular ectopics_prauc,valid_st depression_rocauc,valid_st depression_prauc,valid_sinus tachycardia_rocauc,valid_sinus tachycardia_prauc,valid_nonspecific intraventricular conduction disorder_rocauc,valid_nonspecific intraventricular conduction disorder_prauc,valid_s t changes_rocauc,valid_s t changes_prauc,valid_sinus arrhythmia_rocauc,valid_sinus arrhythmia_prauc,valid_1st degree av block_rocauc,valid_1st degree av block_prauc,valid_mean_rocaucs,valid_mean_praucs
0,4.6353207293781695,0.3800974049574762,0.8115039188977962,0.9556983150825897,0.5493292182048953,0.29028359244021734,0.42455780624853606,0.26204318866761256,0.40513586754304287,0.13985516959115063,0.5448431247348884,0.1847589344107614,0.6232041202299445,0.13381536310159164,0.7398933700367019,0.22520804389616414,0.9575731065240872,0.595361787095937,0.39698130360498474,0.058299001033477696,0.8455795514664262,0.24757872659041477,0.7182695582248138,0.12540417766745848,0.5360959188012109,0.06555074715572709,0.3760143251080156,0.028795900326165715,0.2668663847539468,0.02217811013437986,0.40208023532725,0.029955381795310633,0.5491983339975464,0.04368337820651945,0.7718799427581532,0.09942210289939024,0.5821490809773489,0.04122472371135614,0.529574423974223,0.03120612505249487,0.7768538478015996,0.20793793969669935,0.7819230642863907,0.058513481636337156,0.4335517173715425,0.016272389414501962,0.46614718354195983,0.018091436703218125,0.38062961425011266,0.012874912813550738,0.6008859411781944,0.025877518902536912,0.43514163750808643,0.0151665021131338,0.413090201093467,0.014006121709028863,0.5673686221646358,0.14626159525361948,0.40010176390773405,0.8007822663226862,0.9517988355281402,0.543369894510511,0.2772150927713328,0.4097587405557145,0.2505116400594614,0.3944718831658512,0.13837009907135955,0.6319903863893316,0.1457232998599498,0.5381625323782941,0.16311263601234863,0.7362025142609236,0.22855978350911155,0.9500825346402089,0.5860889973004267,0.40878449594123367,0.05835687183238525,0.7158908148677626,0.10893416976149878,0.8579500028747893,0.25584424198755207,0.525356079971434,0.05597866493708101,0.2784930924548352,0.027010543717070377,0.39145076049276417,0.03037179882001374,0.7441379760041732,0.08692140984037679,0.5639607724904946,0.04474698496554076,0.38946800971550055,0.028930914589082608,0.5811948680609712,0.20226329320957248
1,4.048490964925297,0.47590317656465797,0.798966386054232,0.9513424393437344,0.6514842869917254,0.42854700678269597,0.6555711917744538,0.37973422059053386,0.2866423604017364,0.10159393982135415,0.7614006035050409,0.3718024425989083,0.7572770612776594,0.3036375705483009,0.8140198414908769,0.3253165854364557,0.9042745943619196,0.30087573447189353,0.6810994825648988,0.1648368300460757,0.8755290968860308,0.3825249937462763,0.8180877464346213,0.234560261140559,0.6166413692437972,0.08385009731170516,0.5481089318040192,0.04834363460585387,0.5827087464216107,0.0602017654986347,0.47511446826223325,0.033739387784201505,0.5943482507755664,0.05429567723737354,0.7031129177022922,0.10934423358553642,0.6594961923923333,0.11859611103156717,0.5034936082148538,0.03215587046767093,0.8658604543084305,0.35584217740400664,0.9613462203745899,0.4612165899182995,0.6049534866026198,0.03467374312220121,0.6766258054958892,0.03316092950793088,0.5334289602203527,0.02285201524802184,0.5963911164942647,0.021947396619800212,0.4664070895318505,0.015796644560384432,0.6085951560433073,0.027112342797548896,0.6667031639122668,0.20214446819361204,0.53578697421981,0.7904550067076983,0.9478583788149898,0.6308285734834304,0.38561698009186646,0.6544973616578119,0.3699105829285748,0.2856461873695656,0.10327797964160232,0.7421436317664255,0.29795981968443697,0.7706473332163873,0.361338955698292,0.7999995507612512,0.29757738922772375,0.8945986579622089,0.3106935223516576,0.6716213271022695,0.16239958470588992,0.8071607695973314,0.21101071165961258,0.8731703479100281,0.3763103229685629,0.5741100616343532,0.0666810837381244,0.580439249025859,0.07267870948069471,0.48213290769879935,0.04223029912171468,0.7294511280646844,0.11791906421423004,0.5873762624993719,0.05844112422779041,0.5555677657896354,0.04507020771203368,0.6723438895439479,0.24864557154516453
2,3.7931330255135602,0.3935451043105328,0.8522385168479111,0.9661288367502702,0.613768491139786,0.4118004080243335,0.4566052598958994,0.2517488705823612,0.39057306086542354,0.1203578500183445,0.5470236374953252,0.20958770688485784,0.7717066736461189,0.34415621651882766,0.6372421078942355,0.14259968526190134,0.8462102183729837,0.2509110392513202,0.6928163938128769,0.182360338531288,0.8828419074741756,0.4221924533370933,0.8184826240659488,0.2970194973296521,0.4769139638211223,0.04518911582507178,0.41116471801976623,0.0370590950341764,0.5626296180641549,0.1072950928513709,0.3912689226598416,0.029219869062681328,0.561177297981574,0.04265722490353738,0.7493906285305415,0.10141781696635623,0.7047014628007038,0.11081445758601763,0.5315726666806526,0.03369383265762821,0.89266153163006,0.5535782602620966,0.9151192747077321,0.1787745945958002,0.5736897386771442,0.03270871813568417,0.41417360288126803,0.015499290750866486,0.5308044351156087,0.02032967079407791,0.4969027874099326,0.01792799144608254,0.4902756388073213,0.017761837540035665,0.49763642789419604,0.016701513525439755,0.6188737632293446,0.18368486238619156,0.4043419267299864,0.8417578817718625,0.9628349795740491,0.5992805974429078,0.37551589475479497,0.4533451974954438,0.24618338731765313,0.3817015880114344,0.12115267255971494,0.7698333199301773,0.346793914146299,0.5516468424715052,0.20229689534920148,0.6269203753197216,0.13842639283328217,0.8285065756150469,0.2586956191808435,0.6936153925856057,0.19303139109518921,0.8138104598522754,0.2847236976867267,0.8711077622337416,0.3995299899893283,0.45440029862050013,0.04150406547718099,0.5742274176408075,0.14094857697703825,0.369884750746583,0.029923906627076863,0.7583789775691184,0.09248707989200336,0.5637807145369579,0.04328015442213626,0.411949165815075,0.0401884234833821,0.6214204304505156,0.23044217890387647
3,3.611427101309393,0.5440139565312204,0.872157701211025,0.9706675988453491,0.789061445649938,0.6516962824524094,0.7138423333617729,0.4831753986020971,0.3602459809882044,0.11624103004104913,0.7419060636508149,0.3554634672547532,0.7891228378044339,0.3883042157877939,0.8541002194338438,0.40458006428153204,0.9467176695190536,0.5185836879153548,0.7870531546967654,0.26151929314132133,0.9087633386676357,0.5243540442175623,0.8767353413557557,0.3936147650630436,0.47545110768269666,0.054510688493743326,0.4585531759318055,0.03673081627975787,0.6399319779166661,0.11521737659492973,0.49526931569720034,0.03848566839026697,0.5974482499941393,0.05403008378076756,0.7565799094926062,0.12130469405267183,0.7640968036708647,0.224104082205669,0.5994985213970647,0.03881262104031027,0.9101213036288377,0.5017287213714006,0.9708503166679228,0.8013516054435944,0.6290764654966758,0.047927132825890506,0.6126104374213022,0.029298256042542166,0.6269957293398837,0.02791509165777232,0.6319306745330168,0.026954782598065025,0.4876466445540407,0.017622233563029804,0.7687645128507923,0.04442335052958205,0.7060937493561023,0.2684672982397133,0.5442672998643148,0.8631146618996097,0.9672337862076048,0.7764326810354562,0.6126119149089317,0.7077944193971639,0.44645019641571826,0.35501701127654717,0.11724303016356202,0.7897448413618237,0.3812958252333884,0.7357513310268631,0.33160659414177013,0.8453299867185773,0.3692964887854525,0.9374523006908126,0.5301610753620929,0.7904867304064483,0.2910335680852334,0.8737360019061233,0.3531023920825008,0.898364396188332,0.49901185490109984,0.4769530988964406,0.059812467996763985,0.6399383634431456,0.1246820930839592,0.4663767627167772,0.03843167829121986,0.7844410211267606,0.13628929403335266,0.6007399125672076,0.05582446217460778,0.45740815572490284,0.0355641676415705,0.7058283339048819,0.3146853464416959
4,3.4562566265633885,0.6305153739914225,0.8608893627790308,0.9677128448050403,0.8029172165088392,0.6296762971306883,0.8517332177116956,0.5996010102436445,0.3546021856285413,0.11854307497174865,0.8069358881026817,0.4482493864647686,0.8117477012372655,0.36956420032729764,0.8546082569941027,0.38865298264187775,0.9641796565179095,0.6213621312092668,0.7660632361101294,0.278899784856487,0.9216232139575934,0.5728570633286362,0.8659316563438583,0.39354385133861935,0.5483041225297898,0.06666959847263725,0.5181404742768249,0.04690910261699689,0.6933159304273455,0.21096427047987595,0.4076615979289716,0.030925369848080444,0.5910477373779996,0.053085348733208845,0.7606530560367554,0.11739252888809305,0.7563064862879672,0.12225376538271639,0.5144674376216315,0.032199683897988,0.9312575927342567,0.6642715279909731,0.9439607938633874,0.6854871837558677,0.621586152331448,0.04170548187022466,0.6831729189041553,0.03603790632133767,0.6239918252600349,0.03263168638667856,0.6528305511329041,0.028729785529798692,0.46822777219003364,0.016284337591843296,0.728131369331827,0.031050981885306566,0.7149736077824806,0.28167634025813715,0.6078697421981004,0.8513205020139193,0.9643804448883315,0.7861914412640658,0.5887658803036669,0.8383296857962587,0.5427164033152675,0.3497854956945686,0.11764522606293881,0.7839985832075802,0.36592659364120766,0.798363857175177,0.412325946235015,0.8424684963305218,0.3425816965045759,0.9543665712781061,0.6007840834518973,0.749110358429086,0.2953970553491706,0.8628222539909459,0.3607477149417183,0.9096208606816579,0.5404885080139628,0.508554626829,0.05499661163685041,0.6959341126461213,0.20545639380511346,0.39941470071017665,0.03294423004474783,0.7766766105894627,0.1199059441766632,0.5866824112691155,0.05219266544473175,0.5005260976447612,0.04127144340907454,0.717303921502972,0.3316780494838196
5,3.34812698329943,0.6636621356400378,0.8863799693336014,0.974015265829344,0.821958483009352,0.6455122761837436,0.8103759096821828,0.549531373096347,0.39823766825693463,0.13094897271189565,0.7859059269782073,0.40979697609919447,0.8473203476450952,0.3881446904038141,0.8321608722027216,0.27602083055939486,0.943281134790216,0.41309811695899834,0.853809025907502,0.2821202902875885,0.9124219020727321,0.5256314497004446,0.9205721963083968,0.4885064424220874,0.42719942089092056,0.043029099753098904,0.5986618501858356,0.06487905174715311,0.80898885219272,0.32519208257345583,0.4638430388286867,0.03548093232159158,0.5895479444561658,0.057656783023290525,0.802312661620346,0.13734653340601577,0.8246475458858096,0.23277895392164055,0.5781359072418841,0.039271333580611655,0.9454481627909019,0.619278734309546,0.971554774757015,0.8489249249609906,0.6955776660177312,0.056029200655012344,0.6717242588511962,0.04236776910197601,0.6353738265481222,0.02607459619994281,0.6963224161676939,0.042879871614419154,0.5568175762322325,0.019474530203387207,0.6558655336471043,0.02359583962741514,0.738312773055604,0.285095811898237,0.6467096336499322,0.8701785211592818,0.9680065382121381,0.8109746597505353,0.6083581909794791,0.7923926296551208,0.5049331067331774,0.39155453692499254,0.12958716362785735,0.8295334400855278,0.36641792598410305,0.7845123303095735,0.3579465204968544,0.8292859061289963,0.26456422755619297,0.934619208142184,0.40137185744622406,0.8591592887154863,0.28763454710063163,0.9048070050035739,0.3619376604235428,0.8905080509231099,0.4996111176538938,0.436995731967851,0.04344045040031657,0.8270286928799149,0.3531211339005421,0.4244228018056312,0.03329531040789303,0.8208744946531037,0.16855413141754153,0.5920950371003132,0.05569341072542636,0.568131808227025,0.04874930967357645,0.7392396554960131,0.32077780016114066
6,3.236294245610726,0.6211383295776696,0.8392453609628654,0.9636469212806587,0.7246255032542727,0.49266793589843577,0.5763118369119534,0.34652278422447325,0.3992715975095654,0.12697075273663405,0.7036546298221347,0.3248066376482305,0.7914086139627006,0.3424719641939844,0.7616651754558004,0.24521057898973658,0.9289502233948849,0.5182338984176648,0.9070184396679122,0.42574223857088883,0.8951251046683848,0.5800397296687547,0.929548645364843,0.5696730453601349,0.4138268824905016,0.03888795836479309,0.5402320466195084,0.0718448000164863,0.8472939609249895,0.35504949598219143,0.42433868369622235,0.030859620315058706,0.6027374952137594,0.08092080189348826,0.7167667771333885,0.09875478754274515,0.8003167078927658,0.1695167920800818,0.4958134701982015,0.028248998960960586,0.9680292391628116,0.8373776663272905,0.9623564268030359,0.8195115399793618,0.6373488193017012,0.07396983346377911,0.48621398414932226,0.02121218005241941,0.5478761729778515,0.020644218498045576,0.6316102900716632,0.036595407299971155,0.47584104543206984,0.01902060546567469,0.540211241817449,0.028458483285441916,0.6869495694392799,0.28395776579694015,0.5868385345997287,0.824256091409015,0.9569505381083926,0.7017671520416521,0.4512189961036076,0.554812863948156,0.31515422975105656,0.3902283807719963,0.1265538901640479,0.7620211525452593,0.30387303968405177,0.6935832427919741,0.28124844884329075,0.761354429157135,0.2338231492440456,0.9230724047854401,0.4981202542277889,0.8954751543474533,0.418400826153907,0.9107654276864428,0.4281372144487658,0.865096729094986,0.5067537293158975,0.4159093716481975,0.041073878351970336,0.8349507616011335,0.3694434734882708,0.38733182941773914,0.0351844273714973,0.7539832746478873,0.12006382132291928,0.6070716714402962,0.06385243250656485,0.497454743055814,0.0638953633034432,0.6928902753170929,0.30669104190526575
7,3.1515413461802892,0.6143054445009813,0.8883892511295209,0.9748695867191999,0.7457886451002591,0.6320295369576917,0.7747050676440015,0.5612010159765268,0.4391888297258567,0.17347845091123343,0.7293967384809343,0.4333819950454068,0.8666050803264138,0.4524187267977524,0.7855808841667342,0.27204637635637974,0.9257576494314491,0.5099670798712096,0.9298831972923414,0.5424101519578877,0.9308692295708073,0.6344525035523336,0.9356804814332262,0.5762906934655447,0.5412676384202532,0.06520636141280459,0.6612872022818337,0.13837864175723147,0.8880831370763426,0.4414301788747749,0.45758453784841446,0.03379741152701009,0.6016445132100241,0.08520508183320138,0.8065872059451181,0.1518051398763799,0.8747005119875042,0.21100481405986649,0.5752796881626614,0.03768592187272296,0.9713583940268282,0.8233895092828213,0.9539286342403352,0.7747756140440812,0.7167921631175447,0.10315877519097008,0.6443373986186208,0.05134422743182514,0.6793032573184906,0.030990127988185893,0.642969937909231,0.03117614727148424,0.5976854597004474,0.03407465261187607,0.8006102848918739,0.06668885831469469,0.7542690747798915,0.3275058363318925,0.5888738127544098,0.8730094978271162,0.9694901896798966,0.7166258679532125,0.5805913901332399,0.7561385438980442,0.4878250632700256,0.43102497325546724,0.17018822228555963,0.8356822364032869,0.3857480777103,0.7180987508506907,0.37055685754315565,0.7783786524313604,0.2533603528990385,0.90403834370699,0.4648212851926697,0.9252325930372148,0.5564374179790205,0.918944484155349,0.44198819163452946,0.917051131910464,0.5622003728404656,0.5231825763308153,0.05965275806680807,0.8911193765497697,0.45083616404486865,0.4181766046579939,0.03419817394906192,0.8102675078247262,0.14093747716968122,0.5970403497311694,0.057283296347490326,0.642019107381894,0.1147156324014549,0.7444723881120922,0.35887240724395686
8,3.0693478465574184,0.7124373046449081,0.8705024972273705,0.969686546239253,0.7330934132289577,0.5067688886912302,0.7132134234466517,0.47545834542536003,0.3830222233450755,0.1268081372560741,0.8385901598297106,0.42679258215472127,0.8821852256495313,0.4672110385698346,0.8521630885407134,0.3396956621493477,0.9633016209580672,0.7774448659546368,0.9046701584802406,0.424826686172038,0.925315125316369,0.6204525855776416,0.9408072443484546,0.594880744696359,0.7460094800013778,0.12898797199507622,0.7290528229106997,0.11715282882221184,0.852606513322145,0.45669945921055677,0.4846000535397347,0.0371531383677023,0.630552312633331,0.09682820264375233,0.8375633143782482,0.15847382799760373,0.8705251900174776,0.2563277545713791,0.6169259415115769,0.043374084361974416,0.9682322082726548,0.819030739851009,0.9595561817405236,0.7781162776133402,0.7393994019420008,0.09433284997220089,0.6239404720020739,0.03829201264940843,0.7844841425592738,0.05675001071759662,0.6691014583353683,0.030311722262162836,0.6495850341099735,0.02776736268144781,0.6612381271396697,0.03787779110457197,0.7714902531402693,0.3299074858410552,0.673337856173677,0.8542229120968565,0.9623863834966584,0.71405150253126,0.46934647690244163,0.693927092436065,0.4209339010050086,0.3752246979183108,0.12368953330360356,0.8455841134758483,0.3932388618502459,0.8202398129107846,0.37773342787264785,0.8440034488700521,0.3070117876056361,0.9499183906811288,0.7219309728757727,0.8913181343966158,0.39543041682420293,0.9088628782463665,0.4295775279690125,0.9071945385055332,0.5286754554460452,0.7186055286642605,0.11358922012663039,0.8472221041445271,0.4810909754976296,0.43072028646406024,0.036126560380691466,0.8404636150234742,0.15987468343504577,0.624128603252768,0.07275463805675714,0.688267243758864,0.08784985110261444,0.7619973472574573,0.3577200396323908
9,2.9982644103333693,0.5844297448571636,0.8859633864040671,0.9737960478370846,0.7535208837403914,0.6186178388624756,0.7614221825490519,0.5626873394619468,0.4259077155487623,0.18466907796023196,0.7248654354116797,0.39373082718217184,0.8673102958131167,0.45326411803467026,0.7293209170818107,0.2481239982780651,0.9633411983212503,0.6868039375745663,0.8929116915635087,0.5053781577601079,0.930003981201003,0.6402338098690381,0.9099869051568634,0.5786057701422724,0.5635230758815796,0.06827379719685825,0.72026437358366,0.16623623930067527,0.8935828194245965,0.5052038677161218,0.44800819807844966,0.0374552858071751,0.6321500183635356,0.08743852645815088,0.8137879415530617,0.14423832972941017,0.910062143989409,0.28330834912244185,0.5925388655172683,0.04120550500754334,0.9610653965429902,0.8062501658410418,0.97355547438343,0.8361566262751557,0.7050385270862379,0.07809247448010945,0.6003018873601955,0.039243524165585464,0.6159112585016601,0.029933086226200792,0.6781402723919108,0.04191730945814692,0.6429456810560634,0.043377592498233294,0.6422749053293743,0.03819050109626015,0.7495446456235157,0.3367567445682127,0.5617367706919946,0.8666483019069904,0.9678287196211197,0.7236368313356487,0.5469983664570717,0.7391499466402703,0.4810373719045308,0.41559710457550725,0.16499053876217706,0.8329553840477214,0.3783634908080339,0.7247913109684695,0.3230390643508438,0.7224917476446252,0.22788627480896811,0.9474429549452994,0.616758415858792,0.8843803146258503,0.4969448903151711,0.8888908744341196,0.4035179003592871,0.9078300182473469,0.5591634921042459,0.5517108241156304,0.06609824710090469,0.8882798441374424,0.4982998967422891,0.39904014646469754,0.03358492294629709,0.8122831898800209,0.13367586849717755,0.6130320084417868,0.06897792668918032,0.6914601718989443,0.12429310794001663,0.7417424102535513,0.35832108795682976
