epoch,train_loss,train_accuracy,train_abnormal qrs_trues,train_abnormal qrs_rocauc,train_abnormal qrs_prauc,train_anterior myocardial infarction_trues,train_anterior myocardial infarction_rocauc,train_anterior myocardial infarction_prauc,train_complete right bundle branch block_trues,train_complete right bundle branch block_rocauc,train_complete right bundle branch block_prauc,train_indeterminate cardiac axis_trues,train_indeterminate cardiac axis_rocauc,train_indeterminate cardiac axis_prauc,train_inferior ischaemia_trues,train_inferior ischaemia_rocauc,train_inferior ischaemia_prauc,train_left anterior fascicular block_trues,train_left anterior fascicular block_rocauc,train_left anterior fascicular block_prauc,train_left atrial enlargement_trues,train_left atrial enlargement_rocauc,train_left atrial enlargement_prauc,train_left axis deviation_trues,train_left axis deviation_rocauc,train_left axis deviation_prauc,train_left posterior fascicular block_trues,train_left posterior fascicular block_rocauc,train_left posterior fascicular block_prauc,train_left ventricular hypertrophy_trues,train_left ventricular hypertrophy_rocauc,train_left ventricular hypertrophy_prauc,train_low qrs voltages_trues,train_low qrs voltages_rocauc,train_low qrs voltages_prauc,train_myocardial infarction_trues,train_myocardial infarction_rocauc,train_myocardial infarction_prauc,train_myocardial ischemia_trues,train_myocardial ischemia_rocauc,train_myocardial ischemia_prauc,train_nonspecific intraventricular conduction disorder_trues,train_nonspecific intraventricular conduction disorder_rocauc,train_nonspecific intraventricular conduction disorder_prauc,train_nonspecific st t abnormality_trues,train_nonspecific st t abnormality_rocauc,train_nonspecific st t abnormality_prauc,train_pacing rhythm_trues,train_pacing rhythm_rocauc,train_pacing rhythm_prauc,train_premature atrial contraction_trues,train_premature atrial contraction_rocauc,train_premature atrial contraction_prauc,train_prolonged pr interval_trues,train_prolonged pr interval_rocauc,train_prolonged pr interval_prauc,train_qwave abnormal_trues,train_qwave abnormal_rocauc,train_qwave abnormal_prauc,train_right axis deviation_trues,train_right axis deviation_rocauc,train_right axis deviation_prauc,train_s t changes_trues,train_s t changes_rocauc,train_s t changes_prauc,train_sinus arrhythmia_trues,train_sinus arrhythmia_rocauc,train_sinus arrhythmia_prauc,train_st depression_trues,train_st depression_rocauc,train_st depression_prauc,train_supraventricular premature beats_trues,train_supraventricular premature beats_rocauc,train_supraventricular premature beats_prauc,train_t wave abnormal_trues,train_t wave abnormal_rocauc,train_t wave abnormal_prauc,train_t wave inversion_trues,train_t wave inversion_rocauc,train_t wave inversion_prauc,train_ventricular ectopics_trues,train_ventricular ectopics_rocauc,train_ventricular ectopics_prauc,train_mean_rocaucs,train_mean_praucs,valid_accuracy,valid_abnormal qrs_trues,valid_abnormal qrs_rocauc,valid_abnormal qrs_prauc,valid_anterior myocardial infarction_trues,valid_anterior myocardial infarction_rocauc,valid_anterior myocardial infarction_prauc,valid_complete right bundle branch block_trues,valid_complete right bundle branch block_rocauc,valid_complete right bundle branch block_prauc,valid_indeterminate cardiac axis_trues,valid_indeterminate cardiac axis_rocauc,valid_indeterminate cardiac axis_prauc,valid_inferior ischaemia_trues,valid_inferior ischaemia_rocauc,valid_inferior ischaemia_prauc,valid_left anterior fascicular block_trues,valid_left anterior fascicular block_rocauc,valid_left anterior fascicular block_prauc,valid_left atrial enlargement_trues,valid_left atrial enlargement_rocauc,valid_left atrial enlargement_prauc,valid_left axis deviation_trues,valid_left axis deviation_rocauc,valid_left axis deviation_prauc,valid_left posterior fascicular block_trues,valid_left posterior fascicular block_rocauc,valid_left posterior fascicular block_prauc,valid_left ventricular hypertrophy_trues,valid_left ventricular hypertrophy_rocauc,valid_left ventricular hypertrophy_prauc,valid_low qrs voltages_trues,valid_low qrs voltages_rocauc,valid_low qrs voltages_prauc,valid_myocardial infarction_trues,valid_myocardial infarction_rocauc,valid_myocardial infarction_prauc,valid_myocardial ischemia_trues,valid_myocardial ischemia_rocauc,valid_myocardial ischemia_prauc,valid_nonspecific intraventricular conduction disorder_trues,valid_nonspecific intraventricular conduction disorder_rocauc,valid_nonspecific intraventricular conduction disorder_prauc,valid_nonspecific st t abnormality_trues,valid_nonspecific st t abnormality_rocauc,valid_nonspecific st t abnormality_prauc,valid_pacing rhythm_trues,valid_pacing rhythm_rocauc,valid_pacing rhythm_prauc,valid_premature atrial contraction_trues,valid_premature atrial contraction_rocauc,valid_premature atrial contraction_prauc,valid_prolonged pr interval_trues,valid_prolonged pr interval_rocauc,valid_prolonged pr interval_prauc,valid_qwave abnormal_trues,valid_qwave abnormal_rocauc,valid_qwave abnormal_prauc,valid_right axis deviation_trues,valid_right axis deviation_rocauc,valid_right axis deviation_prauc,valid_s t changes_trues,valid_s t changes_rocauc,valid_s t changes_prauc,valid_sinus arrhythmia_trues,valid_sinus arrhythmia_rocauc,valid_sinus arrhythmia_prauc,valid_st depression_trues,valid_st depression_rocauc,valid_st depression_prauc,valid_supraventricular premature beats_trues,valid_supraventricular premature beats_rocauc,valid_supraventricular premature beats_prauc,valid_t wave abnormal_trues,valid_t wave abnormal_rocauc,valid_t wave abnormal_prauc,valid_t wave inversion_trues,valid_t wave inversion_rocauc,valid_t wave inversion_prauc,valid_ventricular ectopics_trues,valid_ventricular ectopics_rocauc,valid_ventricular ectopics_prauc,valid_mean_rocaucs,valid_mean_praucs
0,5.171478880796477,0.12331479929926117,2061,0.3072534096048125,0.10645105668460052,218,0.6035881500661906,0.020778331051122242,346,0.7822156096947761,0.052993988737769254,95,0.5279309982798026,0.007072115641222829,130,0.4595773639392379,0.009603947965802839,1003,0.7706615022160964,0.1401736959209531,248,0.3315100886276612,0.013232724459609845,3115,0.6281188198480394,0.32550311504078466,124,0.7596340117324601,0.01968393788383518,1396,0.4461633755550004,0.09165778481128835,111,0.5769945702346992,0.01179356945380464,3318,0.643160633501816,0.3188710657720188,1271,0.7532084359385698,0.17357226869351872,475,0.41835001206192346,0.029596541643284572,218,0.5274945125378473,0.01749789651208168,184,0.8326185618083195,0.04715095226513911,235,0.5018359190651103,0.025315065003508865,200,0.42352115399489515,0.012811303961487486,346,0.4960663977943973,0.025365496380611748,219,0.49244859918862227,0.014745350405927504,452,0.695055273957924,0.07037251835593485,478,0.5627241334718442,0.0428759391167665,590,0.5416697192893765,0.05241722927984481,88,0.4794023743299106,0.0059455948443868836,1382,0.7682780294183558,0.26825284249774894,157,0.666018037870887,0.016493141476338,692,0.8336223235627795,0.31235691414920597,0.5862637784293094,0.08268831066698511,0.12275862068965518,660,0.2959830007390983,0.10158353339630817,60,0.6186285936285936,0.021648178843765194,101,0.7969213489953374,0.051090750129998995,29,0.5806606069795466,0.007706148500267646,46,0.4310752384031033,0.008659468342700536,307,0.7599208347399011,0.12683304153083805,85,0.39559754499689675,0.015940004849988136,1011,0.6299350451413606,0.3323804057049782,25,0.7946265895953757,0.014037343226362332,476,0.4326494666013024,0.0901031135627103,38,0.6749768089053803,0.01800805793956815,1080,0.6382750028315779,0.3132450609538193,467,0.7581231756941944,0.1955592930171255,160,0.37132532816229114,0.02756112608792212,76,0.530096298303081,0.019367272081320584,52,0.8714540752407202,0.047735750435751484,80,0.5183343091334894,0.03390249213704165,75,0.459998440545809,0.01684363563399081,99,0.515353487830552,0.0226113973351753,65,0.5098680549322323,0.013981010577366209,162,0.6964578395651303,0.07523913310789956,142,0.5969079687248969,0.04146433523849764,218,0.5478409726724512,0.05530136154431669,33,0.4875650177943437,0.007292460865343164,482,0.7492968156637932,0.26055977550004317,60,0.7058197358197358,0.022108802632368026,240,0.8682299270072993,0.33363179612494287,0.6013304269869443,0.08423684256668185
1,4.795880911873068,0.3443521974255465,2061,0.29390447600445185,0.10390633625775376,218,0.5694923395809989,0.020570725031156548,346,0.9667783802458015,0.3992008974955364,95,0.667426891611413,0.017592771753626953,130,0.60564362939161,0.02223264079207472,1003,0.8581230167324186,0.2563878438332095,248,0.412945673923333,0.015568560385138064,3115,0.8200934582435313,0.54971013396199,124,0.9107359452319826,0.12416640300495738,1396,0.384155323668921,0.07904050067738583,111,0.5979371597746155,0.012060089810824258,3318,0.6823736399751568,0.4160508438796622,1271,0.80025416152507,0.3300613502686219,475,0.3921565887216857,0.028096183596445383,218,0.5737444565795897,0.023161780773149506,184,0.8978357431944515,0.20280978378097522,235,0.5286400733971598,0.020333480800470444,200,0.43595173640652796,0.014548708095296934,346,0.41699303491495887,0.020887896459774027,219,0.6221922759957416,0.021119563113989964,452,0.7450732146085762,0.1105680059010117,478,0.618991040118217,0.06413508572869668,590,0.48461464637111873,0.04447550864442779,88,0.3216028469651658,0.004482086124479147,1382,0.7811971452636797,0.3341489496588832,157,0.647140042934218,0.02213307770858979,692,0.9227066844642664,0.5931492046026633,0.6281001342905429,0.14261475600521448,0.3457471264367816,660,0.2845721442062905,0.09929654729740708,60,0.5358275058275058,0.021154324649243925,101,0.9692717447786201,0.3739299024439095,29,0.6146166675976985,0.010075772807808683,46,0.5705157992565055,0.02430965529410843,307,0.8619446004313565,0.2596125595986854,85,0.4699179366940211,0.018146501173194215,1011,0.8248476106938679,0.5606822954406603,25,0.9107421965317919,0.07871940137610317,476,0.38262896795269474,0.08215659121114496,38,0.6487403573869739,0.015604888374601023,1080,0.6725056631555103,0.3995186955506917,467,0.8066132446876271,0.36394881963918363,160,0.3443682875894988,0.02758360108604975,76,0.5568831120853139,0.023953217864798912,52,0.9007096323871567,0.16781077591827648,80,0.4997072599531616,0.032758331422301584,75,0.42618635477582845,0.015910683873057326,99,0.43732312539651985,0.019279295511204525,65,0.6470657930167849,0.02085146552702951,162,0.7419891636303608,0.1095308882746155,142,0.656937824666631,0.05722203512242842,218,0.487378660177447,0.05018826376744879,33,0.3929215715178189,0.006821016282223442,482,0.7612740133964394,0.31322859671844405,60,0.6608585858585858,0.023174605938932315,240,0.9419322789943227,0.610480529413755,0.6299363000980124,0.14022034302138178
2,4.623643103771048,0.2568360118820931,2061,0.38192573648638817,0.1552700405442889,218,0.6366504204152778,0.02952634771062686,346,0.9689432406388723,0.6404418218190804,95,0.6966080615071513,0.022056320992662696,130,0.7400723132548658,0.03519318056712163,1003,0.9014659386511421,0.5257924094708943,248,0.41313850607671715,0.017301552290539427,3115,0.7657636932692304,0.6172247916947254,124,0.8355285188079026,0.05414923017183048,1396,0.4318587069947204,0.11218813282964558,111,0.6593573139893618,0.020732210708427068,3318,0.7441996869218832,0.5581032392874599,1271,0.8132688094191971,0.44718360704698334,475,0.43247327660070045,0.03761659915876815,218,0.6272721717275433,0.027873768959623194,184,0.9444077787294071,0.661538477508265,235,0.570257319089532,0.03144414621171619,200,0.5491519065666332,0.0232246785509254,346,0.6039863275783092,0.040470023008551195,219,0.3963450866377344,0.013012572727970677,452,0.7923553805547082,0.1307806136363899,478,0.5966147350053198,0.051219439279653306,590,0.5593829962381776,0.06391575217276035,88,0.43310302821172386,0.007719243222033303,1382,0.8189314462404849,0.3571500734348251,157,0.8077230526896736,0.03820562734554305,692,0.9632234903218581,0.7314538994281787,0.6697781089860932,0.20188102962146262,0.2577011494252874,660,0.36559702718239306,0.13993337473754608,60,0.5482439782439783,0.018932097880718122,101,0.9677734306732626,0.6309801133573213,29,0.6656345513889665,0.02429071329960269,46,0.7645365282042993,0.03959937934562752,307,0.8845702670236327,0.5086604149620492,85,0.4531384042479829,0.024508342742857906,1011,0.7681108288017195,0.6195348225505909,25,0.8020624277456647,0.028448785216275554,476,0.41926623514661415,0.11364300041075878,38,0.7519468313641245,0.02566609122005834,1080,0.731712396647412,0.5453587378952769,467,0.8135644253957155,0.47667075961825933,160,0.3844756861575179,0.03144802128003095,76,0.6163553185725194,0.028365101731123738,52,0.9669300569137703,0.6862088043934805,80,0.5942593676814988,0.0452832360773703,75,0.5386884990253411,0.022610509402888966,99,0.6519583033344502,0.04234379082773551,65,0.41213176555066866,0.012230774214101675,162,0.7732896459018713,0.13693126615853132,142,0.6129070047662399,0.04410219869106076,218,0.5577257831025693,0.06412343162675532,33,0.4669769270186226,0.007183652389852538,482,0.7966939072375959,0.33251409744451704,60,0.8077000777000778,0.04526527543204661,240,0.9810766423357664,0.8019044853555247,0.6702713450875656,0.20358301030599862
3,4.4928638303313475,0.34320968847589306,2061,0.3329765998624883,0.11008794139103453,218,0.39712225333777684,0.014363386134789324,346,0.9661441835457948,0.42380559004369145,95,0.4940406871098261,0.007511065723440606,130,0.58774521117009,0.015154447078752162,1003,0.7775701018337039,0.18990207524173452,248,0.3628450005133843,0.019935573399099935,3115,0.45966500831420276,0.24034825859087067,124,0.8013940047872408,0.032892861815208375,1396,0.3696909715379222,0.08776411452613955,111,0.5957669145562832,0.01649551972029211,3318,0.4406301091841347,0.24014158183986506,1271,0.604634549751392,0.1677236955580128,475,0.39884014208113927,0.029590058894760272,218,0.44177321237348993,0.014839597710955775,184,0.9553709674710733,0.724529885036388,235,0.5171567511196038,0.02117839665309475,200,0.48404400959084226,0.017692319710635403,346,0.387473835146842,0.019554603597098402,219,0.44684733437319835,0.01599870400606894,452,0.7017551820208154,0.09991063802953394,478,0.5695375595029615,0.056008622840556965,590,0.48200610704770613,0.04215035029443572,88,0.3729627189772118,0.005513870964940263,1382,0.7007593588263505,0.2751186892174643,157,0.5788660927701212,0.014111275096349575,692,0.9325101982198373,0.5988809924172448,0.5614862616676086,0.12967422650120217,0.3335632183908046,660,0.3214461690071446,0.10468225644322716,60,0.4151204351204351,0.03161902105568115,101,0.9700243971208136,0.3859479321703841,29,0.4712989489980767,0.006005686069403844,46,0.5545195571359302,0.019264561936080934,307,0.7671622082160747,0.16448999361102482,85,0.36269498655265153,0.01904458631483124,1011,0.4672857329483498,0.24550231111329607,25,0.7148763005780348,0.017336271514174988,476,0.3677517212357323,0.08302337553078429,38,0.6421553070989161,0.013459439597971324,1080,0.4297692264129573,0.23053468929957063,467,0.614025558065934,0.2056507683550915,160,0.35288708233890215,0.02733925768802326,76,0.44194394502869244,0.015608374041695777,52,0.9589522854995167,0.8050681695178206,80,0.5182552693208431,0.02034016932019678,75,0.45930916179337233,0.017030908207693228,99,0.4186038222735471,0.01880753379417458,65,0.4673763575980613,0.01472637413168838,162,0.6966862994799958,0.09905368690884242,142,0.5681532158731859,0.04292742574909023,218,0.49693042443404356,0.051688296570390854,33,0.40746590294887725,0.006354245363904956,482,0.6756496543615665,0.2644102179694339,60,0.5866977466977468,0.017604049578920176,240,0.9565409570154095,0.681036363536037,0.5593919508575855,0.13365022094034942
4,4.4170724856389505,0.3191408332698606,2061,0.46976995633889185,0.1971540667548575,218,0.7053216835938915,0.04542118695249016,346,0.985940164389211,0.6814085673504281,95,0.7178714778352971,0.024517384191719893,130,0.7500026629267338,0.0342483566886234,1003,0.853532631529788,0.5096383599208777,248,0.3758539709649872,0.025988952287731373,3115,0.6910519013349208,0.5221956799149847,124,0.8685127308355347,0.047958830116194555,1396,0.49046007428414995,0.13786201603274117,111,0.7094681099904636,0.041774084380824875,3318,0.829736418551737,0.6071613125557438,1271,0.8169037120215762,0.40297004758883026,475,0.47154192974137565,0.04334174465126032,218,0.6446737686873935,0.03592487774969175,184,0.9585029472517508,0.7735233728972175,235,0.5792415406803099,0.030052386562023647,200,0.6367551628122825,0.032016402453718285,346,0.6827049472768882,0.05557928585179564,219,0.6917751627883946,0.06337488386263976,452,0.8249597207960065,0.1288871620290775,478,0.5711639379558531,0.05771972103253721,590,0.5737583485288612,0.07040747222756659,88,0.4217833964210776,0.010388168260808538,1382,0.8476618164172101,0.4151511133585959,157,0.7409491486808433,0.04153611229100144,692,0.9633853465396233,0.7484286447504249,0.6990104692287057,0.2142455626931262,0.3140229885057471,660,0.4492892338014289,0.17425705572656364,60,0.642968142968143,0.023801375208941905,101,0.9895118012624986,0.6483552471677445,29,0.6996943555530728,0.017018556764370377,46,0.7807903668983353,0.04353830575587986,307,0.8460084224875745,0.4908749109214278,85,0.4013461140610992,0.026564525817919148,1011,0.69089165629113,0.5173828914151234,25,0.8540763005780347,0.024513348509846697,476,0.4931991123759778,0.13640284084336846,38,0.7956010155258276,0.058575539187839226,1080,0.8179904292671877,0.587554740073419,467,0.8226817495247775,0.42770480117048415,160,0.43411321599045344,0.03289006659992623,76,0.6114849887939314,0.027992789344543578,52,0.9746930593836131,0.7896597153831486,80,0.5948331381733021,0.050185913490504344,75,0.621745029239766,0.03996823416887294,99,0.7042929886966585,0.049801392071789,65,0.6962283457499328,0.09604006833454183,162,0.7906216467980237,0.1427457506415681,142,0.5652278691158358,0.04335156532379208,218,0.5787187935735411,0.07259526160391241,33,0.4838096040319807,0.01776900422699764,482,0.8320987826489936,0.38984660939904864,60,0.7428865578865579,0.04577854425832995,240,0.9793187347931872,0.8218276240581682,0.6997822761285505,0.21470358064696565
